1 00:00:16,265 --> 00:00:17,166 演讲者 SPEAKER_01：大家好。
225 00:24:09,323 --> 00:24:12,729 讲者 SPEAKER_01：嗯，我认为它将产生巨大的影响，一个非常积极的影响。
226 00:24:13,289 --> 00:24:23,909 讲者 SPEAKER_01：我曾是多伦多大学的一位年轻的助理教授，当时另一位杰出的科学家约翰·波拉尼在 1986 年获得了诺贝尔化学奖。
227 00:24:23,989 --> 00:24:30,099 讲者 SPEAKER_01：我记得我为我们知识界的骄傲。
228 00:24:30,079 --> 00:24:40,576 讲者 SPEAKER_01：当约翰得到这个好消息时，它已经产生了如此积极的影响，不仅是在化学领域，而且在多伦多大学。
229 00:24:40,616 --> 00:24:46,586 讲者 SPEAKER_01: 我认为 Jeff 今天的胜利将产生类似积极的影响。
230 00:24:46,567 --> 00:24:53,636 讲者 SPEAKER_01: 提振了整个大学的士气，同时也帮助我们吸引和留住优秀人才。
231 00:24:53,656 --> 00:24:57,522 讲者 SPEAKER_01: Jeff 今天已经就几个问题谈到了这一点。
232 00:24:57,542 --> 00:25:11,982 讲者 SPEAKER_01: 我认为这样的胜利对加拿大、多伦多和加拿大多伦多大学能够
233 00:25:11,962 --> 00:25:22,557 讲者 SPEAKER_01：欢迎来自全国各地和世界各地的优秀新成员、优秀学生和杰出的教职员工，因为杰夫的胜利所带来的认可。
234 00:25:25,840 --> 00:25:27,122 讲者 SPEAKER_00：谢谢，格特莱尔校长。
235 00:25:27,603 --> 00:25:35,573 讲者 SPEAKER_00：我们现在回到 Hinton 教授，回答来自伊萨姆·艾哈迈德（AFP）的另一个问题。
236 00:25:36,074 --> 00:25:40,839 讲者 SPEAKER_00：他们问，您在人工智能领域接下来最感兴趣的领域是什么？
237 00:25:42,759 --> 00:25:49,054 说话人 SPEAKER_02：好吧，我 76 岁了，我相信我不会再进行太多前沿研究了。
238 00:25:49,294 --> 00:25:53,865 说话人 SPEAKER_02：我将把我的时间花在倡导人们关注安全上。
239 00:25:54,566 --> 00:25:59,537 说话人 SPEAKER_02：我认为有一些非常激动人心的前沿领域。
240 00:25:59,517 --> 00:26:04,548 说话人 SPEAKER_02：在机器人领域，在让 AI 擅长操作事物方面。
241 00:26:05,049 --> 00:26:12,788 讲者 SPEAKER_02：目前我们在那方面比计算机或人工神经网络要好得多，但那方面还将会有很多进步。
242 00:26:13,651 --> 00:26:17,339 讲者 SPEAKER_02：不过在那个领域可能需要更长的时间。
243 00:26:17,319 --> 00:26:22,246 讲者 SPEAKER_02：我也认为这些大型语言模型将会有很大的推理能力提升。
244 00:26:22,605 --> 00:26:29,713 讲者 SPEAKER_02：所以 OpenAI 的最新模型和谷歌的模型，如 Gemini 的最新版本，在推理能力上一直在提升。
245 00:26:30,715 --> 00:26:33,459 说话人 SPEAKER_02：我认为这将非常令人兴奋。
246 00:26:36,682 --> 00:26:39,326 说话人 SPEAKER_00：下一个问题来自维多利亚·吉布森。
247 00:26:39,346 --> 00:26:43,210 说话人 SPEAKER_00：她再次来自多伦多星报，这是给辛顿教授的问题。
248 00:26:43,492 --> 00:26:52,105 说话人 SPEAKER_00：她问道，您在人工智能可能出错的地方提供了一些具体的例子，比如网络攻击、虚假视频等等。
249 00:26:52,744 --> 00:26:57,872 说话人 说话人_00：你能分享一些更具体的例子来说明你认为它将如何发挥积极作用吗？
250 00:26:59,334 --> 00:26:59,755 说话人 说话人_02：哦，是的。
251 00:27:00,154 --> 00:27:07,424 说话人 说话人_02：所以如果你考虑像医疗保健这样的领域，安大略省预算的大部分都用于医疗保健。
252 00:27:08,536 --> 00:27:10,459 说话人 说话人_02：它可以在那里产生巨大的影响。
253 00:27:11,359 --> 00:27:18,829 讲者 SPEAKER_02：我实际上在 2016 年做出过一个预测，那就是到如今，人工智能将能够阅读放射科医生通常阅读的所有扫描。
254 00:27:19,391 --> 00:27:20,752 那个预测是错误的。
255 00:27:20,772 --> 00:27:22,255 我有点过于乐观了。
256 00:27:22,734 --> 00:27:26,180 可能还需要再过五年才会实现，但我们显然正在朝着这个方向前进。
257 00:27:26,980 --> 00:27:30,425 说话人 SPEAKER_02：人工智能在诊断方面将会更加出色。
258 00:27:30,645 --> 00:27:37,394 所以，对于难以诊断的病例，医生的正确率已经达到40%。
259 00:27:37,375 --> 00:27:41,022 医生和人工智能系统的正确率为50%。
260 00:27:42,066 --> 00:27:47,237 医生与人工智能系统的结合正确率可达60%，这是一个很大的提升。
261 00：27：47,817 --> 00：27：52,167 演讲者 SPEAKER_02：在北美，每年有数十万人死于诊断。
262 00：27：52,489 --> 00：27：55,214 演讲者 SPEAKER_02：有了人工智能，诊断会变得更好。
但真正会发生的事情是，你将拥有一个 AI 家庭医生，他看过一亿名患者，知道大量信息，并且将能够更好地处理你遇到的任何疾病，因为你的 AI 家庭医生已经看过许多类似的病例。
264 00:28:19,428 --> 00:28:21,251 演讲者 演讲者_00：谢谢，Hinton 教授。
265 00:28:21,973 --> 00:28:28,567 主持人：我们不再看到其他问题，但再次强调，我们还有时间再回答一两个问题。
266 00:28:28,587 --> 00:28:38,230 主持人：所以如果电话会议中有任何其他问题，我们再次邀请您在提问时说明您的姓名和您所代表的媒体机构。
267 00:28:38,210 --> 00:28:43,117 主持人：并在屏幕底部的问答框中打出这些问题。
268 00:28:43,137 --> 00:29:01,990 主持人：在我们等待最后几分钟的问题到来时，Hinton 教授，我们很好奇，今天在新闻发布会上，有没有我们没有涉及到的内容，或者有没有因为各种媒体的提问而遗漏的内容，您想在这里提及的吗？
269 00:29:03,151 --> 00:29:08,997 讲者 SPEAKER_02：嗯，我们只是简要提到了好奇心驱动的硏究在其中的作用。
270 00:29:09,657 --> 00:29:19,808 所以人工神经网络，基础工作几乎都是由大学硏究人员完成的，都是出于好奇心的驱使。
271 00:29:20,569 --> 00:29:23,113 而资助这种硏究非常重要。
272 00:29:23,633 --> 00:29:25,776 它并不像其他类型的硏究那样昂贵。
273 00:29:26,395 --> 00:29:32,482 说话人 SPEAKER_02: 嗯，但这为后来非常昂贵且涉及大量技术的项目奠定了基础。
274 00:29:35,500 --> 00:29:35,961 说话人 SPEAKER_00: 谢谢。
275 00:29:36,000 --> 00:29:44,315 说话人 SPEAKER_00: 我们这里还有来自多伦多星报的 Victoria Gibson 的一个问题，可能是对您之前关于医疗保健和人工智能的评论的后续提问。
276 00:29:44,796 --> 00:29:52,348 说话人 SPEAKER_00: 她说，为什么我们认为我们还没有达到您预测的人工智能在医疗保健中扮演更大角色的那个点呢？
277 00:29:52,930 --> 00:29:55,855 说话人 说话人_00：这件事发生还有障碍吗？
278 00:29:56,897 --> 00:30:01,573 说话人 说话人_02：一个障碍是医学界非常保守。
279 00:30:01,853 --> 00:30:02,977 说话人 说话人_02：这有很好的理由。
280 00:30:03,017 --> 00:30:08,493 说话人 说话人_02：如果你出错导致人死亡，那是个大问题
281 00:30:08,625 --> 00:30:13,534 讲者 SPEAKER_02：政策上要保守，但他们相对较慢地采用新技术。
282 00:30:14,355 --> 00:30:21,846 讲者 SPEAKER_02：另一个原因是，我之前关于 AI 系统在阅读扫描方面会比放射科医生更快的判断是错误的。
283 00:30:22,367 --> 00:30:27,276 讲者 SPEAKER_02：现在它们在许多不同类型的扫描中与放射科医生相当，在少数方面甚至更好。
284 00:30:27,256 --> 00:30:30,761 讲者 SPEAKER_02：我认为再过几年，它们肯定会比放射科医生更好。
285 00:30:31,061 --> 00:30:39,636 说话人 SPEAKER_02：我们将看到放射科医生和 AI 系统之间的合作，其中 AI 系统读取扫描图像，放射科医生检查 AI 系统是否出错。
286 00:30:40,397 --> 00:30:43,222 说话人 SPEAKER_02：过了一段时间后，AI 系统将几乎完成所有工作。
287 00:30:46,122 --> 00:30:46,782 说话人 SPEAKER_00：好的，太好了。
288 00:30:46,903 --> 00:30:48,325 说话人 SPEAKER_00：谢谢，Hinton 教授。
289 00:30:48,424 --> 00:30:52,009 演讲者 演讲者_00: 今天的问题环节到此结束。
290 00:30:52,029 --> 00:31:00,800 演讲者 演讲者_00: 所以在聊天框中，您会看到一个可以联系以获取额外问题的电子邮件地址。
291 00:31:01,942 --> 00:31:03,384 演讲者 演讲者_00: 您应该现在就能看到它弹出。
292 00:31:03,443 --> 00:31:08,871 演讲者 演讲者_00: 这个电子邮件地址是 media.relations@utoronto.ca。
293 00:31:08,891 --> 00:31:14,137 说话人 说话人_00：现在，我将邀请校长 Gertler 发表闭幕词。
294 00:31:15,957 --> 00:31:16,877 说话人 说话人_01：嗯，谢谢，Lisa。
295 00:31:17,258 --> 00:31:18,338 说话人 说话人_01：谢谢，Jeff。
296 00:31:18,358 --> 00:31:22,923 说话人 说话人_01：再次祝贺您取得这一伟大成就，诺贝尔奖。
297 00:31:22,963 --> 00:31:38,337 讲者 SPEAKER_01：我确信我代表整个多伦多大学社区，以及整个加拿大，还有你们在世界各地的众多朋友、同事和崇拜者，当我们说我们对您今天所获得的成就感到无比自豪时。
298 00:31:38,397 --> 00:31:43,784 讲者 SPEAKER_01：还要感谢今天所有来参加我们这次美好庆祝活动的人。
299 00:31:44,744 --> 00:31:45,204 讲者 SPEAKER_01：干杯。
