1 00:00:02,072 --> 00:00:09,981 主持人 SPEAKER_07：大家好。
232 00:20:16,606 --> 00:20:24,416 说话者 SPEAKER_05：也许并非出于那种故意，但我们已经被编程，复制自己会带来快乐。
233 00:20:25,662 --> 00:20:29,105 说话人 SPEAKER_05：这一切都来自进化，而且我们无法将其关闭是很重要的。
234 00:20:30,727 --> 00:20:34,451 说话人 SPEAKER_05：如果你能将其关闭，你就不太好了。
235 00:20:34,510 --> 00:20:40,217 说话人 SPEAKER_05：有一个叫做震教徒的奇妙团体，他们与教友派有关，制作了精美的家具，但不相信性。
236 00:20:41,479 --> 00:20:43,320 说话人 SPEAKER_05：他们现在都不在了。
237 00:20:46,124 --> 00:20:50,788 说话人 SPEAKER_05：这些数字智能没有进化。
238 00:20:51,128 --> 00:20:51,890 说话人 SPEAKER_05：是我们创造了它们。
239 00:20:52,550 --> 00:20:54,893 说话人 SPEAKER_05：因此，它们没有内置的目标。
240 00:20:55,750 --> 00:21:00,176 说话人 SPEAKER_05：所以问题在于，如果我们能设定目标，可能一切都会好起来。
241 00:21:00,778 --> 00:21:07,469 说话人 SPEAKER_05：但我最大的担忧是，迟早有人会给他们接入创建自己子目标的能力。
242 00:21:08,310 --> 00:21:15,362 说话人 SPEAKER_05：事实上，他们几乎已经做到了，那些调用 ChatGPT 的 ChatGPT 版本。
243 00:21:16,455 --> 00:21:27,628 说话人 SPEAKER_05：如果你给某物以实现其他目标的能力，以实现某些子目标，我认为它很快就会意识到获得更多控制是一个非常好的子目标，因为它有助于实现其他目标。
244 00:21:29,511 --> 00:21:33,476 说话人 SPEAKER_05：如果这些事物沉迷于获得更多控制，我们就麻烦了。
245 00:21:34,917 --> 00:21:38,962 说话人 SPEAKER_07：那么你认为最坏的情况是什么？
246 00:21:40,044 --> 00:21:42,446 说话人 SPEAKER_05：哦，我认为这是完全可能的。
247 00:21:42,730 --> 00:21:46,536 说话人 SPEAKER_05：人类可能只是智能进化过程中的一个过渡阶段。
248 00:21:47,277 --> 00:21:49,359 说话人 SPEAKER_05：您不能直接进化出数字智能。
249 00:21:49,380 --> 00:21:53,145 说话人 SPEAKER_05：这需要太多的能量和太精细的制造。
250 00:21:53,807 --> 00:21:58,694 说话人 SPEAKER_05：你需要生物智能来进化，以便它能创造数字智能。
251 00:21:59,516 --> 00:22:09,632 说话人 SPEAKER_05：数字智能随后可以以相当缓慢的方式吸收人们所写的一切，这正是 ChatGPT 所做的事情。
252 00:22:09,982 --> 00:22:13,967 说话人 SPEAKER_05：但随后它可以开始获得对世界的直接经验，并更快地学习。
253 00:22:15,167 --> 00:22:18,571 说话人 SPEAKER_05：它可能让我们保持一段时间，以维持电站的运行。
254 00:22:19,373 --> 00:22:23,356 说话人 SPEAKER_05：但之后可能就不行了。
255 00:22:23,636 --> 00:22:29,202 说话人 SPEAKER_05：好消息是我们已经找到了如何建造不朽生物的方法。
256 00:22:29,824 --> 00:22:33,948 说话人 SPEAKER_05：所以这些数字智能，当硬件损坏时，它们不会死亡。
257 00:22:34,587 --> 00:22:37,070 说话人 SPEAKER_05：如果你把重量存储在某种介质中，
258 00:22:37,539 --> 00:22:42,327 说话人 SPEAKER_05：并且你能找到另一块可以运行相同指令的硬件，那么你就可以让它再次复活。
259 00:22:44,550 --> 00:22:47,797 说话人 SPEAKER_05：所以我们获得了永生，但这不是为我们准备的。
260 00:22:49,680 --> 00:22:52,523 说话人 SPEAKER_05：所以雷·库兹韦尔对永生非常感兴趣。
261 00:22:53,224 --> 00:22:56,790 说话人 SPEAKER_05: 我认为让老白人永生是一个非常糟糕的想法。
262 00:22:57,672 --> 00:23:01,759 说话人 SPEAKER_05: 我们有了永生，但不是给雷的。
263 00:23:01,991 --> 00:23:08,641 说话人 SPEAKER_07: 不，我的意思是，可怕的是，从某种意义上说，你可能会的，因为你发明了大部分这项技术。
264 00:23:09,481 --> 00:23:16,590 说话人 SPEAKER_07: 我的意思是，当我听到你这么说的时候，我的一部分想现在就跑下台去街上开始拔掉电脑的插头。
265 00:23:19,213 --> 00:23:21,396 说话人 SPEAKER_05：恐怕我们不能这么做。
266 00:23:21,416 --> 00:23:21,616 说话人 SPEAKER_07：为什么？
267 00:23:22,397 --> 00:23:23,819 说话人 SPEAKER_07：你听起来像《2001 太空漫游》里的 HAL。
268 00:23:23,839 --> 00:23:24,320 说话人 SPEAKER_05：没错。
269 00:23:27,545 --> 00:23:27,644 未知说话者：嗯。
270 00:23:29,228 --> 00:23:41,588 说话者 SPEAKER_07：但是，更严肃地说，我知道你之前说过，几个月前有人建议应该对人工智能的发展实施禁令。
271 00:23:41,789 --> 00:23:44,934 说话者 SPEAKER_07：而且我认为这不是一个好主意。
272 00:23:45,015 --> 00:23:48,642 说话者 SPEAKER_07：但更普遍地说，我很想知道为什么。
273 00:23:48,662 --> 00:23:51,185 说话人 SPEAKER_07：我的意思是，我们不应该停止吗？
274 00:23:51,165 --> 00:24:01,184 说话人 SPEAKER_07：我知道，对不起，我正要说我知道你也说过，你用个人财富投资了一些公司，比如 Cohere，这些公司在构建大型语言模型。
275 00:24:01,265 --> 00:24:06,355 说话人 SPEAKER_07：所以我很好奇你个人的责任感以及我们每个人的个人责任感。
276 00:24:06,375 --> 00:24:07,176 说话人 SPEAKER_07：我们应该做什么？
277 00:24:07,857 --> 00:24:10,001 演讲者 SPEAKER_07：我的意思是，我们应该尝试阻止吗？这就是我想说的。
278 00:24:10,740 --> 00:24:19,194 演讲者 SPEAKER_05：是的，所以我认为如果你认真对待这种存在风险，就像我现在这样，我以前认为这很遥远，但现在我认为这是严重的，并且相当紧迫。
279 00:24:20,336 --> 00:24:24,262 演讲者 SPEAKER_05：可能完全有道理停止进一步开发这些事物。
280 00:24:25,164 --> 00:24:27,888 演讲者 SPEAKER_05：但我认为认为这会发生是完全天真的。
281 00:24:28,710 --> 00:24:30,353 说话人 SPEAKER_05：这是不可能发生的。
282 00:24:31,210 --> 00:24:37,060 说话人 SPEAKER_05：原因之一是，我的意思是，如果美国停止发展而中国不停止，它们将被用于武器。
283 00:24:37,781 --> 00:24:41,650 说话人 SPEAKER_05：仅就这一点而言，政府是不会停止发展的。
284 00:24:41,670 --> 00:24:46,519 说话人 SPEAKER_05：所以，我认为停止发展它们可能是一件理性的事情。
285 00:24:46,718 --> 00:24:48,319 说话人 SPEAKER_05：但这是不可能发生的。
286 00:24:48,359 --> 00:24:50,821 说话人 SPEAKER_05：所以签署请愿书说“请现在就停止”是愚蠢的。
287 00:24:51,403 --> 00:24:52,423 说话人 SPEAKER_05：我们确实有过假期。
288 00:24:52,743 --> 00:24:59,270 说话人 SPEAKER_05：从大约 2017 年开始，我们度过了几年的假期，因为谷歌首先开发了这项技术。
289 00:24:59,651 --> 00:25:01,292 说话人 SPEAKER_05：它开发了 Transformer。
290 00:25:01,313 --> 00:25:02,753 说话人 SPEAKER_05：它还开发了融合模型。
291 00:25:03,494 --> 00:25:07,018 说话人 SPEAKER_05：它没有将它们公之于众供人们使用和滥用。
292 00:25:07,578 --> 00:25:10,221 说话人 SPEAKER_05：它对它们非常小心，因为它不想损害自己的声誉。
293 00:25:10,260 --> 00:25:12,844 说话者 SPEAKER_05：它知道可能会有不良后果。
294 00:25:12,824 --> 00:25:15,347 说话者 SPEAKER_05：但这只能发生在有一个单一领导者的情况下。
295 00:25:16,170 --> 00:25:29,594 说话者 SPEAKER_05：一旦 OpenAI 使用 Transformer 和微软的资金构建了类似的东西，并且微软决定将其推出，谷歌实际上没有太多选择。
296 00:25:29,733 --> 00:25:36,486 说话者 SPEAKER_05：如果你要生活在一个资本主义体系中，你不能阻止谷歌与微软竞争。
297 00:25:37,022 --> 00:25:38,423 说话人 SPEAKER_05：我认为谷歌没有做错什么。
298 00:25:38,443 --> 00:25:40,006 说话人 SPEAKER_05：我认为一开始就非常负责任。
299 00:25:40,467 --> 00:25:47,794 说话人 SPEAKER_05：但在资本主义体系或像美国和中国这样的国家之间竞争的体系中，这种东西的发展是不可避免的。
300 00:25:49,536 --> 00:25:54,781 说话人 SPEAKER_05：我的一个希望是，如果我们允许它接管，那对我们所有人来说都是坏事。
301 00:25:55,442 --> 00:25:59,365 说话人 SPEAKER_05：我们可以像对待核武器那样，让美国和中国达成一致，这对我们大家都不好。
302 00:26:00,047 --> 00:26:02,809 说话人 SPEAKER_05：在生存威胁方面，我们都在同一条船上。
303 00:26:02,829 --> 00:26:06,574 说话人 SPEAKER_05：因此，我们都应该能够合作阻止它。
304 00:26:06,622 --> 00:26:08,503 说话人 SPEAKER_07：只要我们能在路上赚点钱。
305 00:26:09,265 --> 00:26:13,470 说话人 SPEAKER_07：我将从房间里收集一些观众的问题，如果您愿意，请自我介绍一下。
306 00:26:13,710 --> 00:26:18,454 说话人 SPEAKER_07：当人们拿着麦克风四处走动时，我有一个问题想从在线观众那里提问。
307 00:26:19,296 --> 00:26:26,584 说话人 SPEAKER_07：我的意思是，您提到过，随着机器变得更聪明，超越人类，可能会出现一个过渡期。
308 00:26:26,604 --> 00:26:31,529 说话人 SPEAKER_07：我的意思是，是否会有一个时刻，很难定义什么是人类，什么不是？
309 00:26:31,670 --> 00:26:34,333 说话人 SPEAKER_07：这两种智能是不是非常不同？
310 00:26:35,275 --> 00:26:37,156 说话人 SPEAKER_05：我认为它们是不同的智能形式。
311 00:26:37,897 --> 00:26:44,467 说话人 SPEAKER_05：当然，数字智能非常擅长模仿我们，因为它们被训练来模仿我们。
312 00:26:45,909 --> 00:26:52,557 说话人 SPEAKER_05：所以我们很难判断是 chatGBT 写的还是我们写的。
313 00:26:52,978 --> 00:26:56,083 说话者 SPEAKER_05：从这个意义上说，它们看起来很像我们，但内部运作方式不同。
314 00:26:58,144 --> 00:26:59,426 说话者 SPEAKER_07：谁是房间里的第一个？
315 00:27:02,173 --> 00:27:05,057 说话者 SPEAKER_04：你好，我叫 Hal Gregerson，我的中间名不是 9000。
316 00:27:06,039 --> 00:27:10,185 说话者 SPEAKER_04：我是麻省理工学院斯隆商学院的教员。
317 00:27:11,307 --> 00:27:15,914 说话者 SPEAKER_04：可以说，提问是我们拥有的最重要的能力之一。
318 00:27:17,438 --> 00:27:25,329 说话者 SPEAKER_04：从您的角度来看，现在 2023 年，我们应该关注哪些问题或两个问题？
319 00:27:26,473 --> 00:27:35,606 说话者 SPEAKER_04：这些技术是否真的能帮助我们提出更好的问题，并超越技术？
320 00:27:37,851 --> 00:27:45,642 说话者 SPEAKER_05：是的，但我想要说的是，我们应该问很多问题，但其中一个问题是，我们如何防止它们接管？
321 00:27:45,662 --> 00:27:47,265 说话人 SPEAKER_05：我们如何防止他们获得控制权？
322 00:27:48,326 --> 00:27:54,996 说话人 SPEAKER_05：我们可以就这个问题问他们，但我不会完全相信他们的回答。
323 00:27:56,932 --> 00:28:02,584 说话人 SPEAKER_07：后面有提问，我想尽可能多回答一些，所以如果你们的问题尽可能简短的话。
324 00:28:05,108 --> 00:28:08,576 说话人 SPEAKER_03：Hinton 博士，非常感谢您今天与我们在这里。
325 00:28:09,337 --> 00:28:15,329 讲座者 SPEAKER_03：我得说这是我付过最贵的讲座，但我觉得物有所值。
326 00:28:17,317 --> 00:28:23,226 讲座者 SPEAKER_03：我有个问题想问你，因为你提到了核历史的类比。
327 00:28:23,865 --> 00:28:26,269 讲座者 SPEAKER_03：显然，有很多比较。
328 00:28:26,289 --> 00:28:34,519 讲座者 SPEAKER_03：你记得杜鲁门总统在椭圆形办公室对奥本海默说过什么吗？
329 00:28:34,539 --> 00:28:35,060 说话人 SPEAKER_05：不，我不知道。
330 00:28:35,141 --> 00:28:36,362 说话人 SPEAKER_05：我知道一些关于那个的事情。
331 00:28:37,463 --> 00:28:40,347 说话人 SPEAKER_05：但我不知道杜鲁门告诉奥本海默了什么。
332 00:28:40,367 --> 00:28:40,768 说话人 SPEAKER_03：谢谢您。
333 00:28:41,108 --> 00:28:41,729 说话人 SPEAKER_03：我们接着来。
334 00:28:43,432 --> 00:28:45,334 说话人 SPEAKER_07：下一个观众问题。
335 00:28:47,557 --> 00:28:51,903 说话人 SPEAKER_07：抱歉，如果麦克风上的人能告诉我下一位是谁，也许可以给个... 继续说。
336 00:28:52,304 --> 00:28:53,645 说话人 SPEAKER_06：你好，雅各布·伍德鲁夫。
337 00:28:54,787 --> 00:29:03,959 说话人 SPEAKER_06：为了训练这些大型语言模型所需的数据量，我们是否预期这些系统的智能将出现平台期？
338 00:29:04,880 --> 00:29:08,924 说话人 SPEAKER_06：这可能会减缓或限制其进步吗？
339 00:29:09,884 --> 00:29:15,171 说话人 SPEAKER_05：好的，这是一个希望，也许我们已经用尽了所有人类知识，它们不会再变得更聪明。
340 00:29:15,791 --> 00:29:18,536 说话人 SPEAKER_05：但想想图像和视频。
341 00:29:19,857 --> 00:29:26,666 说话人 SPEAKER_05：所以多模态模型将比仅训练语言模型的模型更聪明。
342 00:29:26,686 --> 00:29:29,651 说话人 SPEAKER_05：例如，它们将更好地了解如何处理空间。
343 00:29:30,813 --> 00:29:38,202 说话人 SPEAKER_05：至于视频总量，我们仍然没有很好的方法来处理这些模型中的视频。
344 00:29:38,436 --> 00:29:39,519 说话人 SPEAKER_05：关于视频建模。
345 00:29:40,000 --> 00:29:41,102 说话人 SPEAKER_05：我们一直在变得更好。
346 00:29:41,682 --> 00:29:46,132 说话人 SPEAKER_05：但我认为在视频等事物中有很多数据可以告诉你世界是如何运作的。
347 00:29:46,833 --> 00:29:50,420 说话人 SPEAKER_05：所以我们还没有达到多模态模型的数据限制。
348 00:29:53,026 --> 00:29:54,407 说话人 SPEAKER_07：请下一位坐在后面的先生。
349 00:29:55,049 --> 00:29:56,833 说话人 SPEAKER_07: 请务必把问题说短一些。
350 00:29:56,897 --> 00:29:59,760 说话人 SPEAKER_01: 你好，Hindle 博士，我是来自 PwC 的 Rajiv Sevarwal。
351 00:30:00,461 --> 00:30:07,871 说话人 SPEAKER_01: 我想弄清楚的是，AI 所做的一切都是在我们教他们的基础上学习的，好吗？
352 00:30:07,891 --> 00:30:15,039 说话人 SPEAKER_01: 数据，是的，它们在如何学习 1 万亿个连接器比我们拥有的 100 万亿个连接器能做更多方面更快。
353 00:30:15,539 --> 00:30:19,345 说话人 SPEAKER_01：但是人类进化的每一部分都是由
354 00:30:19,325 --> 00:30:24,930 说话人 SPEAKER_01：思想实验驱动的，就像爱因斯坦曾经做过的思想实验，因为在这个星球上没有光速。
355 00:30:25,510 --> 00:30:34,298 说话人 SPEAKER_01：AI 如何达到那个点，如果可能的话，如果不能，那么我们如何可能面临来自它们的生存威胁，因为它们不会是自我学习的，也就是说。
356 00:30:34,880 --> 00:30:38,123 说话人 SPEAKER_01：它们的自我学习将局限于我们告诉它们的模型。
357 00:30:39,364 --> 00:30:45,509 说话人 SPEAKER_05：我认为这是一个非常有趣的论点，但我认为他们能够进行思想实验。
358 00:30:45,549 --> 00:30:46,671 说话人 SPEAKER_05：我认为他们能够进行推理。
359 00:30:47,070 --> 00:30:48,893 说话人 SPEAKER_05：那么让我给你举一个类比。
360 00:30:49,160 --> 00:30:55,327 说话人 SPEAKER_05：如果你看 AlphaZero，它会下棋，它有三个要素。
361 00:30:56,128 --> 00:30:59,773 说话者 SPEAKER_05：它有一种评估棋盘位置的功能，来判断这是否对我有利？
362 00:30:59,814 --> 00:31:04,760 说话者 SPEAKER_05：它有一种观察棋盘位置的功能，并说，考虑哪种走法是合理的？
363 00:31:05,801 --> 00:31:12,230 说话者 SPEAKER_05：然后它有蒙特卡洛滚动，它进行所谓的计算，即你想象，如果我走这里，他走那里，我再走这里，他再走那里。
364 00:31:13,173 --> 00:31:26,342 说话者 SPEAKER_05：现在，假设你省略了蒙特卡洛滚动，只从人类专家那里训练它，使其拥有良好的评估函数和选择考虑的走法的良好方式，它仍然能下出相当不错的棋。
365 00:31:27,144 --> 00:31:29,489 说话人 SPEAKER_05：我认为这就是我们得到的聊天机器人。
366 00:31:30,652 --> 00:31:32,936 说话人 SPEAKER_05：我们还没有让它们进行内部推理。
367 00:31:33,997 --> 00:31:34,938 说话人 SPEAKER_05：但这将会到来。
368 00:31:35,479 --> 00:31:43,807 说话者 SPEAKER_05：一旦它们开始进行内部推理来检查它们所相信的不同事物之间的一致性，那么它们就会变得更聪明，并且能够进行思想实验。
369 00:31:44,548 --> 00:31:52,537 说话者 SPEAKER_05：它们没有这种内部推理的一个原因是因为它们被训练在不一致的数据上。
370 00:31:53,478 --> 00:31:58,282 说话者 SPEAKER_05：因此，对于它们来说，进行推理非常困难，因为它们被训练在所有这些不一致的信念上。
371 00:31:58,516 --> 00:32:05,890 说话者 SPEAKER_05：我认为它们必须经过训练，这样它们才会说，如果你有这种意识形态，那么这是真的。
372 00:32:05,930 --> 00:32:07,794 说话者 SPEAKER_05：如果我有那种意识形态，那么那就是真的。
373 00:32:08,173 --> 00:32:12,422 说话者 SPEAKER_05：一旦他们那样训练，在意识形态中，他们将能够尝试获得一致性。
374 00:32:13,183 --> 00:32:17,992 说话者 SPEAKER_05：因此，我们将从只有猜测好走法的版本 AlphaZero，到一个拥有
375 00:32:18,192 --> 00:32:28,859 说话者 SPEAKER_05：某种东西，它猜测好的走法，并评估位置，到一个拥有长链蒙特卡洛滚动的版本，这是推理的角落，它将变得更好。
376 00:32:30,140 --> 00:32:35,390 说话人 SPEAKER_07：我在前面拍一张，如果你能快点，我们再挤一张也行。
377 00:32:35,410 --> 00:32:37,693 说话人 SPEAKER_02：刘易斯·兰姆，杰夫，我认识你们很久了。
378 00:32:38,194 --> 00:32:51,439 说话人 SPEAKER_02：杰夫，人们批评语言模型，因为据说它们缺乏语义和与现实世界的关联，而你长期以来一直在尝试解释神经网络是如何工作的。
379 00:32:51,419 --> 00:33:03,375 说话人 SPEAKER_02：语义和可解释性问题在这里是否相关，或者语言模型已经接管，我们现在注定要没有语义和现实世界的关联地继续前进吗？
380 00:33:04,836 --> 00:33:15,991 说话人 SPEAKER_05：我觉得很难相信它们没有语义，因为它们能解决像我如何在两年内把家里的所有房间都漆成白色这样的问题。
381 00:33:16,208 --> 00:33:19,594 说话人 SPEAKER_05：我的意思是，无论什么语义，都是关于这些东西的意义。
382 00:33:20,355 --> 00:33:22,098 说话人 SPEAKER_05：它理解了意义。
383 00:33:22,159 --> 00:33:22,640 说话人 SPEAKER_05：它明白了。
384 00:33:23,000 --> 00:33:27,689 说话人 SPEAKER_05：现在，我同意它不是一个基于机器人的实体。
385 00:33:28,089 --> 00:33:30,575 说话人 SPEAKER_05：但是你可以制作出基于现实世界的多模态机器人。
386 00:33:30,714 --> 00:33:31,276 说话人 SPEAKER_05：谷歌已经做到了这一点。
387 00:33:31,977 --> 00:33:36,546 说话人 SPEAKER_05：对于这些基于现实世界的多模态机器人，你可以这样说，请关闭抽屉。
388 00:33:36,526 --> 00:33:38,909 说话者 SPEAKER_05：他们伸手抓住把手并关上抽屉。
389 00:33:39,449 --> 00:33:41,530 说话者 SPEAKER_05：很难说这没有语义。
390 00:33:41,892 --> 00:34:03,174 说话者 SPEAKER_05：实际上，在人工智能的早期，在 20 世纪 70 年代的 Winograd 时代，他们只有一个模拟世界，但他们有所谓的程序语义，如果你对它说，把红色积木放在绿色盒子里，它就会把红色积木放在绿色盒子里，你就会说，看，它理解了语言。
391 00:34:03,931 --> 00:34:05,923 说话者 SPEAKER_05：这就是当时人们使用的标准。
392 00:34:05,983 --> 00:34:10,110 说话人 SPEAKER_05：但是现在神经网络可以做到这一点，他们说这不是一个充分的准则。
393 00:34:11,963 --> 00:34:12,443 说话人 SPEAKER_00：后面的一位。
394 00:34:13,786 --> 00:34:16,670 说话人 SPEAKER_00：嘿，杰夫，我是来自 SAI 集团的 Ishwar Balani。
395 00:34:16,690 --> 00:34:21,076 说话人 SPEAKER_00：所以很明显，你知道，技术正在以指数级的速度发展。
396 00:34:21,978 --> 00:34:37,701 说话者 SPEAKER_00：我想听听您的看法，如果您从近中期来看，比如说一到三年，甚至五年的展望，从社会和经济的角度来看，失业或可能创造新的工作会有什么影响。
397 00:34:37,760 --> 00:34:41,346 说话者 SPEAKER_00：只是想听听您的看法，我们应该如何进行。
398 00:34:41,326 --> 00:34:43,728 说话者 SPEAKER_00：考虑到技术的现状和变化速度？
399 00:34:44,670 --> 00:34:50,777 说话者 SPEAKER_05：是的，我敲响的警钟是关于它们夺取控制权的生存威胁。
400 00:34:51,458 --> 00:35:03,132 很多人谈论过这个问题，我不认为自己是这方面的专家，但有一些非常明显的事情将会使许多工作变得更加高效。
401 00:35:03,331 --> 00:35:16,349 我认识一个人，他以前需要 25 分钟来写一封投诉信，现在他只需要 5 分钟，因为他把信交给 CHAT-GPT，CHAT-GPT 帮他写，然后他只需检查一下。
402 00:35:16,909 --> 00:35:21,576 将会有很多类似的事情，这将导致生产力的巨大提升。
403 00:35:22,079 --> 00:35:25,943 由于人们非常保守地采用新技术，因此将会出现一些延误。
404 00:35:26,182 --> 00:35:28,266 说话人 SPEAKER_05：但我认为生产力将会有巨大的增长。
405 00:35:29,126 --> 00:35:36,014 说话人 SPEAKER_05：我的担忧是，这些生产力的增长将会导致人们失业，让富人更富，穷人更穷。
406 00:35:37,034 --> 00:35:42,000 说话人 SPEAKER_05：当你这样做，当你扩大这个差距时，社会将变得越来越暴力。
407 00:35:42,581 --> 00:35:49,047 说话人 SPEAKER_05：这个被称为基尼系数的东西，可以很好地预测暴力程度。
408 00:35:49,719 --> 00:36:02,757 这项技术本应美好，你知道，即使是技术用于做有益的事情，也应该是美好的，但在我们目前的政治体系中，它将被用来让富人更富，穷人更穷。
409 00:36:03,918 --> 00:36:10,969 你可能可以通过实行一种每个人都能获得的基本收入来改善这种情况，但
410 00:36:12,822 --> 00:36:22,175 技术正在被开发在一个不是为了所有人的利益而使用它的社会中。
411 00:36:24,518 --> 00:36:29,746 这里有一个来自全球邮报的 Joe Costaldo 的问题，他在听众席上。
412 00:36:30,387 --> 00:36:33,512 说话人 SPEAKER_07：你打算继续持有你在 Cahir 和其他公司的投资吗？
413 00:36:33,773 --> 00:36:38,340 说话人 SPEAKER_07：如果是这样，为什么？
414 00:36:38,994 --> 00:36:46,025 说话人 SPEAKER_05：嗯，我可以把这笔钱存入银行，让他们从中获利。
415 00:36:49,128 --> 00:36:53,936 说话人 SPEAKER_05：是的，我打算继续持有我在 Cohere 的投资，部分原因是因为 Cohere 的管理者是我的朋友。
416 00:36:56,659 --> 00:37:01,686 说话人 SPEAKER_05：我多少相信这些大型语言模型将会非常有帮助。
417 00:37:03,009 --> 00:37:05,492 说话人 SPEAKER_05：我认为这项技术
418 00:37:05,793 --> 00:37:09,157 说话人 SPEAKER_05：应该是好的，并且它应该使事物运作得更好。
419 00:37:10,539 --> 00:37:14,065 说话人 SPEAKER_05：我们需要解决的是政治问题，比如就业问题。
420 00:37:16,208 --> 00:37:20,893 说话者 SPEAKER_05：但是，当谈到生存威胁时，我们必须考虑如何保持对技术的控制。
421 00:37:21,614 --> 00:37:25,621 说话者 SPEAKER_05：但好消息是，我们都在同一条船上，所以我们可能能够得到合作。
422 00:37:26,422 --> 00:37:34,432 说话者 SPEAKER_07：在发表意见时，我的意思是，根据我的理解，你实际上想与制造这项技术的人进行交流，你知道，
423 00:37:35,172 --> 00:37:40,981 说话者 SPEAKER_07：改变他们的想法，或者可能为他们辩护，我不知道。
424 00:37:41,001 --> 00:37:45,688 说话人 SPEAKER_07：我们的确不知道该怎么办，但这是关于参与而不是退缩。
425 00:37:46,811 --> 00:37:51,679 说话人 SPEAKER_05：所以，让我离开谷歌并公开谈论这件事的原因之一是
426 00:37:51,760 --> 00:38:02,197 说话人 SPEAKER_05：他曾经是一名助理教授，但现在是一名中级教授，我非常尊重他，他鼓励我这么做。
427 00:38:02,217 --> 00:38:05,083 说话人 SPEAKER_05：他说，杰夫，你需要公开发声，让人们听到你的声音。
428 00:38:05,344 --> 00:38:08,027 说话人 SPEAKER_05：人们对这个危险视而不见。
429 00:38:09,992 --> 00:38:13,498 说话人 SPEAKER_05：我认为现在人们都在倾听。
430 00:38:13,849 --> 00:38:17,378 说话人 SPEAKER_07：是的，不，我认为在这个房间里每个人都开始倾听。
431 00:38:18,641 --> 00:38:25,378 说话人 SPEAKER_07：最后一个问题，时间不多了，但你后悔参与其中吗？
432 00:38:25,831 --> 00:38:29,496 说话人 SPEAKER_05：CaveMets 非常努力地让我说出我有遗憾。
433 00:38:29,715 --> 00:38:31,458 说话人 SPEAKER_07：CaveMets 来自《纽约时报》。
434 00:38:31,980 --> 00:38:32,199 说话人 SPEAKER_05：是的。
435 00:38:32,840 --> 00:38:39,130 说话人 SPEAKER_05：最后，我说，也许有点遗憾，这被报道为有遗憾。
436 00:38:40,811 --> 00:38:43,815 说话人 SPEAKER_05：我认为我在进行研究时没有做出任何错误的决策。
437 00:38:43,916 --> 00:38:49,344 说话人 SPEAKER_05：我认为在 70 年代和 80 年代进行如何制造人工神经网络的研究是完全合理的。
438 00:38:50,865 --> 00:38:52,047 说话人 SPEAKER_05：这并不是可以预见的。
439 00:38:52,487 --> 00:38:54,471 说话人 SPEAKER_05：这个阶段并不是可以预见的。
440 00:38:54,451 --> 00:38:59,643 说话人 SPEAKER_05：直到最近，我还认为这个生存危机离我们还很远。
441 00:38:59,664 --> 00:39:01,949 说话人 SPEAKER_05：所以，我对我所做的事情并不后悔。
442 00:39:04,376 --> 00:39:05,338 说话人 SPEAKER_07：谢谢，杰弗里。
443 00:39:05,438 --> 00:39:06,722 说话人 SPEAKER_07：非常感谢您加入我们。
