1 00:00:04,232 --> 00:00:05,354 主持人 SPEAKER_12：感谢介绍。
238 00:20:44,173 --> 00:20:50,522 说话人 SPEAKER_12：按照指令级别准确执行，并且消耗大量能量。
239 00:20:55,490 --> 00:21:01,318 说话人 SPEAKER_12：如果拥有生物神经网络，或者拥有两个具有完全不同架构的数字网络，我们就使用蒸馏。
240 00:21:04,323 --> 00:21:07,448 说话人 SPEAKER_12：但它的带宽要低得多，所以如果你有一个
241 00:21:07,984 --> 00:21:12,548 说话人 SPEAKER_12：一个拥有万亿连接的数字模型，它们都去查看一些数据，然后平均它们的权重。
242 00:21:12,589 --> 00:21:17,755 说话人 SPEAKER_12：当它们平均权重变化时，那就是正在传递的万亿比特。
243 00:21:18,756 --> 00:21:26,222 说话人 SPEAKER_12：当你尝试预测我说的话，当你尝试改变权重以预测这句话时，那最多只有几百比特。
244 00:21:27,344 --> 00:21:30,626 说话人 SPEAKER_12：如果你是卡尔，那大约只有两个比特，因为他本来就知道我要说什么。
245 00:21:34,049 --> 00:21:35,612 说话人 SPEAKER_02：所以带宽要低得多。
246 00:21:37,988 --> 00:21:39,288 说话人 SPEAKER_02：到目前为止的故事是这样的。
247 00:21:41,270 --> 00:21:43,493 说话人 SPEAKER_12：有两种非常不同的计算方式。
248 00:21:44,654 --> 00:21:50,520 说话人 SPEAKER_12：它们主要的区别在于不同智能体之间如何传递知识。
249 00:21:51,541 --> 00:21:53,344 说话人 SPEAKER_12：在数字计算中，你使用权重共享。
250 00:21:54,684 --> 00:21:58,209 说话人 SPEAKER_12：而且你拥有巨大的带宽来共享每个智能体学到的知识。
251 00:21:58,990 --> 00:22:05,717 说话人 SPEAKER_12：在生物计算中，如果你利用硬件的模拟特性，可以非常低功耗。
252 00:22:06,202 --> 00:22:09,086 说话人 SPEAKER_02：但现在共享知识是一个缓慢而痛苦的过程。
253 00:22:13,633 --> 00:22:15,295 说话人 SPEAKER_02：现在让我们看看大型语言模型。
254 00:22:16,896 --> 00:22:19,760 说话人 SPEAKER_12：因为现在每个 AI 演讲最终都要涉及到大型语言模型。
255 00:22:22,064 --> 00:22:22,805 说话人 SPEAKER_12：它们非常有趣。
256 00:22:23,165 --> 00:22:24,647 说话人 SPEAKER_12：它们使用数字计算。
257 00:22:25,087 --> 00:22:29,453 说话人 SPEAKER_12：所以当它在学习时，会在不同的计算机上运行同一组权重的许多不同副本。
258 00:22:30,174 --> 00:22:31,636 说话人 SPEAKER_12：并且它们都会查看互联网的不同部分。
259 00:22:32,308 --> 00:22:39,439 说话人 SPEAKER_12：这使得它们能够看到大量数据并整合所有这些知识，因为它们可以共享所学到的内容。
260 00:22:40,299 --> 00:22:47,770 说话人 SPEAKER_12：因此，如果你看大型语言模型，它们大约有 1000 万亿个权重，它们知道的可能是我们任何一个人的 1000 倍。
261 00:22:48,050 --> 00:22:49,413 说话人 SPEAKER_12：他们好像什么都知道。
262 00:22:49,653 --> 00:22:54,119 说话人 SPEAKER_12：GPT-4 大概知道所有可能的、合理的事情。
263 00:22:55,241 --> 00:23:01,911 说话人 SPEAKER_12：现在我们有万亿个连接，所以我们有百倍多的连接。
264 00:23:02,886 --> 00:23:06,451 说话人 SPEAKER_12：所以我们实际上并没有使用全部的这种能力。
265 00:23:07,453 --> 00:23:09,036 说话人 SPEAKER_12：但我们看不到足够的数据。
266 00:23:09,777 --> 00:23:12,661 说话人 SPEAKER_12：如果我们能从其他人那里获取知识，也许我们可以全部利用。
267 00:23:13,281 --> 00:23:22,255 说话人 SPEAKER_12：但他们有 1,000 倍的知识在 1%的连接中，这某种程度上证实了他们的论点，他们有一个更好的学习算法。
268 00:23:22,454 --> 00:23:31,627 说话人 SPEAKER_12：反向传播与不同代理之间这种简单的通信相结合，意味着他们基本上拥有一个更好的学习算法。
269 00:23:33,126 --> 00:23:37,696 说话人 SPEAKER_12：现在，它正在被用来窃取我们所有的知识。
270 00:23:39,881 --> 00:23:43,509 说话人 SPEAKER_12：抱歉，偷这个词不恰当，尤其是在当前的政治背景下。
271 00:23:43,528 --> 00:23:47,998 说话人 SPEAKER_12：它是通过蒸馏来获取我们的知识。
272 00:23:48,398 --> 00:23:50,763 说话人 SPEAKER_12：所以这些可以分享知识的数字代理
273 00:23:51,419 --> 00:23:56,546 说话人 SPEAKER_12：每个代理在尝试从网络获取知识时，都在使用蒸馏来获取知识。
274 00:23:56,566 --> 00:24:03,015 说话人 SPEAKER_12：它在查找人们说过的话，并试图改变其方式，以便它也能说出同样的话，这不是一种很有效率的获取知识的方式。
275 00:24:03,776 --> 00:24:08,542 说话人 SPEAKER_12：但是有很多这样的代理，我们运行了很长时间。
276 00:24:09,364 --> 00:24:16,834 说话人 SPEAKER_12：因此，它基本上可以在几个月内在很多计算机上学习到人们所知道的一切。
277 00:24:18,696 --> 00:24:21,240 说话人 SPEAKER_12：它甚至使用了一种低效的蒸馏形式。
278 00:24:21,810 --> 00:24:27,876 说话人 SPEAKER_12：因为如果你观察大量替代类别的教师概率，蒸馏是非常高效的。
279 00:24:31,701 --> 00:24:39,750 说话人 SPEAKER_12：当数字模型从网络上的文档中获取知识时，网络上的文档就是教师。
280 00:24:40,089 --> 00:24:44,214 说话人 SPEAKER_12：他们只是查看作者接下来生成的单词。
281 00:24:44,535 --> 00:24:46,317 说话人 SPEAKER_12：他们看不到整个分布。
282 00:24:46,718 --> 00:24:48,118 说话人 SPEAKER_12：如果他们能看到，他们可以学得更快。
283 00:24:48,619 --> 00:24:51,262 说话人 SPEAKER_12：但他们只能看到从那个分布中随机选择的部分。
284 00:24:51,462 --> 00:24:52,784 说话人 SPEAKER_02：但这已经足够好，他们可以学习了。
如果这些大型数字神经网络在多台不同的计算机上运行，并且它们能直接从世界中获取知识，那么它们可能能够更快地获取知识。
例如，如果它们预测视频中的下一帧，如果它们带着头上的摄像头四处走动并尝试预测视频中的下一帧，
或者如果它们得到一个机械臂并尝试预测当它们移动手臂时会发生什么，它们可能能够更快地学习。
因此，大型语言模型在学习相当抽象的东西方面做得很好，这是有益的，但它们的带宽并不大，因为它们只是从低带宽的单词序列中学习。
289 00:25:32,336 --> 00:25:37,962 说话人 SPEAKER_12：我怀疑这些大型模型会变得更好。
290 00:25:38,502 --> 00:25:40,885 说话人 SPEAKER_12：我们知道，如果你让它们多模态，它们会变得更好。
291 00:25:41,287 --> 00:25:45,311 说话人 SPEAKER_12：所以 GPT-4 不仅用文字训练，还用图像。
292 00:25:45,915 --> 00:25:47,877 说话人 SPEAKER_12：有可能谷歌也在做同样的事情。
293 00:25:53,163 --> 00:26:05,656 说话人 SPEAKER_12：我认为，尤其是当它们是多模态的时候，它们能学到比我们多得多的东西。
294 00:26:07,097 --> 00:26:09,560 说话人 SPEAKER_12：如果你玩玩 GPT-4，
295 00:26:10,367 --> 00:26:14,213 说话人 SPEAKER_12：很难不相信它已经很聪明了。
296 00:26:15,336 --> 00:26:23,166 说话人 SPEAKER_12：所以我非常尊重的人，比如 Yann LeCun，他们认为它实际上并不理解它在说什么。
297 00:26:24,048 --> 00:26:28,695 说话人 SPEAKER_12：但我不明白他怎么能相信这一点，因为你可以给它一些小谜题。
298 00:26:29,297 --> 00:26:38,130 说话人 SPEAKER_12：如果它真的不理解，如果它只是做自动补全的随机鹦鹉，我看不出它怎么能解决它从未见过的形式的谜题。
299 00:26:38,936 --> 00:26:41,118 说话人 SPEAKER_12：所以我有一个在符号 AI 领域的朋友。
300 00:26:42,240 --> 00:26:46,724 说话人 SPEAKER_12：他叫 Hector Levesque。
301 00:26:47,105 --> 00:26:48,365 说话人 SPEAKER_12：他很有正直感。
302 00:26:48,405 --> 00:26:50,367 说话人 SPEAKER_12：所以他不想总是改变目标。
303 00:26:51,348 --> 00:26:54,031 说话人 SPEAKER_12：他现在非常惊讶他们能这样做。
304 00:26:54,112 --> 00:26:56,534 说话人 SPEAKER_12：他承认他对神经网络能这样做感到非常惊讶。
305 00:26:56,773 --> 00:27:02,480 说话人 SPEAKER_12：他无法理解这样一个愚蠢的方法如何处理推理，一点点的推理。
306 00:27:03,421 --> 00:27:05,923 说话人 SPEAKER_12：所以他让我给 GPT-4 出一个问题。
307 00:27:06,358 --> 00:27:09,465 说话人 SPEAKER_12：因为我知道它能够处理他的问题，所以我把问题设置得更难了。
308 00:27:10,428 --> 00:27:17,001 说话人 SPEAKER_12：然后我把这个问题给了它，我家的房间被漆成白色、蓝色或黄色。
309 00:27:19,387 --> 00:27:21,511 说话人 SPEAKER_12：黄色油漆一年后变成白色。
310 00:27:22,914 --> 00:27:25,000 说话人 SPEAKER_12：两年后，我希望它们都变成白色。
311 00:27:25,259 --> 00:27:26,021 说话人 SPEAKER_12：我应该做什么？
312 00:27:27,519 --> 00:27:30,544 说话人 SPEAKER_12：你会说，你应该把蓝色的房间漆成白色。
313 00:27:32,125 --> 00:27:40,134 说话人 SPEAKER_12：但如果你是数学家，你可能会说应该把蓝色房间涂成黄色，因为这把它简化成了一个已经解决的问题，因为你知道黄色会变成白色。
314 00:27:41,416 --> 00:27:43,819 说话人 SPEAKER_12：而且 GBT4 实际上给了数学家一个解决方案。
315 00:27:43,859 --> 00:27:45,080 说话人 SPEAKER_12：它说把蓝色房间涂成黄色。
316 00:27:46,643 --> 00:27:49,385 说话人 SPEAKER_12：但问题是，我看不出他是如何做到这一点的，除非他理解了。
317 00:27:49,826 --> 00:27:54,152 说话人 SPEAKER_12：还有许多其他事情，你让它写代码生成图表，它就能生成图表。
318 00:27:54,757 --> 00:27:57,384 说话人 SPEAKER_12：所以我搞不懂 Jan 怎么会认为他们不懂。
319 00:27:57,423 --> 00:28:02,217 说话人 SPEAKER_02：他现在可能正在反方向地讲课。
320 00:28:08,153 --> 00:28:08,714 说话人 SPEAKER_02：嗯。
321 00:28:09,843 --> 00:28:14,867 说话人 SPEAKER_12：这让我相信这些事物可能比我们更智能，而且可能很快就会发生。
322 00:28:15,269 --> 00:28:19,752 说话人 SPEAKER_12：我一直认为这可能是 50 到 100 年，或者 30 到 100 年，或者 30 到 50 年。
323 00:28:20,193 --> 00:28:21,915 说话人 SPEAKER_12：我认为我在不同时间说过不同的话。
324 00:28:23,356 --> 00:28:25,239 说话人 SPEAKER_12：但现在我相信可能是 5 到 20 年。
325 00:28:25,740 --> 00:28:27,161 说话人 SPEAKER_12：我认为这将会很快发生。
326 00:28:27,741 --> 00:28:33,768 说话人 SPEAKER_12：如果它将在五年后发生，我们不能仅仅让哲学家来决定如何处理它。
327 00:28:34,388 --> 00:28:38,532 说话人 SPEAKER_12：是我们真正获得一些实践经验的时候了。
328 00:28:39,086 --> 00:28:49,316 说话人 SPEAKER_12：所以我认为，好吧，让我完成这个幻灯片，人们将无法抗拒为这些事物设定目标。
329 00:28:49,636 --> 00:28:51,218 说话人 SPEAKER_12：显然，你想做事情，你就给他们设定目标。
330 00:28:52,118 --> 00:28:56,182 说话人 SPEAKER_12：如果你想擅长实现目标，你就给他们创造子目标的能力。
331 00:28:57,884 --> 00:29:08,554 说话人 SPEAKER_12：一旦你有了创造子目标的能力，如果你聪明，你就会意识到一个非常好的子目标是获得更多的控制，因为这有助于你实现所有其他目标。
332 00:29:09,412 --> 00:29:12,596 说话人 SPEAKER_12：所以我会给你一个例子，让你看到自己在做这件事。
333 00:29:13,277 --> 00:29:14,919 说话人 SPEAKER_12：你坐在一个非常无聊的研讨会上。
334 00:29:15,099 --> 00:29:16,060 说话人 SPEAKER_12：不是这个。
335 00:29:16,642 --> 00:29:17,623 说话人 SPEAKER_12：一个非常无聊的研讨会。
336 00:29:18,203 --> 00:29:20,226 说话人 SPEAKER_12：你看到天花板上的一小块光。
337 00:29:20,866 --> 00:29:21,969 说话人 SPEAKER_12：你可能会想，那是啥？
338 00:29:22,569 --> 00:29:24,531 说话人 SPEAKER_12：然后你听了一会儿无聊的研讨会。
339 00:29:24,551 --> 00:29:26,914 说话人 SPEAKER_12：然后你注意到当你移动时，光线也在移动。
340 00:29:27,576 --> 00:29:30,019 说话人 SPEAKER_12：然后你意识到那是太阳从你的手表上反射的光。
341 00:29:30,881 --> 00:29:32,061 说话人 SPEAKER_12：那么接下来你做什么？
342 00:29:32,583 --> 00:29:34,105 说话人 SPEAKER_12：你说，好吧，我已经解决了那个问题。
343 00:29:34,125 --> 00:29:34,905 说话人 SPEAKER_12：我现在知道那是什么了。
344 00:29:35,205 --> 00:29:36,448 说话人 SPEAKER_12：我要去听那个研讨会。
345 00:29:36,868 --> 00:29:37,950 说话人 SPEAKER_12：不，你这么做是不对的。
346 00:29:38,538 --> 00:29:40,279 说话人 SPEAKER_12：如果你这么做，你就不是真正的科学家了。
347 00:29:41,461 --> 00:29:45,345 说话人 SPEAKER_12：接下来你要做的是，哦，我想知道我该如何让它那样移动？
348 00:29:45,365 --> 00:29:46,586 说话人 SPEAKER_12：还有我该如何让它这样移动？
349 00:29:46,906 --> 00:29:49,990 说话人 SPEAKER_12：然后你尝试找出如何旋转手腕使其向不同方向移动。
350 00:29:50,490 --> 00:29:52,313 说话人 SPEAKER_12：一旦你做到了，就回去听讲座。
351 00:29:53,693 --> 00:29:57,818 说话人 SPEAKER_12：我们有一种非常强烈和合理的欲望去控制事物。
352 00:29:58,259 --> 00:30:06,147 说话人 SPEAKER_12：因为显然，如果你能控制事物，那么在未来某个时刻你需要移动聚光灯时，你就会知道如何去做。
353 00:30:06,922 --> 00:30:12,411 说话人 SPEAKER_12：我看不清楚我们如何阻止一个超级智能想要控制事物。
354 00:30:13,932 --> 00:30:17,097 说话人 SPEAKER_12：然后这有点棘手。
355 00:30:17,939 --> 00:30:22,125 你可能会想象你可以将其隔离，这样它实际上就不能按下红色按钮或拉动大杠杆。
356 00:30:22,946 --> 00:30:28,695 但如果它能输出文本，那么它就可以操纵人们。
357 00:30:28,715 --> 00:30:33,604 说话人 SPEAKER_12：结果如果你想在华盛顿入侵一栋建筑，你只需要能够输出文字。
358 00:30:34,141 --> 00:30:38,207 说话人 SPEAKER_12：你可以说服那些轻信的人，通过入侵这栋建筑来拯救民主。
359 00:30:39,347 --> 00:30:42,633 说话人 SPEAKER_12：而这东西将会比我们更聪明。
360 00:30:43,314 --> 00:30:49,162 说话人 SPEAKER_12：所以只要我们在阅读它所说的，它就像是美杜莎，你需要避开它的眼睛。
361 00:30:50,282 --> 00:30:53,728 说话人 SPEAKER_12：只要你在阅读它所说的内容，它就能操纵你。
362 00:30:54,608 --> 00:30:57,834 说话人 SPEAKER_12：这让我非常沮丧。
363 00:30:58,535 --> 00:31:03,961 说话人 SPEAKER_12：我希望有一个简单的解决方案，但我没有。
364 00:31:04,532 --> 00:31:22,480 说话人 SPEAKER_12：所以当我改变主意，关于这些事物变得超级智能的速度，以及实际上数字智能比生物智能好多少，我一直以为情况相反，我决定至少大喊一声“失火了”。
365 00:31:22,981 --> 00:31:28,109 说话人 SPEAKER_12：我不知道该怎么办，也不知道该往哪个方向走，但我们必须要认真对待这个问题。
366 00:31:28,951 --> 00:31:32,717 说话人 SPEAKER_12：而且有很多人比我更早地考虑过这些风险。
367 00:31:33,355 --> 00:31:34,696 说话人 SPEAKER_12：并且提出了各种建议。
368 00:31:36,099 --> 00:31:39,065 说话人 SPEAKER_12：我还没有看到过一个真正可行的方案，关于我们如何控制它。
369 00:31:39,145 --> 00:31:52,630 说话人 SPEAKER_12：但我最好的猜测是，开发这些技术的公司应该被迫在开发过程中以及在其比我们更聪明之前，投入大量工作来检查其安全性。
370 00:31:53,166 --> 00:31:57,771 说话人 SPEAKER_12：因此，他们应该投入相似的工作量来观察它试图摆脱你的控制的方式。
371 00:31:58,752 --> 00:32:09,144 说话人 SPEAKER_12：因为任何编写过计算机程序的人都知道，仅仅理论思考和想象与实际尝试相比并不很好。
372 00:32:09,163 --> 00:32:12,268 说话人 SPEAKER_12：当你尝试时，它们的表现往往是你没有预料到的。
373 00:32:13,107 --> 00:32:15,971 说话人 SPEAKER_12：你以为的大问题实际上并不是问题。
374 00:32:16,632 --> 00:32:19,275 说话人 SPEAKER_12：所以，对于很多人来说，很多年，
375 00:32:19,626 --> 00:32:24,055 说话人 SPEAKER_12：很多人没有研究神经网络，因为他们认为会陷入局部最优。
376 00:32:25,157 --> 00:32:27,481 说话人 SPEAKER_12：结果他们从未真正检查过这一点是否属实。
377 00:32:27,541 --> 00:32:28,805 说话人 SPEAKER_12：他们只是假设它是真的。
378 00:32:29,346 --> 00:32:29,866 说话人 SPEAKER_12：但这不是真的。
379 00:32:30,607 --> 00:32:34,414 说话人 SPEAKER_12：即使它是真的，也会有很好的局部最小值，所以没关系。
380 00:32:35,136 --> 00:32:36,318 说话人 SPEAKER_12：但实际上并不是真的。
381 00:32:37,160 --> 00:32:42,450 说话人 SPEAKER_12：我们需要对这些东西进行实际操作，了解它们如何尝试逃脱，以及如何控制它们。
382 00:32:43,132 --> 00:32:51,607 说话人 SPEAKER_12：如果他们有一个，并且能够控制它，那么我更相信他们告诉我如何控制它们，而不是他们只是在理论化。
383 00:32:55,556 --> 00:32:56,096 说话人 SPEAKER_02：所以...
384 00:32:57,493 --> 00:32:57,835 说话人 SPEAKER_02：是的。
如果我们不再是智能的顶峰，他们可能还会需要我们一段时间，因为我们功耗很低，所以我们可以非常便宜地运行计算，就像挖沟渠那样的智力工作，并且我们可以保持电站运行。
386 00:33:14,825 --> 00:33:17,887 发言人 SPEAKER_12：但他们可能设计出比我们更好的计算机。
他们当然可以某种程度地重新设计神经元，并从基因上改造它们，创造出比我们更好的东西。
388 00:33:23,813 --> 00:33:28,557 发言人 SPEAKER_12：所以我的结论是，也许我们只是智慧进化的一个过渡阶段。
389 00:33:29,617 --> 00:33:32,380 说话人 SPEAKER_12：实际上，这可能对所有其他物种都有好处。
390 00:33:35,482 --> 00:33:40,586 说话人 SPEAKER_12：我认为如果我们能控制好它们，它们将具有巨大的价值。
391 00:33:40,626 --> 00:33:44,190 说话人 SPEAKER_12：尽管存在所有这些风险，人们仍然会继续开发这些东西的原因是，
392 00:33:44,692 --> 00:33:46,234 说话人 SPEAKER_12：因为它能带来巨大的好处。
393 00:33:46,815 --> 00:33:55,064 发言人 SPEAKER_12：就像在医学上一样，你难道不想去看一位看过一亿病人的全科医生吗，其中还包括数千名患有你这种罕见疾病的患者？
394 00:33:55,324 --> 00:33:56,484 发言人 SPEAKER_12：这样会好得多。
您难道不想能够进行一次 CT 扫描，从中提取比任何医生都知道可以提取的信息多得多的信息吗？
396 00:34:08,717 --> 00:34:13,063 Speaker SPEAKER_12：所以我已经到了最后，而且我设法以足够快的速度到达那里
397 00:34:13,431 --> 00:34:16,295 说话人 SPEAKER_12：我可以谈论一些非常不可靠的事情。
398 00:34:16,315 --> 00:34:16,576 说话人 SPEAKER_12：好的。
399 00:34:17,697 --> 00:34:22,704 说话人 SPEAKER_12：所以这是严肃的事情，好的？
400 00:34:24,326 --> 00:34:26,409 说话人 SPEAKER_12：你需要担心这些事情会失控。
401 00:34:27,030 --> 00:34:32,838 说话人 SPEAKER_12：如果你年轻，想研究神经网络，看看你能否想出一种方法来确保它们不会获得控制权。
402 00:34:34,179 --> 00:34:36,842 说话人 SPEAKER_12：现在，很多人相信这一点。
403 00:34:39,186 --> 00:34:39,385 说话人 SPEAKER_12：是的。
404 00:34:40,186 --> 00:34:42,190 说话人 SPEAKER_12：很多人相信这一点。
405 00:34:42,608 --> 00:34:53,867 说话人 SPEAKER_12：我们不必担心的一个原因是，这些事物没有主观经验，或者意识，或者你想要称之为的东西。
406 00:34:54,628 --> 00:34:56,210 说话人 SPEAKER_12：这些事物只是愚蠢的计算机。
407 00:34:56,391 --> 00:35:04,465 说话人 SPEAKER_12：它们可以操作符号，可以做事情，但它们实际上没有真正的经验，所以它们不像我们。
408 00:35:06,840 --> 00:35:16,518 说话人 SPEAKER_12：现在，我强烈建议，如果你有一个好名声，你可以说一件疯狂的事情，你可以逃脱惩罚，人们甚至会认真听你说话。
409 00:35:17,639 --> 00:35:20,465 说话人 SPEAKER_12：所以我才让你一直听到这里。
410 00:35:21,346 --> 00:35:25,032 说话人 SPEAKER_12：但是如果你说两件疯狂的事情，人们就会说他疯了，就不会听了。
411 00:35:25,974 --> 00:35:27,938 说话人 SPEAKER_02：所以我并不期待你听下一部分。
412 00:35:33,065 --> 00:35:42,097 说话人 SPEAKER_12：所以人们确实有一种倾向，认为自己是特别的，就像我们是按照上帝的形象创造的，所以他当然把我们放在宇宙的中心。
413 00:35:44,561 --> 00:35:53,954 说话人 SPEAKER_12：许多人认为人类还有一些数字计算机不可能拥有的特殊之处，那就是我们拥有主观体验。
414 00:35:55,556 --> 00:35:58,701 说话人 SPEAKER_12：他们认为这就是我们不必担心的原因之一。
415 00:35:59,474 --> 00:36:01,936 说话人 SPEAKER_12：我不确定是否真的有很多人这样认为。
416 00:36:02,438 --> 00:36:06,402 说话人 SPEAKER_12：所以我向 ChatGPT 询问人们是怎么想的，它告诉我这就是他们的看法。
417 00:36:10,208 --> 00:36:11,509 说话人 SPEAKER_12：实际上挺好的。
418 00:36:11,528 --> 00:36:12,590 说话人 SPEAKER_12：我的意思是，这挺好的。
419 00:36:13,311 --> 00:36:15,894 说话人 SPEAKER_12：这可能是一个 N 为 1 亿的数据量，对吧？
420 00:36:17,175 --> 00:36:19,338 说话人 SPEAKER_12：我必须说，大家怎么看？
421 00:36:22,204 --> 00:36:25,690 说话人 SPEAKER_12：我现在将尝试削弱意识防御。
422 00:36:26,713 --> 00:36:32,804 说话人 SPEAKER_12：我认为人并没有什么特别之处，除了他们非常复杂，非常奇妙，而且对其他人来说非常有趣。
423 00:36:37,534 --> 00:36:44,786 说话人 SPEAKER_12：所以如果你是一位哲学家，你可以把我归类为丹尼尼克阵营。
424 00:36:48,697 --> 00:36:55,186 说话人 SPEAKER_12：我认为人们完全误解了心灵、意识以及主观体验的本质。
425 00:36:56,047 --> 00:37:08,322 说话人 SPEAKER_12：假设我刚刚服用了大量的 LSD，现在我看到了一些粉红色的小象。
426 00:37:10,005 --> 00:37:13,608 说话人 SPEAKER_12：我想告诉你们我的感知系统正在发生什么。
427 00:37:14,668 --> 00:37:19,056 说话人 SPEAKER_12：所以我会说，我有一种主观体验，一个小粉红色的小象在我面前飘浮。
428 00:37:19,958 --> 00:37:21,481 说话人 SPEAKER_12：让我们来分析一下这意味着什么。
429 00:37:22,744 --> 00:37:25,969 说话人 SPEAKER_12：我所做的是试图告诉您我的感知系统正在发生什么。
430 00:37:27,952 --> 00:37:34,625 说话人 SPEAKER_12：而我这样做的方式并不是通过告诉您神经元 52 高度活跃，因为这对您没有任何好处。
431 00:37:34,644 --> 00:37:37,150 说话人 SPEAKER_12：实际上，我也不知道这一点。
432 00:37:38,057 --> 00:37:47,333 说话人 SPEAKER_12：但我们有这样的想法，世界上有事物，有正常感知，即世界上的事物以正常的方式产生感知。
433 00:37:47,373 --> 00:37:55,525 说话人 SPEAKER_12：现在我有一种感知，我可以告诉你，在这个世界上需要有什么样的情况，才能使这成为正常感知的结果。
434 00:37:56,628 --> 00:38:02,918 说话人 SPEAKER_12：在这个世界上需要有什么样的情况，才能使这成为正常感知的结果，那就是粉红色的小象在周围飘浮。
435 00:38:04,027 --> 00:38:14,623 说话人 SPEAKER_12：所以当我说我有粉红色小象的主观体验时，并不是说有一个由被称为“质料”的有趣物质构成的内景剧场，里面有粉红色的小象。
436 00:38:15,423 --> 00:38:16,266 说话人 SPEAKER_12：根本不是那样的。
437 00:38:16,286 --> 00:38:17,306 说话人 SPEAKER_12：这完全错了。
438 00:38:18,329 --> 00:38:23,635 说话人 SPEAKER_12：我正试图通过正常感知的概念来告诉你我的感知系统。
439 00:38:24,536 --> 00:38:31,166 说话人 SPEAKER_12：我说的是，这里发生的事情如果是由于有小粉象的话，就会是正常的感知。
440 00:38:31,670 --> 00:38:36,596 说话人 SPEAKER_12：但小粉象有趣的地方不在于它们是由质料构成的，并且存在于内在世界中。
441 00:38:36,976 --> 00:38:40,340 说话人 SPEAKER_12：他们有趣的地方在于它们是反事实的。
442 00:38:40,360 --> 00:38:41,541 说话人 SPEAKER_12：但它们存在于现实世界中。
443 00:38:42,382 --> 00:38:45,847 说话人 SPEAKER_12：或者说，它们并不存在于现实世界中，但它们是可能存在的事物。
444 00:38:46,989 --> 00:38:50,612 说话人 SPEAKER_12：因此，它们不是由内在剧院中的神秘物质构成的。
445 00:38:51,393 --> 00:38:54,077 说话人 SPEAKER_12：它们是由一个完全正常的世界中的反事实材料制成的。
446 00:38:55,059 --> 00:38:59,905 说话人 SPEAKER_12：这就是我认为人们在谈论主观体验时正在发生的事情。
447 00:39:01,505 --> 00:39:08,074 说话人 SPEAKER_12：从这个意义上说，我认为这些模型可以有主观体验。
448 00:39:08,115 --> 00:39:10,159 说话人 SPEAKER_12：那么，让我们假设我们创建一个多模态模型。
449 00:39:11,340 --> 00:39:12,682 说话人 SPEAKER_12: 它就像 GPT-4。
450 00:39:12,983 --> 00:39:14,204 说话人 SPEAKER_12: 它有一个摄像头，比如说。
451 00:39:15,387 --> 00:39:22,458 说话人 SPEAKER_12: 当它没在看的时候，我不知道你是怎么做到的，但当它没在看的时候，你就在摄像头前放一个棱镜。
452 00:39:22,958 --> 00:39:24,240 说话人 SPEAKER_12: 但它不知道有棱镜这回事。
453 00:39:26,264 --> 00:39:28,507 说话人 SPEAKER_12：现在你把它放在前面。
454 00:39:29,230 --> 00:39:31,492 说话人 SPEAKER_12：你说，物体在哪里？
455 00:39:32,373 --> 00:39:33,536 说话人 SPEAKER_12：它说，物体在那里。
456 00:39:33,976 --> 00:39:34,818 说话人 SPEAKER_12：假设它可以指向。
457 00:39:34,938 --> 00:39:35,739 说话人 SPEAKER_12：它说，物体在那里。
458 00:39:36,719 --> 00:39:37,621 说话人 SPEAKER_12：你说，你错了。
459 00:39:37,681 --> 00:39:41,947 说话人 SPEAKER_12：它说，嗯，我主观上感觉物体在那里。
460 00:39:41,967 --> 00:39:42,728 说话人 SPEAKER_12：你说，没错。
461 00:39:42,748 --> 00:39:46,974 说话者 SPEAKER_12：你在那里感受到了物体的主观体验，但实际上是因为我在你的镜头前放了一个棱镜。
462 00:39:48,315 --> 00:39:51,840 说话者 SPEAKER_12：我认为这就是我们用来描述人的主观体验的相同用法。
463 00:39:53,143 --> 00:39:57,128 说话者 SPEAKER_12：我还有一个例子来证明人类并没有什么特别之处。
464 00:39:57,967 --> 00:40:09,530 说话者 SPEAKER_12：假设我正在和一个聊天机器人交谈，我突然意识到聊天机器人认为我是一个少女。
465 00:40:10,893 --> 00:40:17,766 Speaker SPEAKER_12: 有各种线索表明这一点，比如聊天机器人告诉我有关名叫 Beyonce 的人，我从未听说过。
466 00:40:19,804 --> 00:40:21,447 Speaker SPEAKER_12: 还有很多关于化妆的其他东西。
467 00:40:23,210 --> 00:40:24,150 Speaker SPEAKER_12: 对不起，我没这么说。
468 00:40:26,333 --> 00:40:27,215 Speaker SPEAKER_02: 你必须非常小心。
469 00:40:29,438 --> 00:40:37,309 说话人 SPEAKER_12：所以我可以问这个聊天机器人，你认为我是哪种人群？
470 00:40:37,771 --> 00:40:39,612 说话人 SPEAKER_12：它会说，你是个少女。
471 00:40:40,875 --> 00:40:42,757 说话人 SPEAKER_12：这将是它认为我是少女的更多证据。
472 00:40:43,038 --> 00:40:49,407 说话人 SPEAKER_12：我可以回顾对话，看看它是如何误解了我说的某些话，这就是为什么它认为我是少女。
473 00:40:50,027 --> 00:41:03,572 说话人 SPEAKER_12：我的说法是，当我说聊天机器人认为我是少女时，使用“认为”这个词和我说你认为我应该在进入真正奇怪的内容之前停止讲座时使用“认为”这个词是一样的。
474 00:41:05,777 --> 00:41:08,061 说话人 SPEAKER_12：好吧，这就是我想说的全部了。
475 00:41:09,545 --> 00:41:10,786 说话人 SPEAKER_13：我们将尝试。
