1 00:00:00,318 --> 00:00:05,626 早上好，下午好，晚上好，取决于你在世界的哪个地方。
223 00:25:40,308 --> 00:25:44,174 Speaker SPEAKER_01: It means something like, she hit him over the head with the frying pan.  
224 00:25:44,194 --> 00:25:48,059 Speaker SPEAKER_01: Now, maybe that's just the Western culture I live in where people do things like that.  
225 00:25:50,262 --> 00:25:54,288 讲者 SPEAKER_01: 但你可以从一句话中很好地理解一个词的意义。
226 00:25:55,315 --> 00:25:56,876 讲者 SPEAKER_01: 你不需要成千上万的例子。
227 00:25:57,699 --> 00:26:05,190 讲者 SPEAKER_01: 这就是使用自上而下的预测作为提取自下而上的教师的吸引力所在。
228 00:26:05,549 --> 00:26:07,573 讲者 SPEAKER_01: 你可以从一个或几个例子中学习。
229 00:26:09,876 --> 00:26:11,159 演讲者 SPEAKER_01：同样的事情也发生在视觉中。
230 00:26:12,480 --> 00:26:16,767 演讲者 SPEAKER_01：更全局的上下文可以预测你在图像的一部分应该看到什么。
231 00:26:17,868 --> 00:26:23,938 演讲者 SPEAKER_01：这种自上而下的预测允许你训练你的神经网络提取你应该在那里看到的内容。
232 00:26:29,015 --> 00:26:35,025 演讲者 SPEAKER_01：所以多年来，我一直在尝试以这种方式训练浅层自动编码器的堆栈。
233 00:26:35,425 --> 00:26:41,016 Speaker SPEAKER_01: I returned to it about once every five years, and it's just recently started working.  
234 00:26:43,239 --> 00:26:44,761 Speaker SPEAKER_01: The reason it doesn't work easily  
235 00:26:46,143 --> 00:26:52,813 Speaker SPEAKER_01: is because you can easily make a top-down prediction agree with what you extract bottom-up by making both of them be zero.  
236 00:26:53,713 --> 00:27:01,365 Speaker SPEAKER_01: So the objective function that says make top-down predictions and things you extract bottom-up agree is not a very good objective function.  
237 00:27:01,384 --> 00:27:03,949 讲者 SPEAKER_01：这会导致事物螺旋向零发展。
238 00:27:04,907 --> 00:27:11,295 讲者 SPEAKER_01：自下而上的预测总是会低于自上而下的预测，抱歉，是自下而上的提取总是会低于自上而下的预测。
239 00:27:11,836 --> 00:27:14,077 讲者 SPEAKER_01：如果你不确定，这是最小化平方误差的最佳方法。
240 00:27:14,679 --> 00:27:17,922 讲者 SPEAKER_01：你尝试交叉熵误差。
241 00:27:17,942 --> 00:27:20,085 讲者 SPEAKER_01: 你低估了你试图预测的事物。
242 00:27:20,765 --> 00:27:25,349 讲者 SPEAKER_01: 但自上而下的预测也会尝试低估自下而上的提取。
243 00:27:25,990 --> 00:27:27,553 讲者 SPEAKER_01: 因此你得到了这两种表示。
244 00:27:27,633 --> 00:27:29,134 讲者 SPEAKER_01: 每个都在学习低估另一个。
245 00:27:29,694 --> 00:27:33,378 讲者 SPEAKER_01：这是一个螺旋下降的过程，最终变成零。
246 00:27:37,425 --> 00:27:44,553 讲者 SPEAKER_01：很久以前，我和我的一个学生提出了一种避免这种情况的方法，那就是使用一个更好的定义来描述两个事物如何达成一致。
247 00:27:44,593 --> 00:27:54,563 讲者 SPEAKER_01：不是说要它们相等，而是说它们应该相对于在不同训练案例中的变化程度相似。
248 00:27:55,784 --> 00:28:04,512 讲者 SPEAKER_01：所以在特定的训练案例中，你希望神经网络某一部分的从下而上的预测与从上而下的预测达成一致。
249 00:28:04,662 --> 00:28:07,684 Speaker SPEAKER_01: the thing you extract bottom up to agree with the top-down prediction from the layer above.  
250 00:28:09,607 --> 00:28:15,253 Speaker SPEAKER_01: But you'd like it to disagree with the top-down predictions on other cases, on other training cases.  
251 00:28:15,835 --> 00:28:17,896 Speaker SPEAKER_01: In other words, you don't want it to be a trivial agreement.  
252 00:28:18,538 --> 00:28:20,980 Speaker SPEAKER_00: You want it to be an agreement that's specific to that case.  
253 00:28:26,988 --> 00:28:30,872 讲者 讲者_00：所以我将回到那种训练方式
254 00:28:32,624 --> 00:28:37,613 讲者 讲者_01：在我讨论了另一种无监督学习方式之后，我将介绍浅层自编码器的堆叠。
255 00:28:40,857 --> 00:28:45,326 讲者 讲者_01：这是对自编码器和生成模型的一种激进替代方案。
256 00:28:46,428 --> 00:28:54,260 讲者 讲者_01：我们不是试图解释感官输入的每一个细节，而是将重点放在提取空间或时间上连贯的属性上。
257 00:28:58,477 --> 00:29:02,001 讲者：与自编码器不同，这使我们能够忽略噪声。
258 00:29:02,643 --> 00:29:06,469 讲者：如果有一些像素完全是噪声，它们并不真正有趣。
259 00:29:07,611 --> 00:29:12,178 讲者：如果你试图重建数据，你必须对这些像素进行编码，以便你可以重建它们。
260 00:29:13,460 --> 00:29:18,667 讲者：但如果你只是寻找空间上或时间上连贯的事物，而它们并不连贯，你就可以忽略它们。
261 00:29:21,090 --> 00:29:25,377 讲者 SPEAKER_01：So Becker 和 Hinton 介绍了一种提取空间上连贯属性的方法。
262 00:29:26,944 --> 00:29:40,704 想法是最大化从两个非重叠输入块中提取的表示之间的显式互信息。
263 00:29:40,724 --> 00:29:56,749 如果 A 和 B 是我们从两个块中提取的标量变量，那么 A 和 B 之间的互信息，一种表达方式是 A 和 B 之差的方差的对数减去 A 和 B 之和的方差的对数。
264 00:29:57,791 --> 00:30:08,186 所以这意味着你希望 A 和 B 变化很大，并且在不同的训练案例中非常不同，但在相同的训练案例中，你希望 A 和 B 非常相似。
265 00:30:09,449 --> 00:30:18,061 讲者 SPEAKER_01：所以 A 减去 B 的方差与给定训练案例中 A 减去 B 的方差相比，与 A 加上 B 在训练案例中的方差。
266 00:30:20,184 --> 00:30:23,508 讲者 SPEAKER_01：如果 A 和 B 是向量，你可以将其推广。
267 00:30:24,108 --> 00:30:43,890 讲者 SPEAKER_01：因此，推广到 A 减去 B 的协方差矩阵行列式的对数减去 A 加上 B 的协方差矩阵行列式的对数。我们尝试在一个简单的例子中应用这种方法，这个例子是由 Jules 发明的随机点立体图所启发。
268 00:30:44,931 --> 00:30:48,314 讲者 SPEAKER_01：所以你取一个图像，然后只填充随机点。
269 00:30:48,334 --> 00:30:49,955 讲者 SPEAKER_01: 所以它没有结构。
270 00:30:50,627 --> 00:30:56,617 讲者 SPEAKER_01: 然后你取另一张图片，将其变成第一张图片的平移版本，水平平移版本。
271 00:30:57,799 --> 00:31:02,728 讲者 SPEAKER_01: 所以图像对中唯一的结构就是两张图像之间的平移。
272 00:31:03,910 --> 00:31:06,073 讲者 SPEAKER_01: 现在我们很久以前使用的是非常小的计算机。
273 00:31:06,673 --> 00:31:11,582 Speaker SPEAKER_01: So we just took a one-dimensional strip from the left image and a one-dimensional strip from the right image.  
274 00:31:12,865 --> 00:31:15,588 Speaker SPEAKER_01: And we scattered random dots on the left image  
275 00:31:16,008 --> 00:31:19,834 Speaker SPEAKER_01: And then we looked at the right image, which is a translated version of the left image.  
276 00:31:20,394 --> 00:31:29,969 Speaker SPEAKER_01: And you can see that if you look at two neighboring patches of the image, then they have the same disparity.  
277 00:31:30,430 --> 00:31:32,553 讲者 SPEAKER_01：左右条带的偏移量是相同的。
278 00:31:34,375 --> 00:31:43,990 讲者 SPEAKER_01：所以如果你训练一个神经网络，让它观察左侧块提取一个变量，然后你训练这个神经网络的副本来观察右侧块并提取一个变量，
279 00:31:45,083 --> 00:31:47,846 讲者 SPEAKER_01：唯一的空间一致性属性是视差。
280 00:31:48,507 --> 00:31:49,867 讲者 SPEAKER_01：所以他们需要提取的就是这个。
281 00:31:50,449 --> 00:31:51,369 Speaker SPEAKER_01: And indeed that works.  
282 00:31:54,492 --> 00:32:02,301 Speaker SPEAKER_01: We got it to work on that simple case and also on a number of more complicated cases where it deals with curved surfaces and discontinuities in the surfaces and so on.  
283 00:32:03,583 --> 00:32:10,550 Speaker SPEAKER_01: But there's a very nasty problem with that way of getting things to agree by maximizing mutual information.  
284 00:32:12,151 --> 00:32:15,034 Speaker SPEAKER_01: It's making the assumption that the variables are Gaussian distributed.  
285 00:32:15,895 --> 00:32:22,983 讲者 SPEAKER_01：这个假设如果你只学习线性映射，如果你优化线性函数，就不会引起太多问题。
286 00:32:23,644 --> 00:32:27,469 讲者 SPEAKER_01：但是一旦你优化非线性函数，就会引起一些不好的事情发生。
287 00:32:29,412 --> 00:32:34,176 讲者 SPEAKER_01：这些问题最容易被通过观察另一种做同样事情的方法来可视化。
288 00:32:34,198 --> 00:32:38,782 讲者 SPEAKER_00：所以我将花一些时间来描述这种方法。
289 00:32:41,799 --> 00:32:53,372 Speaker SPEAKER_01: So local linear embedding, which was published by Saul and Roris in Science in 2000, and has lots of citations, displays high dimensional data in a two dimensional map.  
290 00:32:54,452 --> 00:32:58,477 Speaker SPEAKER_01: It forces points that are close together in high D to be close to each other in the map.  
291 00:32:59,738 --> 00:33:04,542 Speaker SPEAKER_01: And it prevents the whole map from collapsing by enforcing a global covariance constraint.  
292 00:33:05,703 --> 00:33:10,028 Speaker SPEAKER_01: It says that the covariance of all the map points should be the identity matrix.  
293 00:33:10,048 --> 00:33:11,470 Speaker SPEAKER_01: In other words, they have to be spread out.  
294 00:33:13,188 --> 00:33:20,577 Speaker SPEAKER_01: Now, when you do that, that global constraint that the covariance ought to be the identity matrix, it sounds innocuous.  
295 00:33:20,657 --> 00:33:24,262 Speaker SPEAKER_01: It sounds like it would just spread the data out, but it does terrible things.  
296 00:33:25,724 --> 00:33:29,871 Speaker SPEAKER_01: And it's getting over those terrible things that will be the main content of the rest of this talk.  
297 00:33:32,474 --> 00:33:35,719 Speaker SPEAKER_01: So if you look at the representations  
298 00:33:36,998 --> 00:33:46,106 Speaker SPEAKER_01: produced by LLE, that is the locations where it puts images of digits in a 2D map.  
299 00:33:46,126 --> 00:33:50,230 Speaker SPEAKER_01: The 2D map looks like this, where the colors are the classes of the digits.  
300 00:33:51,313 --> 00:33:54,756 Speaker SPEAKER_01: And you'll see that it has not found the natural classes.  
301 00:33:55,717 --> 00:34:06,448 Speaker SPEAKER_01: In fact, you'll see some weird things, like you've got long strings of data that are basically one-dimensional rather than two-dimensional.  
302 00:34:07,491 --> 00:34:08,713 Speaker SPEAKER_01: They're almost one dimensional.  
303 00:34:09,414 --> 00:34:12,099 Speaker SPEAKER_01: And these long strings are almost orthogonal to one another.  
304 00:34:12,860 --> 00:34:14,503 Speaker SPEAKER_01: It's not at all what we wanted it to do.  
305 00:34:14,543 --> 00:34:23,199 Speaker SPEAKER_01: It's doing something else, but it's doing that other thing because it's cheating on that identity covariance constraint.  
306 00:34:23,259 --> 00:34:26,985 Speaker SPEAKER_01: It's achieving the constraint by using a method that we didn't intend.  
307 00:34:29,547 --> 00:34:32,590 Speaker SPEAKER_01: So here's what's happened if you use a method that doesn't cheat.  
308 00:34:33,132 --> 00:34:36,617 Speaker SPEAKER_01: This is a method called t-SNE that's based on a method called SNE.  
309 00:34:36,657 --> 00:34:39,920 Speaker SPEAKER_01: And SNE is based on trying to fix what was wrong with LLE.  
310 00:34:41,342 --> 00:34:49,034 Speaker SPEAKER_01: And you can see there's enough information in the input intensities of the digits to find the natural clusters.  
311 00:34:50,755 --> 00:34:52,918 Speaker SPEAKER_01: So the colors here correspond to different digit classes.  
312 00:34:53,440 --> 00:34:57,626 Speaker SPEAKER_01: And you can see that it finds pretty good clusters.  
313 00:34:57,646 --> 00:34:59,367 Speaker SPEAKER_00: So what went wrong with LLE?  
314 00:35:03,989 --> 00:35:13,679 Speaker SPEAKER_01: Well, it's that that global covariance constraint can be achieved whilst not really achieving what you wanted it for.  
315 00:35:15,661 --> 00:35:24,471 Speaker SPEAKER_01: And to explain that, I'm gonna go back to a technique that came before SNE and was motivated by LLE, and it's called linear relational embedding.  
316 00:35:25,431 --> 00:35:30,536 Speaker SPEAKER_01: It was work done by Alberto Pacanaro and me in 2000 or 2001.  
317 00:35:31,867 --> 00:35:36,815 Speaker SPEAKER_01: And it's the first place I know where people used a contrastive loss to stop things from collapsing.  
318 00:35:38,117 --> 00:35:49,876 Speaker SPEAKER_01: So what we were trying to do is produce embeddings for vectors and embeddings for matrices so that we could use vectors and matrices to model relational data.  
319 00:35:51,958 --> 00:35:57,367 Speaker SPEAKER_01: We would have a bunch of relational facts like the mother of John is Victoria.  
320 00:35:58,951 --> 00:36:09,003 Speaker SPEAKER_01: And what we wanted to do was learn a vector J to represent John and a vector V to represent Victoria and a matrix M to represent mother of.  
321 00:36:10,146 --> 00:36:20,820 Speaker SPEAKER_01: So that when we multiplied mother of by John to get MJ, we will get a vector that was close to Victoria and far from all the other vectors.  
322 00:36:22,322 --> 00:36:23,422 Speaker SPEAKER_01: So we want MJ.  
323 00:36:25,798 --> 00:36:29,762 Speaker SPEAKER_01: to be closer to V than to the vectors representing other objects.  
324 00:36:30,903 --> 00:36:33,206 Speaker SPEAKER_01: Our objective function looks like this.  
325 00:36:36,150 --> 00:36:47,422 Speaker SPEAKER_01: The first term says the vector that we get when we multiply J by N should be similar to the vector for V. And we're measuring the squared distance between them.  
326 00:36:48,682 --> 00:36:55,570 Speaker SPEAKER_01: The second term says that for all vectors, in particular all other vectors K,  
327 00:36:57,034 --> 00:37:12,039 Speaker SPEAKER_01: the vector that we get for mj should be far away from k. And the thing about expressing it like that is, it's no good just making one of the vectors be very far away.  
328 00:37:13,561 --> 00:37:19,532 Speaker SPEAKER_01: As soon as one of the vectors k is very far away from mj, that squared term will be very big.  
329 00:37:20,221 --> 00:37:26,248 Speaker SPEAKER_01: And because it's e to the minus that squared term, the overall term will be practically zero.  
330 00:37:26,688 --> 00:37:28,251 Speaker SPEAKER_01: So it won't really contribute to that sum.  
331 00:37:28,610 --> 00:37:31,193 Speaker SPEAKER_01: And there's no point making k any further away from mj.  
332 00:37:31,974 --> 00:37:36,579 Speaker SPEAKER_01: What you need to do is take the k's that are close to mj and make those further away.  
333 00:37:37,061 --> 00:37:38,081 Speaker SPEAKER_01: They're the real competition.  
334 00:37:41,505 --> 00:37:48,894 Speaker SPEAKER_01: So what the second term does is try to push the wrong answers away, but only those wrong answers that are close.  
335 00:37:50,342 --> 00:37:52,726 Speaker SPEAKER_01: And that's much better than this global covariance constraint.  
336 00:37:53,065 --> 00:37:59,514 Speaker SPEAKER_01: The global covariance constraint will be perfectly happy if you made one wrong answer a very big distance away.  
337 00:37:59,554 --> 00:38:03,398 Speaker SPEAKER_01: And that's what's causing those one-dimensional strings to be strung out.  
338 00:38:07,282 --> 00:38:13,931 Speaker SPEAKER_01: Now it turns out that linear relational embedding and its cost function can be turned into stochastic neighbor embedding.  
339 00:38:14,572 --> 00:38:19,657 Speaker SPEAKER_01: So this is work I did with Sam Roweis to overcome the problems of linear,  
340 00:38:20,143 --> 00:38:21,206 Speaker SPEAKER_01: local linear embedding.  
341 00:38:23,088 --> 00:38:29,056 Speaker SPEAKER_01: And the way you turn linear relational embedding into cascade neighbor embedding is to say there only is one relation.  
342 00:38:29,737 --> 00:38:30,840 Speaker SPEAKER_01: There's only one matrix.  
343 00:38:31,380 --> 00:38:33,302 Speaker SPEAKER_01: It's the identity matrix.  
344 00:38:33,322 --> 00:38:36,789 Speaker SPEAKER_01: And all we want to do is make one vector similar to another vector.  
345 00:38:37,869 --> 00:38:41,695 Speaker SPEAKER_01: But I'm going to tell you which other vectors each vector should be similar to.  
346 00:38:47,324 --> 00:38:49,947 Speaker SPEAKER_00: So what I'm going to do is take some high dimensional data  
347 00:38:52,088 --> 00:38:55,650 Speaker SPEAKER_01: And I'm gonna look at the distances between pairs of data points.  
348 00:38:57,012 --> 00:39:07,521 Speaker SPEAKER_01: I'm gonna say the data points that are close together are similar, but I'm gonna measure that similarity by e to the minus the squared distance between the data points.  
349 00:39:11,286 --> 00:39:14,969 Speaker SPEAKER_01: And so I'm gonna turn proximity into probability.  
350 00:39:16,130 --> 00:39:17,451 Speaker SPEAKER_00: And then I'm gonna throw away the data.  
351 00:39:17,471 --> 00:39:19,193 Speaker SPEAKER_01: I'm just gonna hang on to those probabilities.  
352 00:39:22,597 --> 00:39:45,447 Speaker SPEAKER_01: And now I'm going to try and find how to arrange points in a map, so low-dimensional points like yi rather than the high-dimensional point xi, so that when I use that same function, e to the minus the squared distance, in the low-dimensional map, I can model the similarities that I found in the high-dimensional data.  
353 00:39:46,489 --> 00:39:47,829 Speaker SPEAKER_01: I'll show you a picture of that in a minute.  
354 00:39:48,831 --> 00:39:51,474 Speaker SPEAKER_01: So we're learning the 2D locations of the map points.  
355 00:39:52,568 --> 00:40:09,065 Speaker SPEAKER_01: So the probability that one of the map points would pick one of the other map points if it was asked to pick a neighbor in the 2D space matches the probabilities if you asked one of the high dimensional data points to pick a neighbor and it picked in proportion to how close things were.  
356 00:40:11,807 --> 00:40:12,809 Speaker SPEAKER_01: So here's a picture of it.  
357 00:40:13,289 --> 00:40:16,432 Speaker SPEAKER_01: In the high dimensional space, you might have a data point I.  
358 00:40:16,969 --> 00:40:20,793 Speaker SPEAKER_01: And we're going to compute the probability that it will pick each of its possible neighbors.  
359 00:40:21,494 --> 00:40:46,554 Speaker SPEAKER_01: And we're going to say that probability is proportional to e to the minus the squared distance, which is equivalent to saying the probability is proportional to the density of that other point, like k or j, under a Gaussian centered at i. So that's how we get the high dimensional probabilities that I would pick j. And then we're going to try and arrange the low dimensional points to model that.  
360 00:40:50,769 --> 00:40:55,594 Speaker SPEAKER_00: So the high dimensional probabilities are just this contrastive function.  
361 00:40:57,036 --> 00:41:03,722 Speaker SPEAKER_01: If you take logs of that, you'll get the contrastive function I gave you before to get the log probability.  
362 00:41:05,262 --> 00:41:09,567 Speaker SPEAKER_01: And once we've got those high dimensional probabilities, we then throw all the data away.  
363 00:41:10,527 --> 00:41:12,809 Speaker SPEAKER_01: Or maybe someone just gave us probabilities in the first place.  
364 00:41:13,650 --> 00:41:19,596 Speaker SPEAKER_01: Maybe if they gave us the probabilities of two words co-occurring in a sentence, that would do instead of the high dimensional data.  
365 00:41:22,123 --> 00:41:26,329 Speaker SPEAKER_01: And then we move points about in a low dimensional space.  
366 00:41:26,889 --> 00:41:30,474 Speaker SPEAKER_01: So we're gonna move the point I around and the point K around and the point J around.  
367 00:41:32,416 --> 00:41:47,574 Speaker SPEAKER_01: In order to get probabilities like Q, the probability that I would pick J as its neighbor, if I picks a neighbor in this low dimensional space using the density under a Gaussian in the low dimensional space,  
368 00:41:48,483 --> 00:41:51,045 Speaker SPEAKER_01: And we want the QJIs to model the PJIs.  
369 00:41:51,425 --> 00:41:56,652 Speaker SPEAKER_01: We want the probabilities that we get from the low-dimensional map to model the probabilities we had in the high-dimensional space.  
370 00:41:58,253 --> 00:42:14,891 Speaker SPEAKER_01: And so our cost is the sum over all the data points of the Kullback-Liebler divergence between the probability of picking neighbors that you get for point I in the high-dimensional space, that's P, and the probability that you get in the low-dimensional space.  
371 00:42:16,034 --> 00:42:17,275 Speaker SPEAKER_00: And that can be expanded out.  
372 00:42:20,630 --> 00:42:33,610 Speaker SPEAKER_01: And it turns out, to minimize that cost, what you want to do is, if Pij is high in the high-dimensional space, if they're close together, it's important to have them close together in the low-dimensional space.  
373 00:42:34,251 --> 00:42:41,003 Speaker SPEAKER_01: If they're far apart in the high-dimensional space, so Pij is very small, you can have them very far apart or quite far apart in the low-dimensional space.  
374 00:42:41,262 --> 00:42:42,385 Speaker SPEAKER_01: It doesn't really matter much.  
375 00:42:45,824 --> 00:42:55,199 Speaker SPEAKER_01: Okay, so widely separated points in high D have a mild preference for being widely separated in low D, but as soon as they're fairly separated, separating them all doesn't matter much.  
376 00:42:55,900 --> 00:43:00,027 Speaker SPEAKER_01: And this is very different from using that global covariance constraint that LLE used.  
377 00:43:02,289 --> 00:43:12,827 Speaker SPEAKER_01: So that's what SNE produces, stochastic neighbor embedding, if you try and get it to embed the digits from zero to four, based on the Euclidean distances between their images.  
378 00:43:14,561 --> 00:43:19,427 Speaker SPEAKER_01: And it produces quite a good embedding that gets the natural clusters, but it doesn't really get gaps between them.  
379 00:43:20,608 --> 00:43:22,911 Speaker SPEAKER_01: There's one very amusing thing it did, which I'll show you.  
380 00:43:24,934 --> 00:43:27,976 Speaker SPEAKER_01: I took this as evidence that God was in favor of SNE.  
381 00:43:30,059 --> 00:43:35,806 Speaker SPEAKER_01: If you look there, on the borderline between twos and threes, it's put two and a half.  
382 00:43:39,190 --> 00:43:41,413 Speaker SPEAKER_00: Okay.  
383 00:43:42,389 --> 00:43:50,219 Speaker SPEAKER_01: Now, t-SNE is just a version of stochastic neighbor embedding where you use a t-distribution in the low dimensional space instead of a Gaussian distribution.  
384 00:43:50,699 --> 00:43:53,882 Speaker SPEAKER_01: And what that does is allows you to get bigger gaps between the clusters.  
385 00:43:55,425 --> 00:43:59,250 Speaker SPEAKER_01: So it creates more room in the 2D, which compensates for the lower dimensionality of 2D.  
386 00:43:59,630 --> 00:44:02,012 Speaker SPEAKER_01: There's not as much room in 2D as in high dimensional space.  
387 00:44:03,514 --> 00:44:04,876 Speaker SPEAKER_01: That allows gaps between clusters.  
388 00:44:04,896 --> 00:44:09,963 Speaker SPEAKER_01: And so just to remind you, this has nice gaps between clusters, whereas SNE itself doesn't.  
389 00:44:11,224 --> 00:44:11,485 Speaker SPEAKER_01: Okay.  
390 00:44:14,856 --> 00:44:20,003 Speaker SPEAKER_01: So I want to talk a bit more about why the covariance constraint doesn't work when we optimize a nonlinear function.  
391 00:44:21,485 --> 00:44:28,014 Speaker SPEAKER_01: A linear mapping can't change the ratio between entropy and variance.  
392 00:44:29,157 --> 00:44:31,320 Speaker SPEAKER_01: It can't change how Gaussian the distribution is.  
393 00:44:32,541 --> 00:44:38,931 Speaker SPEAKER_01: So if I want to optimize a linear mapping to maximize entropy, I can simply maximize variance.  
394 00:44:39,471 --> 00:44:43,496 Speaker SPEAKER_01: For a multidimensional thing, I can maximize the log of the determinant of the covariance.  
395 00:44:46,344 --> 00:44:48,668 Speaker SPEAKER_01: but that goes hopelessly wrong for nonlinear mappings.  
396 00:44:51,010 --> 00:44:56,257 Speaker SPEAKER_01: A nonlinear mapping can generate a distribution that has two widely separated but extremely tight clusters.  
397 00:44:57,320 --> 00:45:01,806 Speaker SPEAKER_01: That distribution has an entropy of about one bit, but it's got high variance.  
398 00:45:02,847 --> 00:45:07,273 Speaker SPEAKER_01: So as soon as you go for nonlinear mappings, you completely decouple entropy from variance.  
399 00:45:10,121 --> 00:45:17,110 Speaker SPEAKER_01: Similarly, if you have two one-dimensional strings of points that form a cross, you can have a high 2D covariance, but very low entropy.  
400 00:45:17,130 --> 00:45:18,753 Speaker SPEAKER_01: And that's what you saw in LLE.  
401 00:45:20,275 --> 00:45:25,802 Speaker SPEAKER_01: And that's why you will never have nonlinear versions of canonical correlation analysis or linear discriminant analysis.  
402 00:45:26,862 --> 00:45:31,168 Speaker SPEAKER_01: Both of those methods are maximizing variance in order to maximize entropy.  
403 00:45:32,250 --> 00:45:37,876 Speaker SPEAKER_01: And you can use variance as a stand-in for entropy if you're only learning linear mappings.  
404 00:45:37,896 --> 00:45:39,858 Speaker SPEAKER_01: But as soon as you learn a nonlinear mapping,  
405 00:45:40,581 --> 00:45:41,583 Speaker SPEAKER_01: the two get decoupled.  
406 00:45:42,903 --> 00:45:47,849 Speaker SPEAKER_01: And that was why the work I did with Sue Becker didn't work nearly as well as we hoped.  
407 00:45:48,228 --> 00:45:51,952 Speaker SPEAKER_01: It kept going wrong because of this decoupling between entropy and variance.  
408 00:45:53,233 --> 00:46:00,360 Speaker SPEAKER_01: Now people have published papers about nonlinear correlation, canonical correlation analysis or nonlinear linear discriminant analysis.  
409 00:46:01,181 --> 00:46:05,465 Speaker SPEAKER_01: And basically they're not really doing nonlinear canonical correlation analysis.  
410 00:46:05,827 --> 00:46:10,251 Speaker SPEAKER_01: They're applying a nonlinear transformation to the data and then doing linear canonical correlation analysis.  
411 00:46:12,070 --> 00:46:20,257 Speaker SPEAKER_01: Okay, so Ruslan Salakutinov and I tried using these contrastive loss  
412 00:46:21,081 --> 00:46:24,728 Speaker SPEAKER_01: with the kind of approach that Sue Becker and I were using to extract representations.  
413 00:46:25,429 --> 00:46:26,871 Speaker SPEAKER_01: And it worked, but not very well.  
414 00:46:26,911 --> 00:46:28,474 Speaker SPEAKER_01: And that was because computers were slow.  
415 00:46:29,215 --> 00:46:32,260 Speaker SPEAKER_01: And regretfully, we didn't publish anything, which was entirely our fault.  
416 00:46:33,121 --> 00:46:42,958 Speaker SPEAKER_01: So other people later on rediscovered the idea, and they used contrastive losses to discover representations that were coherent across space or time.  
417 00:46:43,559 --> 00:46:44,440 Speaker SPEAKER_01: In this case, it was time.  
418 00:46:44,840 --> 00:46:46,684 Speaker SPEAKER_01: And they got very impressive results.  
419 00:46:46,900 --> 00:47:03,777 Speaker SPEAKER_01: I'm going to finish by showing you some work done in my lab that uses the contrastive loss that originally came from the work by Alberto Pacanaro and I, but it didn't really come from there because we didn't  
420 00:47:03,893 --> 00:47:05,134 Speaker SPEAKER_01: make a big song and dance about it.  
421 00:47:05,153 --> 00:47:09,557 Speaker SPEAKER_01: We used it for t-SNE, but we didn't manage to convince the community that was a loss to use.  
422 00:47:10,099 --> 00:47:12,661 Speaker SPEAKER_01: And so the community had to reinvent it for itself in 2018.  
423 00:47:13,862 --> 00:47:15,302 Speaker SPEAKER_01: So we can't really take credit for it.  
424 00:47:16,905 --> 00:47:18,867 Speaker SPEAKER_01: I guess we would if we were Schmidt Tuber, but we're not.  
425 00:47:22,949 --> 00:47:33,579 Speaker SPEAKER_01: So this loss is now very popular and it can be used to get very good representations using unsupervised learning.  
426 00:47:35,128 --> 00:47:39,793 Speaker SPEAKER_01: So I'm gonna finish by talking about something called SimClear developed by Ting Chen in my lab.  
427 00:47:43,699 --> 00:47:53,190 Speaker SPEAKER_01: He showed that you can extract representations from patches of images that are very good representations of what's going on in the whole image, but it requires huge amounts of computation.  
428 00:47:53,210 --> 00:47:54,891 Speaker SPEAKER_00: So it couldn't have been done until very recently.  
429 00:47:58,635 --> 00:48:01,980 Speaker SPEAKER_01: The way SimClear works is it takes an image X  
430 00:48:02,719 --> 00:48:06,565 Speaker SPEAKER_01: It then does two different crops of the image, Xi and Xj.  
431 00:48:08,588 --> 00:48:21,847 Speaker SPEAKER_01: It then applies a deep net, the kind of residual convolutional neural net used for image classification, to get a representation H. All of this is so far unsupervised.  
432 00:48:21,867 --> 00:48:26,052 Speaker SPEAKER_01: Hi for one crop and Hj for the other crop.  
433 00:48:26,594 --> 00:48:30,498 Speaker SPEAKER_01: It then applies another transformation to the representation.  
434 00:48:30,597 --> 00:48:38,947 Speaker SPEAKER_01: to get a vector, which I'll call an embedding vector, and it tries to make those embedding vectors agree in the contrastive sense.  
435 00:48:40,427 --> 00:48:52,081 Speaker SPEAKER_01: That is, within each mini-batch, it tries to make the embedding vectors for crops of images that come from the same image agree, that is, be similar.  
436 00:48:52,467 --> 00:49:00,485 Speaker SPEAKER_01: And it tries to make embedding vectors that come from crops of different images disagree, but disagree in that contrastive sense.  
437 00:49:00,545 --> 00:49:02,490 Speaker SPEAKER_01: So if they already disagree a lot, it doesn't worry.  
438 00:49:02,952 --> 00:49:06,942 Speaker SPEAKER_01: But if they agree a lot and they come from different images, it tries to make them more different.  
439 00:49:07,503 --> 00:49:10,510 Speaker SPEAKER_01: And that's what stops things collapsing.  
440 00:49:12,920 --> 00:49:16,143 Speaker SPEAKER_01: One thing Ting discovered is that's not sufficient.  
441 00:49:17,023 --> 00:49:23,949 Speaker SPEAKER_01: If you just take two different crops of the same image, you can normally tell they come from the same image because they have the same color histograms.  
442 00:49:24,630 --> 00:49:28,934 Speaker SPEAKER_01: And so the first thing SimClear will do is learn to extract the color histogram.  
443 00:49:29,414 --> 00:49:38,003 Speaker SPEAKER_01: And if you want it to do something better than that, what you have to do is mess up the colors in a different way in each of the crops.  
444 00:49:38,503 --> 00:49:41,847 Speaker SPEAKER_01: And then it can't use the color histogram, and it will discover something more interesting.  
