1 00:00:02,478 --> 00:00:04,120 说话人 SPEAKER_01：让我检查一下它是否可以点击通过。
240 00:18:56,516 --> 00:19:06,464 说话人 SPEAKER_01：第二个问题是，嗯，你是如何学习所有这些连接强度的？
241 00:19:07,486 --> 00:19:08,807 说话人 SPEAKER_01：那么让我们从第一个问题开始。
242 00:19:12,090 --> 00:19:13,592 说话人 SPEAKER_01：如果你想避免局部最小值，
243 00:19:14,280 --> 00:19:17,183 说话人 SPEAKER_01：实际上在决策规则中加入一些噪声是有益的。
244 00:19:18,506 --> 00:19:25,795 说话人 SPEAKER_01：所以在 Hopfield 网络中，使用二进制阈值决策规则，这将总是将单元翻转至降低能量的任何状态。
245 00:19:27,096 --> 00:19:29,157 说话人 SPEAKER_01：这使得无法逃离局部最小值。
246 00:19:31,240 --> 00:19:36,047 演讲者 SPEAKER_01：所以如果你处于局部最小值 A，你就无法到达 B，因为系统中没有噪声。
247 00:19:37,929 --> 00:19:44,135 但是如果你添加一些随机噪声，你可能会在 A 处产生一些抖动，最终到达 B，而且你从 A 到 B 的可能性比从 B 到 A 的可能性更大。所以噪声会提高你的机会，因为从 B 到 A 的能量障碍比反过来更高。
248 00:19:44,825 --> 00:19:53,875 所以噪声会帮助你提高机会，因为从 B 到 A 的能量障碍比反过来更高。
249 00:19:56,337 --> 00:20:01,423 现在，有一种称为模拟退火的技术，它建议开始时添加大量噪声，然后逐渐减少噪声的数量。
250 00:20:02,064 --> 00:20:05,267 说话人 SPEAKER_01：因为有很多噪音，很容易越过障碍。
251 00:20:06,107 --> 00:20:11,974 说话人 SPEAKER_01：而有一点噪音，你几乎不可能从 B 到 A。最佳折衷方案是从大量噪音开始，逐渐减少。
252 00:20:12,535 --> 00:20:13,936 说话人 SPEAKER_01：这被称为模拟退火。
253 00:20:14,862 --> 00:20:19,167 说话人 SPEAKER_01：它是由 Kirkpatrick 等人发明的，大约与 Hopfield 网络发明的时间相同。
254 00:20:21,290 --> 00:20:28,000 讲者 SPEAKER_01：我和 Terry 对在 Hopfield 网络中使用随机二进制单元以及使用模拟退火非常感兴趣。
255 00:20:30,001 --> 00:20:31,463 讲者 SPEAKER_01：那么让我们看看一个随机单元。
256 00:20:33,366 --> 00:20:35,829 讲者 SPEAKER_01：它有一个叫做温度的东西，这是噪声的量。
257 00:20:37,352 --> 00:20:43,079 讲者 SPEAKER_01：噪声水平有效地减小了配置之间的能量间隙。
258 00:20:43,583 --> 00:20:45,204 演讲者 SPEAKER_01：所以这个方程看起来是这样的。
259 00:20:46,226 --> 00:20:49,189 演讲者 SPEAKER_01：在热场网中，温度为零。
260 00:20:49,669 --> 00:21:05,065 演讲者 SPEAKER_01：所以如果你把温度设为零，你会看到如果ΔE 是正的，我们就有 E 的负数次方，它是负无穷大，E 的负无穷大是零。
261 00:21:05,746 --> 00:21:11,531 演讲者 SPEAKER_01：所以如果ΔE 是正的，我们就会得到 1 除以 1，单位被激活的概率将是 1。
262 00:21:13,029 --> 00:21:18,457 演讲者 SPEAKER_01：如果ΔE 是负数，我们将除以零，得到负无穷大。
263 00:21:19,298 --> 00:21:22,962 演讲者 SPEAKER_01：那么我们将得到 E 的负无穷大，我是不是理解错了？
264 00:21:23,483 --> 00:21:30,472 演讲者 SPEAKER_01：是的，如果ΔE 是负数，带有负号的ΔE，我们得到正数，得到 E 的正无穷大。
265 00:21:30,913 --> 00:21:34,397 演讲者 SPEAKER_01：所以我们得到 1 除以 1 加上 E 的正无穷大，结果是零。
266 00:21:34,979 --> 00:21:36,881 说话人 SPEAKER_01：那么打开它的概率将是零。
267 00:21:37,281 --> 00:21:38,584 说话人 SPEAKER_01：这就是 Hopfield 决策规则。
268 00:21:38,604 --> 00:21:42,008 说话人 SPEAKER_01：这只是一个在零温度下的随机决策规则。
269 00:21:42,730 --> 00:21:48,018 说话人 SPEAKER_01：显然，如果你懂任何物理学，问题就是当温度不是零时会发生什么？
270 00:21:49,359 --> 00:21:51,061 说话人 SPEAKER_01：然后你得到了模拟退火。
271 00:21:52,203 --> 00:21:54,067 说话人 SPEAKER_01：这似乎是霍普菲尔德网络的重大进步。
272 00:21:54,086 --> 00:21:58,534 说话人 SPEAKER_01：它们可以进行模拟退火。
273 00:21:59,355 --> 00:22:06,806 说话人 SPEAKER_01：我只是提醒你能量间隙的公式，它只是单位关闭时的能量与单位开启时的能量之差。
274 00:22:08,828 --> 00:22:10,932 说话人 SPEAKER_01：但是模拟退火最终变成了一个干扰。
275 00:22:11,266 --> 00:22:14,910 说话人 SPEAKER_01：它仍然有用，但我不想深入探讨其中的复杂性。
276 00:22:15,951 --> 00:22:24,358 说话人 SPEAKER_01：所以我们现在将保持温度为 1，这样我们就可以抓住玻尔兹曼机的核心思想。
277 00:22:24,900 --> 00:22:27,942 说话人 SPEAKER_01：所以我们不会去调整温度，我们只需将温度设置为 1。
278 00:22:29,344 --> 00:22:32,007 演讲者 SPEAKER_01: 好的。
279 00:22:32,027 --> 00:22:36,250 演讲者 SPEAKER_01: 现在我得解释一下在温度为 1 时的热平衡。
280 00:22:36,832 --> 00:22:41,256 演讲者 SPEAKER_01: 如果你不是物理学家或统计学家，热平衡是一个难以理解的概念。
281 00:22:41,741 --> 00:22:46,566 演讲者 SPEAKER_01: 所以大多数人最初认为这意味着系统已经稳定下来，没有变化。
282 00:22:47,166 --> 00:22:48,847 说话人 SPEAKER_01：那不是热平衡的定义。
283 00:22:50,750 --> 00:22:54,192 说话人 SPEAKER_01：当一个系统达到热平衡时，事物仍在变化。
284 00:22:55,013 --> 00:22:59,077 说话人 SPEAKER_01：任何处于热平衡状态的系统都在不断翻转变换状态。
285 00:23:00,558 --> 00:23:06,104 说话人 SPEAKER_01：但发现它处于特定状态的概率分布已经稳定下来。
286 00:23:07,025 --> 00:23:09,707 说话者 SPEAKER_01：这很难想。
287 00:23:10,278 --> 00:23:15,465 说话者 SPEAKER_01：统计学家称之为平稳分布，物理学家称之为热平衡。
288 00:23:16,547 --> 00:23:27,824 说话者 SPEAKER_01：一个直观的想法是想象一大堆相同的系统，但在决定是否开启或关闭时，你使用不同的随机数生成器。
289 00:23:29,465 --> 00:23:30,708 说话者 SPEAKER_01：所以你看能级差。
290 00：23：31,048 --> 00：23：39,441 演讲者 SPEAKER_01：如果能量差距是正的，你通常会打开它，如果它是负的，你通常会关闭它。
291 00：23：39,843 --> 00：23：41,325 议长 SPEAKER_01：这是一个随机决策规则。
所以如果能隙接近于零，你可能可以打开或关闭某些东西。
我们想象这个由相同系统组成的巨大集合，每个系统都有一个不同的随机数生成器。
294 00:23:53,762 --> 00:24:00,792 说话人 SPEAKER_01：它们都有相同的能量函数，但它们会处于不同的状态，然后都在状态之间切换。
295 00:24:00,813 --> 00:24:02,796 说话人 SPEAKER_01：如果你以随机状态启动它们，
296 00:24:03,181 --> 00:24:05,103 说话人 SPEAKER_01：它们会进入其他随机状态。
297 00:24:05,483 --> 00:24:14,614 说话人 SPEAKER_01：但过了一段时间后，如果你使用我之前展示的随机二进制神经元决策规则，任何一种状态的比例将会稳定。
298 00:24:15,835 --> 00:24:22,863 演讲者 SPEAKER_01：所以你可以把配置的概率想成这个巨大集合中处于那个状态的比例。
299 00:24:23,943 --> 00:24:31,332 演讲者 SPEAKER_01：在热平衡状态下，处于那个状态的事物会翻转到其他状态，而处于其他状态的事物会翻转到那个状态。
300 00:24:31,817 --> 00:24:36,261 而那两个，从那个状态中损失的和从那个状态中获得的，会相互抵消。
301 00:24:37,262 --> 00:24:39,484 演讲者 SPEAKER_01：这就叫做详细平衡。
302 00:24:39,506 --> 00:24:46,451 说话人 SPEAKER_01：因此，您将得到的是特定配置中配置的分数，系统中特定配置的分数将是稳定的。
303 00:24:46,471 --> 00:24:50,056 说话人 SPEAKER_01：即使您更新所有配置的单位，它也不会再改变。
304 00:24:50,536 --> 00:24:51,676 说话人 SPEAKER_01：这就是热平衡。
305 00:24:52,597 --> 00:24:57,403 说话人 SPEAKER_01：我将再给您一次解释热平衡的机会。
306 00:24:59,205 --> 00:25:17,162 说话人 SPEAKER_01：那么，我们可以在所有这些相同系统中选择任何我们喜欢的分布，当我们围绕每个系统循环时，让单元随机翻转开或关，逐渐会发生的是，我们将达到热平衡，其中分数是恒定的。
307 00:25:18,103 --> 00:25:20,546 说话人 SPEAKER_01：为此，我再给你一个类比。
308 00:25:22,227 --> 00:25:28,673 说话人 SPEAKER_01：假设你在拉斯维加斯有一个巨大的赌场，里面满是发牌员，
309 00:25:29,884 --> 00:25:34,332 说话人 SPEAKER_01：我们需要比 52 的阶乘还要多的发牌员。
310 00:25:34,352 --> 00:25:37,536 说话人 SPEAKER_01：所以这是一个相当大的牌手数量，但作为一个思想实验，这没关系。
311 00:25:38,478 --> 00:25:44,105 说话人 SPEAKER_01：每个牌手开始时都带着他的牌，牌序完全符合标准。
312 00:25:44,707 --> 00:25:50,035 说话人 SPEAKER_01：所以可能是黑桃 A、黑桃 K、黑桃 Q 等等。
313 00:25:50,055 --> 00:25:59,048 说话人 SPEAKER_01：所以最初，所有的牌堆都是标准配置，即按照标准顺序排列。
314 00:25:59,837 --> 00:26:06,528 说话者 SPEAKER_01：然后它们开始洗牌，进行的是随机洗牌，而不是那些能回到相同状态的复杂洗牌，只是随机洗牌。
315 00:26:07,348 --> 00:26:12,615 说话者 SPEAKER_01：因此，当它们开始洗牌时，你会得到更多不同配置的牌组。
316 00:26:14,298 --> 00:26:22,329 说话者 SPEAKER_01：但在它们开始洗牌不久后，你仍然会保留这个特性，黑桃 K 很可能紧挨着红桃 Q。
317 00:26:22,349 --> 00:26:24,373 说话者 SPEAKER_01：它们还没有在洗牌过程中将它们分开。
318 00:26:25,233 --> 00:26:27,718 说话人 SPEAKER_01：在他们只洗牌很短的时间后，
319 00:26:28,153 --> 00:26:34,123 说话人 SPEAKER_01：仍然会有很多张牌组配置，其中黑桃 K 紧挨着黑桃 Q。
320 00:26:34,143 --> 00:26:43,356 说话人 SPEAKER_01：但如果他们继续洗牌很长时间，那么在足够长的时间后，这些牌组中的所有牌序都将同等可能。
321 00:26:44,357 --> 00:26:45,640 说话人 SPEAKER_01：这就是热平衡。
322 00:26:46,280 --> 00:26:50,247 说话人 SPEAKER_01：他们一直在洗牌，一直在洗牌，所以任何一副牌都会发生变化。
323 00:26:51,228 --> 00:26:56,997 说话人 SPEAKER_01：但是如果你看这整个牌组的集合，任何一种配置的分数都保持不变。
324 00:26:58,765 --> 00:27:07,011 说话人 SPEAKER_01：现在，这里有一个问题是，对于牌组来说，所有配置都是等可能的，除非可能有些牌比其他牌重。
325 00:27:07,692 --> 00:27:10,976 说话人 SPEAKER_01：但是对于我们正在讨论的系统，并不是所有配置都是等可能的。
326 00:27:11,395 --> 00:27:15,179 说话人 SPEAKER_01：在热平衡状态下，不同的配置将具有不同的概率。
327 00:27:17,181 --> 00:27:17,500 说话人 SPEAKER_07：好的。
328 00:27:21,365 --> 00:27:27,269 说话人 SPEAKER_01：那么，现在让我们来谈谈如何用我们所说的玻尔兹曼机来建模二进制数据。
329 00:27:28,229 --> 00:27:29,510 说话人 SPEAKER_01：来建模我们所说的玻尔兹曼机。
330 00:27:29,550 --> 00:27:32,035 讲者 SPEAKER_01：这是一个具有可见单元和隐藏单元的 Hopfield 网络。
331 00:27:32,976 --> 00:27:38,463 讲者 SPEAKER_01：它有一个随机决策规则，即根据能量差以概率将单元打开或关闭。
332 00:27:43,432 --> 00:27:49,480 讲者 SPEAKER_01：因此，我们希望能够处理一组二进制向量，这些向量是训练数据。
333 00:27:49,500 --> 00:27:51,743 讲者 SPEAKER_01：所以想象一下它们是二进制图像。
334 00:27:52,986 --> 00:27:57,492 说话人 SPEAKER_01：我们希望模型为训练集中的二进制向量分配一个高概率，相对较高的概率，
335 00:27:57,710 --> 00:28:02,875 说话人 SPEAKER_01：并且为所有其他二进制向量分配一个相对较低的概率。
336 00:28:03,915 --> 00:28:05,458 说话人 SPEAKER_01：这就是训练的目标。
337 00:28:06,739 --> 00:28:11,864 说话人 SPEAKER_01：记住，这只是针对可见向量，即构成图像的向量。
338 00:28:12,325 --> 00:28:16,348 说话人 SPEAKER_01：我们有了所有这些额外的单元，可以用来帮助实现这一点。
339 00:28:16,990 --> 00:28:20,073 说话人 SPEAKER_01：所以这比 Hopfield 网络要复杂得多，在 Hopfield 网络中你可以看到一切。
340 00:28:20,472 --> 00:28:26,298 说话人 SPEAKER_01：你有很多隐藏单元，可以用它们来帮助你模拟可见单元上的二进制数据。
341 00:28:26,718 --> 00:28:28,740 说话人 SPEAKER_01：但问题是，你应该如何使用它们？
342 00:28:28,759 --> 00:28:30,662 说话人 SPEAKER_01: 看起来这是一个非常复杂的问题。
343 00:28:32,844 --> 00:28:39,391 说话人 SPEAKER_01: 所以在玻尔兹曼机中，一切取决于可见和隐藏单元的联合配置的能量。
344 00:28:41,211 --> 00:28:47,739 说话人 SPEAKER_01: 而联合配置的能量与这些配置的概率相关。
345 00:28:48,278 --> 00:28:49,881 说话人 SPEAKER_01: 你可以把它想象成两种不同的方式。
346 00:28:51,321 --> 00:28:54,025 演讲者 SPEAKER_01：所以你可以这样说，如果我有一个联合配置，
347 00:28:54,358 --> 00:29:09,094 演讲者 SPEAKER_01：该配置具有可见单元上的二进制向量 V 和隐藏单元上的二进制向量 H，这种二进制配置将具有能量，这个能量就是整个联合配置的能量，该配置在可见单元上有 V，在隐藏单元上有 H。
348 00:29:09,673 --> 00:29:10,515 演讲者 SPEAKER_01：这将是一个数值。
349 00:29:11,556 --> 00:29:20,144 演讲者 SPEAKER_01：在热平衡状态下找到该配置的概率将与 E 的负指数成比例，这里的 E 是能量。
350 00:29:20,845 --> 00:29:22,527 说话人 SPEAKER_01：这就是玻尔兹曼分布。
351 00:29:23,047 --> 00:29:27,332 说话人 SPEAKER_01：当概率与 e 的负能量成正比时。
352 00:29:27,352 --> 00:29:37,846 说话人 SPEAKER_01：还有一种思考概率的方法，我们可以这样说，好吧，拿这个玻尔兹曼机开始随机更新单元。
353 00:29:37,885 --> 00:29:45,756 说话人 SPEAKER_01：并且你正在随机更新所有单元，包括可见的和隐藏的。
354 00:29:46,276 --> 00:29:47,478 说话人 SPEAKER_01：您没有输入任何数据。
355 00:29:47,498 --> 00:29:51,702 说话人 SPEAKER_01：您只是在让玻尔兹曼机做梦，如果您愿意的话，或者生成。
356 00:29:52,949 --> 00:30:06,064 说话人 SPEAKER_01：在达到热平衡之后，这可能需要很长时间，您会查看整个系统，这个玻尔兹曼机，是否在可见单元上有向量 v，在隐藏单元上有向量 h。
357 00:30:07,625 --> 00:30:19,480 说话人 SPEAKER_01：您看到这种情况的概率将恰好等于您可以从能量计算出的概率，因为在热平衡时，它将达到玻尔兹曼分布。
您会注意到我将 V 和 H 的概率表达为与 e 的负能量成正比，这很重要。
它不等于能量减去 e，它只是成比例的，因为您必须归一化概率，使它们加起来等于 1。
360 00：30：36,061 --> 00：30：38,045 议长 SPEAKER_01：但关键是这两个定义是一致的。
你能计算在考虑所有可能配置的情况下，以及如果你只是随机运行它时你能测量到什么。
362 00:30:48,957 --> 00:30:52,701 演讲者 SPEAKER_01：所以关节配置的能量将类似于这样。
363 00:30:53,320 --> 00:30:58,026 演讲者 SPEAKER_01：将存在偏差项，我已经包含了可见单元和隐藏单元的偏差。
364 00:30:58,666 --> 00:31:00,929 演讲者 SPEAKER_01：可见单元之间将存在交互。
365 00:31:01,829 --> 00:31:05,953 演讲者 SPEAKER_01：是的，这就是能量。
366 00:31:06,494 --> 00:31:07,516 说话人 SPEAKER_01：这些是偏差项。
367 00:31:08,416 --> 00:31:10,858 说话人 SPEAKER_01：可见单元之间存在交互。
368 00:31:11,680 --> 00:31:15,784 说话人 SPEAKER_01：我们用 i 和 j 这样表示，所以，用小于号，这样你就不会重复计数。
369 00:31:16,325 --> 00:31:18,626 说话人 SPEAKER_01：因此，你不会计算 i 等于 j 的情况。
370 00:31:19,635 --> 00:31:26,262 说话人 SPEAKER_01：然后会有权重，可见单元和隐藏单元之间，以及隐藏单元之间的交互。
371 00:31:27,023 --> 00:31:28,805 说话人 SPEAKER_01：将会有一个像那样的巨大能量表达式。
372 00:31:30,948 --> 00:31:34,550 说话人 SPEAKER_01：系统的行为将取决于这些偏差和权重。
373 00:31:37,855 --> 00:31:47,044 说话人 SPEAKER_01：因此，如果我们想用能量来定义概率，我们知道给定隐藏单元的可见单元的概率 P 将与它成正比。
374 00:31:47,715 --> 00:31:50,719 说话者 SPEAKER_01：e 的负值，表示该关节配置的能量。
375 00:31:51,619 --> 00:31:52,842 说话者 SPEAKER_01：但我们通常化的是什么？
376 00:31:52,862 --> 00:32:06,195 说话者 SPEAKER_01：嗯，我们必须通过所有可能的可见向量 u 和所有可能的隐藏向量 g 的和来正常化 e 的负值，这里的 u 位于可见单元上，g 位于隐藏单元上。
377 00:32:07,057 --> 00:32:10,000 说话者 SPEAKER_01：这个正常化项是物理学家所说的配分函数。
378 00:32:10,661 --> 00:32:12,482 说话人 SPEAKER_01：这计算起来是个怪物。
379 00:32:13,084 --> 00:32:15,006 说话人 SPEAKER_01：实际上对于大型系统来说，是无法计算的。
380 00:32:15,026 --> 00:32:15,866 说话人 SPEAKER_01：它只是太大了。
381 00:32:16,420 --> 00:32:21,307 说话人 SPEAKER_01：这就是为什么能够采样并获得相同或大致相同的答案是很重要的。
382 00:32:23,490 --> 00:32:24,893 说话人 SPEAKER_01：这就是所谓的配分函数。
383 00:32:26,556 --> 00:32:37,953 说话人 SPEAKER_01：要得到联合配置的实际概率，你必须计算该联合配置的能量，然后除以配分函数进行归一化。
384 00:32:39,516 --> 00:32:43,962 说话人 SPEAKER_01：如果你想得到一个可见向量的能量，对不起，如果你想得到一个可见向量的概率，
385 00:32:45,007 --> 00:32:49,532 说话人 SPEAKER_01：所以，我们训练了一个玻尔兹曼机，现在我们将让它生成数据。
386 00:32:49,853 --> 00:32:52,395 说话人 SPEAKER_01：这是一个生成模型，是生成式 AI。
387 00:32:54,278 --> 00:33:08,476 说话人 SPEAKER_01：它在热平衡状态下生成特定向量在其可见单元的概率将是所有可能的隐藏配置的联合能量 V 和 H 的总和除以配分函数。
388 00:33:09,477 --> 00:33:14,202 说话人 SPEAKER_01：这就是如果您想从权重中解析地计算出概率时需要进行的计算。
389 00:33:14,655 --> 00:33:20,304 说话人 SPEAKER_01：这就是它在生成数据时，其可见单元上具有向量 v 的概率。
390 00:33:20,604 --> 00:33:23,488 说话人 SPEAKER_01：没有输入正在运行，只是在可见单元上生成数据。
391 00:33:26,553 --> 00:33:31,500 说话人 SPEAKER_01：我将通过一个工作示例来讲解，因为我发现如果看到过工作示例，我通常对这些事情理解得更好。
392 00:33:32,381 --> 00:33:35,644 说话人 SPEAKER_01：所以让我们有一个非常简单的网络，包含两个可见单元和两个隐藏单元。
393 00:33:37,147 --> 00:33:41,794 说话人 SPEAKER_01：所以可见单元有四种可能的状态。
394 00:33:42,414 --> 00:33:44,737 说话人 SPEAKER_01: 1, 0, 0, 1 和 0, 0。
395 00:33:45,317 --> 00:33:47,380 说话人 SPEAKER_01: 并且有两个隐藏单元的四种可能状态。
396 00:33:48,642 --> 00:33:52,726 说话人 SPEAKER_01: 显然有 16 种可能的联合状态，我已经在这个表格中向您展示了。
397 00:33:54,087 --> 00:33:57,570 说话人 SPEAKER_01: 因此，前四行是当两个可见单元处于开启状态时。
398 00:33:57,611 --> 00:34:00,734 演讲者 SPEAKER_01：我们查看隐藏单元的所有可能状态。
399 00:34:01,675 --> 00:34:07,162 演讲者 SPEAKER_01：对于这些联合配置中的每一个，我们计算一个负能量，即是一个好的指标。
400 00:34:08,222 --> 00:34:09,443 演讲者 SPEAKER_01：那么让我们看最上面一行。
401 00:34:09,864 --> 00:34:10,885 演讲者 SPEAKER_01：这是 1, 1, 1, 1。
402 00:34:10,925 --> 00:34:12,286 演讲者 SPEAKER_01：如果我们把所有东西都打开，
403 00:34:13,144 --> 00:34:21,818 演讲者 SPEAKER_01：那么“好”将等于这三个权重的总和，因为它们都在开启的单元对之间，所以将得到加 2，减 1，加 1，所以“好”将是 2。
404 00:34:23,059 --> 00:34:29,489 演讲者 SPEAKER_01：我们可以对所有的其他联合配置做同样的处理，然后我们会得到现在 e 的负能量的数值。
405 00:34:31,331 --> 00:34:35,297 演讲者 SPEAKER_01：然后我们可以把这些数值加起来得到 39.7。
406 00:34:36,159 --> 00:34:37,240 说话人 SPEAKER_01：这就是配分函数。
407 00:34:38,041 --> 00:34:42,088 说话人 SPEAKER_01：我们除以 39.7，现在会得到一些加起来等于 1 的数字。
408 00:34:42,355 --> 00:34:43,576 说话人 SPEAKER_01：所以会有概率。
409 00:34:44,978 --> 00:34:56,451 说话人 SPEAKER_01：如果你想在特定的玻尔兹曼机中计算概率，通过多次更新单元的状态使其达到热平衡，那么在两个可见单元上看到 1,1 的概率是多少？
410 00:34:57,311 --> 00:34:58,534 说话人 SPEAKER_01: 嗯，它是 0.466。
411 00:34:59,974 --> 00:35:03,559 说话人 SPEAKER_01: 根据隐藏单元的四种不同状态，你可以从四个不同的角度来理解它。
412 00:35:04,219 --> 00:35:05,882 说话人 SPEAKER_01: 其中有两种概率相当高。
413 00:35:06,300 --> 00:35:17,452 说话人 SPEAKER_01: 其中有两种概率较低，将它们相加，如果将这个玻尔兹曼机运行到热平衡状态，在可见单元上表现出状态 1, 1 的概率是 0.466。
414 00:35:18,594 --> 00:35:21,217 说话人 SPEAKER_01：如果你实施这个并尝试一下，是的，大致是正确的。
415 00:35:21,237 --> 00:35:26,021 说话人 SPEAKER_01：当你平衡采样时，它将有 0.466 的时间你会看到 1, 1。
416 00:35:27,322 --> 00:35:29,445 说话人 SPEAKER_01：看到 0, 0 将会非常罕见。
417 00:35:29,505 --> 00:35:34,030 说话人 SPEAKER_01：你大约会看到 0.084 的时间。
418 00:35:34,887 --> 00:35:42,318 演讲者 SPEAKER_01：但我已经给你详细地举了一个例子，说明了如何将网络中的权重转换为关节配置的能量。
419 00:35:42,378 --> 00:35:52,153 演讲者 SPEAKER_01：将这些转换为指数为负 C 的能量，通过归一化转换为概率，然后对隐藏单元的所有状态进行积分，现在你可以得到可见单元的概率。
420 00:35:53,556 --> 00:36:02,110 演讲者 SPEAKER_01：这就是玻尔兹曼机的工作原理，这三个数字，加二、减一和加一，如何模拟可见向量上的概率分布。
421 00:36:02,949 --> 00:36:16,744 演讲者 SPEAKER_01：显然，如果你有一个训练集，它表明向量 1, 1 和 1, 0 很常见，而向量 0, 1 和 0, 0 很少见，这将是一个不错的模型，因为它会使常见的两个更常见，而罕见的两个更罕见。
422 00:36:20,286 --> 00:36:20,668 演讲者 SPEAKER_07: 好的。
423 00:36:23,070 --> 00:36:32,940 演讲者 SPEAKER_01: 要从模型中获取样本，你不能像我在大网络中那样进行刚才的分析计算，但你所能做的是
424 00:36:33,409 --> 00:36:51,277 演讲者 SPEAKER_01: 就是使用马尔可夫链蒙特卡洛方法，这相当于，你遍历所有这些单元，可见的和隐藏的，一次选择一个单元，使用随机二进制决策规则来决定它应该是开启还是关闭，然后一直这样做，直到达到热平衡，然后查看可见单元，你就得到了模型的样本。
425 00:36:54,300 --> 00:36:55,103 演讲者 SPEAKER_01: 这就是我刚才说的。
426 00:36:56,224 --> 00:36:57,867 说话人 SPEAKER_01：你在温度为 1 的情况下做这件事。
427 00:36:58,027 --> 00:37:02,673 说话人 SPEAKER_01：所以你从运行在温度为 1 的模型中获取了一个样本。
428 00:37:03,396 --> 00:37:10,764 说话人 SPEAKER_01：得到任何特定样本的概率将与你能计算出的概率相同，但你不能计算，因为它太大。
429 00:37:13,849 --> 00:37:17,652 说话人 SPEAKER_01：所以得到可见和隐藏的联合配置的概率看起来会是这样。
430 00:37:19,835 --> 00:37:28,865 演讲者 SPEAKER_01：如果你想要一个特定可见向量的隐藏单元样本，你所做的是将可见向量限制在可见单元上。
431 00:37:29,467 --> 00:37:32,070 演讲者 SPEAKER_01：所以你不需要采样这些，你只需要采样隐藏单元。
432 00:37:32,505 --> 00:37:37,152 演讲者 SPEAKER_01：现在你将从该输入的解释中进行采样。
433 00:37:37,733 --> 00:37:40,659 演讲者 SPEAKER_01：将限制可见向量想象成像线描一样。
434 00:37:41,659 --> 00:37:44,985 讲者 SPEAKER_01：想想隐藏单元就像边缘单元所做的那样。
435 00:37:45,987 --> 00:37:49,231 讲者 SPEAKER_01：现在您可以采样那条线图的解释了。
436 00:37:53,257 --> 00:37:59,086 讲者 SPEAKER_01：所以就像采样完整的配置一样，您需要采样可见向量。
437 00:37:59,523 --> 00:38:04,170 讲者 SPEAKER_01：但您只允许隐藏单元翻转，因为这将与特定的可见向量一起。
438 00:38:05,112 --> 00:38:06,614 说话人 SPEAKER_01: 我应该说我们差不多完成了。
439 00:38:10,699 --> 00:38:16,028 说话人 SPEAKER_01: 你需要根据可见向量从后验中获取这些样本，以便学习权重。
440 00:38:16,949 --> 00:38:25,242 说话人 SPEAKER_01: 现在，你可能认为，每个人都这么认为，在这个网络中学习权重会非常复杂。
441 00:38:27,907 --> 00:38:29,750 说话人 SPEAKER_01: 我给你一个相信这个原因的理由。
442 00:38:30,690 --> 00:38:48,396 讲者 SPEAKER_01：我们学习的目标是设置权重，以便当我们通过更新隐藏单元和更新可见单元并持续这样做，直到达到热力学一致的运动，然后查看可见单元上的样本时，以这种方式采样，你会得到概率。
443 00:38:50,018 --> 00:38:55,887 讲者 SPEAKER_01：对于训练数据，你会得到高概率，而对于其他所有内容，你会得到低概率。
444 00:38:56,661 --> 00:39:04,813 讲者 SPEAKER_01：所以，如果你想最大化训练数据的概率乘积，这相当于最大化训练数据的对数概率之和。
445 00:39:06,675 --> 00:39:11,201 讲者 SPEAKER_01：现在我们将看到为什么可能得到一个简单的学习规则。
446 00:39:13,182 --> 00:39:16,347 说话人 SPEAKER_01：所以我们让网络达到其稳态分布。
447 00:39:19,050 --> 00:39:20,592 说话人 SPEAKER_01：然后我们采样可见向量。
448 00:39:21,940 --> 00:39:26,985 说话人 SPEAKER_01：然后我们问，这些可见向量的概率与网络中的能量有何关系？
449 00:39:28,186 --> 00:39:31,610 说话人 SPEAKER_01：嗯，我回头再谈这个问题。
450 00:39:31,630 --> 00:39:37,496 演讲者 SPEAKER_01：我首先想向您展示为什么您可能会认为学习权重非常困难。
451 00:39:38,356 --> 00:39:46,664 演讲者 SPEAKER_01：假设我有这样的训练数据，它说有一个包含两个可见单元的网络。
452 00:39:47,152 --> 00:39:56,922 演讲者 SPEAKER_01：应该经常有一个零作为可见单元的状态，并且经常有一个零一个，但很少有一个零零或一个一个。
453 00:39:58,364 --> 00:40:10,378 演讲者 SPEAKER_01：如果您只是用直觉和常识，很明显，您希望从第一个可见单元到最后的可见单元，再到另一个可见单元，这五权重链。
454 00:40:11,179 --> 00:40:14,123 演讲者 SPEAKER_01：您希望所有这些权重的乘积都是负数。
455 00:40:14,784 --> 00:40:17,007 演讲者 SPEAKER_01：如果所有这些权重的乘积是负数，
456 00:40:17,476 --> 00:40:22,099 演讲者 SPEAKER_01：那么开启第一个单元将倾向于关闭第二个单元，反之亦然。
457 00:40:22,119 --> 00:40:22,900 演讲者 SPEAKER_01：这些权重是对称的。
458 00:40:24,121 --> 00:40:26,483 说话人 SPEAKER_01：所以我们绝不想让产品为负。
459 00:40:26,503 --> 00:40:34,411 说话人 SPEAKER_01：那么现在如果你看一个权重，比如 w1，然后问，我应该怎么改变它来改善情况？
460 00:40:35,172 --> 00:40:36,974 说话人 SPEAKER_01：嗯，你想要让产品为负。
461 00:40:38,454 --> 00:40:44,900 说话人 SPEAKER_01：所以如果其他所有权重都是正的，你想要让 w1 为负。
462 00:40:45,032 --> 00:40:48,356 演讲者 SPEAKER_01：其他权重中有一个是负数，你希望 w1 为正数。
