1 00:00:06,275 --> 00:00:07,517 说话人 SPEAKER_01: 你好，我是尼古拉斯·汤普森。
255 00:15:19,355 --> 00:15:23,078 说话人 SPEAKER_01: 甚至连神经网络工作的核心元素我们都不理解。
256 00:15:23,419 --> 00:15:28,304 说话人 SPEAKER_01: 好吧，解释一下，然后让我问一个明显的后续问题，那就是，我们不知道这些是如何工作的。
257 00:15:28,325 --> 00:15:29,125 说话人 SPEAKER_01: 这些东西是如何工作的？
258 00:15:29,306 --> 00:15:31,668 说话人 SPEAKER_01: 好的。
259 00:15:31,688 --> 00:15:32,951 说话人 SPEAKER_00: 你问我解释完之后。
260 00:15:33,211 --> 00:15:34,993 说话人 SPEAKER_00: 是的。
261 00:15:37,201 --> 00:15:41,730 说话人 SPEAKER_00：如果你看看当前的计算机视觉系统，它们大多数基本上都是前馈的。
262 00:15:42,451 --> 00:15:44,033 说话人 SPEAKER_00：它们不使用反馈连接。
263 00:15:44,676 --> 00:15:48,964 说话人 SPEAKER_00：关于当前计算机视觉系统还有一点，那就是它们非常容易受到对抗性样本的影响。
264 00:15:49,705 --> 00:15:53,572 说话人 SPEAKER_00：你只需稍微改变几个像素。
265 00:15:54,024 --> 00:16:00,219 说话人 SPEAKER_00: 然后有一张熊猫的图片，在你看来它仍然像一只熊猫，突然说那是鸵鸟。
266 00:16:01,140 --> 00:16:05,171 说话人 SPEAKER_00: 显然，改变像素的方式设计得很巧妙，足以让它误以为是鸵鸟。
267 00:16:06,934 --> 00:16:09,620 说话人 SPEAKER_00: 但关键是，它在你看来仍然和熊猫一模一样。
268 00:16:09,600 --> 00:16:12,065 说话人 SPEAKER_00: 起初，我们认为这些方法效果非常好。
269 00:16:12,184 --> 00:16:18,054 说话者 说话者_00：但是，当他们面对一个事实，即看到一只熊猫却确信它是鸵鸟时，你会感到有些担忧。
270 00:16:18,836 --> 00:16:24,745 说话者 说话者_00：我认为那里的问题部分在于他们没有尝试从高级表示中重建。
271 00:16:25,326 --> 00:16:28,692 说话者 说话者_00：他们试图进行判别性学习，即只是学习特征检测器层。
272 00:16:29,274 --> 00:16:35,845 说话者 说话者_00：整个目标就是改变权重，以便你能够更好地得到正确答案。
273 00:16:36,009 --> 00:16:44,722 说话人 SPEAKER_00：他们并没有在每个特征检测器级别上检查是否可以从这些特征检测器的活动中重建下一层的原始数据。
274 00:16:45,544 --> 00:16:57,783 说话人 SPEAKER_00：最近在多伦多，我们发现，或者尼克·弗罗斯特（Nick Frost）发现，如果你引入重建，那么它可以帮助你更好地抵抗对抗攻击。
275 00:16:57,803 --> 00:17:00,027 说话人 SPEAKER_00：所以我认为在人类的视觉中，
276 00:17:00,006 --> 00:17:08,460 说话人 SPEAKER_00：为了进行学习，我们在进行重建，而且因为我们通过重建进行了大量的学习，所以我们更能抵抗对抗攻击。
277 00:17:08,480 --> 00:17:18,654 说话者 SPEAKER_01：但你认为神经网络中的自上而下的通信是您如何测试、如何重建、如何测试并确保它是一只熊猫而不是鸵鸟的方式吗？
278 00:17:18,674 --> 00:17:23,803 说话者 SPEAKER_01：我认为这是至关重要的，是的，因为我认为如果您……但是脑科学家对此并不完全一致，对吗？
279 00:17:25,436 --> 00:17:35,385 说话者 SPEAKER_00：脑科学家都同意这样的观点，如果在感知通路中的两个皮层区域之间有连接，那么总会有反向连接。
280 00:17:35,886 --> 00:17:39,176 说话者 SPEAKER_00：不一定是一对一的，但总会有一个反向通路。
281 00:17:39,595 --> 00:17:41,156 说话人 SPEAKER_00: 他们还没有达成一致意见，这究竟是为了什么。
282 00:17:41,576 --> 00:17:43,479 说话人 SPEAKER_00: 可能是为了引起注意。
283 00:17:43,499 --> 00:17:45,080 说话人 SPEAKER_00: 可能是为了学习。
284 00:17:45,101 --> 00:17:46,442 说话人 SPEAKER_00: 或者可能是为了重建。
285 00:17:47,042 --> 00:17:47,963 说话人 SPEAKER_00：或者可能是三者都适用。
286 00:17:48,084 --> 00:17:51,647 说话人 SPEAKER_01：所以我们不知道反向通信是什么。
287 00:17:52,567 --> 00:18:01,958 说话人 SPEAKER_01：你在构建新的神经网络时是基于这样的假设，或者你在构建反向通信，这种通信是为了重建而加入到你的神经网络中，尽管我们不确定大脑就是这样工作的。
288 00:18:02,278 --> 00:18:02,439 说话人 SPEAKER_00：是的。
289 00:18:02,699 --> 00:18:03,380 说话人 SPEAKER_01: 这不是作弊吗？
290 00:18:03,400 --> 00:18:08,505 说话人 SPEAKER_01: 我是说，如果你试图让它像大脑一样，你做了一些我们不确定是否像大脑的事情。
291 00:18:08,484 --> 00:18:09,205 说话人 SPEAKER_00: 完全不是。
292 00:18:11,671 --> 00:18:13,394 说话人 SPEAKER_00: 我不是在做计算神经科学。
293 00:18:13,433 --> 00:18:15,857 说话人 SPEAKER_00：也就是说，我并不是试图建立一个如何大脑工作的模型。
294 00:18:16,238 --> 00:18:19,703 说话人 SPEAKER_00：我是在观察大脑，并说，这东西是有效的。
295 00:18:20,285 --> 00:18:24,532 说话人 SPEAKER_00：如果我们想制造出其他有效的东西，我们应该从中寻找灵感。
296 00:18:24,893 --> 00:18:27,538 说话人 SPEAKER_00：所以这是神经启发的，而不是一个神经网络模型。
297 00:18:27,959 --> 00:18:33,327 说话人 SPEAKER_00：我们使用的神经元，它们受到这样一个事实的启发，即神经元有很多连接，并且会改变连接的强度。
298 00:18:33,307 --> 00:18:33,929 说话人 SPEAKER_01：这很有趣。
299 00:18:33,969 --> 00:18:49,487 说话人 SPEAKER_01：如果我是计算机科学领域的人，并且我在研究神经网络，并且我想打败杰夫·辛顿，我可以做的一件事是，我可以构建自上而下的通信，并基于其他脑科学模型，基于学习而不是重建。
300 00:18:49,507 --> 00:18:51,909 说话人 SPEAKER_00：如果它们是更好的模型，那么你就会赢，是的。
301 00:18:52,150 --> 00:18:53,611 说话人 SPEAKER_01：这非常、非常有趣。
302 00:18:53,651 --> 00:18:56,835 说话人 SPEAKER_01：好吧，那么让我们转向一个更普遍的话题。
303 00:18:57,135 --> 00:18:59,199 说话人 SPEAKER_01：神经网络将能够解决各种问题。
304 00:18:59,660 --> 00:19:06,109 说话人 SPEAKER_01：人类大脑中有没有神经网络无法捕捉或无法解决的奥秘？
305 00：19：06,269 --> 00：19：08,532 议长 SPEAKER_01：比如说，情绪可以吗？
306 00:19:08,594 --> 00:19:09,234 说话者 SPEAKER_01：不。
307 00:19:09,255 --> 00:19:09,795 说话者 SPEAKER_01：不。
308 00：19：09,815 --> 00：19：12,058 演讲者 SPEAKER_01：所以爱可以通过神经网络重建。
309 00:19:12,439 --> 00:19:13,842 说话人 SPEAKER_01：意识是可以构建的。
310 00:19:14,342 --> 00:19:14,883 说话人 SPEAKER_00：当然。
311 00:19:14,942 --> 00:19:19,329 说话人 SPEAKER_00：一旦你弄清楚这些事物的含义，我们就变成了神经网络，对吧？
312 00:19:20,541 --> 00:19:22,934 说话人 SPEAKER_00：现在，我对意识特别感兴趣。
313 00:19:22,954 --> 00:19:27,378 说话人 说话人_00：没有它我也能过得去。
314 00:19:29,823 --> 00:19:32,007 说话人 说话人_00：人们实际上并不真正知道它的意思。
315 00:19:32,047 --> 00:19:33,509 说话人 说话人_00：有各种各样的定义。
316 00:19:33,890 --> 00:19:35,551 说话人 说话人_00：我认为这是一个前科学术语。
317 00:19:35,972 --> 00:19:40,421 说话人 说话人_00：100年前，如果你问人们，什么是生命？
318 00:19:41,422 --> 00:19:43,486 说话人 说话人_00：他们会说，嗯，生物有生命力。
319 00:19:43,526 --> 00:19:45,107 说话人 说话人_00：而它们死亡时，生命力就会消失。
320 00:19:45,548 --> 00:19:51,038 说话人 说话人_00：这就是生与死的区别，是否有生命力。
321 00:19:51,018 --> 00:19:54,741 说话人 SPEAKER_00: 现在我们不认为我们没有生命力。
322 00:19:55,102 --> 00:19:57,044 说话人 SPEAKER_00: 我们只是认为它是一个前科学概念。
323 00:19:57,384 --> 00:20:02,328 说话者 SPEAKER_00：一旦你理解了一些生物化学和分子生物学，你就不需要生命力了。
324 00:20:02,529 --> 00:20:03,810 说话者 SPEAKER_00：你理解了它实际上是如何运作的。
325 00:20:04,431 --> 00:20:05,913 说话者 SPEAKER_00：我认为意识也会是这样。
326 00:20:05,952 --> 00:20:12,159 说话者 SPEAKER_00：我认为意识是试图用某种特殊本质来解释心理现象的一种尝试。
327 00:20:13,039 --> 00:20:15,122 说话者 SPEAKER_00: 这特殊精华，你不需要它。
328 00:20:15,201 --> 00:20:16,923 说话者 SPEAKER_00: 一旦你真的能解释清楚，
329 00:20:16,903 --> 00:20:28,419 说话者 SPEAKER_00: 那你就将解释我们如何做那些让人认为我们有意识的事情，你将解释所有这些关于意识的不同含义，而不需要某种特殊的意识精华。
330 00:20:29,961 --> 00:20:43,417 说话者 SPEAKER_01: 对，没有一种情感不能被创造，没有一种思想不能被创造，没有人类心智能做到的事情不能在理论上通过一个完全运作的神经网络被重新创造，一旦我们真正理解了大脑是如何工作的。
331 00:20:43,499 --> 00:20:48,865 说话人 SPEAKER_00：约翰·列侬的歌曲中有一段听起来非常像你刚才说的。
332 00:20:48,885 --> 00:20:50,387 说话人 SPEAKER_00：你对此有 100%的信心吗？
333 00:20:51,930 --> 00:20:54,472 说话人 SPEAKER_00：不，我是一个贝叶斯主义者，所以我有 99.9%的信心。
334 00:20:57,136 --> 00:20:57,416 说话人 SPEAKER_01：好的。
335 00:20:57,738 --> 00:20:58,479 说话者 SPEAKER_01：那么第一点是什么？
336 00:20:59,440 --> 00:21:05,146 说话者 SPEAKER_00：比如说，我们可能都参与了一个大型的模拟。
337 00:21:05,166 --> 00:21:05,346 说话者 SPEAKER_01：确实。
338 00:21:05,508 --> 00:21:05,867 说话者 SPEAKER_01：公平。
339 00:21:05,968 --> 00:21:07,329 说话人 SPEAKER_01: 好的。
340 00:21:15,528 --> 00:21:17,674 说话人 SPEAKER_01: 这实际上让我觉得我们更有可能是。
341 00:21:19,359 --> 00:21:19,621 说话人 SPEAKER_01: 好的。
342 00:21:19,922 --> 00:21:23,934 说话人 SPEAKER_01: 那么我们在做这件事和研读大脑以改进计算机的过程中，我们学到了什么？
343 00:21:24,798 --> 00:21:25,660 说话人 SPEAKER_01：反向操作是如何工作的？
344 00:21:25,700 --> 00:21:28,710 说话人 SPEAKER_01：我们从工作计算机中学到了关于大脑的哪些知识？
345 00:21:29,432 --> 00:21:50,039 说话人 SPEAKER_00：所以我认为在过去的 10 年里，我们学到的是，如果你有一个拥有数十亿参数的系统，并在某个目标函数中进行随机梯度下降，目标函数可能是获取正确的标签，或者是在一串单词中填补空缺，或者任何旧的目标函数，
346 00:21:50,019 --> 00:21:53,786 说话人 SPEAKER_00：它表现得比它应有的要好得多。
347 00:21:53,806 --> 00:21:55,348 说话人 SPEAKER_00: 它的工作效果比您预期的要好得多。
348 00:21:56,130 --> 00:22:07,208 说话人 SPEAKER_00: 您会认为，而且大多数传统人工智能领域的人都会认为，从一个拥有十亿参数的系统开始，用随机值初始化，测量目标函数的梯度。
349 00:21:07,268 --> 00:21:13,699 说话人 SPEAKER_00: 也就是说，对于每个参数，找出如果稍微改变该参数，目标函数会如何变化。
350 00:21:14,522 --> 00:21:21,272 说话人 SPEAKER_00: 然后按照改善目标函数的方向改变它，您会认为这会是一种无望的算法，会导致严重退化。
351 00:22:21,953 --> 00:22:27,301 说话人 SPEAKER_00: 结果证明这是一个非常好的算法，而且规模越大，效果越好。
352 00:22:28,002 --> 00:22:30,086 说话人 SPEAKER_00: 这实际上是一个经验发现。
353 00:22:30,606 --> 00:22:33,290 说话人 SPEAKER_00: 现在有一些理论正在出现，但基本上还是一个经验发现。
354 00:22:33,270 --> 00:22:45,478 说话人 SPEAKER_00: 现在，因为我们已经发现了这一点，所以大脑在计算某个目标函数的梯度并更新突触强度的权重以跟随该梯度的可能性就大得多。
355 00:22:45,498 --> 00:22:48,765 说话人 SPEAKER_00: 我们必须弄清楚它是如何获取梯度和目标函数的。
356 00:22:48,796 --> 00:22:50,897 说话人 SPEAKER_01: 但我们并不了解大脑这方面。
357 00:22:50,938 --> 00:22:52,179 说话人 SPEAKER_01: 我们并不了解突触的重加权。
358 00:22:52,199 --> 00:22:52,839 说话人 SPEAKER_00: 这是一种理论。
359 00:22:52,900 --> 00:22:55,863 说话人 SPEAKER_00: 我的意思是，很久以前，人们认为这是可能的。
360 00:22:56,624 --> 00:23:07,934 说话人 SPEAKER_00: 但在幕后，总有那种传统的计算机科学家说，是的，但是这个一切随机的想法，你只是通过梯度下降来学习，对于十亿个参数来说，这永远不会行得通。
361 00:23:08,076 --> 00:23:09,616 说话人 SPEAKER_00: 你必须植入很多知识。
362 00:23:10,038 --> 00:23:11,759 说话人 SPEAKER_00: 而我们现在知道这是错误的。
363 00:23:11,878 --> 00:23:14,382 说话人 SPEAKER_00: 你可以随意输入参数，然后学习所有内容。
364 00:23:14,547 --> 00:23:15,608 说话人 SPEAKER_01: 那么让我们扩展一下。
365 00:23:15,628 --> 00:23:23,940 说话人 SPEAKER_01: 随着我们不断学习，我们可能会继续更多地了解人类大脑的功能，因为我们对这些基于我们认为其功能的方式运行的模型进行大规模测试。
366 00:23:25,102 --> 00:23:35,135 说话人 SPEAKER_01: 一旦我们更好地理解了它，是否有一个点，我们可以基本上重新连接我们的大脑，使其更像最有效的机器，或者改变我们的思维方式？
367 00:23:36,617 --> 00:23:39,221 说话人 SPEAKER_01：如果这是一个模拟，那应该很容易，但不是在模拟中。
368 00:23:39,336 --> 00:23:46,229 说话人 SPEAKER_00：你可能会认为，如果我们真正理解了正在发生的事情，我们应该能够使教育等工作做得更好。
369 00:23:46,349 --> 00:23:47,491 说话人 SPEAKER_00：是的。
370 00:23:47,692 --> 00:23:48,353 说话人 SPEAKER_00：我认为我们会。
371 00:23:48,953 --> 00:23:49,255 Speaker SPEAKER_01: 我们会的。
372 00:23:49,494 --> 00:23:49,695 Speaker SPEAKER_00: 嗯。
373 00:23:50,175 --> 00:23:58,932 Speaker SPEAKER_00: 如果你能最终理解你的大脑是如何学习和运作的，却不能适应环境以更好地学习，那就非常奇怪了。
374 00:23:59,079 --> 00:24:01,042 Speaker SPEAKER_01: 好的，我不想把话题扯得太远。
375 00:24:01,103 --> 00:24:07,894 说话人 SPEAKER_01：但再过几年，你认为我们会如何利用我们对大脑的了解以及深度学习的工作原理来改变教育的运作方式？
376 00:24:07,913 --> 00:24:09,375 说话人 SPEAKER_01：你将如何改变课堂？
377 00:24:09,797 --> 00:24:12,580 说话人 SPEAKER_00：再过几年，我不确定我们会学到多少。
378 00:24:13,461 --> 00:24:16,145 说话人 SPEAKER_00：我认为改变教育将会是一个漫长的过程。
379 00:24:16,186 --> 00:24:19,932 说话人 SPEAKER_00: 但如果你看看，助手现在变得越来越聪明了。
380 00:24:20,333 --> 00:24:27,483 说话人 SPEAKER_00: 一旦助手能够真正理解对话，它们就可以与孩子进行对话并教育他们。
381 00:24:27,463 --> 00:24:34,814 说话人 SPEAKER_00: 我认为我获得的大部分新知识都来自于我思考，我好奇，然后在谷歌上打字，谷歌告诉我。
382 00:24:35,013 --> 00:24:36,997 说话人 SPEAKER_00: 如果我能进行对话，我就能更好地获取知识。
383 00:24:37,497 --> 00:24:55,902 说话人 SPEAKER_01：从理论上讲，随着我们对大脑了解的加深，以及我们将孩子们放在助手面前，现在是我的助手，几乎肯定基于纽约的时间，正在对 Alexa 大喊播放 Spotify 上的歌曲，可能是《小黄鱼》，你们将编程助手与孩子们进行更好的对话，基于我们知道他们将如何学习。
384 00:24:56,167 --> 00:24:57,851 说话人 SPEAKER_00：我并没有真正考虑过这个问题。
385 00:24:57,931 --> 00:24:58,672 说话人 SPEAKER_00：这不是我做的事情。
386 00:24:59,113 --> 00:25:01,276 说话人 SPEAKER_00：但这在我看来似乎是相当合理的。
387 00:25:02,538 --> 00:25:05,461 Speaker SPEAKER_01: 我们能否理解梦境是如何运作的？
388 00:25:05,883 --> 00:25:06,844 Speaker SPEAKER_01: 这是一大谜团。
389 00:25:07,045 --> 00:25:08,467 Speaker SPEAKER_00: 是的，我对梦境非常感兴趣。
390 00:25:09,147 --> 00:25:10,068 Speaker SPEAKER_00: 我非常感兴趣。
391 00:25:10,088 --> 00:25:11,932 说话人 SPEAKER_00: 我至少有四种关于梦的理论。
392 00:25:12,113 --> 00:25:12,854 说话人 SPEAKER_00: 让我们听听它们都是什么。
393 00:25:13,013 --> 00:25:13,755 说话人 SPEAKER_02: 一、二、三、四。
394 00:25:15,135 --> 00:25:19,041 说话人 SPEAKER_00: 所以很久以前，有 Hopfield 网络。
395 00:25:19,682 --> 00:25:22,547 说话者 SPEAKER_00: 他们会将记忆作为局部吸引子来学习。
396 00:25:23,828 --> 00:25:28,174 说话者 SPEAKER_00: 而 Hopfield 发现，如果你试图放入太多的记忆，它们会变得混乱。
397 00:25:29,136 --> 00:25:32,642 说话者 SPEAKER_00: 它们会将两个局部吸引子合并成一个位于中间的吸引子。
398 00:25:32,682 --> 00:25:39,050 说话者 SPEAKER_00: 然后，Francis Crick 和 Graham Mitchison 出现了，他们说，
399 00:25:39,587 --> 00:25:42,332 说话人 SPEAKER_00: 我们可以通过反向学习来消除这些假极小值。
400 00:25:43,333 --> 00:25:45,375 说话人 SPEAKER_00: 因此我们关闭了输入。
401 00:25:45,915 --> 00:25:47,959 说话人 SPEAKER_00: 我们将神经网络置于随机状态。
402 00:25:48,500 --> 00:25:49,500 说话人 SPEAKER_00: 我们让它稳定下来。
403 00:25:49,942 --> 00:25:51,022 说话者 SPEAKER_00: 我们说，这是不好的。
404 00:25:51,584 --> 00:25:54,227 说话者 SPEAKER_00: 改变连接，以免陷入那种状态。
405 00:25:54,247 --> 00:25:59,855 说话者 SPEAKER_00: 如果你这样做一点，它将能够存储更多的记忆。
406 00:26:00,675 --> 00:26:08,987 说话者 SPEAKER_00: 然后，Terry Sanofsky 和我来了，我们说，看，如果我们不仅有存储记忆的神经元，还有许多其他的神经元，
407 00:26:09,321 --> 00:26:13,393 说话人 SPEAKER_00: 我们能否找到一个算法，利用这些其他神经元来帮助你存储记忆？
408 00:26:14,134 --> 00:26:17,242 说话人 SPEAKER_00: 结果，最后我们提出了玻尔兹曼机学习算法。
409 00:26:17,262 --> 00:26:21,976 说话人 SPEAKER_00: 玻尔兹曼机学习算法有一个非常有趣的特性，就是，我向你展示数据。
410 00:26:22,215 --> 00:26:25,203 说话人 SPEAKER_00: 也就是说，我固定了可观察单元的状态。
411 00:26:25,183 --> 00:26:30,270 说话者 SPEAKER_00：它会在其他单元中摇摆不定，直到达到一个相对满意的状态。
412 00:26:30,932 --> 00:26:38,462 说话者 SPEAKER_00：一旦完成这个动作，它会根据两个单元是否都处于活跃状态来增加所有连接的强度。
413 00:26:38,482 --> 00:26:40,586 说话者 SPEAKER_00：这被称为赫布学习。
414 00:26:40,605 --> 00:26:43,028 说话者 SPEAKER_00：但如果你只是这样做，连接强度会越来越大。
415 00:26:44,391 --> 00:26:47,174 说话者 SPEAKER_00: 你还得有一个阶段，让它从输入中分离出来。
416 00:26:48,251 --> 00:26:50,617 说话者 SPEAKER_00: 你让它来回摇晃，直到它满意的状态。
417 00:26:50,979 --> 00:26:52,202 说话者 SPEAKER_00: 所以现在它正在做白日梦。
418 00:26:53,405 --> 00:27:00,726 说话者 SPEAKER_00: 一旦它完成了白日梦，你就说，取所有活跃的神经元对，并减少它们之间的连接强度。
419 00:27:01,786 --> 00:27:04,772 说话者 SPEAKER_00：所以我正在向您解释这个算法，就像一个过程一样。
420 00:27:05,334 --> 00:27:19,086 说话者 SPEAKER_00：但实际上，这个算法是进行了一些数学运算，并提出了如何改变这些连接字符串，以便这个包含所有隐藏单元的神经网络能够发现数据并不令人惊讶？
421 00:27:19,066 --> 00:27:21,429 说话者 SPEAKER_00：并且它必须有一个这个阶段。
422 00:27:21,509 --> 00:27:25,272 说话者 SPEAKER_00：它必须有一个我们称之为负相的阶段，当它没有输入时运行。
423 00:27:25,773 --> 00:27:27,015 说话者 说话者_00: 正在相互抵消。
424 00:27:27,615 --> 00:27:30,018 说话者 说话者_00: 它正在忘记它所进入的任何状态。
425 00:27:30,538 --> 00:27:35,444 说话者 说话者_00: 现在，克里克关于梦境所指出的，我们知道每个人每晚都会梦很多小时。
426 00:27:36,125 --> 00:27:41,090 说话者 说话者_00: 如果我随机叫醒你，你可以告诉我你刚才在做什么梦，因为那还在你的短期记忆中。
427 00:27:41,746 --> 00:27:42,907 说话人 SPEAKER_00: 所以我们知道你梦了几个小时。
428 00:27:42,948 --> 00:27:44,009 说话人 SPEAKER_00: 但早上醒来时。
429 00:27:44,549 --> 00:27:48,955 说话人 SPEAKER_00: 你可以记得最后一个梦，但记不起其他的梦，这很幸运，因为你可能会把它们误认为是现实。
430 00:27:51,599 --> 00:27:53,663 说话人 SPEAKER_00: 那为什么我们完全不记得我们的梦呢？
431 00:27:54,104 --> 00:27:59,090 说话者 SPEAKER_00: 克里克的观点是，做梦的整个目的就是忘记那些东西。
432 00:27:59,511 --> 00:28:00,953 说话者 SPEAKER_00: 所以你将学习世界倒过来。
433 00:28:01,674 --> 00:28:07,663 说话者 SPEAKER_00: 而我和 Terry Stanofsky 证明了这实际上是对玻尔兹曼机的一种最大似然学习过程。
434 00:28:07,943 --> 00:28:09,306 说话者 SPEAKER_00: 所以这是关于做梦的一个理论。
435 00:28:09,286 --> 00:28:10,568 说话人 SPEAKER_00: 你在理论上证明了这一点吗？
436 00:28:10,608 --> 00:28:21,657 说话人 SPEAKER_00: 是的，我们在理论上证明了如果你想要改变权重，使你的大型神经网络对观测到的数据感到不那么惊讶，这是正确的做法。
437 00:28:22,414 --> 00:28:23,617 说话人 SPEAKER_01：我想听听你的其他理论。
438 00:28:23,637 --> 00:28:29,029 说话人 SPEAKER_01：但在我们失去这个线索之前，你已经证明它是有效的。
439 00:28:29,049 --> 00:28:33,500 说话人 SPEAKER_01：你实际上有没有将你的深度学习算法设置为本质上像人类一样做梦？
440 00:28:34,001 --> 00:28:35,965 说话人 SPEAKER_01：研究这个图像数据集一段时间。
441 00:28:36,667 --> 00:28:37,148 说话人 SPEAKER_01：重新考虑。
442 00:28:37,189 --> 00:28:37,951 说话人 SPEAKER_01：再次研究它。
443 00:28:37,971 --> 00:28:40,676 主持人 SPEAKER_01：度假村与持续运行的机器相比。
444 00:28:40,656 --> 00:28:43,019 主持人 SPEAKER_00：是的，我们有过机器学习算法。
445 00:28:43,079 --> 00:28:48,727 主持人 SPEAKER_00：其中一些最早能够学习如何使用隐藏单元的算法是玻尔兹曼机。
446 00:28:49,528 --> 00:28:51,371 主持人 SPEAKER_00：它们非常低效。
447 00:28:51,391 --> 00:28:56,237 说话人 SPEAKER_00: 但是后来，我发现了一种使它们近似于它们的方法，这种方法是高效的。
448 00:28:56,257 --> 00:29:00,221 说话人 SPEAKER_00: 这实际上成为了深度学习再次兴起的关键。
449 00:29:00,682 --> 00:29:03,506 说话人 SPEAKER_00: 这些是逐层学习特征检测器的东西。
450 00:29:04,728 --> 00:29:08,132 说话人 SPEAKER_00: 这是一种高效的受限玻尔兹曼机形式。
451 00:29:08,112 --> 00:29:10,738 说话者 SPEAKER_00: 因此它正在做这种类型的遗忘学习。
452 00:29:11,419 --> 00:29:17,712 说话者 SPEAKER_00: 但那个人并不是去睡觉，而是在每个数据点之后幻想一会儿。
453 00:29:18,094 --> 00:29:19,897 说话者 SPEAKER_01: 所以机器人也会梦见电子羊。
454 00:29:19,938 --> 00:29:22,584 说话者 SPEAKER_01: 那么让我们看看理论二、三和四。
455 00:29:23,445 --> 00:29:23,926 说话人 SPEAKER_00: 好的。
456 00:29:24,852 --> 00:29:27,075 说话人 SPEAKER_00: 理论二被称为唤醒-睡眠算法。
457 00:29:28,196 --> 00:29:31,182 说话人 SPEAKER_00: 你想要学习一个生成模型。
458 00:29:31,803 --> 00:29:35,468 说话人 SPEAKER_00: 所以你有一个想法，你将有一个可以生成数据的模型。
459 00:29:36,229 --> 00:29:37,771 说话人 SPEAKER_00：它有特征检测器的层级。
460 00:29:38,172 --> 00:29:42,137 说话人 SPEAKER_00：并且激活高级和低级等，直到激活像素。
461 00:29:42,699 --> 00:29:43,380 说话人 SPEAKER_00：那是一张图片。
462 00:29:44,161 --> 00:29:45,303 说话人 SPEAKER_00：你还要学习另一种方式。
463 00:29:45,323 --> 00:29:46,845 说话人 SPEAKER_00: 你想学习识别数据。
464 00:29:48,007 --> 00:29:49,829 说话人 SPEAKER_00: 因此你将有一个算法
465 00:29:50,198 --> 00:29:52,344 说话人 SPEAKER_00: 该算法分为两个阶段。
466 00:29:53,026 --> 00:29:55,532 说话人 SPEAKER_00: 在跟踪阶段，数据进入。
467 00:29:55,553 --> 00:29:57,699 说话人 SPEAKER_00: 它试图识别它。
468 00:29:58,461 --> 00:30:03,314 说话人 SPEAKER_00: 而不是学习用于识别的连接，它正在学习生成连接。
469 00:30:03,734 --> 00:30:05,118 说话人 SPEAKER_00: 所以数据来了。
470 00:30:05,825 --> 00:30:10,794 说话人 SPEAKER_00: 我激活隐藏单元，然后我学习让这些隐藏单元擅长重建这些数据。
471 00:30:11,154 --> 00:30:13,940 说话人 SPEAKER_00：所以它正在学习在每个层重建。
472 00:30:13,960 --> 00:30:15,884 说话人 SPEAKER_00：但问题是，你是如何学习正向连接的？
473 00:30:15,923 --> 00:30:21,775 说话人 SPEAKER_00：所以想法是，如果你知道了正向连接，你就可以学习反向连接，因为你能够学习重建。
474 00:30:23,375 --> 00:30:27,204 说话人 SPEAKER_00：现在，也发现如果你知道了反向连接，你就可以学习正向连接。
475 00:30:27,224 --> 00:30:29,832 说话人 SPEAKER_00: 因为你可以从顶部开始生成一些数据。
476 00:30:30,594 --> 00:30:35,086 说话人 SPEAKER_00: 由于你生成了数据，你就会知道所有隐藏层的状态。
477 00:30:35,807 --> 00:30:39,577 说话人 SPEAKER_00: 因此你可以学习正向连接来恢复这些状态。
478 00:30:40,282 --> 00:30:42,946 说话人 SPEAKER_00: 那将是睡眠阶段。
479 00:30:43,587 --> 00:30:47,834 说话人 SPEAKER_00：当您关闭输入时，您就生成数据。
480 00:30:48,255 --> 00:30:51,961 说话人 SPEAKER_00：然后您尝试重建生成数据的隐藏单元。
481 00:30:52,381 --> 00:30:57,409 说话人 SPEAKER_00：因此，如果您知道自上而下的连接，您就会学习自下而上的连接。
482 00:30:57,429 --> 00:30:59,372 说话人 SPEAKER_00：如果您知道自下而上的连接，您就可以学习自上而下的连接。
483 00:30:59,952 --> 00:31:04,559 说话人 SPEAKER_00：那么，如果你从随机连接开始，尝试交替两种学习方式，会发生什么？
484 00:31:04,720 --> 00:31:05,201 说话人 SPEAKER_00：它奏效了。
485 00:31:05,902 --> 00:31:08,425 说话人 说话人_00：为了让它工作得更好，你必须做各种各样的变体。
486 00:31:08,445 --> 00:31:09,227 说话人 说话人_00：但是它有效。
487 00:31:09,982 --> 00:31:12,425 说话人 SPEAKER_01：好吧，你想讨论其他两个理论吗？
488 00:31:12,445 --> 00:31:13,326 说话人 SPEAKER_01：我们只剩下八分钟了。
489 00:31:13,346 --> 00:31:15,890 说话人 SPEAKER_01：我认为我们应该跳过一些其他问题。
490 00:31:16,711 --> 00:31:20,234 说话人 SPEAKER_00：如果你再给我一个小时，我可以讨论其他两个理论。
491 00:31:20,255 --> 00:31:21,675 说话人 SPEAKER_01: 好的，那么，2020 年谷歌 I/O 大会。
492 00:31:22,116 --> 00:31:24,720 说话人 SPEAKER_01: 那么接下来我们要讨论什么？
493 00:31:25,039 --> 00:31:26,842 说话人 SPEAKER_01: 你们的研究方向在哪里？
494 00:31:26,902 --> 00:31:28,324 说话人 SPEAKER_01: 你现在正在尝试解决什么问题？
