1 00:00:12,686 --> 00:00:22,184 说话人 SPEAKER_00：大家好，非常感谢大家的参与，我们有幸并且非常高兴地邀请到 Jeff Hinton 教授与我们同在。
217 00:24:47,104 --> 00:24:50,890 说话人 SPEAKER_01：我们运行了八次迭代并
218 00:24:53,536 --> 00:24:58,323 说话人 SPEAKER_01：首先，我尝试让效果尽可能好。
219 00:24:58,344 --> 00:25:02,549 说话人 SPEAKER_02：我尝试将高活动度作为良善函数。
220 00:25:03,191 --> 00:25:07,837 说话人 SPEAKER_02：所以你试图得到正数的活动度平方和较大，负数的活动度平方较小。
221 00:25:09,981 --> 00:25:14,208 说话人 SPEAKER_02：结果发现，实际上将低活动度作为良善函数效果更好。
222 00:25:14,888 --> 00:25:19,797 说话人 SPEAKER_02：你试图得到正数数据低活动度，负数数据高活动度。
223 00:25:19,944 --> 00:25:26,076 说话人 SPEAKER_02：在这种情况下，你想要的顶层输入与底层输入正好相反。
224 00:25:26,096 --> 00:25:31,326 说话人 SPEAKER_02：这更像是预测编码，你试图让顶层输入消除底层输入。
225 00:25:34,292 --> 00:25:36,436 说话人 SPEAKER_02：这实际上效果更好，更像是大脑的工作方式。
226 00:25:37,199 --> 00:25:39,702 说话人 SPEAKER_02：对于熟悉的数据，你的活动通常较少。
当是令人惊讶的数据时，你会有更多的活动。
所以如果你使用两层 ReLU（修正线性单元）隐藏层并且运行八步。
229 00：25：57,333 --> 00：26：01,638 演讲者 SPEAKER_02：首先，我开始收集四个时间步长后的梯度，因为我认为它应该稳定下来一点。
230 00：26：02,079 --> 00：26：05,545 演讲者 SPEAKER_02：实际上，如果你从头开始收集渐变，效果会更好。
231 00:26:06,772 --> 00:26:11,621 说话人 SPEAKER_02：然后您将学习率从初始学习率衰减到零，这个过程在 60 个 epoch 之后完成。
232 00:26:12,402 --> 00:26:15,847 说话人 SPEAKER_02：所以它的运行时间大约是反向传播的三到五倍。
233 00:26:15,867 --> 00:26:18,352 说话人 SPEAKER_02：并且它还在进行多次迭代。
234 00:26:18,511 --> 00:26:19,913 说话人 SPEAKER_02：所以它的速度比反向传播慢得多。
235 00:26:20,776 --> 00:26:24,141 说话人 SPEAKER_02：在测试时，
236 00:26:24,626 --> 00:26:27,872 说话人 SPEAKER_02：然后你采用昂贵的分类方法。
237 00:26:27,932 --> 00:26:32,599 说话人 SPEAKER_02：你用不同的标签运行网络 10 次，并选择具有最高好处的那个。
238 00:26:33,300 --> 00:26:39,351 说话人 SPEAKER_02：现在它的错误率为 1.31%，这在有后向传播训练的合理模型得到的范围内。
239 00:26:40,794 --> 00:26:50,549 说话人 SPEAKER_02：这似乎比我之前提到的非循环网络稍微好一点，但这可能并不显著，但至少它并不明显更差。
240 00:26:55,558 --> 00:27:12,982 说话人 SPEAKER_02：如果你尝试更难的任务，比如 CIFAR-10，其中背景中有很多无关信息，并且你使用两个或三个隐藏层的循环网络，并使用局部连接性。
241 00:27:13,683 --> 00:27:15,326 说话人 SPEAKER_02：所以我并没有使用卷积。
242 00:27:15,626 --> 00:27:21,875 说话人 SPEAKER_02：我没有共享权重，因为这从生物学上讲是不可能的，但我使用了局部感受野。
243 00:27:21,895 --> 00:27:25,059 说话人 SPEAKER_02：我这样做的方式是每个隐藏层
244 00:27:25,765 --> 00:27:28,368 说话人 SPEAKER_02：有一种 32x32 的布局。
245 00:27:30,892 --> 00:27:36,720 说话人 SPEAKER_02：所以一个单元大致位于输入图像的某个部分。
246 00:27:38,281 --> 00:27:47,915 说话人 SPEAKER_02：在每个隐藏层中，你将其连接到图像中该点为中心的 11x11 感受野内的单元。
247 00:27:50,138 --> 00:27:52,442 说话人 SPEAKER_02：您也这样做对于自下而上的连接。
248 00:27:52,461 --> 00:27:54,625 说话人 SPEAKER_02：您也这样做对于自上而下的连接。
249 00:27:55,329 --> 00:28:01,657 说话人 SPEAKER_02：因此它具有局部连接性，这限制了连接的数量，使其泛化能力更好一些。
250 00:28:04,442 --> 00:28:12,011 说话人 SPEAKER_02：我使用 softmax 线性分类器运行了 8 次迭代来选择硬负标签。
251 00:28:13,353 --> 00:28:20,021 说话人 SPEAKER_02：如果你用相同的架构，至少是它的前馈部分，并用反向传播进行训练，
252 00:28:21,115 --> 00:28:26,741 说话人 SPEAKER_02：使用两个隐藏层时，错误率约为 37%，使用三个隐藏层时，错误率约为 39%。
253 00:28:27,722 --> 00:28:30,586 说话人 SPEAKER_02：你必须用很强的权重衰减对其进行很强的正则化。
254 00:28:32,749 --> 00:28:38,876 说话人 SPEAKER_02：如果你用前向前算法做同样的事情，效果略差。
255 00:28:39,938 --> 00:28:42,540 说话人 SPEAKER_02：它不如反向传播好，但很接近。
256 00:28:43,622 --> 00:28:47,547 说话人 SPEAKER_02：而且，随着你进入更多的隐藏层，它并没有显著变差。
257 00:28:48,288 --> 00:28:50,750 说话人 SPEAKER_02：实际上，它可能变得更好，但这可能并不重要。
258 00:28:51,962 --> 00:28:54,726 说话人 SPEAKER_02：所以它是有效的，但效果不如反向传播好。
259 00:28:56,428 --> 00:29:09,441 说话人 SPEAKER_02：但我的看法是大脑可能没有反向传播那样工作得很好，这有点令人害怕，因为这暗示我们现在拥有的数字技术最终可能会非常、非常好，甚至可能超过我们。
260 00:29:14,086 --> 00:29:19,471 说话人 SPEAKER_01：如果你认为这个网络正在稳定下来时发生的事情，
261 00:29:19,891 --> 00:29:24,517 说话人 SPEAKER_02：它没有进行反向传播，但它正在进行我称之为反向松弛的其他操作。
262 00:29:25,198 --> 00:29:31,446 说话人 SPEAKER_02：所以如果我们回到网络的画面，这个将会做到。
该信息通过红色箭头向下传递，如果提供自上而下的输入，那有助于训练自下而上的输入
264 00:29:46,874 --> 00:29:59,432 说话者 SPEAKER_02：这意味着更高层次的表现形式信息正在影响自下而上的输入，所以如果你看中间层，中间层的右手边框。
265 00：30：00,239 --> 00：30：08,969 演讲者 SPEAKER_02：自下而上的蓝色箭头，那里的学习受到基于旧视频帧的从上面下来的内容的影响。
266 00：30：08,989 --> 00：30：18,019 演讲者 SPEAKER_02：所以你得到了我们想要的东西，那就是高级表征可以影响低级表征的学习。
267 00:30:19,060 --> 00:30:25,268 说话人 SPEAKER_02：但是如果你问信息返回的速度有多快，嗯，在那个中间层，
268 00:30:25,872 --> 00:30:30,417 说话人 SPEAKER_02：自上而下的信息与自下而上的信息混合在一起。
269 00:30:32,141 --> 00:30:43,576 说话人 SPEAKER_02：然后是竞争性表示，然后这种平均表示被发送到下一层，所以上面的信息正被来自底部的信息所稀释。
270 00:30:44,417 --> 00:30:54,654 说话人 SPEAKER_02：结果是，从高层传播到低层的信息速度更像是扩散或松弛，而不是传播。
271 00：30：55,455 --> 00：31：06,914 发言者 SPEAKER_02：在反向传播中，信息一直返回，而各种完整的信息则返回，在途中被所有权重矩阵修改，但未被前向传递的活动稀释。
272 00:31:07,215 --> 00:31:10,519 说话者 SPEAKER_02：这里是一个扩散过程。
273 00：31：10,558 --> 00：31：12,661 演讲者 SPEAKER_02：所以它会通过几个层次来工作，好的。
274 00：31：12,681 --> 00：31：14,541 议长 SPEAKER_02：但是它根本无法通过一百层。
275 00:31:15,423 --> 00:31:17,444 说话人 SPEAKER_02：现在，幸运的是，大脑并没有有一百层。
276 00:31:18,306 --> 00:31:26,653 说话人 SPEAKER_02：在这里发生的情况是，第一次看到图像时，信息不会完全返回到早期层。
277 00:31:27,894 --> 00:31:34,079 说话人 SPEAKER_02：但是当你看到图像时所做的学习，你将通过几层获取信息。
278 00:31:34,680 --> 00:31:36,902 说话人 SPEAKER_02：所以现在自下而上的输入，
279 00:31:37,000 --> 00:31:43,069 说话人 SPEAKER_02：中间层将学会不同，因为来自上层的信 息。
280 00:31:44,172 --> 00:31:49,441 说话人 SPEAKER_02：因此，如果我现在再次向您展示同一张图片，上下部分是不同的。
281 00:31:49,882 --> 00:31:59,498 说话人 SPEAKER_02：所以，现在，由高级表示引起的这种差异将在下一级引起差异。
282 00:31:59,967 --> 00:32:08,821 说话人 SPEAKER_02：因此，如果您多次展示一张图片，信息将通过许多层返回，但在一次展示中不会高效地通过许多层返回。
283 00:32:10,023 --> 00:32:16,035 说话人 SPEAKER_02：所以这就是反向松弛和反向传播之间的区别，我怀疑我们只能坚持使用反向松弛。
284 00:32:24,730 --> 00:32:25,029 说话人 SPEAKER_01：好的。
285 00:32:28,974 --> 00:32:31,637 说话人 SPEAKER_01：我想以这句话结束，谈谈这与生成对抗网络（GANs）的关系。
286 00:32:32,999 --> 00:32:42,528 说话人 SPEAKER_02：所以，生成对抗网络，就像玻尔兹曼机或噪声对比估计，是通过尝试区分真实数据和生成数据来工作的。
287 00:32:43,410 --> 00:32:56,163 说话人 SPEAKER_02：在正向-正向算法中，GAN 的判别模型被替换为一种贪婪的前馈模型，该模型试图在每一层进行判别，而不是只在最后一层有一个逻辑单元。
288 00:32:57,140 --> 00:33:06,854 说话人 SPEAKER_02：因为它试图在每一层进行判别，并且是贪婪的，通过贪婪训练，它可以不使用反向传播进行训练，因为我们正在每一层进行这些贪婪的判别。
289 00:33:07,734 --> 00:33:12,000 说话人 SPEAKER_02：这就是我们如何在不使用反向传播的情况下学习判别模型的方法。
290 00:33:13,544 --> 00:33:22,876 说话人 SPEAKER_02：现在，再次强调，生成模型，它通常通过将判别误差反向传播到生成模型进行训练，
291 00:33:24,865 --> 00:33:27,587 说话人 SPEAKER_02：我们不会有一个单独的生成模型。
292 00:33:28,588 --> 00:33:33,953 说话人 SPEAKER_02：我们将用判别模型的隐藏层替换生成模型的隐藏层。
293 00:33:33,973 --> 00:33:35,835 说话人 SPEAKER_02：我们将共享相同的表示。
294 00:33:37,616 --> 00:33:43,162 说话人 SPEAKER_02：然后我们将使用判别模型中的这些隐藏层来尝试预测序列中的下一个术语。
295 00:33:44,303 --> 00:33:51,269 说话人 SPEAKER_02：因此我们可以训练生成模型而不需要反向传播，因为它不需要学习其隐藏表示。
296 00:33:51,369 --> 00:33:53,471 说话人 SPEAKER_02：这只是从判别模型中窃取它们。
297 00:33:54,650 --> 00:33:57,554 说话人 SPEAKER_02：这给我们带来了几个优点和一个很大的缺点。
298 00:33:59,656 --> 00:34:06,925 说话人 SPEAKER_02：所以如果你考虑 GANs 存在的问题，它们在生成模型和判别模型之间存在对抗竞争。
299 00:34:07,226 --> 00:34:08,447 说话人 SPEAKER_02：这使得训练变得棘手。
300 00:34:08,768 --> 00:34:10,431 说话人 SPEAKER_02：你必须正确获取相对学习率。
301 00:34:12,393 --> 00:34:17,018 说话人 SPEAKER_02：如果生成模型和判别模型共享它们的隐藏表示，这个问题就会消失。
302 00:34:18,820 --> 00:34:21,585 说话人 SPEAKER_02：GANs 的另一个问题是它们存在模式坍塌。
303 00:34:21,733 --> 00:34:28,967 生成模型可能会忽略数据空间的大部分，但生成对抗网络（GAN）似乎仍然非常高兴。
304 00:34:29,007 --> 00:34:45,818 如果您与判别模型共享隐藏表示，这种情况就不会发生，因为现在隐藏表示是在整个数据空间上训练的，包括所有训练数据覆盖的内容。
305 00:34:46,489 --> 00:34:48,972 因此，您消除了模式坍塌。
306 00:34:48,992 --> 00:34:53,317 但您得到的重大缺点是您无法学习到如此好的生成模型。
目前一个很大的开放问题是，使用前向-前向算法，尤其是在循环神经网络中，是否可以学习到一个足够好的生成模型，使得模型能够产生足够好的负数据，以用于训练前向-前向算法。
308 00：35：11,795 --> 00：35：12,958 议长 SPEAKER_02：这就是我现在正在做的事情。
309 00:35:14,599 --> 00:35:15,179 说话者 SPEAKER_02：这就是结束。
非常感谢，教授，您这次精彩的、富有洞察力的演讲。
311 00:35:21,121 --> 00:35:26,027 说话人 SPEAKER_00：所以我有很多问题，我将尝试挑选一些问题来问你。
312 00:35:26,608 --> 00:35:31,956 说话人 SPEAKER_00：所以这种前向到前向算法，开辟了新的研究领域。
313 00:35:32,476 --> 00:35:40,527 说话人 SPEAKER_00：您如何看待这对其他架构、其他模型和架构的创建产生影响？
314 00:35:41,231 --> 00:35:47,262 说话人 SPEAKER_02：好吧，我认为在实用方面，反向传播在当前数字计算机上效果更好。
315 00:35:49,166 --> 00:35:54,134 说话人 SPEAKER_02：但是前向算法可能允许我们使用纯模拟计算。
316 00:35:54,715 --> 00:36:02,407 说话人 SPEAKER_02：模拟计算的问题在于它会产生噪声，杂散的电磁场会影响计算结果。
317 00:36:03,630 --> 00:36:04,692 说话人 SPEAKER_02：并且
318 00:36:04,891 --> 00:36:13,442 说话人 SPEAKER_02：因此，除非你继续数字化，否则你无法使两个不同的模拟计算机表现得完全一样。
319 00:36:13,461 --> 00:36:19,530 说话人 SPEAKER_02：当然，一旦开始数字化，就会失去所有模拟的优势。
320 00:36:20,130 --> 00:36:33,648 说话人 SPEAKER_02：你必须使用高功率，一个比特的数字可能还可以，就像大脑那样，是放电还是不放电，但得到一个 8 比特或 16 比特的数字，与纯模拟计算相比，需要消耗大量的能量。
321 00:36:34,742 --> 00:36:42,030 说话人 SPEAKER_02：前向-前向算法的优势在于你可以在不知道硬件工作原理的情况下在硬件上运行它。
322 00:36:43,010 --> 00:37:00,547 说话人 SPEAKER_02：例如，如果我在网络中间加入一个随机矩阵层，后面跟着 ReLU 单元，或者任何我喜欢的其他单元，而我甚至不知道它，然后运行前向-前向算法，它仍然可以正常运行。
323 00:37:01,152 --> 00:37:02,054 说话人 SPEAKER_02：它没有问题。
324 00:37:02,554 --> 00:37:15,596 说话人 SPEAKER_02：而如果你在反向传播网络中间有一个层，一个前馈网络，你不知道变换是什么，而且变换可能甚至不是平稳的，反向传播算法就不起作用了。
325 00:37:15,817 --> 00:37:21,967 说话人 SPEAKER_02：你最好能自己构建一个可微分的模型来模拟你网络中间的黑盒。
326 00:37:23,009 --> 00:37:25,632 说话人 SPEAKER_02：但是前向算法，它根本不会减慢这个过程。
327 00:37:25,753 --> 00:37:26,755 说话人 SPEAKER_02：没有问题。
328 00:37:27,561 --> 00:37:35,331 说话人 SPEAKER_02：如果你需要与不知道具体行为的硬件合作，这似乎非常有前景。
329 00:37:35,371 --> 00:37:36,552 说话人 SPEAKER_02：你知道它大致会如何表现。
330 00:37:36,974 --> 00:37:43,001 说话人 SPEAKER_02：你需要了解足够的信息，以便知道如何调整你的输入权重，使其更加活跃或更加不活跃。
331 00:37:43,422 --> 00:37:45,224 说话人 SPEAKER_02：但是在这个算法中你只需要知道这些。
332 00:37:46,085 --> 00:37:48,608 说话人 SPEAKER_02：所以你需要在网络中拥有一些单元。
333 00:37:48,588 --> 00:37:51,090 说话人 SPEAKER_02：它们可以改变输入权重以变得更加活跃或减少活跃度。
334 00:37:52,992 --> 00:37:56,697 说话人 SPEAKER_02：但你还有许多其他事情在进行中，它会适应这些变化。
335 00:37:57,157 --> 00:38:01,422 说话人 SPEAKER_02：这是因为两次不同的正向传递抵消了所有这些因素。
336 00:38:02,523 --> 00:38:10,634 说话人 SPEAKER_02：这里有一个非常重要的问题，那就是对比正负数据可以消除所有这些因素。
337 00:38:11,355 --> 00:38:18,443 说话人 SPEAKER_02：一旦你尝试对比两个内部表示，就像目前在典型的对比学习中做的那样，
338 00:38:18,507 --> 00:38:21,632 说话人 SPEAKER_02：你将面临所有这些随机效应的大问题。
339 00:38:22,755 --> 00:38:29,847 说话人 SPEAKER_02：但是，如果你使用正数据与负数据，会发生一个很棒的特性，那就是所有这些内部噪音和不确定性都会相互抵消。
340 00:38:30,148 --> 00:38:34,577 说话人 SPEAKER_02：因为它们在正向和反向传递中都是相同的，所以它们都会相互抵消。
341 00:38:35,478 --> 00:38:37,262 说话人 SPEAKER_00：这对硬件来说听起来非常有前景。
342 00:38:37,461 --> 00:38:42,050 说话人 SPEAKER_00：那么，您认为这会被应用于 GPU 和 TPU 等设备吗？
343 00:38:42,891 --> 00:38:49,117 说话人 SPEAKER_02：不，不，我认为这是一种完全不同的硬件，我称之为凡人计算。
344 00:38:49,599 --> 00:39:06,695 说话人 SPEAKER_02：所以如果你看看计算机的历史，当他们最初制造通用数字计算机时，每个人都认为要让它完成特定任务，就是通过编写一个程序来告诉它具体要做什么。
345 00:39:10,119 --> 00:39:10,619 说话人 SPEAKER_02：现在，
346 00:39:11,443 --> 00:39:19,931 说话人 SPEAKER_02：现在我们有了良好的学习算法，你可以通过学习让通用网络完成特定任务。
347 00:39:19,972 --> 00:39:21,134 说话人 SPEAKER_02：你不必编写程序。
348 00:39:21,614 --> 00:39:26,418 说话人 SPEAKER_02：显然，学习算法必须包含在内，但你不必为每个任务编写程序。
349 00:39:28,601 --> 00:39:37,349 说话人 SPEAKER_02：我认为这表明我们可以摒弃计算机科学的一个基本基础，那就是软件和硬件之间的区别。
350 00:39:38,891 --> 00:39:41,434 说话人 SPEAKER_02：所以如果你能将软件与硬件分离，
351 00:39:41,768 --> 00:39:46,672 说话人 SPEAKER_02：你可以有一个计算机科学系，在那里你可以讨论程序的性质，而不需要了解任何电气工程。
352 00:39:47,793 --> 00:39:52,237 说话人 SPEAKER_02：如果你不能将它们分开，你必须了解电气工程和编程。
353 00:39:53,119 --> 00:40:02,148 说话人 SPEAKER_02：此外，如果你能将硬件和软件分开，你就可以将相同的软件安装在数百万部不同的手机上。
354 00:40:02,789 --> 00:40:03,750 说话人 SPEAKER_02：所以这非常方便。
355 00:40:05,150 --> 00:40:08,014 说话人 SPEAKER_02：此外，你也可以证明关于程序所做事情的事情。
356 00:40:09,235 --> 00:40:11,336 说话人 SPEAKER_02：我建议放弃所有这些。
357 00:40:12,092 --> 00:40:15,722 说话人 SPEAKER_02：如果你看看生物学，它没有相同的限制。
358 00:40:16,846 --> 00:40:23,342 说话人 SPEAKER_02：如果你朝相反的方向看，你会说每一块硬件都将与每一块硬件不同。
359 00:40:24,485 --> 00:40:28,617 说话人 SPEAKER_02：在细节上会有所不同，就像你的大脑和我的大脑一样。
360 00:40:29,389 --> 00:40:34,914 说话人 SPEAKER_02：而你学习的权重只会在那块特定的硬件上起作用。
361 00:40:35,496 --> 00:40:41,822 说话人 SPEAKER_02：并且它们将适应那块特定硬件中特定神经元的特性。
362 00:40:41,842 --> 00:40:48,907 说话人 SPEAKER_02：或者如果是模拟硬件，那些特定模拟电路的特定特性，这些特性在不同的硬件中并不相同。
363 00:40:50,068 --> 00:40:55,393 说话人 SPEAKER_02：现在你有一个大问题，你必须分别训练每一块硬件。
364 00:40:56,175 --> 00:40:57,456 说话人 SPEAKER_02：它们需要被教育。
365 00:40:58,144 --> 00:40:59,567 说话人 SPEAKER_02：就像人一样。
366 00:41:00,708 --> 00:41:09,277 说话人 SPEAKER_02：你可以通过使用蒸馏等技巧从一块硬件获取信息到另一块硬件，这是一种教育形式。
367 00:41:10,619 --> 00:41:12,041 说话人 SPEAKER_02：但你不能只是复制权重。
368 00:41:12,702 --> 00:41:18,168 说话人 SPEAKER_02：我现在的信念是，能够直接复制权重会带来巨大的收益。
369 00:41:19,208 --> 00:41:22,432 说话人 SPEAKER_02：这就是我们当前数字硬件中反向传播的原因。
370 00:41:22,672 --> 00:41:24,175 说话人 SPEAKER_02：这就是它将比我们更好的原因。
371 00:41:25,996 --> 00:41:27,679 说话人 SPEAKER_02：但如果您想要低功耗，
372 00:41:28,688 --> 00:41:34,818 说话人 SPEAKER_02：那么探索模拟硬件是值得的，在那里您放弃软件和硬件的分离。
373 00:41:35,380 --> 00:41:38,846 说话人 SPEAKER_02：每个单独的部分都需要训练，但之后它就可以运行。
374 00:41:38,865 --> 00:41:43,152 说话人 SPEAKER_02：然后您可以用仅 30 瓦的功率运行拥有 100 万亿个连接的东西。
375 00:41:43,487 --> 00:41:48,074 说话人 SPEAKER_00: 你看到 AI 正在走向将软件和硬件分离的方向吗？
376 00:41:48,094 --> 00:41:53,461 说话人 SPEAKER_00: 我的意思是，我们现在已经知道，通常我们会先对软件进行优化，然后尝试对硬件进行优化。
377 00:41:53,842 --> 00:41:54,764 说话人 SPEAKER_00: 你对此有何看法？
378 00:41:55,244 --> 00:41:56,847 说话人 SPEAKER_02: 我认为这里会有一个分支。
这个前沿领域，你使用当前的数字硬件和巧妙的编程，分担计算量，从而实现模型并行化
抱歉，您可以在不同的计算机上使用相同的数据训练不同的模型，然后平均权重，诸如此类的事情。
381 00：42：18,956 --> 00：42：25,666 演讲者 SPEAKER_02：这将是设备变得最智能的地方。
382 00:42:26,967 --> 00:42:32,496 说话者 SPEAKER_02：但将会有一种完全不同的设备，那就是这些模拟低功耗设备。
383 00:42:34,096 --> 00:42:40,166 说话人 SPEAKER_02：其主要优势在于硬件制造成本低，因为它不需要可靠制造。
384 00:42:40,586 --> 00:42:44,434 说话人 SPEAKER_02：您不需要一个价值 100 亿美元的晶圆厂来制造硬件。
385 00:42:44,454 --> 00:42:46,297 说话人 SPEAKER_02：您实际上会用纳米技术来生长它。
386 00:42:47,378 --> 00:42:49,963 说话人 SPEAKER_02：它将以非常低的功耗运行。
387 00:42:51,666 --> 00:42:58,297 说话人 SPEAKER_02：所以你将能够在你的烤面包机里拥有一个语言界面，只需 1 美元，功耗仅为几瓦。
388 00:43:00,050 --> 00:43:08,259 说话人 SPEAKER_02：但它不会像这些真正的大、非常昂贵、非常耗电的系统一样智能，这些系统是用反向传播训练的。
389 00:43:08,440 --> 00:43:09,603 说话人 SPEAKER_02：这是我现在的信念。
390 00:43:09,871 --> 00:43:12,315 说话人 SPEAKER_00：前景非常广阔，听到这个消息真是太好了。
391 00:43:12,675 --> 00:43:15,561 说话人 SPEAKER_00：关于这次演示，您可能还有一个问题。
392 00:43:16,581 --> 00:43:21,230 说话人 SPEAKER_00：您认为这是一个新的研究领域吗？
393 00:43:21,250 --> 00:43:24,976 说话人 SPEAKER_00：因为它与我们过去使用的反向传播方式非常不同。
394 00:43:25,036 --> 00:43:28,322 说话人 SPEAKER_00：所以您觉得这正在孕育出新的不同方式吗？
395 00:43:28,342 --> 00:43:29,744 说话人 SPEAKER_02：嗯，这可不是在生孩子。
396 00:43:29,764 --> 00:43:32,248 说话人 SPEAKER_02：已经有很多人拥有所有这些信仰。
397 00:43:32,509 --> 00:43:36,114 说话人 SPEAKER_02：有个叫杰克·肯德尔的人，在一家叫雷恩的公司工作。
398 00:43:36,094 --> 00:43:41,568 说话人 SPEAKER_02：还有一群人在斯坦福相信所有这些，并试图做模拟硬件。
399 00:43:42,431 --> 00:43:46,762 说话人 SPEAKER_02：这个算法对他们来说非常相关。
400 00:43:49,730 --> 00:43:51,132 说话人 SPEAKER_00：好的，这里我有一个问题。
401 00:43:51,851 --> 00:44:01,324 说话人 SPEAKER_00：您对我们总是越来越接近了解大脑的工作持非常乐观的态度。
402 00:44:01,884 --> 00:44:11,556 说话人 SPEAKER_00：那么，您最近关于大脑的最新发现有哪些，这些发现改变了您对大脑的看法？
403 00:44:11,635 --> 00:44:15,940 说话人 SPEAKER_00: 我想你上次说过，也许我们会在五年左右找到答案。
404 00:44:15,981 --> 00:44:17,862 说话人 SPEAKER_00: 你现在还觉得我们在成长吗？
405 00:44:17,842 --> 00:44:21,509 说话人 SPEAKER_02: 我一直认为我们会在五年左右找到答案，最终我会证明我是对的。
406 00:44:25,675 --> 00:44:31,344 说话人 SPEAKER_02: 只是我们说我们在一百年内找不到答案，这不是一个好的研究策略。
407 00:44:31,385 --> 00:44:37,775 说话人 SPEAKER_02：可能更现实一些，但如果我们要 100 年后才能弄清楚，那还不如放弃。
408 00:44:39,324 --> 00:44:41,469 说话人 SPEAKER_02：显然，我们不可能在下周内弄清楚。
409 00:44:43,371 --> 00:44:53,690 说话人 SPEAKER_02：但是相信我们很可能弄清楚……我认为我们可能弄清楚的原因是，一旦足够接近，就会出现一个大的吸引子。
410 00:44:53,769 --> 00:44:57,197 说话人 SPEAKER_02：一旦足够接近，突然间所有的事情都会变得有意义。
411 00:44:57,898 --> 00:45:02,025 说话人 SPEAKER_02：关于大脑的各种奇怪事实将开始变得有意义。
412 00:45:02,561 --> 00:45:11,304 说话人 SPEAKER_02：所以这有点像奇点，突然之间你会觉得你足够接近，现在你可以看到这一切是如何联系在一起的。
413 00:45:12,748 --> 00:45:17,280 说话人 SPEAKER_02：这正是我所希望的，我希望我能亲眼看到这一幕。
414 00:45:18,289 --> 00:45:24,918 说话人 SPEAKER_00：最后一个问题，也就是关于大脑和反向传播还有很多其他问题。
415 00:45:24,938 --> 00:45:27,099 说话人 SPEAKER_00: 这个话题实际上是关于摩洛哥和人工智能的。
416 00:45:27,440 --> 00:45:40,315 说话人 SPEAKER_00: 我有一个问题，摩洛哥在人工智能领域有着很好的发展势头，摩洛哥人工智能我们努力在所有这些顶级机器学习会议和创新活动中保持强大的存在，然而对于所有这些发展中国家
417 00:45:40,295 --> 00:45:43,038 说话人 SPEAKER_00: 面临着许多挑战，比如资源，对吧？
418 00:45:43,059 --> 00:45:48,826 说话人 SPEAKER_00: 资源问题，或者可能是合格的学者提供的良好指导。
419 00:45:48,846 --> 00:46:01,041 说话人 SPEAKER_00: 那么，霍 inton 教授，您对摩洛哥的所有 AI 研究人员有什么建议，是引领非洲还是仅仅帮助非洲在 AI 领域取得进步和突破？
420 00:46:02,503 --> 00:46:06,487 说话人 SPEAKER_02: 我不确定我有没有什么非常具体的建议。
421 00:46:07,610 --> 00:46:09,492 说话人 SPEAKER_02: 谷歌的 Jeff Dean，
422 00:46:10,146 --> 00:46:11,630 说话人 SPEAKER_02: 非常热衷于帮助非洲。
423 00:46:11,650 --> 00:46:13,934 说话人 SPEAKER_02：我的意思是，他在加纳建立了一个谷歌实验室。
424 00:46:14,996 --> 00:46:26,681 说话人 SPEAKER_02：总的来说，我认为许多学术界和工业界的领先研究人员都愿意帮助非洲。
425 00:46:26,721 --> 00:46:31,210 说话人 SPEAKER_02：他们认识到那里有大量的人才。
426 00:46:31,476 --> 00:46:45,213 说话人 SPEAKER_02：我的朋友 Terry Sinofsky，他比我更懂生物，向我解释说，如果你看遗传多样性，非洲的遗传多样性比全世界其他地方加起来还要多，因为人们在那里存在的时间更长。
427 00:46:47,074 --> 00:47:00,471 说话人 SPEAKER_02：有很多原因想要帮助非洲，包括过去帝国主义国家，比如我来自的那个国家，所做的一切坏事。
428 00:47:02,105 --> 00:47:10,019 说话人 SPEAKER_02：我想你会发现，有很多学者愿意通过例如在你们的会议上发表演讲等方式来提供帮助。
429 00:47:11,802 --> 00:47:20,518 说话人 SPEAKER_00：另一个例子是，如果你们有什么具体的研究领域建议，比如根据他们所在的位置，他们可以深入研究。
430 00:47:23,324 --> 00:47:24,686 说话人 SPEAKER_01：显然。
431 00:47:25,949 --> 00:47:38,777 说话人 SPEAKER_02：有一件事是明确的，现在每个人都很清楚，使用反向传播训练的神经网络效果非常好，它们将被用于一切。
432 00:47:39,230 --> 00:47:44,958 说话人 SPEAKER_02：在非洲，可能有很多针对非洲的有趣应用。
433 00:47:45,798 --> 00:47:50,164 说话人 SPEAKER_02：这些地方将是非洲研究人员具有优势的地方。
434 00:47:50,286 --> 00:47:53,369 说话人 SPEAKER_02：他们可以理解这些应用，并与需要这些应用的人合作。
435 00:47:53,971 --> 00:47:55,552 说话人 SPEAKER_02：这似乎是显而易见的事情要做。
436 00:47:56,494 --> 00:48:06,148 说话人 SPEAKER_02：我还没有真正考虑其他的事情，但最明显的事情是考虑
437 00:48:07,141 --> 00:48:11,746 说话人 SPEAKER_02：针对非洲的具体应用，并针对这些应用进行工作。
438 00:48:13,329 --> 00:48:17,614 说话人 SPEAKER_02：这显然是一种良性的循环。
439 00:48:19,177 --> 00:48:22,362 说话人 SPEAKER_00：也许正如你之前提到的，如果这个计算发生变化，对吧？
440 00:48:22,382 --> 00:48:34,498 说话人 SPEAKER_00：所以现在我们看到这些大公司都在使用这样的计算，也许如果有一些领域实际上只需要更少的计算就能解决问题，并且还能创新，那可能非常有希望。
