1 00:00:00,166 --> 00:00:07,655 说话人 SPEAKER_02：对我来说，能有机会与 Geoffrey Hinton 进行对话，这真是一件令人高兴的事情。
230 00:22:01,291 --> 00:22:06,135 说话人 SPEAKER_00: 但整个机制大体上和现在的这些模型是一样的。
231 00：22：06,236 --> 00：22：08,097 演讲者 SPEAKER_00：这些模型更复杂，因为它们使用了注意力。
232 00:22:08,557 --> 00:22:16,545 说话者 说话者_00：但基本上，你需要让它为单词和特征之间的交互发明特征，以便它可以预测下一个单词的特征。
233 00:22:17,506 --> 00:22:21,630 说话者 说话者_00：它被介绍为尝试了解大脑在做什么的一种方式。
234 00：22：22,336 --> 00：22：28,163 演讲者 SPEAKER_00：在它被引入的时候，象征性的 AI 人们没有说，哦，这不明白。
235 00:22:28,202 --> 00:22:34,852 说话人 SPEAKER_00：他们很乐意承认，这个系统在小型领域、小型玩具领域确实学会了结构。
236 00:22:35,532 --> 00:22:43,221 说话人 SPEAKER_00：他们只是争论说，通过搜索符号规则的空间来学习这种结构会更好，而不是通过神经网络权重的空间。
237 00:22:44,483 --> 00:22:46,326 说话人 SPEAKER_00：但他们并没有说这是理解。
238 00:22:47,807 --> 00:22:51,532 说话人 SPEAKER_00：只有当它真正起作用时，人们才不得不说，这不算数。
239 00:22:53,250 --> 00:22:57,896 说话人 SPEAKER_02：嗯，这也让我感到惊讶。
240 00:22:57,936 --> 00:23:00,099 说话人 SPEAKER_02：我对你的想法很感兴趣。
241 00:23:01,101 --> 00:23:21,246 说话人 SPEAKER_02：我在《深度医学》这本书中预见到，时间的礼物，我们一直在谈论的所有这些事情，比如模型可以使用的入口，提出诊断，甚至将环境对话转化为合成笔记。
242 00:23:21,266 --> 00:23:22,768 说话人 SPEAKER_02：我没有想到的事情，
243 00:23:23,068 --> 00:23:25,030 说话人 SPEAKER_02：机器能否促进同理心。
244 00:23:26,252 --> 00:23:48,682 说话人 SPEAKER_02：我现在看到的情况，不仅仅是现在数字化的笔记，还有来自诊所对话的合成笔记，以及通过LLM进行的辅导，比如说，你知道，琼斯博士，你打断病人的话太快了。
245 00:23:49,162 --> 00:23:51,404 说话人 SPEAKER_02：你没有听他们的问题。
246 00:23:51,789 --> 00:23:55,174 说话人 SPEAKER_02：你没有表现出敏感、同情或同理心。
247 00:23:55,535 --> 00:23:57,317 说话人 SPEAKER_02：也就是说，这很了不起。
248 00:23:57,337 --> 00:24:02,724 说话人 SPEAKER_02：显然，机器并不一定能够感受到或知道什么是同理心，但它可以促进它。
249 00:24:02,765 --> 00:24:04,267 说话人 SPEAKER_02：你对此有什么看法？
250 00:24:05,429 --> 00:24:07,692 说话人 SPEAKER_00：好吧，我对这个的看法有点复杂。
251 00:24:07,892 --> 00:24:15,342 说话人 SPEAKER_00: 但显然，如果你用表现出同理心的文本来训练它，它将产生表现出同理心的文本。
252 00:24:16,784 --> 00:24:20,328 说话人 SPEAKER_00: 但问题是，它真的有同理心吗？
253 00:24:21,540 --> 00:24:23,042 说话人 SPEAKER_00: 我认为这是一个悬而未决的问题。
254 00:24:23,163 --> 00:24:25,165 说话人 SPEAKER_00: 我倾向于认为它有。
255 00:24:27,327 --> 00:24:36,440 说话人 SPEAKER_00：我实际上倾向于认为这些大型聊天机器人，尤其是多模态的，具有主观体验。
256 00:24:36,460 --> 00:24:39,222 说话人 SPEAKER_00：而这正是大多数人认为完全疯狂的事情。
257 00:24:39,624 --> 00:24:44,069 说话人 SPEAKER_00：但我很乐意处于大多数人认为我完全疯狂的位置。
258 00:24:44,089 --> 00:24:48,375 说话人 SPEAKER_00：那么，让我给你们一个他们认为它们具有主观体验的理由。
259 00:24:49,469 --> 00:24:58,538 说话人 SPEAKER_00: 假设我拿一个带有摄像头和机械臂的聊天机器人，它已经被训练好了，我在它面前放一个物体，然后说，指向这个物体。
260 00:24:58,558 --> 00:24:59,661 说话人 SPEAKER_00: 所以它指向了物体。
261 00:25:00,461 --> 00:25:06,327 说话人 SPEAKER_00: 然后我在它摄像头前放了一个棱镜，它会弯曲光线，但它并不知道这一点。
262 00:25:07,048 --> 00:25:10,373 说话人 SPEAKER_00: 现在，我在它面前放一个物体，然后说，指向这个物体，它就直直地指向前方。
263 00:25:10,893 --> 00:25:13,777 说话人 SPEAKER_00: 很抱歉，它指向一侧，尽管物体正前方。
264 00:25:14,497 --> 00:25:16,859 说话人 SPEAKER_00: 我说，不，物体实际上并不在那里，
265 00:25:17,194 --> 00:25:19,817 说话人 SPEAKER_00: 物体正前方，我在你的摄像机前放了一个棱镜。
266 00:25:21,160 --> 00:25:23,683 说话人 SPEAKER_00: 假设聊天机器人说，哦，我看到了。
267 00:25:23,703 --> 00:25:29,211 说话人 SPEAKER_00：物体实际上就在正前方，但我有一种主观感觉它偏到了一边。
268 00:25:30,673 --> 00:25:36,961 说话人 SPEAKER_00：现在，如果聊天机器人这么说，我认为它会像人们一样使用“主观感觉”这个短语。
269 00:25:38,363 --> 00:25:42,087 说话人 SPEAKER_00：它的感知系统告诉它它偏到了一边。
270 00:25:42,540 --> 00:25:47,727 说话人 SPEAKER_00：所以他的感知系统告诉他的，如果物体真的偏到了一边，那将是正确的。
271 00:25:48,667 --> 00:25:50,470 说话人 SPEAKER_00: 我们所说的主观体验就是这个意思。
272 00:25:50,490 --> 00:25:59,621 说话人 SPEAKER_00: 当我说我有小粉象在我面前飘浮的主观体验时，我的意思并不是说在我内心有一个小粉象的内在剧场。
273 00:25:59,921 --> 00:26:09,071 说话人 SPEAKER_00: 我真正想说的是，如果在这个现实世界中真的有小粉象在我面前飘浮，那么我的感知系统就会告诉我真相。
274 00:26:10,469 --> 00:26:19,680 说话人 SPEAKER_00: 所以我认为主观体验有趣的地方不在于它是某种由神秘质料构成的内在剧场中的奇怪东西。
275 00:26:20,440 --> 00:26:25,046 说话人 SPEAKER_00: 我认为主观经验是对可能世界的假设性陈述。
276 00:26:25,546 --> 00:26:30,291 说话人 SPEAKER_00: 如果世界是这样的，那么你的体验，你的感知系统将运行正常。
277 00:26:31,212 --> 00:26:33,895 说话人 SPEAKER_00: 这就是我们使用主观经验的方式。
278 00:26:33,955 --> 00:26:35,817 说话人 SPEAKER_00: 我认为聊天机器人也可以这样使用。
279 00:26:36,507 --> 00:26:40,133 说话人 SPEAKER_00：我认为这里需要做很多哲学工作，并且要把它弄清楚。
280 00:26:40,512 --> 00:26:42,175 说话人 SPEAKER_00：我认为我们不能把它留给哲学家们。
281 00:26:42,236 --> 00:26:43,218 说话人 SPEAKER_00：现在太紧迫了。
282 00:26:44,500 --> 00:26:47,003 说话人 SPEAKER_02：嗯，这实际上是一个令人着迷的回答。
283 00:26:47,023 --> 00:27:04,371 说话人 SPEAKER_02：并且增加了你对理解的认识，可能让你回到了今年 5 月离开谷歌时的状态，那时你看到了这是一个新的层次
284 00:27:04,856 --> 00:27:09,821 说话人 SPEAKER_02：无论你想要称之为什么，不是 AGI，而是，你知道的，比之前的 AI 有所增强的东西。
285 00:27:11,442 --> 00:27:26,037 说话人 SPEAKER_02：从某些方面来说，我并不想说任何警钟，但自那时起，你一直持续表达了对我们进入了一个新阶段，我们正在用 AI 走向一个新方向的担忧。
286 00:27:26,057 --> 00:27:32,923 说话人 SPEAKER_02：你能详细谈谈你在 5 月时的想法和心态吗？
287 00:27:33,207 --> 00:27:34,848 说话人 SPEAKER_02：你认为现在事情会朝哪个方向发展？
288 00:27:36,131 --> 00:27:37,913 说话人 SPEAKER_00：好吧，让我们把故事理清楚。
289 00:27:37,932 --> 00:27:40,175 说话人 SPEAKER_00：这是新闻媒体传播的一个好故事。
290 00:27:40,576 --> 00:27:41,017 说话人 SPEAKER_00：是的。
291 00:27:41,037 --> 00:27:47,164 说话人 SPEAKER_00：实际上，我因为 75 岁而离开了谷歌，因为我无法再编程了，因为我总是忘记变量代表什么。
292 00:27:47,945 --> 00:27:48,006 说话人 SPEAKER_00：好的。
293 00:27:49,268 --> 00:27:50,930 说话人 SPEAKER_00：我抓住了这个机会。
294 00:27:51,090 --> 00:27:52,633 说话人 SPEAKER_00：此外，我还想看很多 Netflix。
295 00:27:53,073 --> 00:27:56,817 说话人 SPEAKER_00: 我反正要离开谷歌，就趁机开始公开发表关于人工智能安全的声明。
296 00:27:57,067 --> 00:27:59,790 说话人 SPEAKER_00: 几个月前我对人工智能安全非常担忧。
297 00:28:00,451 --> 00:28:04,135 说话人 SPEAKER_00: 发生的事情是，我正在尝试寻找进行计算的方法的类似方式。
298 00:28:06,317 --> 00:28:11,463 说话人 SPEAKER_00: 我在尝试找出进行计算的方法的类似方式。
299 00:28:11,483 --> 00:28:14,105 说话人 SPEAKER_00：所以您可以用更少的能量来做这些大型语言模型。
300 00:28:15,127 --> 00:28:21,994 说话人 SPEAKER_00：我突然意识到，实际上数字计算方式可能要好得多。
301 00:28:22,596 --> 00:28:25,759 说话人 SPEAKER_00：它之所以好得多，是因为您可以拥有
302 00:28:26,801 --> 00:28:31,866 说话人 SPEAKER_00：成千上万份完全相同的数字模型在不同的硬件上运行。
303 00:28:32,847 --> 00:28:37,712 说话人 说话人_00：每个副本都可以查看互联网的不同部分并从中学习。
304 00:28:37,772 --> 00:28:45,401 说话人 说话人_00：它们可以立即通过共享权重或共享权重梯度来共享所学到的内容。
305 00:28:45,421 --> 00:28:50,767 说话人 说话人_00：因此，您可以非常高效地让10,000件事情分享它们的经验。
306 00:28:51,326 --> 00:28:53,028 说话人 说话人_00：这是人们做不到的。
307 00:28:53,380 --> 00:29:01,607 说话人 SPEAKER_00: 如果有 1 万人去学习 1 万个不同的技能，你不能说，好吧，让我们平均一下体重，现在我们所有人都知道这些技能。
308 00:29:02,489 --> 00:29:03,650 说话人 SPEAKER_00: 这不是那么工作的。
309 00:29:03,670 --> 00:29:07,814 说话人 SPEAKER_00: 你必须上大学，并试图理解对方在说些什么。
310 00:29:07,834 --> 00:29:15,981 说话人 SPEAKER_00: 这是一个非常缓慢的过程，你需要从对方那里获取句子，并思考，我如何改变我的大脑，以便我可能产生那个句子？
311 00:29:16,762 --> 00:29:20,686 说话人 SPEAKER_00: 与这些数字模型通过共享权重所能做到的相比，这非常低效。
312 00:29:21,307 --> 00:29:27,513 说话人 SPEAKER_00: 所以我有了这样的顿悟，数字模型可能要好得多。
313 00:29:27,673 --> 00:29:34,140 说话人 SPEAKER_00: 此外，它们可以很容易地使用反向传播算法，而要看到大脑如何高效地做到这一点是非常困难的。
314 00:29:34,440 --> 00:29:40,705 说话人 SPEAKER_00: 而且没有人能够提出任何在真实神经网络中与反向传播在规模上相当的方法。
315 00:29:42,748 --> 00:29:49,054 说话者 SPEAKER_00：我有一种顿悟，这让我放弃了模拟研究，因为数字计算机实际上更好。
316 00:29:49,337 --> 00:29:53,162 说话者 SPEAKER_00：既然我本来就要退休了，我就趁机说，嘿，它们就是更好。
317 00:29:53,623 --> 00:29:54,723 说话者 SPEAKER_00：所以我们得小心了。
318 00:29:56,486 --> 00:30:06,718 说话者 SPEAKER_02：我的意思是，我认为你对这个问题的看法以及你如何支持它，当然，产生了重大影响。
319 00:30:07,239 --> 00:30:10,281 说话人 SPEAKER_02：当然，这仍然是一个持续且激烈的辩论。
320 00:30:10,343 --> 00:30:15,008 说话人 SPEAKER_02：从某些方面来说，这实际上是在讨论 OpenAI 的动荡根源，你知道，关于事物所在之处以及它们将何去何从的争议。
321 00:30:15,190 --> 00:30:21,875 说话人 SPEAKER_02：我想就你提到的放射科医生的问题做一个总结，并不是要贬低他们，说他们将被取代，这让我们来到了今天的紧张状态，即作为智能的巅峰，人类是否会被
322 00:30:22,757 --> 00:30:45,078 说话人 SPEAKER_02：我想就你提到的关于放射科医生的观点做一个总结，并不是要贬低他们，说他们将被取代，这让我们来到了今天的紧张状态，即作为智能的巅峰，人类是否会被
323 00:30:46,087 --> 00:31:12,228 说话人 SPEAKER_02：没有替换，但被 AI 的未来所取代，当然，我们这个物种无法处理这种机器，就像放射科医生一样，我们这个物种无法接受这种可能性，即有一台机器，你知道的，拥有远少于我们的连接，却能完成事情，超越我们。
324 00:31:12,749 --> 00:31:14,711 说话人 SPEAKER_02：或者，当然，正如我们刚才
325 00:31:15,011 --> 00:31:21,259 说话人 SPEAKER_02：我认为，正如我们在与人类的对话中所强调的，甚至可以将其提升到另一个层次。
326 00:31:21,880 --> 00:31:32,672 说话人 SPEAKER_02：但是，这种紧张感是否是机器超越人类潜力的部分问题，人们难以接受这种观念？
327 00:31:33,772 --> 00:31:34,534 说话人 SPEAKER_00: 是的，我认为是这样的。
328 00:31:34,713 --> 00:31:44,664 说话人 SPEAKER_00: 尤其是哲学家，他们想要表达的是，人与意识、主观体验、感觉和质料有着非常特殊的关系。
329 00:31:45,151 --> 00:31:48,954 说话人 SPEAKER_00: 而这些机器只是机器。
330 00:31:49,816 --> 00:31:56,442 说话人 SPEAKER_00: 嗯，如果你是一个科学唯物主义者，就像我们大多数人一样，你知道大脑不过是一台机器。
331 00:31:57,103 --> 00:32:05,912 说话者 SPEAKER_00: 说它只是一台机器是错误的，因为它是一台奇妙复杂的机器，能做对人们非常重要的事情，但它仍然是一台机器。
332 00:32:06,492 --> 00:32:12,558 说话者 SPEAKER_00: 在原则上，没有理由不应该有更好的机器和更好的计算方式，正如我现在所相信的那样。
333 00:32:13,028 --> 00:32:17,053 说话者 SPEAKER_00: 因此，我认为人们有一个非常长的历史，认为自己是特殊的。
334 00:32:19,676 --> 00:32:24,061 说话者 SPEAKER_00: 他们认为上帝按照自己的形象创造了他们，并将他们置于宇宙的中心。
335 00:32:24,722 --> 00:32:28,607 说话人 SPEAKER_00: 很多人已经克服了这一点，但也有人还没有。
336 00:32:30,191 --> 00:32:37,720 说话人 SPEAKER_00: 但是对于那些已经克服这一点的人来说，我认为从原则上来说，我们没有理由认为自己是最聪明的。
337 00:32:38,480 --> 00:32:42,006 说话人 SPEAKER_00: 我认为这些机器可能很快就会比我们聪明。
338 00:32:42,339 --> 00:32:50,771 说话人 SPEAKER_00: 我仍然希望我们能与机器达成协议，让它们像仁慈的父母一样行事。
339 00:32:52,795 --> 00:32:54,036 说话人 说话人_00：他们在为我们操心。
340 00:32:55,898 --> 00:32:57,320 说话人 说话人_00：我们已经成功激励了他们。
341 00:32:57,902 --> 00:33:02,708 说话人 说话人_00：对他们来说，最重要的是我们的成功，就像母亲和孩子一样。
342 00:33:03,970 --> 00:33:04,971 说话人 说话人_00：对男人来说，则不那么重要。
343 00:33:05,712 --> 00:33:11,840 说话人 SPEAKER_00: 我真的很希望那个解决方案。
344 00:33:12,259 --> 00:33:13,781 说话人 SPEAKER_00: 我只是担心我们得不到它。
345 00:33:15,565 --> 00:33:19,150 说话人 SPEAKER_02: 嗯，那将是我们前进的好方法。
346 00:33:19,851 --> 00:33:33,990 说话人 SPEAKER_02: 当然，那些末日预言家和那些在他们的警报水平上更糟糕的人，你知道，往往会认为那是不可能的。
347 00:33:34,070 --> 00:33:36,354 说话人 SPEAKER_02：但显然，我们会随着时间的推移看到。
348 00:33:36,394 --> 00:33:41,540 说话人 SPEAKER_02：现在，在我们结束之前，我想快速从你那里得到一些反馈。
349 00:33:41,977 --> 00:33:53,335 说话人 SPEAKER_02：正如您所知，最近，Demis Esabas 和 John Jumper 获得了拉斯克奖，这是 AlphaFold2 的诺贝尔奖预选奖。
350 00:33:54,356 --> 00:34:05,875 说话人 SPEAKER_02：但这个转换模型，它当然有助于理解 2 亿个蛋白质的 3D 结构，但它并不了解它是如何工作的。
351 00:34:06,292 --> 00:34:12,822 说话人 SPEAKER_02：像大多数模型一样，不同于我们之前在LLM侧讨论的理解。
352 00:34:13,702 --> 00:34:21,733 说话人 SPEAKER_02：我认为这个奖项应该给这个模型加一个星号。
353 00:34:23,717 --> 00:34:25,259 说话人 SPEAKER_02：你对这个想法有什么看法？
354 00:34:28,804 --> 00:34:29,706 说话人 SPEAKER_00：就是这样。
355 00:34:31,188 --> 00:34:35,793 说话人 SPEAKER_00：我希望人们认真对待我说的话。
356 00:34:36,179 --> 00:34:47,972 说话人 SPEAKER_00：你可以选择一个方向，我认为谷歌创始人之一的拉里·佩奇就选择了这个方向，那就是说，存在这些超级智能，为什么它们不应该拥有权利呢？
357 00:34:49,014 --> 00:34:55,882 说话人 SPEAKER_00：如果你开始走向这个方向，你会失去人们的支持。
358 00:34:57,143 --> 00:34:58,844 说话人 SPEAKER_00：人们是不会接受的。
359 00:34:59,094 --> 00:35:01,978 说话人 SPEAKER_00: 这些事物应该拥有政治权利，例如。
360 00:35:02,898 --> 00:35:05,802 说话人 SPEAKER_00: 而成为合著者是政治权利的开始。
361 00:35:07,885 --> 00:35:18,717 说话人 SPEAKER_00: 所以我尽量避免谈论这个问题，但我对此既矛盾又无信仰，不确定它们是否应该拥有。
362 00:35:19,317 --> 00:35:27,887 说话人 SPEAKER_00: 但我认为最好远离这个问题，因为如果你说机器应该拥有权利，大多数人会停止听你说话。
363 00:35:28,322 --> 00:35:39,679 说话人 SPEAKER_02：嗯，当然，这就引出了我们刚才讨论的话题，以及人类与机器之间的斗争是多么艰难，而不是人类与机器的共生，这种共生是可以实现的。
364 00:35:39,739 --> 00:35:42,465 说话人 SPEAKER_02：但是，Jeff，这真是太棒了。
365 00:35:42,664 --> 00:35:43,686 说话人 SPEAKER_02：我们内容丰富。
366 00:35:43,706 --> 00:35:51,599 说话人 SPEAKER_02：当然，我们可以聊几个小时，但我非常享受亲自听到你的观点和你的智慧。
367 00:35:52,840 --> 00:35:56,405 说话人 SPEAKER_02：只是为了强调关于
368 00:35:56,807 --> 00:36:08,041 说话人 SPEAKER_02：现在有多少领导这个领域的人，他们的根基来源于您的教导、激励和挑战等等。
369 00:36:08,583 --> 00:36:09,804 说话人 SPEAKER_02：我们欠您的。
370 00:36:09,824 --> 00:36:18,635 说话人 SPEAKER_02：非常感谢您为我们所做的一切，以及您将继续为我们提供帮助，引导我们通过人工智能快速发展的动态阶段。
371 00:36:19,757 --> 00:36:23,862 说话人 SPEAKER_00: 感谢并祝您好运，让 AI 在医学领域真正发挥巨大作用。
372 00:36:25,056 --> 00:36:31,521 说话人 SPEAKER_02: 希望我们能，我还会不时向您咨询，以获取一些智慧来帮助我们。
373 00:36:32,306 --> 00:36:32,686 说话人 SPEAKER_00: 随时欢迎。
