1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
224 00:23:46,828 --> 00:23:58,528 讲者 SPEAKER_07：像许多其他失望的作者一样，我和程序委员会的一个朋友谈了谈，我的朋友在程序委员会告诉我，你看，他们不能接受这篇论文，因为他们已经有了两篇关于深度学习的论文，他们必须决定接受哪一篇。
225 00:23:59,148 --> 00:24:04,718 讲者 SPEAKER_07：他们实际上已经接受了另一篇，所以他们不可能在同一个会议上接受两篇关于同一主题的论文。
226 00:24:06,480 --> 00:24:09,546 说话人 SPEAKER_07：我建议你现在去 NIPS 看看...
227 00:24:11,365 --> 00:24:15,270 说话人 SPEAKER_07：Yoshua Bengio 大约在 2009 年向 ICML 提交了一篇论文。
228 00:24:15,290 --> 00:24:17,394 说话人 SPEAKER_07：我不确定具体年份，但应该是在那个时候。
229 00:24:18,076 --> 00:24:25,106 说话人 SPEAKER_07：其中一位审稿人说神经网络论文在机器学习会议上没有位置。
230 00:24:25,126 --> 00:24:26,469 说话人 SPEAKER_07：所以我建议你去参加 ICML。
231 00:24:28,553 --> 00:24:31,837 说话人 SPEAKER_07：CVPR，这是领先的计算机视觉会议，
232 00:24:31,935 --> 00:24:34,119 说话人 SPEAKER_07：我认为这是最令人震惊的。
233 00:24:34,401 --> 00:24:40,993 说话人 SPEAKER_07：Jan 和他的同事提交了一篇关于语义分割的论文，击败了现有水平。
234 00:24:41,694 --> 00:24:44,721 说话人 SPEAKER_07：它打败了主流计算机视觉人员能做到的。
235 00:24:46,042 --> 00:24:46,865 说话人 SPEAKER_07：它被拒绝了。
236 00:24:47,385 --> 00:24:54,720 说话人 SPEAKER_07：其中一位审稿人说，这篇论文对我们了解计算机视觉毫无帮助，因为一切都是通过学习得到的。
237 00:24:55,932 --> 00:25:05,584 说话人 SPEAKER_07：所以观众，就像当时的计算机视觉领域一样，陷入了这样的思维定式：做计算机视觉的方式是思考视觉任务的性质。
238 00:25:06,464 --> 00:25:08,428 说话人 SPEAKER_07：你最好写下一些方程式。
239 00:25:09,008 --> 00:25:12,192 说话人 SPEAKER_07：你思考如何进行所需的视觉计算。
240 00:25:12,752 --> 00:25:15,195 说话人 SPEAKER_07：然后你得到它的实现，然后看看它是否有效。
241 00:25:17,338 --> 00:25:23,846 说话人 SPEAKER_07：认为你什么都要学习这种想法已经超出了值得考虑的范围。
242 00:25:24,755 --> 00:25:30,602 讲者 SPEAKER_07：评论家基本上没有抓住要点，要点是所有东西都是通过学习得到的。
243 00:25:31,782 --> 00:25:35,428 讲者 SPEAKER_07：他完全没能看到这一点如何彻底改变了计算机视觉。
244 00:25:35,448 --> 00:25:40,032 讲者 SPEAKER_07：现在，我不应该太严厉地批评他们，因为稍后他们表现得非常合理。
245 00:25:40,053 --> 00:25:41,755 讲者 SPEAKER_07：有了更多证据，他们突然转变了立场。
2005年至2009年之间，研究人员，其中一些在加拿大，我们授予杨荣誉加拿大人称号，因为他来自法国。
247 00:25:55,753 --> 00:26:01,520 演讲者 SPEAKER_07：使反向传播在前馈网络中工作得更好，取得了多项技术进步。
他们涉及使用无监督预训练来初始化权重，在你开启反向传播之前，比如随机丢弃单元以使整个系统更加鲁棒，以及引入了易于训练的 ReLU 单元。
249 00：26：19,260 --> 00：26：22,003 演讲者 SPEAKER_07：对我们来说，这些进步的细节就是我们的生计。
250 00:26:22,064 --> 00:26:23,585 说话人 SPEAKER_07：我们对此非常感兴趣。
251 00:26:23,945 --> 00:26:30,451 说话人 SPEAKER_07：但主要信息是，随着一些技术进步，反向传播工作得非常出色。
252 00:26:30,833 --> 00:26:36,057 说话人 SPEAKER_07：主要原因是因为我们现在拥有大量的标签数据和强大的计算能力。
253 00:26:37,380 --> 00:26:39,141 说话人 SPEAKER_07：不便的计算能力几乎没什么用。
254 00:26:41,063 --> 00:26:46,669 说话人 SPEAKER_07：但是像 GPU 这样的东西，还有最近出现的 TPU，可以让您进行大量的计算
255 00:26:47,392 --> 00:26:49,173 说话人 SPEAKER_07：并且它们带来了巨大的变化。
256 00:26:49,193 --> 00:26:53,597 说话人 SPEAKER_07：所以，我认为决定性因素是计算能力的提升。
257 00:26:54,278 --> 00:27:09,212 说话人 SPEAKER_07：因此，我认为深度学习的大部分功劳应该归功于收集大型数据库的人，比如李飞飞，以及让计算机运行更快的人，比如大卫·帕特森等人，还有很多人。
258 00:27:11,776 --> 00:27:15,019 说话人 SPEAKER_07：在我看来，杀手级应用出现在 2009 年。
259 00:27:15,403 --> 00:27:28,208 说话人 SPEAKER_07：在我实验室里我们获得了一大批 GPU，两名研究生让它们学习进行声学建模。
260 00:27:28,568 --> 00:27:38,086 说话人 SPEAKER_07：声学建模意味着你拿一个像频谱图这样的东西，并试图确定频谱图的中间帧是哪个音素的哪一部分，说话人试图表达。
261 00:27:38,911 --> 00:27:46,140 说话人 SPEAKER_07：在这个我们使用的小型数据库中，相对较小，有 183 个标签，表示可能是哪个音素的哪一部分。
262 00:27:47,221 --> 00:27:51,987 说话人 SPEAKER_07：因此，你使用具有 2000 个隐藏单元的多层网络进行预训练。
263 00:27:53,468 --> 00:27:55,711 说话人 SPEAKER_07：你不能预训练最后一层，因为你还没有知道标签。
264 00:27:56,332 --> 00:27:59,255 说话人 SPEAKER_07：你只是训练它以能够复制下一层的输出。
265 00:27:59,295 --> 00:28:03,299 说话人 SPEAKER_07：然后你打开所有层的训练学习。
266 00:28:03,840 --> 00:28:07,585 说话人 SPEAKER_07：它略好于目前的技术水平，而目前的技术水平已经发展了 30 年。
267 00:28:09,369 --> 00:28:14,435 说话人 SPEAKER_07：当语音领域的人们看到这一点时，聪明人意识到，随着更多的发展，这些技术将会非常出色。
268 00:28:16,738 --> 00:28:22,525 说话人 SPEAKER_07：我的研究生们去了像 MSR、IBM 和 Google 这样的各种小组。
269 00:28:23,085 --> 00:28:38,162 说话人 SPEAKER_07：特别是 Navdeep Jaitley 去了 Google，并将多伦多开发的声学建模系统直接移植过来。
270 00:28:38,512 --> 00:28:39,875 说话人 SPEAKER_07：它在 2012 年出现在 Android 上。
271 00:28:39,894 --> 00:28:44,281 说话人 SPEAKER_07：为了使其实时运行，进行了大量的优秀工程。
272 00:28:45,222 --> 00:28:47,086 说话人 SPEAKER_07：并且大大降低了错误率。
273 00:28:47,646 --> 00:28:51,531 说话人 SPEAKER_07：在大约同一时间，其他所有团队开始改变他们进行语音识别的方式。
274 00:28:52,133 --> 00:28:55,577 说话人 SPEAKER_07：现在所有好的语音识别器都使用神经网络。
275 00:28:55,999 --> 00:28:58,583 说话人 SPEAKER_07：它们和我们最初引入的神经网络不一样。
276 00:28:58,863 --> 00:29:02,648 说话人 SPEAKER_07：神经网络逐渐侵蚀了系统越来越多的部分。
277 00:29:03,210 --> 00:29:06,433 说话人 SPEAKER_07：所以把神经网络放入你的系统中有点像感染了坏疽。
278 00:29:06,694 --> 00:29:08,217 说话人 SPEAKER_07：它将逐渐吞噬整个系统。
279 00:29:11,790 --> 00:29:27,451 说话人 SPEAKER_07：然后在 2012 年，我的另外两名研究生将 Yann LeCun 多年来开发的神经网络应用于 Fei-Fei Liu 整理的包含 1,000 个不同类别对象的数据库中的物体识别。
280 00:29:27,971 --> 00:29:33,739 说话人 SPEAKER_07：最终，这是一个足够大的真实图像数据库，可以展示神经网络的能力，它们能做很多事情。
281 00:29:34,740 --> 00:29:40,346 说话人 SPEAKER_07：所以如果你看结果，所有的计算机视觉系统，标准的那些，
282 00:29:41,035 --> 00:29:42,778 说话人 SPEAKER_07：错误率约为 25%达到极限。
283 00:29:44,141 --> 00:29:49,130 说话人 SPEAKER_07：我们两个研究生开发的系统错误率为 16%。
284 00:29:49,891 --> 00:29:54,700 说话人 SPEAKER_07：然后对类似神经网络进一步的研究，到 2015 年，错误率已经下降到 5%。
285 00:29:54,759 --> 00:29:56,643 说话人 SPEAKER_07：现在错误率已经大大低于这个水平。
286 00:29:58,286 --> 00:30:03,194 说话人 SPEAKER_07：然后发生的事情正是科学应该发生的事情。
287 00:30:03,444 --> 00:30:09,070 说话人 SPEAKER_07：计算机视觉社区的领导者看到这个结果后说，哦，它们确实有效。
288 00:30:09,111 --> 00:30:09,632 说话人 SPEAKER_07：我们错了。
289 00:30:09,912 --> 00:30:10,772 说话人 SPEAKER_07：好的，我们要改变方向了。
290 00:30:11,292 --> 00:30:12,474 说话人 SPEAKER_07：一年之内，他们都转换了。
291 00:30:13,435 --> 00:30:15,117 说话人 SPEAKER_07：所以科学最终像它应该的那样起作用了。
292 00:30:18,401 --> 00:30:28,592 说话人 SPEAKER_07：我想最后谈谈一种全新的机器翻译方法，这种方法于 2014 年由谷歌的人提出，在蒙特利尔由 Yoshua Bengio 实验室的人提出。
293 00:30:30,242 --> 00:30:42,836 说话人 SPEAKER_07：2014 年的想法是，对于每种语言，我们将有一个神经网络，它将是一个循环神经网络，它将把接收到的该语言的单词串编码成一个大的向量。
294 00:30:43,698 --> 00:30:45,420 说话人 SPEAKER_07：我把那个大向量称为思维向量。
295 00:30:45,721 --> 00:30:49,704 说话人 SPEAKER_07：这个大向量是用来捕捉那串词语的意义的。
296 00:30:50,566 --> 00:30:57,733 说话人 SPEAKER_07：然后你将那个大向量输入到一个解码网络中，解码网络将大向量转换成另一种语言的词语串。
297 00:30:58,836 --> 00:30:59,997 说话人 SPEAKER_07：它似乎有点效果。
298 00:31:00,532 --> 00:31:02,295 说话人 SPEAKER_07：经过一点开发，效果非常好。
299 00:31:06,480 --> 00:31:18,654 说话人 SPEAKER_07：自 2014 年以来，其中一个主要的发展点是，当你解码句子的含义时，你会回顾你编码的句子，这被称为软注意力。
300 00:31:18,755 --> 00:31:24,722 说话人 SPEAKER_07：所以每次你产生一个新词时，你都在决定在翻译的句子中看向哪里。
301 00:31:25,663 --> 00:31:26,625 说话人 SPEAKER_07：这非常有帮助。
302 00:31:27,854 --> 00:31:31,499 说话人 SPEAKER_07：你现在也预先训练词嵌入，这非常有帮助。
303 00:31:32,400 --> 00:31:43,295 说话人 SPEAKER_07：预训练的方式是，你取一堆词，然后在深度网络中尝试重现这些词，但你已经省略了一些词。
304 00:31:43,615 --> 00:31:48,021 说话人 SPEAKER_07：所以从这些词中，你必须重现相同的词，但本质上是要填补空白。
305 00:31:49,864 --> 00:31:52,748 说话人 SPEAKER_07：他们使用一种叫做“变压器”的东西。
306 00:31:52,980 --> 00:32:01,753 说话人 SPEAKER_07：在这个深度网络中，每个词通过网络时，都会观察附近的词来消除歧义，确定其可能的意义。
307 00:32:02,414 --> 00:32:09,005 说话人 SPEAKER_07：所以如果你有一个像“可能”这样的词，当它进入时，你会得到一个初始向量，它在情态动词和月份之间有些模糊。
308 00:32:09,926 --> 00:32:14,753 说话人 SPEAKER_07：但如果它看到旁边的“13 号”，它就能很确定地知道它是月份。
309 00:32:15,375 --> 00:32:20,742 说话人 SPEAKER_07：所以在下一个区域，它可以消除歧义，那个意思可能是月份。
310 00:32:20,992 --> 00:32:24,415 说话人 SPEAKER_07：现在这些 Transformer 网络在获取词嵌入方面表现得非常好。
311 00:32:25,537 --> 00:32:27,880 说话人 SPEAKER_07：出乎意料的是，它们还学习到了大量的语法。
312 00:32:28,380 --> 00:32:33,365 说话人 SPEAKER_07：所以那些语言学家认为必须天生放入的东西，现在神经网络也在其中了。
313 00:32:33,384 --> 00:32:35,186 说话人 SPEAKER_07：他们获得了大量的句法理解。
314 00:32:35,887 --> 00:32:38,089 说话人 SPEAKER_07：但这都是通过数据学习的。
315 00:32:38,109 --> 00:32:42,173 说话人 SPEAKER_07：如果你查看变压器网络的早期层，它们知道词性是什么。
316 00:32:43,174 --> 00:32:47,659 说话人 SPEAKER_07：如果你查看网络的后期部分，它们知道如何消除代词指代的不确定性。
317 00:32:47,909 --> 00:32:55,859 说话人 SPEAKER_07：基本上，它们学习语法的方式就像小孩子通过观察句子来学习语法一样。
318 00:32:58,844 --> 00:33:04,531 说话人 SPEAKER_07：所以我认为机器翻译是符号 AI 的最后一根钉子，钉在了棺材上。
319 00:33:06,414 --> 00:33:09,578 说话人 SPEAKER_07：因为机器翻译是符号 AI 的理想任务。
320 00:33:10,180 --> 00:33:12,583 说话人 SPEAKER_07：它符号输入，也符号输出。
321 00:33:13,508 --> 00:33:17,855 说话人 SPEAKER_07：但如果你想要做得好，里面你需要的是大向量。
322 00:33:22,803 --> 00:33:23,123 说话人 SPEAKER_07：好的。
323 00:33:23,523 --> 00:33:32,196 说话人 SPEAKER_07：我已经说完了我想说的关于神经网络直到 2014 年左右的历史。
324 00:33:33,199 --> 00:33:40,410 说话人 SPEAKER_07：我强调了这样的观点，即存在两个阵营，而好人取得了胜利。
325 00:33:42,719 --> 00:33:48,138 说话人 SPEAKER_07：但这还没有结束，因为当然，我们现在需要的神经网络
326 00:33:48,237 --> 00:33:51,040 说话人 SPEAKER_07：开始解释推理。
327 00:33:51,681 --> 00:33:52,582 说话人 SPEAKER_07：我们目前还做不到。
328 00:33:52,843 --> 00:33:53,483 说话人 SPEAKER_07：我们正在努力。
329 00:33:54,084 --> 00:33:57,028 说话人 SPEAKER_07：推理是人们最后做的事情，而不是第一件事。
330 00:33:57,989 --> 00:34:00,593 说话人 SPEAKER_07：而推理是建立在所有这些其他东西之上的。
331 00:34:00,673 --> 00:34:05,097 说话人 SPEAKER_07：我的观点一直是，除非你理解所有这些其他东西，否则你永远不会理解推理。
332 00:34:05,398 --> 00:34:10,065 说话人 SPEAKER_07：现在我们开始理解所有这些其他东西了，我们差不多准备好开始理解推理了。
333 00:34:10,846 --> 00:34:15,931 说话者 SPEAKER_07：仅仅用一些裸符号进行推理，通过使用表达这些其他符号的规则，
334 00:34:16,402 --> 00:34:18,385 说话者 SPEAKER_07：在我看来这是毫无希望的。
335 00:34:18,545 --> 00:34:19,688 说话者 SPEAKER_07：你丢失了所有内容。
336 00:34:20,110 --> 00:34:21,050 说话者 SPEAKER_07：那里没有意义。
337 00:34:23,577 --> 00:34:24,958 说话人 SPEAKER_07: 好吧。
338 00:34:24,978 --> 00:34:27,445 说话人 SPEAKER_07: 我想稍微谈谈计算机视觉的未来。
339 00:34:28,547 --> 00:34:30,831 说话人 SPEAKER_07: 所以，卷积神经网络非常有效。
340 00:34:31,672 --> 00:34:34,579 说话人 SPEAKER_07: 卷积神经网络所做的是，它们将
341 00:34:34,762 --> 00:34:39,206 讲者 SPEAKER_07：如果一个特征在一个地方有用，那么它也会在另一个地方有用。
342 00:34:40,007 --> 00:34:44,992 讲者 SPEAKER_07：这使我们能够从不同位置结合证据来学习共享特征检测器。
343 00:34:46,273 --> 00:34:49,817 讲者 SPEAKER_07：也就是说，学习复制的特征检测器，它们在这些地方都是相同的。
344 00:34:50,878 --> 00:34:51,838 讲者 SPEAKER_07：这是一个巨大的胜利。
345 00:34:52,259 --> 00:34:53,559 说话人 SPEAKER_07：这使得数据效率更高。
346 00:34:54,201 --> 00:34:56,222 说话人 SPEAKER_07：这些是杨在 20 世纪 90 年代实现的东西。
347 00:34:56,463 --> 00:35:02,389 说话人 SPEAKER_07：它们是 20 世纪 90 年代为数不多的真正有效的东西之一，现在效果更好。
348 00:35:03,753 --> 00:35:05,655 说话人 SPEAKER_07：但我认为它们并不是人们处理视觉的方式。
349 00:35:06,356 --> 00:35:11,083 说话人 SPEAKER_07：我的意思是，我认为其中有一个方面，那就是复制的装置，这在大脑中是显然成立的。
350 00:35:13,525 --> 00:35:15,547 说话人 SPEAKER_07：但他们并不像我们一样识别物体。
351 00:35:17,391 --> 00:35:19,532 说话人 SPEAKER_07：这导致了对抗性示例。
352 00:35:19,554 --> 00:35:22,637 说话人 SPEAKER_07：所以如果给你一个大型数据库，卷积神经网络会做得很好。
353 00:35:22,677 --> 00:35:23,759 说话人 SPEAKER_07：它可能比人做得更好。
354 00:35:24,340 --> 00:35:27,003 说话人 SPEAKER_07：但它并不像人一样识别事物。
355 00:35:27,643 --> 00:35:33,050 说话人 SPEAKER_07：因此我可以改变一些东西，这会导致卷积神经网络改变主意。
356 00:35:33,503 --> 00:35:35,565 说话人 SPEAKER_07：而人甚至看不到我所做的改变。
357 00:35:36,646 --> 00:35:38,791 说话人 SPEAKER_07：他们使用的是纹理和颜色。
358 00:35:39,431 --> 00:35:44,177 说话人 SPEAKER_07：他们并没有使用物体与其部分之间的几何关系。
359 00:35:45,679 --> 00:35:56,936 说话人 SPEAKER_07：我坚信，人们识别物体主要依靠纹理和颜色，但他们非常清楚物体与其部分之间的几何关系。
360 00:35:57,737 --> 00:36:00,961 说话人 SPEAKER_07：这种几何关系完全独立于视角。
361 00:36:03,034 --> 00:36:07,501 说话人 SPEAKER_07：这给了你一个非常稳健的东西，你应该能够用更少的数据进行训练。
362 00:36:08,643 --> 00:36:18,717 说话人 SPEAKER_07：实际上，我忍不住想做一个小小的演示来让你相信，当你理解物体时，不仅仅是在做科学家的时候你会使用坐标系。
363 00:36:19,298 --> 00:36:25,327 说话人 SPEAKER_07：甚至在你天真地思考物体时，你也会对它们施加坐标系。
364 00:36:25,949 --> 00:36:27,371 说话人 SPEAKER_07：所以我要做一个小小的演示。
365 00:36:29,253 --> 00:36:31,978 说话人 SPEAKER_07：你必须参加这个演示，否则就没有乐趣了。
366 00:36:33,240 --> 00:36:37,324 说话人 SPEAKER_07：好的，所以我想让你想象坐在你面前的桌面上，有一个立方体。
367 00:36:37,786 --> 00:36:39,708 说话人 SPEAKER_07：所以这是顶部，这是底部，这是立方体。
368 00:36:40,289 --> 00:36:42,570 说话人 SPEAKER_07：它是一个像这样的线框立方体，好吗？
369 00:36:42,590 --> 00:36:43,592 说话人 SPEAKER_07：黑色电线。
370 00:36:45,114 --> 00:36:53,583 说话人 SPEAKER_07：至于这个立方体，从你的角度看，这里有前面、底部、右手角，还有顶部、后面、左手角。
371 00:36:54,483 --> 00:36:54,804 说话人 SPEAKER_07：好的。
372 00:36:55,726 --> 00:37:00,530 说话人 SPEAKER_07：接下来我要旋转这个立方体，使得顶部、后面、左手角
373 00:37:00,780 --> 00:37:04,083 说话人 SPEAKER_07：垂直于前下右上角。
374 00:37:04,103 --> 00:37:04,684 说话人 SPEAKER_07：所以我们在这里。
375 00:37:05,405 --> 00:37:12,911 说话人 SPEAKER_07：现在我想让你把指尖放在空中，可能是你的左指尖，放在立方体的顶点上，好吗？
376 00:37:13,672 --> 00:37:15,795 说话人 SPEAKER_07：现在，没有人这么做。
377 00:37:15,855 --> 00:37:16,135 说话人 SPEAKER_07: 来吧。
378 00:37:17,396 --> 00:37:23,922 说话人 SPEAKER_07: 现在，用你的另一根指尖，我想要你指向立方体的其他角，那些没有放在桌子上的角。
379 00:37:23,963 --> 00:37:26,005 说话人 SPEAKER_07: 所以有一个在桌子上，一个垂直地在这里。
380 00:37:26,666 --> 00:37:27,706 说话人 SPEAKER_07: 其他角在哪里？
381 00:37:28,726 --> 00:37:29,347 说话人 SPEAKER_07：你必须这么做。
382 00:37:29,367 --> 00:37:30,349 说话人 SPEAKER_07：你必须指出它们。
383 00:37:32,050 --> 00:37:32,431 说话人 SPEAKER_07：好吗？
384 00:37:32,871 --> 00:37:41,144 说话人 SPEAKER_07：现在，我看不见你在做什么，但我知道你们中的很多人会指出另外四个角，因为我以前做过这个。
385 00:37:42,206 --> 00:37:46,213 说话人 SPEAKER_07：现在我想让你想象一个正常方向的立方体，问它有多少个角？
386 00:37:48,557 --> 00:37:48,858 说话人 SPEAKER_07：好吗？
387 00:37:49,159 --> 00:37:50,501 说话人 SPEAKER_07：它有八个角，对吧？
388 00:37:50,561 --> 00:37:51,802 说话人 SPEAKER_07：所以这里有六个这样的东西。
389 00:37:52,423 --> 00:37:54,887 说话人 SPEAKER_07：大多数人会说，这里，这里，这里，还有这里。
390 00:37:54,947 --> 00:37:56,050 说话人 SPEAKER_07：问题是什么？
391 00:37:56,704 --> 00:37:58,065 说话人 SPEAKER_07：问题是那不是一个立方体。
392 00:37:58,746 --> 00:38:06,255 说话人 SPEAKER_07：你所做的是保留了立方体所具有的四面旋转对称性，并指出了一个完全不同的形状。
393 00:38:06,994 --> 00:38:12,681 说话人 SPEAKER_07：这是一个完全不同的形状，它具有与立方体相同数量的面，就像立方体有角一样，以及与立方体有面一样多的角。
394 00:38:12,960 --> 00:38:21,429 说话者 SPEAKER_07：如果你用角代替面，那么它就是立方体的宝石，因为你非常喜欢对称性，以至于你愿意真正地扭曲事物以保持对称性。
395 00:38:22,286 --> 00:38:31,219 说话者 SPEAKER_07：实际上，一个立方体有三个边向下延伸，有三个边向上延伸，我的六个指尖就是角的位置，明白吗？
396 00:38:31,239 --> 00:38:35,186 说话者 SPEAKER_07：人们看不到这一点，除非他们是晶体学家或者非常聪明。
397 00:38:37,429 --> 00:38:44,179 说话者 SPEAKER_07：所以，这个演示的主要目的是通过这个旋转，我迫使你们使用一个轴来观察立方体。
398 00:38:44,619 --> 00:38:51,989 说话者 SPEAKER_07：定义立方体方向的轴线并不是你通常用于立方体的坐标系轴线之一。
399 00:38:52,476 --> 00:38:57,942 说话者 SPEAKER_07：通过迫使你使用一个不熟悉的坐标系，我破坏了你关于立方体各部分位置的所有知识。
400 00:38:59,003 --> 00:39:01,284 说话者 SPEAKER_07：你理解事物是相对于坐标系而言的。
401 00:39:02,206 --> 00:39:07,030 说话者 SPEAKER_07：如果让我让你施加一个不同的坐标系，那么对你来说，它就是一个不同的对象。
402 00:39:07,831 --> 00:39:09,413 说话人 SPEAKER_07：现在，卷积网络做不到这一点。
403 00:39:10,614 --> 00:39:15,798 说话人 SPEAKER_07：正因为它们做不到这一点，我认为它们并不是人们感知形状的方式。
404 00:39:16,760 --> 00:39:20,643 说话人 SPEAKER_07：我们最近通过一些方法使神经网络做到了这一点
405 00:39:21,028 --> 00:39:31,663 说话人 SPEAKER_07：进行了自监督训练，那里有一个存档引用，如果你够快的话可以获取，或者我稍后会发推文关于它。
406 00:39:35,827 --> 00:39:41,257 说话人 SPEAKER_07：我想说的最后一件事不是关于形状识别，而是关于神经网络的未来。
407 00:39:41,878 --> 00:39:48,969 说话人 SPEAKER_07：在过去 50 年里，我们做了一件非常有趣且非常不符合生物特性的事情，那就是我们只使用了两个时间尺度。
408 00:39:49,670 --> 00:39:52,454 说话人 SPEAKER_07：也就是说，你有神经活动，它们变化很快。
409 00:39:53,416 --> 00:39:55,239 说话人 SPEAKER_07：而你又有权重，它们变化很慢。
410 00:39:55,920 --> 00:39:56,422 说话人 SPEAKER_07：就这样了。
411 00:39:57,623 --> 00:40:01,971 说话人 SPEAKER_07：但我们知道在生物学中，突触会在各种时间尺度上发生变化。
412 00:40:02,996 --> 00:40:06,882 说话人 SPEAKER_07：问题是，如果你现在引入更多的时间尺度会发生什么？
413 00:40:08,103 --> 00:40:26,827 说话人 SPEAKER_07：特别是，我们再引入一个时间尺度，假设除了这些权重缓慢变化之外——这就是长期学习中所发生的情况——权重还有一个可以更快变化并且衰减得很快的额外成分。
414 00:40:28,090 --> 00:40:33,677 说话者 SPEAKER_07：那么，如果你问，你记得一分钟前我把手指放在这个角这里吗？
415 00:40:34,699 --> 00:40:40,666 说话者 SPEAKER_07：这是在许多处于活跃状态的神经元中吗，这样你才能记住？
416 00:40:40,967 --> 00:40:41,847 说话者 SPEAKER_07：这似乎不太可能。
417 00:40:41,887 --> 00:40:51,940 说话者 SPEAKER_07：更可能的是，你对这个的记忆是在神经网络权重的快速修改中，这允许你快速重建，并且会随时间衰减。
418 00:40:53,202 --> 00:40:56,746 说话人 SPEAKER_07：所以你的记忆在权重中，是一种短期记忆。
419 00:40:56,996 --> 00:41:00,181 说话人 SPEAKER_07：一旦你这样做，就会发生各种好事。
420 00:41:01,202 --> 00:41:10,592 说话人 SPEAKER_07：你可以利用这一点来获得更好的优化方法，也可以用它来做可能与推理相关的事情。
421 00:41:11,153 --> 00:41:16,099 说话人 SPEAKER_07：你可以用它来允许神经网络进行真正的递归，不是非常深，但确实是递归。
422 00:41:16,119 --> 00:41:20,844 说话人 SPEAKER_07：我所说的真正递归是指，当你进行递归调用时，
423 00:41:21,871 --> 00:41:32,706 说话人 SPEAKER_07：就像句子中的关系从句一样，神经网络可以使用与处理整个句子相同的所有神经元和相同的权重来处理关系从句。
424 00:41:33,547 --> 00:41:40,056 说话人 SPEAKER_07：当然，为了做到这一点，它必须以某种方式记住在决定处理关系从句时发生了什么。
425 00:41:40,135 --> 00:41:41,398 说话人 SPEAKER_07：它必须将这一点存储在某个地方。
426 00:41:42,222 --> 00:41:43,663 说话人 SPEAKER_07：我觉得它不会存储在其他神经元中。
427 00:41:43,682 --> 00:41:46,925 说话人 SPEAKER_07：我认为它是通过改变突触强度来临时存储的。
428 00:41:47,405 --> 00:41:53,672 说话人 SPEAKER_07：当它处理完相对从句后，它会将其打包起来，基本上是问自己，我在开始这个处理之前在做什么？
429 00:41:54,492 --> 00:41:58,635 说话人 SPEAKER_07：它可以从这个相关记忆中的快速权重中获取信息。
430 00:41:59,677 --> 00:42:06,422 说话人 SPEAKER_07：我想以此结束，因为我在 1973 年给出的第一次演讲正是关于这个话题。
431 00:42:06,523 --> 00:42:11,266 说话人 SPEAKER_07：我有一个在拥有 64K 内存的计算机上运行的系统。
432 00:42:11,786 --> 00:42:17,733 说话人 SPEAKER_07：我还没有来得及发表它，但我觉得它又开始流行了，所以我猜想是这样。
433 00:42:17,753 --> 00:42:20,916 说话人 SPEAKER_07：这就是我的演讲结束了，我的时间也用完了。
434 00:42:32,530 --> 00:42:37,356 说话人 SPEAKER_07：现在我想介绍 Janneke，她不仅是一位同事，还是一位非常好的朋友。
435 00:42:46,938 --> 00:42:49,724 说话人 SPEAKER_01：好的，我将谈论续集。
436 00:42:51,342 --> 00:42:57,788 说话人 SPEAKER_01：但我也会先简要回顾一下历史，并介绍 Jeff 刚才提到的一些事情。
437 00:42:58,449 --> 00:43:01,711 说话人 SPEAKER_01：所以 Jeff 谈到了监督学习。
438 00:43:01,731 --> 00:43:05,396 说话人 SPEAKER_01: 如果你有大量数据，监督学习效果惊人。
439 00:43:06,356 --> 00:43:06,876 说话人 SPEAKER_01: 我们都知道这一点。
440 00:43:06,916 --> 00:43:08,719 说话人 SPEAKER_01: 因此我们可以进行语音识别。
441 00:43:08,739 --> 00:43:11,121 说话人 SPEAKER_01: 我们可以进行图像识别。
442 00:43:11,181 --> 00:43:12,842 说话人 SPEAKER_01：我们可以进行人脸识别。
443 00:43:12,922 --> 00:43:15,125 说话人 SPEAKER_01：我们可以为图像生成字幕。
444 00:43:15,164 --> 00:43:16,246 说话人 SPEAKER_01：我们可以进行翻译。
445 00:43:16,726 --> 00:43:17,788 说话人 SPEAKER_01：这效果非常好。
446 00:43:18,427 --> 00:43:29,663 说话人 SPEAKER_01：如果你给你的神经网络一个特定的结构，就像 Jeff 提到的，在 80 年代末 90 年代初，我们可以训练系统来识别手写文字。
447 00:43:29,702 --> 00:43:30,704 说话人 SPEAKER_01：这相当成功。
448 00:43:31,545 --> 00:43:38,715 说话人 SPEAKER_01：到 90 年代末，我在贝尔实验室建立的一个这样的系统可以阅读美国大约 10%到 20%的支票。
449 00:43:38,735 --> 00:43:41,920 说话人 SPEAKER_01：所以这是一个巨大的成功，甚至是一个商业上的成功。
450 00:43:41,900 --> 00:44:04,126 说话者 SPEAKER_01：但到那时，整个社区基本上已经放弃了神经网络，部分原因是缺乏它们可以工作的数据集，部分原因是当时你必须编写的软件类型相当复杂，这是一项巨大的投资，部分也是因为计算机不够快，无法用于各种其他应用。
451 00:44:04,106 --> 00:44:08,474 说话者 SPEAKER_01：但卷积神经网络确实受到了生物学的启发。
452 00:44:08,534 --> 00:44:18,614 说话者 SPEAKER_01：它们在生物学中并不是被复制的，但有很多来自生物学，来自视觉皮层的架构，以及你在研究信号处理时自然而然产生的想法。
