1 00:00:00,908 --> 00:00:02,549 演讲者 演讲者_06: 大家好。
224 00:21:08,871 --> 00:21:13,656 演讲者 SPEAKER_07: 我为什么不把所有部分都给一个转换器，然后让它去处理呢？
225 00:21:14,377 --> 00:21:16,019 演讲者 SPEAKER_07：让我们将其变成一个多层变换器。
226 00:21:16,601 --> 00:21:20,506 演讲者 SPEAKER_07：所以我们将有一个简单的生成模型，但一个复杂的编码模型。
227 00:21:21,086 --> 00:21:25,571 演讲者 SPEAKER_07：这个多层变换器将决定如何组织协议和其他事物。
228 00:21:25,551 --> 00:21:27,453 演讲者 SPEAKER_07：你只需要能够训练它。
229 00:21:27,854 --> 00:21:31,438 演讲者 SPEAKER_07：为了训练它，你需要知道正确答案是什么。
230 00:21:31,458 --> 00:21:32,878 演讲者 SPEAKER_07：实际上，你不需要正确答案。
231 00:21:32,939 --> 00:21:34,820 演讲者 SPEAKER_07：你只需要训练它的导数。
232 00:21:34,881 --> 00:21:38,423 演讲者 SPEAKER_07：你需要看到它给出的答案，并告诉它如何给出一个更好的答案。
233 00:21:39,605 --> 00:21:43,429 演讲者 SPEAKER_07: 这就是从生成模型中得到的结果。
234 00:21:44,869 --> 00:21:48,153 演讲者 SPEAKER_07: 因此，我们取所有已经提取的胶囊。
235 00:21:48,594 --> 00:21:52,857 演讲者 SPEAKER_07: 我们将它们输入到多层次集合转换器中。
236 00:21:53,125 --> 00:22:11,523 演讲者 SPEAKER_07: 集合转换器基本上是接受每个低级胶囊的向量描述，并随着通过集合转换器向上进行，使用其他胶囊的描述上下文来不断修订这个向量描述。
237 00:22:12,484 --> 00:22:22,795 讲者 SPEAKER_07：一旦这些部件描述被修订得足够好，那么你将有一个最终层，它将这些描述转换为预测整个物体应该是什么。
238 00:22:25,019 --> 00:22:31,547 讲者 SPEAKER_07：因此，集合变换器很容易训练，因为我们有一个生成模型。
239 00:22:32,086 --> 00:22:34,650 讲者 SPEAKER_07：生成模型为我们提供了集合变换器的导数。
240 00:22:35,471 --> 00:22:48,086 讲者 SPEAKER_07：它的目标与训练生成模型相同，即简单地最大化给定高级胶囊的存在和姿态的观察到的部件姿态的对数概率。
241 00:22:49,126 --> 00:22:53,372 讲者 SPEAKER_07：我们还加入了一个稀疏性先验，以鼓励它只激活少数几个高级胶囊。
242 00:22:54,195 --> 00:23:01,212 讲者 SPEAKER_07：这是关于集合转换器的论文的引用。
243 00:23:01,252 --> 00:23:03,498 讲者 SPEAKER_07：我不会详细介绍它们是如何工作的。
244 00:23:04,820 --> 00:23:07,969 讲者 SPEAKER_07：我想你们很多人都知道转换器是如何工作的。
245 00:23:08,152 --> 00:23:11,856 讲者 SPEAKER_07：我没有太多时间，所以我会非常、非常快地讲解 transformer 的工作原理。
246 00:23:14,019 --> 00:23:15,240 讲者 SPEAKER_07：这是针对句子的，对吧？
247 00:23:15,701 --> 00:23:30,700 讲者 SPEAKER_07：处理句子的方法是获取一系列词向量，并应用卷积神经网络，以便每个词向量根据其邻居进行修订，然后你可以无监督地训练整个系统，以便在删除一些词向量后能够重建它们。
248 00:23:30,680 --> 00:23:36,411 讲者 SPEAKER_07：这将是一种卷积方式的自动编码器，一个深度自动编码器。
249 00:23:37,011 --> 00:23:39,917 演讲者 SPEAKER_07：Transformer 基本上就是这样，只是稍微详细一些。
250 00:23:39,958 --> 00:23:51,759 演讲者 SPEAKER_07：所以不是 WordVec 直接影响上面的 WordVec，也不是这些直接影响在某一层的 WordVec 和下一层的 WordVec 之间，每个 WordVec
251 00:23:52,042 --> 00:23:55,006 演讲者 SPEAKER_07：将生成一个查询、一个键和一个值。
252 00:23:55,705 --> 00:24:15,986 演讲者 SPEAKER_07：从本幻灯片所关注的 WordVec 的角度来看，它查看其查询，这是一个学习到的向量，并将其与相邻 WordVec 生成的键进行比较，如果找到良好的匹配，它将发送相邻 WordVec 产生的部分值作为我的新值。
253 00:24:16,786 --> 00:24:21,830 演讲者 SPEAKER_07：所以，它真正关注的是相似的事物，并将它们结合起来以获得新的表示。
254 00:24:23,126 --> 00:24:25,450 演讲者 SPEAKER_07：这就是变压器的工作原理。
255 00:24:27,792 --> 00:24:40,951 演讲者 SPEAKER_07：现在我将向您展示我们可以通过使用集合变压器和内置坐标变换和解析的简单生成模型来实现什么，以及它将在一些相对简单的数据上做什么。
256 00:24:43,796 --> 00:24:44,696 演讲者 SPEAKER_07：所以，你们不要笑。
257 00:24:45,678 --> 00:24:47,019 演讲者 演讲者_07：这些是 MNIST 数字。
258 00:24:47,661 --> 00:24:48,803 演讲者 演讲者_07：这些是20世纪80年代的东西。
259 00:24:48,863 --> 00:24:50,484 演讲者 演讲者_07：那是20世纪80年代，对吧？
260 00:24:50,971 --> 00:24:52,071 演讲者 演讲者_07：是的。
261 00:24:53,093 --> 00:24:55,915 讲者 SPEAKER_07：这些是 MNIST 数字的困难例子，有点边缘情况。
262 00:24:56,917 --> 00:24:59,140 讲者 SPEAKER_07：这就是我要应用的地方。
263 00:24:59,460 --> 00:25:03,625 讲者 SPEAKER_07：所以这只是确保这个想法可行。
264 00:25:04,425 --> 00:25:16,558 讲者 SPEAKER_07：所以我们将如何建模 MNIST 数字，我们将有一个部分层，这些部分将是笔画的片段，我们还将有一个孔层，这些孔将像整个数字那样，是高级胶囊。
265 00:25:16,779 --> 00:25:18,902 演讲者 SPEAKER_07: 它们并不完全对应于数字。
266 00:25:21,211 --> 00:25:26,417 演讲者 SPEAKER_07: 所以这些部分实际上是 11 乘 11 的模板，这些模板会被学习。
267 00:25:27,839 --> 00:25:31,484 演讲者 SPEAKER_07: 我不会详细讲解这些部分是如何被学习的。
268 00:25:31,965 --> 00:25:35,191 演讲者 SPEAKER_07: 它的学习方式基本上与洞的学习方式相同，所以我将重点讲解洞是如何被学习的。
269 00:25:36,833 --> 00:25:43,201 演讲者 SPEAKER_07：你实际上是通过混合模型来模拟每个像素强度的，这些预测来自各个部分。
270 00:25:43,182 --> 00:25:50,730 演讲者 SPEAKER_07：每个部分都可以进行仿射变换，也就是说，它有一个姿态矩阵，允许它以不同的方式实例化自己。
271 00:25:51,872 --> 00:26:10,573 演讲者 SPEAKER_07：所以，如果给你展示一些数字，那么如果你看那个四，我将用红色显示如果你从图像中提取四的部分，然后从这些部分中重建四的情况。
272 00:26:11,599 --> 00:26:17,726 演讲者 SPEAKER_07：我将用绿色显示如果你从图像中提取四的部分会发生什么。
273 00:26:18,467 --> 00:26:22,210 演讲者 SPEAKER_07：然后从这四个部分中激活高级胶囊。
274 00:26:23,111 --> 00:26:28,096 演讲者 SPEAKER_07：然后从这些高级胶囊激活中重建低级胶囊。
275 00:26:28,476 --> 00:26:30,317 演讲者 SPEAKER_07：您实际上现在是从高级胶囊生成它们。
276 00:26:30,817 --> 00:26:34,602 演讲者 SPEAKER_07：然后从这些低级部分重建像素。
277 00:26:35,041 --> 00:26:36,163 演讲者 SPEAKER_07：我现在用绿色向您展示这一点。
278 00:26:36,644 --> 00:26:39,987 演讲者 SPEAKER_07：如果红色和绿色完全相同，您将看到黄色。
279 00:26:39,967 --> 00:26:43,570 演讲者 SPEAKER_07：您可以看到，您可以看到红色和绿色边缘的黄色，它们略有不同。
280 00:26:44,913 --> 00:26:49,679 演讲者 SPEAKER_07：我右边展示的是 24 个高级胶囊的激活情况。
281 00:26:50,378 --> 00:27:01,152 演讲者 SPEAKER_07：这 24 个高级胶囊将学会变成像整个数字这样的东西，但它们将学会变成更大的东西，但不是精确的数字。
282 00:27:04,476 --> 00:27:09,281 演讲者 SPEAKER_07：为了展示它是如何将部分组合成整体的，如果你看看这四个，
283 00:27:09,936 --> 00:27:12,760 演讲者 SPEAKER_07：然后你看第五列的部分。
284 00:27:14,782 --> 00:27:19,288 演讲者 SPEAKER_07：第五部分是相同的部分，但使用了不同的仿射变换。
285 00:27:19,930 --> 00:27:28,741 演讲者 SPEAKER_07：您可以看到，当我改变，当我改变仿射变换时，它在图像中的实例化方式非常不同。
286 00:27:30,624 --> 00:27:32,807 演讲者 SPEAKER_07：因此，相同的部分可以以非常不同的方式使用。
287 00:27:34,189 --> 00:27:37,192 演讲者 SPEAKER_07：但它可以从这些仿射变换部分中识别出这些数字。
288 00:27:39,400 --> 00:28:06,133 演讲者 SPEAKER_07：现在我想向您展示的是，在我们学习之后，我们学习提取部分，然后我们学习解释这些部分的组合，然后我们取这些高级向量，那些在 24 个高级胶囊的激活模式中发生的事情，右侧列中的事物。
289 00:28:07,462 --> 00:28:12,790 讲者 SPEAKER_07：我们将这些激活向量绘制成 t-SNE 图。
290 00:28:13,531 --> 00:28:25,828 即，我们将向量嵌入到二维地图中，使得相似的向量彼此靠近，不相似的向量彼此远离，但重点是相似的向量要靠近。
291 00:28:25,848 --> 00:28:31,958 我们将这些向量嵌入到地图中，记住，这东西一生从未见过标签。
292 00:28:32,038 --> 00:28:33,820 它从未被告知过任何关于标签的事情。
293 00:28:33,881 --> 00:28:35,242 演讲者 SPEAKER_07: 这完全是未监督的。
294 00:28:35,981 --> 00:28:37,683 演讲者 SPEAKER_07: 我们可以看到。
295 00:28:39,125 --> 00:28:46,773 演讲者 SPEAKER_07: 所以它有 10 个类别，这 10 个类别分布得很好，但也有些错误。
296 00:28:48,075 --> 00:29:03,171 演讲者 SPEAKER_07: 但如果你现在只是说，我会给每个类别一个标签，例如，我可以从每个类别中挑选一个成员，看看它的标签是什么，几乎可以肯定，它的标签就是该类别中其他所有事物的标签。
297 00:29:04,551 --> 00:29:14,628 讲者 SPEAKER_07：然后我可以在基本上没有标签或根据你的看法有 10 个标签的情况下，在 MNIST 上做到 98.7%的正确率。
298 00:29:15,671 --> 00:29:19,336 讲者 SPEAKER_07：所以 MNIST 的自然类别就凸显出来了。
299 00:29:19,856 --> 00:29:28,446 讲者 SPEAKER_07：这是通过学习具有这种宽泛部分概念的生成模型实现的，这些部分与整体有特定的坐标关系。
300 00:29:28,727 --> 00:29:37,518 讲者 SPEAKER_07：对于 MNIST 来说，它们是可变形的，所以需要我之前提到的那些点状绿色线条来说明部分与整体的关系是依赖于特定的整体的。
301 00:29:39,859 --> 00:29:41,561 演讲者 SPEAKER_07: 所以它工作了。
302 00:29:41,582 --> 00:29:44,625 演讲者 SPEAKER_07: 我还剩下三分钟和三张幻灯片，所以这很完美。
303 00:29:48,109 --> 00:29:49,711 演讲者 SPEAKER_07: 这有两个大问题。
304 00:29:50,755 --> 00:29:55,401 演讲者 SPEAKER_07: 其中一个问题是视觉并不是真正处理整个图像。
305 00:29:55,741 --> 00:29:59,287 讲者 SPEAKER_07：视觉有一个很小的黄斑并决定将其放置在哪里。
306 00:29:59,386 --> 00:30:04,413 讲者 SPEAKER_07：所以视觉的真正循环是一个采样过程，我们几乎看不到几乎所有东西都以高分辨率呈现。
307 00:30:07,257 --> 00:30:14,366 讲者 SPEAKER_07：当我们对每个注视点进行视觉处理时，我坚信我们只看到一幅图像和一些地面。
308 00:30:14,869 --> 00:30:19,056 讲者 SPEAKER_07：当然，还有所有这些错觉，你可以看到一个花瓶，或者你可以看到两张脸。
309 00:30:19,938 --> 00:30:22,561 演讲者 SPEAKER_07：一对面孔，这是一回事。
310 00:30:22,961 --> 00:30:26,688 演讲者 SPEAKER_07：或者你可以看到一个面孔，这是另一回事。
311 00:30:26,708 --> 00:30:34,920 演讲者 SPEAKER_07：所以如果视觉在心理上由前景和背景组成，这个胶囊模型就是前景感知的模型。
312 00:30:35,525 --> 00:30:37,867 演讲者 SPEAKER_07：它不是用来感知背景的模型。
313 00:30:37,907 --> 00:30:43,694 讲者 SPEAKER_07：为了模拟地面，你需要一种更接近纹理建模的方法，而不是将事物分割成部分。
314 00:30:44,375 --> 00:30:46,317 讲者 SPEAKER_07：变分自编码器在这方面非常出色。
315 00:30:47,118 --> 00:30:57,651 讲者 SPEAKER_07：因此，Sarah 训练了一个堆叠胶囊自编码器和变分自编码器的组合，以用高度纹理的背景解释 MNIST 数字。
316 00:30:58,001 --> 00:30:59,604 讲者 SPEAKER_07：结果证明这效果要好得多。
317 00:30:59,625 --> 00:31:01,968 讲者 SPEAKER_07：变分自编码器模型背景。
318 00:31:02,409 --> 00:31:05,413 讲者 SPEAKER_07：它仍然不如没有杂乱背景的效果好。
319 00:31:05,933 --> 00:31:15,067 讲者 SPEAKER_07：但我相信让这种理论在背景杂乱的情况下工作，就像人们一样，可以说，背景杂乱，我们只将其视为背景杂乱。
320 00:31:15,087 --> 00:31:19,295 讲者 SPEAKER_07：我们不使用高级基于部分的结构模型来对其进行建模。
321 00:31:20,276 --> 00:31:21,498 演讲者 SPEAKER_07：这是留给图表的。
322 00:31:22,961 --> 00:31:23,300 演讲者 SPEAKER_07：好的。
323 00:31:25,795 --> 00:31:33,492 演讲者 SPEAKER_07：下一个点，抱歉，我已经说过了。
324 00:31:36,307 --> 00:31:40,712 演讲者 SPEAKER_07：下一个点是，这些都是二维的，我们需要处理真实的 3D 图像。
325 00:31:41,473 --> 00:31:51,066 讲者 SPEAKER_07：Sarah 之前版本中的 Capsules 在 Norb 图像上工作过，这些图像是由 Jan 设计的，用于测试是否可以处理 3D 形状，即不使用颜色直方图的真正 3D 形状。
326 00:31:53,730 --> 00:32:01,219 讲者 SPEAKER_07：为了让这些东西工作，我们需要前端 Capsules，即主要 Capsules，来表示物体的合理部分。
327 00:32:01,958 --> 00:32:12,094 讲者 SPEAKER_07：如果你把视觉看作是逆向图形，图形处理整个形状，获取部分，获取部分的部分，以及部分的部分，最终得到类似三角形的东西，然后进行渲染。
328 00:32:13,036 --> 00:32:17,762 讲者 SPEAKER_07：所以如果你想进行逆向图形处理，最底层将是逆向渲染。
329 00:32:17,782 --> 00:32:21,788 讲者 SPEAKER_07：只有最底层处理光的属性和反照率等事物。
330 00:32:22,790 --> 00:32:24,834 讲者 SPEAKER_07：更高层次将涉及几何学。
331 00:32:25,214 --> 00:32:28,539 讲者 SPEAKER_07：而我所谈论的是与几何学相关的层次。
332 00:32:28,519 --> 00:32:34,288 讲者 SPEAKER_07：我们现在正在研究反转渲染器，以便获取合理的部分。
333 00:32:34,907 --> 00:32:36,871 演讲者 SPEAKER_07: 我们有几种不同的方法来做这件事。
334 00:32:36,911 --> 00:32:47,365 演讲者 SPEAKER_07: 你可以使用表面网格，或者使用已知部分，这被称为 geons，或者使用半空间的交集，还有许多不同的方法。
335 00:32:47,924 --> 00:32:51,390 演讲者 SPEAKER_07: 我只剩下六秒钟了，所以我最好有一个结论。
336 00:32:53,432 --> 00:32:57,597 演讲者 SPEAKER_07: 关于坐标变换和解析树的先验知识很容易放入生成模型中。
337 00:32:57,950 --> 00:33:05,923 讲者 SPEAKER_07：将你的知识放入生成模型中，有趣的一点是，识别模型、编码器并不会进入你模型的复杂性。
338 00:33:05,982 --> 00:33:13,615 讲者 SPEAKER_07：你可以让编码器尽可能复杂，在最小描述长度或贝叶斯术语中，重要的是生成模型的复杂性。
339 00:33:14,175 --> 00:33:22,589 讲者 SPEAKER_07：所以创建一个简单的生成模型，它有很多复杂的指令，并将反转它这个糟糕的问题转移到巨大的集合变换器上。
340 00:33:22,569 --> 00:33:28,640 讲者 SPEAKER_07：如果你让变换器足够大，有足够的层，并在足够多的数据上训练它，成功就有保障了。
341 00:33:30,849 --> 00:33:31,010 演讲者 SPEAKER_06: 好的。
342 00:33:58,682 --> 00:34:01,086 演讲者 SPEAKER_02: 所以我很高兴介绍 Yann LeCun。
343 00:34:02,188 --> 00:34:20,994 演讲者 SPEAKER_02: 所以 Yann 是 Facebook 的首席人工智能科学家，也是纽约 Facebook 人工智能研究实验室的首任主任，后来将该实验室扩展到法国、加拿大和美国的许多其他地点。
344 00:34:20,974 --> 00:34:28,914 演讲者 SPEAKER_02: 他还是纽约大学计算机科学、数据科学、神经科学以及电子和计算机工程学教授。
345 00:34:30,257 --> 00:34:37,092 讲者 SPEAKER_02：众所周知，他一直在机器学习领域工作，还涉及计算机视觉、移动机器人和计算神经科学。
346 00:34:37,764 --> 00:34:50,884 讲者 SPEAKER_02：我个人几年前在伊恩组织的一个关于 AI 善行的 NYU 会议上认识了他。
347 00:34:51,726 --> 00:34:59,536 讲者 SPEAKER_02：从那时起，我们和其他人也一起合作，和他合作真是太棒了。
348 00:34:59,516 --> 00:35:09,164 讲者 SPEAKER_02：看到这种让 AI 真正进步并有益的激情如何结合成这个伟大倡议，真是太好了。
349 00:35:09,184 --> 00:35:18,452 讲者 SPEAKER_02：但除了他在技术和领导方面的惊人角色外，我还一直觉得伊恩是一个非常积极的人。
350 00:35:18,512 --> 00:35:21,916 讲者 SPEAKER_02：你可以看到他真的很享受他所做的研究。
351 00:35:21,976 --> 00:35:24,637 讲者 SPEAKER_02：当他谈论自己的研究时，他总是面带微笑。
352 00:35:25,199 --> 00:35:26,360 讲者 SPEAKER_02：他真的很热爱生活。
353 00:35:26,679 --> 00:35:29,322 演讲者 SPEAKER_02：他是个好人，喜欢航海。
354 00:35:29,302 --> 00:35:29,842 演讲者 SPEAKER_02：很多。
355 00:35:30,282 --> 00:35:32,806 演讲者 SPEAKER_02：他喜欢美食，尤其是法国菜。
356 00:35:35,670 --> 00:35:55,938 演讲者 SPEAKER_02：作为三位主席中的意大利人，我被分配来发表这个句子，我认为我们在这里需要说这句话，因为与 Jeff 和 Yoshua 一起，Ian 是所谓 AI 的教父之一。
357 00:35:55,958 --> 00:35:58,481 说话人 SPEAKER_02：请大家再次欢迎 Ian。
358 00:36:06,713 --> 00:36:11,219 说话人 SPEAKER_09：嗯，我和意大利教父还有一样的东西，那就是我在新泽西有一栋房子。
359 00:36:14,563 --> 00:36:17,025 说话人 SPEAKER_09：好的，我要谈谈自监督学习。
360 00:36:17,045 --> 00:36:23,074 说话人 SPEAKER_09：这将是比 Jeff 所讲的内容更高级的演讲，更偏向于启发性的，而不是技术性的。
361 00:36:24,235 --> 00:36:26,898 演讲者 SPEAKER_09：我需要两个麦克风。
362 00:36:28,414 --> 00:36:39,797 演讲者 SPEAKER_09：好的，首先我会从深度学习的定义开始，因为我经常在各种社交网络上活跃，似乎人们对这到底是什么存在一些混淆。
363 00:36:40,478 --> 00:36:44,847 演讲者 SPEAKER_09：它不是监督学习，也不是神经网络，或者不仅仅是神经网络。
364 00:36:45,228 --> 00:36:50,659 演讲者 SPEAKER_09：它基本上是构建系统的一种想法，即通过组装参数化模块。
365 00:36:50,639 --> 00:36:52,601 演讲者 SPEAKER_09：进入计算图。
366 00:36:52,621 --> 00:37:03,376 演讲者 SPEAKER_09：这些图可能是动态的，也就是说它们不一定确定，不是静态的，它们可以依赖于数据，依赖于输入数据，根据具体情况而定。
367 00:37:04,036 --> 00:37:06,500 演讲者 SPEAKER_09：然后使用基于梯度的学习方法来优化它们。
368 00:37:06,800 --> 00:37:18,856 演讲者 SPEAKER_09：这是一个非常、非常一般的定义，但它的想法是你不是直接编程一个系统，你编写一个定义架构的程序，但有一些参数留给了你，你通过学习来调整这些参数。
369 00:37:18,836 --> 00:37:20,860 讲者 SPEAKER_09：可能会有数十亿这样的参数。
370 00:37:21,661 --> 00:37:30,032 讲者 SPEAKER_09：我们之前看到了 Jeff 描述的例子，这基本上是工程架构的一个好例子。
371 00:37:30,092 --> 00:37:41,047 讲者 SPEAKER_09：所以它为你提供了一种语言，将先验知识或归纳偏差（正如机器学习人员喜欢说的）工程到系统中。
372 00:37:42,394 --> 00:38:04,431 讲者 SPEAKER_09：深度学习可以稍微超越人们对神经网络的一般观念的一点是，输出不一定只是通过一些前馈过程计算出来的，它可能是某种复杂计算的结果，例如，通过最小化某种类型的能量函数，对吧？
373 00:38:04,452 --> 00:38:06,494 演讲者 SPEAKER_09：所以你可以在深度学习系统中进行推理。
374 00:38:08,382 --> 00:38:11,847 演讲者 SPEAKER_09：然后它并没有指定学习范式。
375 00:38:12,108 --> 00:38:25,007 演讲者 SPEAKER_09：当然，你可以在监督学习的情况下使用深度学习，这非常成功，也可以在强化学习的情况下使用，至少对于游戏来说非常成功，以及在自监督或无监督学习的情况下。
376 00:38:26,286 --> 00:38:35,115 演讲者 SPEAKER_09：所以我们经常读到关于深度学习今天局限性的讨论，但其中大部分局限性实际上是监督学习的局限性，而不是深度学习的局限性。
377 00:38:35,135 --> 00:38:41,983 讲者 SPEAKER_09：好了，这个问题解决了，监督学习确实有效，但效果非常好，但需要大量的样本。
378 00:38:42,563 --> 00:38:56,277 讲者 SPEAKER_09：事实上，可能是神经网络在 90 年代中期逐渐消失的原因之一是我们能够拥有的数据量非常有限。
379 00:38:56,661 --> 00:39:00,208 讲者 SPEAKER_09：基本上就是手写识别和一点语音识别，就这些。
380 00:39:01,070 --> 00:39:09,063 讲者 SPEAKER_09：所以我们实际上无法训练大型网络，部分原因是数据不足，部分原因是我们的机器速度太慢，部分原因是我们还没有弄清楚一些概念。
381 00:39:09,543 --> 00:39:14,231 演讲者 SPEAKER_09: 但这正是过去 10 年左右发生的变化。
382 00:39:15,628 --> 00:39:24,525 演讲者 SPEAKER_09: 所以它对语音识别、图像识别、正如您所知，自然语言处理等都非常有效，翻译等。
383 00:39:26,228 --> 00:39:35,847 演讲者 SPEAKER_09: 我认为在计算机视觉领域的进步非常惊人，实际上也导致了计算机视觉应用领域的爆炸式增长。
384 00:39:35,827 --> 00:39:39,797 演讲者 SPEAKER_09: 而且很棒的是，其中很多都是开源的。
385 00：39：39,876 --> 00：39：54,951 演讲者 SPEAKER_09： 你可以从不同的地方下载各种代码，基本上在你想要解决的任何计算机视觉问题方面都是高性能的。
386 00:39:54,931 --> 00:39:56,835 演讲者 演讲者_09：所有这些都在实时运行，一切如此。
387 00:39:56,916 --> 00:40:01,588 演讲者 演讲者_09：所以这是我们预期从深度学习中得到的，但也有我们从深度学习中没有得到的东西。
388 00：40：02,951 --> 00：40：04,195 议长 SPEAKER_09：或者至少我没想到。
389 00:40:04,315 --> 00:40:10,610 演讲者 SPEAKER_09：这是过去几个月内我巴黎 Facebook AI 研究团队的一些同事的最新工作。
390 00:40:10,590 --> 00:40:17,019 演讲者 SPEAKER_09：Guillaume Lample 和 François Charton，他们展示了可以使用深度学习进行符号操作。
391 00:40:17,320 --> 00:40:28,675 演讲者 SPEAKER_09：可以进行诸如解积分等符号操作，他们使用的架构是 Transformer，我无需过多描述，因为 Jeff 刚刚部分介绍了这一点。
392 00:40:28,775 --> 00:40:37,407 演讲者 SPEAKER_09：所以他们使用了一个相当大的 Transformer，并通过生成方程在监督模式下对其进行训练。
393 00:40:37,387 --> 00:40:51,233 讲者 SPEAKER_09：以一种相当复杂的方式，然后，你知道的，展示积分，我的意思是，不是一个方程，而是一个公式，然后训练系统产生该公式的积分。
394 00:40:51,875 --> 00:40:55,481 讲者 SPEAKER_09：他们还为此进行了关于一阶和二阶微分方程的实验。
395 00:40:55,461 --> 00:41:08,661 讲者 SPEAKER_09：这个系统在他们生成的数据集上工作得非常好，他们已经证明它解决了 MATLAB、Maple 和 Mathematica 都无法解决的问题。
396 00:41:10,396 --> 00:41:26,362 讲者 SPEAKER_09：这真的很令人印象深刻，这是纯监督学习，使用生成数据，一个非常大的神经网络，它似乎在进行某种符号操作，但实际上并没有进行符号操作，因为系统中的所有东西都由向量表示。
397 00:41:26,916 --> 00:41:30,061 演讲者 SPEAKER_09: 没有符号，没有逻辑，没有规则。
398 00:41:31,643 --> 00:41:35,871 演讲者 SPEAKER_09: 这基本上是一个经过训练来完成这项任务的大型神经网络。
399 00:41:36,311 --> 00:41:48,789 演讲者 SPEAKER_09: 所以，如果你愿意的话，它有点像直观的符号积分，或者函数或微分方程的积分。
400 00:41:50,574 --> 00:41:57,286 演讲者 SPEAKER_09: 第二件事是，深度学习在短短几年内就变得无处不在。
401 00:41:57,347 --> 00:42:02,876 说话人 SPEAKER_09：我得到了一些让我感到震惊的统计数据。
402 00:42:02,916 --> 00:42:07,023 说话人 SPEAKER_09：现在，自动紧急制动系统在很多汽车中已成为标准。
403 00:42:07,284 --> 00:42:10,710 说话人 SPEAKER_09：实际上，在欧洲，包括低端车型在内，每辆汽车都配备了这一系统。
404 00:42:10,690 --> 00:42:26,893 说话人 SPEAKER_09：这些基本上是将卷积神经网络插入到观察挡风玻璃的摄像头中，如果检测到前方有障碍物且驾驶员注意力不集中，则会激活制动。
405 00:42:27,934 --> 00:42:31,298 说话人 SPEAKER_09：根据统计，这减少了 40%的碰撞。
406 00:42:31,418 --> 00:42:35,043 说话人 SPEAKER_09：因此，它挽救了生命。
407 00:42:36,086 --> 00:42:39,231 说话人 SPEAKER_09：我们经常读到关于人工智能的负面影响，但这是一个积极的影响。
408 00:42:39,833 --> 00:42:46,423 说话人 SPEAKER_09：当然，在乳腺摄影的医学影像领域使用深度学习引起了极大的兴奋。
409 00:42:46,443 --> 00:42:49,168 讲者 SPEAKER_09：这些是我同事在纽约大学工作中的照片。
410 00:42:51,130 --> 00:42:56,559 讲者 SPEAKER_09：但也有很多 AI 的应用是幕后进行的，尽管你可以读到，
411 00:42:56,539 --> 00:42:58,141 讲者 SPEAKER_09：在许多媒体和新闻中。
412 00:43:00,563 --> 00:43:16,521 讲者 SPEAKER_09：比如仇恨言论、过滤、暴力呼吁、停止武器销售等，以及在我们一些同事工作的公司中的各种社交媒体上的恐怖主义宣传，这些都非常有用。
413 00：43：16,880 --> 00：43：23,407 演讲者 SPEAKER_09：网络上发生了很多事情，很多事情必须被删除，这是通过深度学习完成的。
您从 Facebook、Instagram、Google、YouTube 等公司提取深度学习技术
415 00：43：29,427 --> 00：43：30,289 议长 SPEAKER_09：那些公司倒闭了。
416 00：43：30,309 --> 00：43：31,795 议长 SPEAKER_09：他们现在完全是围绕它构建的。
417 00:43:34,356 --> 00:43:38,867 演讲者 SPEAKER_09：像翻译这样的更明显的事情，当然，但这是很有趣的。
418 00:43:39,728 --> 00:43:53,697 演讲者 SPEAKER_09：当然，人们对强化学习非常兴奋，它在游戏和模拟中效果非常好，但它的速度非常慢，因为它需要很多很多次试验来训练一个系统达到任何程度的性能。
419 00:43:53,677 --> 00:44:12,295 演讲者 SPEAKER_09：例如，Facebook 开发的围棋选手，与 DeepMind 的 AlphaZero 有些相似，大约需要两周时间在 2,000 个 GPU 上训练，并且需要玩 2,000 万场比赛，这比任何人在一生中能玩的都要多。
420 00:44:12,275 --> 00:44:24,005 演讲者 SPEAKER_09：DeepMind 的 StarCraft 游戏系统 AlphaStar，相当于 200 年的实时游戏时间，才能在单一地图上略高于人类的表现。
421 00:44:25,166 --> 00:44:35,443 讲者 SPEAKER_09：最近 OpenAI 独立开发的魔方操作系统在模拟中相当于需要 10,000 年。
422 00:44:36,083 --> 00:44:41,391 讲者 SPEAKER_09：所以这些系统在模拟中工作得非常好，但在现实世界中呢？
423 00:44:41,472 --> 00:44:43,896 讲者 SPEAKER_09：那么，如果你想要训练一辆车自动驾驶呢？
424 00:44:44,657 --> 00:44:48,322 讲者 SPEAKER_09：而这在模拟中很难做到非常精确。
425 00:44:48,860 --> 00:44:56,411 说话人 SPEAKER_09: 因此，我们在现实世界中实际上无法做到这一点，因为这样做会毁掉很多汽车，然后让汽车运行数百万次，等等。
426 00:44:57,452 --> 00:45:02,340 说话人 SPEAKER_09: 因此，这是一个巨大的挑战，那就是我们如何让机器学习更接近人类和动物？
427 00:45:02,420 --> 00:45:08,429 说话人 SPEAKER_09: 为什么人类可以在 20 小时的训练中学会开车，大多数人不会出事故？
428 00:45:11,152 --> 00:45:12,876 说话人 SPEAKER_09: 这就是其中的一个挑战之一
429 00:45:14,324 --> 00:45:14,985 演讲者 SPEAKER_09: 关于深度学习。
430 00:45:15,005 --> 00:45:19,208 演讲者 SPEAKER_09: 我看到了三个挑战，这些问题我们都在一定程度上在努力解决。
