1 00:00:01,415 --> 00:00:04,479 主持人 主持人_00：请欢迎杰弗里·辛顿和凯德·梅茨。
243 00:19:19,047 --> 00:19:21,151 说话人 SPEAKER_00：而这种知识根本不依赖于视场。
244 00:19:22,093 --> 00:19:25,859 说话人 SPEAKER_00：所以他的鼻子和脸之间的关系完全独立于我的视场。
245 00:19:27,163 --> 00:19:30,990 说话者 说话者_00：那么我们想要放入神经网络的是，我们希望活动非常依赖于视角。
246 00:19:32,067 --> 00:19:34,450 说话者 说话者_00：我们希望活动非常依赖于视角。
247 00:19:35,310 --> 00:19:39,095 说话者 说话者_00：大多数做卷积神经网络的人试图使活动独立于视角，这是错误的。
248 00:19:39,695 --> 00:19:41,317 说话者 说话者_00：你应该使活动依赖于视角。
249 00:19:42,159 --> 00:19:47,705 说话人 SPEAKER_00: 你让连接上的权重完全独立于视角。
250 00:19:47,786 --> 00:19:49,327 说话人 SPEAKER_00: 那就是关于形状的知识所在。
251 00:19:50,608 --> 00:19:53,333 说话人 SPEAKER_00: 现在你尝试预测整个物体的视角。
252 00:19:53,853 --> 00:19:57,617 说话人 SPEAKER_00: 如果你的预测结果一致，你就说，嘿，那个东西在那里。
253 00:19:58,179 --> 00:20:01,061 Speaker SPEAKER_00: And if you get predictions that don't agree, you say, hey, 
重试
  
错误原因
254 00:20:01,700 --> 00:20:06,069 Speaker SPEAKER_00: there's nothing there. Um, it's fake news. Um, so, um, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, 
重试
  
错误原因
255 00:20:08,163 --> 00:20:14,510 Speaker SPEAKER_00: So this is a much more robust way of identifying objects than what we use at present. 
重试
  
错误原因
256 00:20:14,530 --> 00:20:15,592 Speaker SPEAKER_00: And I want to give you an analogy. 
重试
  
错误原因
257 00:20:15,771 --> 00:20:16,452 发言人 SPEAKER_00：我说得太长了。
258 00:20:16,472 --> 00:20:16,794 说话人 说话人_00: 请说。
259 00:20:17,634 --> 00:20:19,757 说话人 说话人_00: 我想给你一个来自智能世界的类比。
260 00:20:22,079 --> 00:20:26,665 说话人 说话人_00: 假设你在监听无线电交通，你看到了纽约的提及，芝加哥的提及，还有洛杉矶的提及。
261 00:20:27,145 --> 00:20:29,890 说话人 说话人_00: 你还看到了九月的提及，十月的提及。
262 00:20:29,910 --> 00:20:34,035 说话人 说话人_00: 你看到了对第5次、第12次和第11次的提及。
263 00:20:34,015 --> 00:20:35,896 说话人 说话人_00: 你看到很多这样的东西。
264 00:20:36,597 --> 00:20:41,544 说话人 说话人_00: 假设你在三条不同的信息中看到了纽约，9月11日。
265 00:20:42,865 --> 00:20:44,507 说话人 说话人_00: 这是一个高维巧合。
266 00:20:45,087 --> 00:20:46,449 说话人 SPEAKER_00: 几件事情在那里巧合。
267 00:20:46,730 --> 00:20:52,215 说话人 SPEAKER_00: 如果你看到这种组合多次，那真的是你应该注意的事情。
268 00:20:52,876 --> 00:21:02,587 说话人 SPEAKER_00: 同样地，鼻子预测人脸的大小和位置方向，嘴巴也预测同样的事情。
269 00:21:02,872 --> 00:21:04,413 说话人 SPEAKER_00: 因此，你得到了一个高维巧合。
270 00:21:05,536 --> 00:21:18,914 说话者 说话者_00：我认为神经网络应该工作的方式与目前它们实际工作的方式之间有很大的区别，目前的神经网络取一个神经元，它有一些权重，然后观察这些权重与下一层的活动之间的关系。
271 00:21:18,934 --> 00:21:19,435 说话者 说话者_00：它们匹配吗？
272 00:21:20,196 --> 00:21:24,643 说话者 说话者_00：它应该做的是获取活动以做出预测，说，两组预测是否匹配？
273 00:21:25,265 --> 00:21:26,226 说话者 说话者_00：这要强大得多。
274 00:21:26,787 --> 00:21:36,898 说话人 SPEAKER_00：幸运的是，我有一个非常好的，基本上是研究生，和我一起工作了六个月，她让一切都能顺利进行。
275 00:21:37,559 --> 00:21:40,723 说话人 SPEAKER_01：是的，我们应该说这不仅仅是一种理论。
276 00:21:40,763 --> 00:21:49,855 说话人 SPEAKER_01：你最近发表了关于这个主题的两篇论文，你至少在某些情况下已经证明，这可以超越卷积神经网络在图像识别方面的表现。
277 00:21:50,272 --> 00:21:52,718 说话人 SPEAKER_00：所以我们展示的还处于初期阶段。
278 00:21:53,679 --> 00:22:02,756 说话者 说话者_00：把它这么快公之于众有点尴尬，但我们展示了一个小型数据集，这个数据集是为了测试形状识别能力而设计的。
279 00:22:03,317 --> 00:22:05,801 说话者 说话者_00：我们的错误率比卷积网络低一半。
280 00:22:06,742 --> 00:22:08,686 说话者 说话者_00：但我之前见过。
281 00:22:09,448 --> 00:22:18,163 说话者 说话者_00：所以，在2009年，我的两名研究生为语音识别设计了一种技术，这种技术略优于成熟技术。
282 00:22:18,324 --> 00:22:21,430 说话人 说话人_00：卷积神经网络现在已经成为一项成熟的技术。
283 00:22:21,450 --> 00:22:26,659 说话人 说话人_00：如果你能让一个研究生在众多未调优的方面做得稍微好一些，
284 00:22:26,638 --> 00:22:28,501 说话人 说话人_00：最终很明显你会做得更好。
285 00:22:29,162 --> 00:22:44,103 说话人 说话人_00：这种情况发生在语音识别上，发生在形状识别和卷积神经网络上，我也希望它会在这种新的形状识别方式上发生，并且神经网络将不再有这种愚蠢的问题，即如果它们已经学会了从某些视角识别事物，它们就无法从新的视角识别它们。
286 00:22:45,003 --> 00:22:52,173 说话人 SPEAKER_01：你认为它也可以应用于其他任务，超越图像识别，比如语音识别或翻译或其他？
287 00:22:52,271 --> 00:23:04,491 所以，你应该通过匹配滤波器来识别事物的通用想法，也就是说，不是通过一些权重和一些活动，说权重大的地方活动大。
288 00:23:05,053 --> 00:23:05,934 这就是匹配滤波器。
289 00:23:06,756 --> 00:23:07,897 这是一种识别事物的方法。
290 00:23:07,917 --> 00:23:09,099 说话人 说话人_00：这是模板匹配。
291 00:23:10,480 --> 00:23:20,417 说话人 说话人_00：识别事物的一个更强大的方法是获取两个不同的测量值，但多维度的测量值，进行预测并查看预测是否一致。
292 00:23:21,098 --> 00:23:31,817 说话人 说话人_00：如果在高维空间中多次获得预测的一致性，那么这更是一个明显的迹象，表明你确实找到了一些东西。
293 00:23:32,479 --> 00:23:34,462 说话人 说话人_00：我认为神经网络将会改变以实现这一点。
294 00:23:35,236 --> 00:23:37,619 说话人 SPEAKER_01：我们也应该指出，这并不是一个新想法。
295 00:23:37,660 --> 00:23:41,766 说话人 SPEAKER_01：这是你从 70 年代末就有的一个老想法，对吧？
296 00:23:41,786 --> 00:23:43,347 说话人 SPEAKER_01：甚至在你的破产之前。
297 00:23:43,367 --> 00:23:43,628 说话人 SPEAKER_00：是的。
298 00:23:45,632 --> 00:23:49,176 说话人 SPEAKER_00: 你可能今天早上已经听说神经网络进展得多么快了。
299 00:23:51,019 --> 00:23:56,208 说话人 SPEAKER_00: 所以我 38 年前就开始做这件事了，现在它终于要开花结果了。
300 00:23:58,290 --> 00:23:59,573 说话人 SPEAKER_00: 但我有点慢。
301 00:24:00,515 --> 00:24:01,696 说话人 SPEAKER_01: 但这是一个不同的世界，对吧？
302 00:24:01,717 --> 00:24:02,738 说话人 SPEAKER_01：我们有了计算能力。
303 00:24:02,798 --> 00:24:03,680 说话人 SPEAKER_01：我们有了数据。
304 00:24:04,240 --> 00:24:08,646 说话人 SPEAKER_01：听起来您认为这可以以更快的速度发展。
305 00:24:09,087 --> 00:24:09,328 说话人 SPEAKER_00：是的。
306 00:24:09,409 --> 00:24:11,291 说话人 说话人_00：我应该给出一个重大的警告。
307 00:24:12,512 --> 00:24:13,474 说话人 说话人_00：这只是一个理论。
308 00:24:13,955 --> 00:24:16,038 说话人 说话人_00：这在小数据集上是可行的。
309 00:24:16,559 --> 00:24:18,382 说话人 说话人_00：它在小数据集上表现得相当出色。
310 00:24:18,863 --> 00:24:20,766 说话人 说话人_00: 但我们不知道它是否能在大数据集上工作。
311 00:24:20,786 --> 00:24:23,069 说话人 说话人_00: 除非它在大数据集上工作，否则你不应该相信它。
312 00:24:25,192 --> 00:24:25,512 说话人 说话人_01: 好的。
313 00:24:25,532 --> 00:24:26,575 说话人 说话人_01: 我们有值得期待的东西。
314 00:24:27,395 --> 00:24:27,896 说话人 SPEAKER_01: 谢谢，吉姆。
315 00:24:27,916 --> 00:24:28,096 说话人 SPEAKER_00: 好的。
316 00:24:28,116 --> 00:24:28,438 说话人 SPEAKER_00: 谢谢。
317 00:24:28,959 --> 00:24:29,239 说话人 SPEAKER_01: 感谢。
