1 00:00:00,031 --> 00:00:01,252 说话人 SPEAKER_02: Jeff，欢迎。
231 00:19:00,943 --> 00:19:07,049 说话人 SPEAKER_02：我们之前讨论过的一个话题是，当事物呈指数增长时，看到未来是多么困难。
232 00:19:07,470 --> 00:19:11,032 说话人 SPEAKER_02：你能分享一下你是如何体验这个的吗？
233 00:19:11,173 --> 00:19:13,055 说话人 SPEAKER_00：是的，我们不习惯指数级增长。
234 00:19:13,075 --> 00:19:17,118 说话人 SPEAKER_00：所以一个好的类比是如果你在夜间开车，
235 00:19:17,098 --> 00:19:21,486 说话人 SPEAKER_00：在一条你不知道的弯路上，你经常跟在前面车的尾灯后面开车。
236 00:19:22,227 --> 00:19:25,131 说话者 说话者_00：随着汽车离你越来越远，尾灯越来越暗。
237 00:19:25,791 --> 00:19:27,335 说话者 说话者_00：它们的亮度会呈二次方递减。
238 00:19:28,355 --> 00:19:34,144 说话者 说话者_00：所以，如果你将距离增加到三倍，它们的亮度会减少到原来的九分之一。
239 00:19:35,587 --> 00:19:36,628 说话者 说话者_00：这就是为什么你要尽量靠近的原因。
240 00:19:39,032 --> 00:19:40,776 说话人 SPEAKER_00: 有雾时，根本不是那样。
241 00:19:40,836 --> 00:19:42,397 说话人 SPEAKER_00: 完全不同。
242 00:19:42,579 --> 00:19:50,453 说话人 SPEAKER_00: 有雾时，如果你能在 100 码处看得很清楚，你就以为你能在 200 码处看到东西。
243 00:19:51,075 --> 00:19:56,345 说话人 SPEAKER_00: 但实际上，你在 100 码处看得很清楚，到了 200 码处就什么也看不见了，因为雾是指数级的。
244 00:19:56,384 --> 00:19:58,950 说话人 SPEAKER_00: 每单位距离，它会移除一定比例的光。
245 00:19:59,351 --> 00:20:03,458 说话人 SPEAKER_00: 这与我们习惯的线性或二次项非常不同。
246 00:20:03,438 --> 00:20:08,770 说话人 SPEAKER_00: 人们并不真正理解“指数”这个词，因为它被过度使用了。
247 00:20:09,292 --> 00:20:11,237 说话人 SPEAKER_00: 人们误用“指数”这个词，含义很多。
248 00:20:11,798 --> 00:20:16,349 说话人 SPEAKER_00：事实上，我认为他们误用指数的速度正在呈平方增长。
249 00:20:17,073 --> 00:20:37,038 说话人 SPEAKER_02：这让我想起了我小时候很喜欢的一个谜语，那就是如果你有一个开始只有一朵莲花的池塘，每天翻倍，直到第 30 天莲花覆盖了池塘，阳光被遮挡，池塘因此死亡，那么池塘什么时候会有一半的莲花？
250 00:20:37,019 --> 00:20:39,162 说话人 SPEAKER_02：答案是第 29 天。
251 00:20:39,402 --> 00:20:41,845 说话人 SPEAKER_02：但人们的直觉是，哦，可能是第 15 天左右。
252 00:20:42,484 --> 00:20:49,113 说话人 SPEAKER_02：有时候很难理解，因为我们没有经历过那种指数级增长是什么样的。
253 00:20:49,794 --> 00:20:52,217 说话人 SPEAKER_02：你认为关于工作的未来有什么想法吗？
254 00:20:52,376 --> 00:20:54,038 说话人 SPEAKER_02：我们稍微谈了一下劳动力问题。
255 00:20:54,759 --> 00:20:58,223 说话人 SPEAKER_02：一个每个人都能得到帮助的世界显然是美好的。
256 00:20:58,443 --> 00:21:02,689 说话人 SPEAKER_02：被取代的工作世界显然会带来很多社会压力。
257 00:21:02,669 --> 00:21:08,140 说话人 SPEAKER_02：那些领导大型公司的人应该如何思考在接下来的两到三年中如何应对？
258 00:21:08,727 --> 00:21:10,788 说话人 SPEAKER_00：显然会有失业现象。
259 00:21:11,769 --> 00:21:17,016 说话人 SPEAKER_00：所以我们不知道 AI 是否会淘汰很多工作。
260 00:21:17,036 --> 00:21:17,836 说话人 说话人_00: 我怀疑是这样的。
261 00:21:18,237 --> 00:21:18,998 说话人 说话人_00: 珍妮认为是这样的。
262 00:21:19,097 --> 00:21:20,960 说话人 说话人_00: 珍妮克，我的朋友，认为不是这样的。
263 00:21:21,461 --> 00:21:27,606 说话人 说话人_00: 在过去，像自动取款机这样的东西并没有导致出纳员大规模失业。
264 00:21:27,827 --> 00:21:33,874 说话人 SPEAKER_00: 他们只是做了更有趣、更复杂的事情，并且花费了更长的时间，所以你需要排队很长时间。
265 00:21:35,878 --> 00:21:39,083 说话人 SPEAKER_00: 所以可能会产生失业，也可能不会。
266 00:21:39,123 --> 00:21:43,709 说话人 SPEAKER_00: 我怀疑有一些工作可以用更多的这种技术。
267 00:21:44,769 --> 00:21:52,019 说话人 SPEAKER_00: 例如，如果他们使医生更有效率，我们所有人，尤其是老年人，都可以更多地利用医生的时间。
268 00：21：52,519 --> 00：21：56,984 演讲者 SPEAKER_00：如果你的医生效率是 10 倍，我就会得到 10 倍的医疗保健。
269 00:21:57,045 --> 00:21:57,285 演讲者 演讲者_00：太好了。
270 00：21：59,428 --> 00：22：01,329 议长 SPEAKER_00：不过，还有其他事情不是这样的。
一个人使用人工智能助手就能完成以前需要10个人才能完成的工作，而其他9个人将会失业。
272 00:22:10,282 --> 00:22:13,788 说话者 说话者_00：那样的问题在于，你的生产力提高了。
273 00:22:13,928 --> 00:22:15,108 说话者 说话者_00：这应该会帮助人们。
274 00:22:15,990 --> 00:22:21,698 说话者 说话者_00：但你让九个人失业，而一个富人变得更富有。
275 00:22:22,538 --> 00:22:24,240 说话者 说话者_00：这对社会非常不利。
276 00:22:24,480 --> 00:22:26,983 说话人 说话人_00：显然，我们无法看到很远的未来。
277 00:22:27,003 --> 00:22:31,829 说话人 说话人_00：如果你用雾的比喻，我认为墙会在三到五年内倒塌。
278 00:22:33,030 --> 00:22:36,655 说话人 说话人_00：我们相当有信心，我们有一些想法，知道接下来几年会发生什么。
279 00:22:37,115 --> 00:22:39,880 说话人 说话人_00：十年后，我们不知道会发生什么。
280 00:22:40,079 --> 00:22:41,582 说话人 说话人_00：通过回顾10年前，你可以看到这一点。
281 00:22:41,622 --> 00:22:44,125 说话人 说话人_00：我们完全没有想到会发生这样的事情。
282 00:22:45,640 --> 00:22:56,798 说话人 说话人_00：我认为公司应该通过让每个人都拥有一个智能 AI 助手的方向来导航。
283 00:22:57,384 --> 00:23:07,317 说话人 说话人_00：人们觉得他们会从这个智能助手那里得到更好的工作条件，你会提高生产力，这对每个人都是有益的。
接下来五年将会非常不平凡，用更好的词来形容可能找不到，而您在其中发挥了巨大的作用，帮助我们度过人工智能寒冬，度过那些可能并不像现在这么清晰的时刻，我想说，能进行这次对话是一种荣幸，谢谢您。
285 00：23：26,578 --> 00：23：29,117 演讲者 SPEAKER_00：是的，我真的很喜欢。
286 00:23:29,137 --> 00:23:29,923 说话者 SPEAKER_02：谢谢。
287 00：23：30,710 --> 00：23：31,496 议长 SPEAKER_01：非常感谢。
288 00：23：31,798 --> 00：23：32,099 议长 SPEAKER_02：不客气。
