1 00:00:04,823 --> 00:00:06,466 演讲者 SPEAKER_02：我们的下一位演讲者是 Jeff Hinton。
233 00:22:39,346 --> 00:22:42,410 说话人 SPEAKER_01：这样他们就能带回来一些非常像导数的东东。
234 00:22:44,232 --> 00:22:46,115 说话人 SPEAKER_01：我们还没有完全理解这一点。
235 00:22:46,856 --> 00:22:50,342 说话人 SPEAKER_01：我有许多不同的解释来说明为什么它有效。
236 00:22:50,903 --> 00:22:58,913 说话人 SPEAKER_01：拥有许多解释看似很好，如果你想要整合后验概率，但实际上这是你不真正理解正在发生什么的标志。
237 00:23:01,237 --> 00:23:06,104 说话人 SPEAKER_01：好吧，它确实可以工作，但我们并不真正完全理解为什么反馈和对齐工作得如此之好。
238 00:23:07,987 --> 00:23:08,728 说话人 SPEAKER_01：请翻到下一页。
239 00:23:20,892 --> 00:23:22,294 说话人 SPEAKER_01：所以我只是想总结一下。
240 00:23:22,334 --> 00:23:31,707 说话人 SPEAKER_01：在神经网络中获取监督信号很容易。
241 00:23:31,727 --> 00:23:33,549 说话人 SPEAKER_01：对此有各种各样的可能性。
242 00:23:34,530 --> 00:23:38,537 说话人 SPEAKER_01：它不必由教师注入到皮层的中间。
243 00:23:40,359 --> 00:23:42,442 说话人 SPEAKER_01：神经元发送尖峰的事实并不是问题。
244 00:23:42,903 --> 00:23:44,444 说话人 SPEAKER_01：实际上，这只是一个很好的正则化器。
245 00:23:46,248 --> 00:23:49,211 说话人 SPEAKER_01：如果我们把误差导数表示为时间导数，
246 00:23:49,646 --> 00:23:54,692 说话人 SPEAKER_01：那么我们就可以让一个神经元在同一条轴突上发送误差导数反向和信号正向。
247 00:23:56,255 --> 00:24:00,319 说话人 SPEAKER_01：如果我们这样做，我们应该看到时间依赖性突触可塑性。
248 00:24:00,520 --> 00:24:06,887 说话人 SPEAKER_01：这正是反向传播使用时间导数作为误差导数的标志。
249 00:24:06,907 --> 00:24:16,820 说话者 SPEAKER_01：你可能会认为每个自下而上的连接都需要一个与之对应的、具有相同权重的自上而下的连接，但这个看似问题实际上并非问题，原因是我们并不完全理解。
250 00:24:17,161 --> 00:24:19,384 说话者 SPEAKER_01：但如果没有这个，它也能正常工作。
251 00:24:19,751 --> 00:24:22,576 说话者 SPEAKER_01：正向权重会适应，以便反向权重能够很好地工作。
252 00:24:23,837 --> 00:24:39,038 说话者 SPEAKER_01：所以我对最后一张幻灯片有一个最后的评论，那就是使用误差导数来表示时间导数的这种有趣的表征想法有着巨大的影响。
253 00:24:39,097 --> 00:24:46,468 说话者 SPEAKER_01：这意味着你不能用神经元的时变率来表示神经元所表示的时变率。
254 00:24:47,393 --> 00:24:54,461 说话者 SPEAKER_01：所以如果你有一个表示某物位置的神经元，你不能用该神经元输出的变化率来表示某物的速度。
255 00:24:55,201 --> 00:25:03,853 说话者 SPEAKER_01：这是表示速度的明显方法，但如果你已经决定时变率是误差变率，那么它将不起作用。
256 00:25:03,873 --> 00:25:13,203 说话者 SPEAKER_01：如果你观察正确的脑损伤，你会发现有些人能看到事物的位置，他们能看到位置的变化，但他们看不到它们在移动。
257 00:25:13,243 --> 00:25:16,928 说话人 SPEAKER_01：他们没有速度感。
258 00:25:17,346 --> 00:25:27,517 说话人 SPEAKER_01：时间导数作为编码误差导数的概念解释了几个问题，比如为什么不能使用位置神经元通过其变化率来表示速度。
259 00:25:28,097 --> 00:25:33,143 说话人 SPEAKER_01：它解释了为什么会出现时间依赖性突触可塑性，并解释了如何在脑中实现反向传播。
260 00:25:33,762 --> 00:25:37,606 说话人 SPEAKER_01：现在，在神经科学领域，这还只是刚刚开始。
261 00:25:38,508 --> 00:25:43,874 说话者 SPEAKER_01：但我想要质疑神经科学家所说的，那就是你不可能在大脑中实现反向传播。
262 00:25:44,614 --> 00:25:47,336 说话者 SPEAKER_01：我认为实际上可以，进化肯定已经找到了实现它的方法。
263 00:25:47,974 --> 00:26:04,536 说话者 SPEAKER_01：我说完了。
264 00:26:04,556 --> 00:26:05,898 说话者 SPEAKER_02：我们还有时间回答几个问题。
265 00:26:14,721 --> 00:26:19,469 说话者 SPEAKER_00：那么，你能否对大脑中可能看到的图结构做出任何预测？
266 00:26:19,548 --> 00:26:21,653 说话者 SPEAKER_00：看看一个简单的，比如秀丽隐杆线虫。
267 00:26:21,732 --> 00:26:24,616 说话者 SPEAKER_00：那里有没有一些可以预测并找到的循环？
268 00:26:24,656 --> 00:26:26,840 说话者 SPEAKER_01：好的。
269 00:26:26,941 --> 00:26:35,173 说话人 SPEAKER_01：我一直在大脑，或者说灵长类动物的大脑上思考。
270 00:26:35,193 --> 00:26:35,294 说话人 SPEAKER_01：哎呀。
271 00:26:35,314 --> 00:26:36,715 说话人 SPEAKER_01：我觉得我们俩同时说话了。
272 00:26:39,319 --> 00:26:42,585 说话人 SPEAKER_01：我一直在大脑和人类大脑的感觉通路方面思考。
273 00:26:42,750 --> 00:26:46,836 说话人 SPEAKER_01：我不太相信在许多低等生物中会发生同样的学习过程。
274 00:26:47,616 --> 00:26:59,332 说话人 SPEAKER_01：所以我认为在昆虫中，比如，它的系统可能比我们的大脑要简单得多。
275 00:27:00,433 --> 00:27:05,160 说话人 SPEAKER_01：所以我对 C. elegans 是否能够进行反向传播这个问题保持开放态度。
276 00:27:05,819 --> 00:27:07,122 说话人 SPEAKER_01：我不太相信这一点。
277 00:27:13,395 --> 00:27:14,237 说话人 SPEAKER_02: Jeff，我有一个问题。
278 00:27:15,877 --> 00:27:16,117 说话人 SPEAKER_02: 好的。
279 00:27:16,419 --> 00:27:30,330 说话人 SPEAKER_02: 那么在不需要在反向传播过程中更新所使用的矩阵的情况下，对于分布式训练神经网络来说，这里是否存在着某种计算机会？
280 00:27:31,893 --> 00:27:32,993 说话人 SPEAKER_02: 那就是减少了通信成本，对吧？
281 00:27:34,654 --> 00:27:36,876 说话人 SPEAKER_01：我实际上还没有考虑过这个问题。
282 00:27:38,699 --> 00:27:42,001 说话人 SPEAKER_01：我还没有考虑过这个问题。
283 00:27:42,691 --> 00:27:44,894 说话人 SPEAKER_01：抱歉，线路不是全双工的。
284 00:27:46,757 --> 00:27:49,741 说话人 SPEAKER_01：所以我认为这是一个非常有趣的问题。
285 00:27:49,761 --> 00:28:00,017 发言人 SPEAKER_01：如果您可以使用固定的后向权重，那就太好了，虽然您需要付出一点代价，因为它不如反向传播那么快，但您获得的利益却很多，因为您不必更新后向权重。
286 00:28:00,076 --> 00:28:04,804 发言人 SPEAKER_01：但由于您仍然需要更新前向权重，我认为我没有必要考虑这个问题。
287 00:28:04,824 --> 00:28:08,209 发言人 SPEAKER_01：我看不出有什么办法可以充分利用这一点来实现并行化。
你好，杰夫，你提到你的自编码器必须是无损的，你不仅要编码标签，还要编码足够的信息来重建图像。
289 00:28:22,170 --> 00:28:26,755 说话者 SPEAKER_03：这似乎对大脑来说是一个相当昂贵的条件，能够做到这一点。
290 00:28:27,935 --> 00:28:38,247 说话者 SPEAKER_03：你看到任何方法可以在损失更多的情况下仍然得到反向传播吗？
291 00:28:39,289 --> 00:28:40,872 说话者 SPEAKER_01：是的，我想我已经意识到发生了什么。
292 00:28:40,892 --> 00:28:46,118 说话者 SPEAKER_01：从 John Winn 那里得到的视觉输入和我听到的 John Winn 的声音之间有一个很大的延迟。
293 00:28:47,661 --> 00:28:57,653 说话人 SPEAKER_01: 好的，所以如果我把整个问题都弄明白了，这种方法实际上是非常稳健的。
294 00:28:58,114 --> 00:29:07,086 说话人 SPEAKER_01: 如果你让顶层不足以重建下一层，它仍然表现得相当不错。
295 00:29:07,707 --> 00:29:12,853 说话人 SPEAKER_01: 在顶层有额外的输出表示像姿态这样的东西是有帮助的。
296 00:29:13,993 --> 00:29:17,798 说话人 SPEAKER_01: 如果你只使用顶层的标签，它仍然可以工作，只是效果不是那么好。
297 00:29:20,121 --> 00:29:25,506 说话人 SPEAKER_01：我认为，实际上，它可以很好地容忍有损自动编码。
298 00:29:26,386 --> 00:29:29,911 说话人 SPEAKER_01：我们还没有进行实验来确定它能够容忍到什么程度。
299 00:29:30,352 --> 00:29:36,178 说话人 SPEAKER_01：我完全同意你的观点，你不想在系统的所有层级都编码所有这种噪声。
300 00:29:36,817 --> 00:29:39,358 说话人 SPEAKER_01：在低层到整个系统。
301 00:29:39,378 --> 00:30:05,625 说话者 SPEAKER_04：但我认为它对这一点相当稳健。
302 00:30:06,262 --> 00:30:11,509 说话者 SPEAKER_04：正如您所知，来自更高层的连接非常分散。
303 00:30:11,628 --> 00:30:14,613 说话者 SPEAKER_04：它们位于皮层的上层，并且分布得非常广泛。
304 00:30:15,093 --> 00:30:20,880 说话者 SPEAKER_04：您对从顶层传下来的信号需要什么样的精度？
305 00:30:22,982 --> 00:30:23,383 说话人 SPEAKER_01: 好的。
306 00:30:23,563 --> 00:30:36,117 说话人 SPEAKER_01: 关于这一点，我可以稍微谈谈，那就是如果你采用全连接网络，这当然并不现实，并且建立正向和反向连接，
307 00:30:36,419 --> 00:30:37,961 说话人 SPEAKER_01: 完全不重叠。
308 00:30:38,961 --> 00:30:51,917 说话人 SPEAKER_01: 比如说，你放入四分之一的可能正向连接，然后放入四分之一的可能反向连接，但确保正向连接和反向连接之间没有重叠。
309 00:30:52,659 --> 00:30:56,163 发言人 SPEAKER_01：所以你永远不会有一对向前连接和向后连接的神经元。
310 00:30:56,864 --> 00:30:58,125 说话人 SPEAKER_01：该算法运行得非常好。
311 00:30:58,826 --> 00:31:01,869 说话人 SPEAKER_01：这根本不影响它。
312 00:31:02,170 --> 00:31:06,375 说话人 SPEAKER_01：这取决于每一层的表示中存在冗余。
313 00:31:07,356 --> 00:31:16,969 说话人 SPEAKER_01：因此，你可以通过查看其他神经元来获取所需的信息，而不仅仅是查看上一层你认为需要查看的神经元，以了解如何实现。
314 00:31:17,891 --> 00:31:25,500 发言人 SPEAKER_01：所以，只要表示中存在冗余，只要你有相当宽的层，它就可以在前馈和反馈连接之间没有重叠的情况下工作。
315 00:31:26,642 --> 00:31:28,785 发言人 SPEAKER_01：这不是一个正确的答案，因为你想知道
316 00:31:29,035 --> 00:31:32,298 说话者 SPEAKER_01：那么局部会发生什么，以及是否值得使事物更加分散。
我认为使事物更加扩散的原因可能与其监督信号的来源有关，因为我真的相信这个想法，即在每个层面上发生的监督信号，是您为神经元提取的底部活动与从更广泛上下文中的顶部预测之间的协议。
318 00:31:53,743 --> 00:31:55,566 说话者 SPEAKER_01：所以我认为这就是你想要反馈连接更加分散的原因，因为它们需要承载更广泛的内容，所以你会与自下而上的进行比较。
319 00:31:56,103 --> 00:32:01,628 说话者 SPEAKER_01：我想这就是我现在要说的全部了。
320 00:32:03,912 --> 00:32:05,614 说话者 SPEAKER_01：我想这就是我现在要说的全部了。
321 00:32:05,673 --> 00:32:10,720 说话者 SPEAKER_01：需要更多的实验来确定理想的分散程度。
322 00:32:11,140 --> 00:32:23,493 Speaker SPEAKER_01: 此外，我们还没有进行实验来证明这种在系统所有层次上对自下而上和自上而下预测之间的一致性进行监督的监督学习方法是否可行。
323 00:32:26,713 --> 00:32:27,221 Speaker SPEAKER_02: 谢谢，杰夫。
324 00:32:27,526 --> 00:32:29,130 Speaker SPEAKER_02: 让我们再次感谢杰夫。
