1 00:00:05,245 --> 00:00:10,631 说话人 说话人_00：在我们开始之前，我最近在斯坦福做过同样的演讲。
238 00:20:21,375 --> 00:20:28,382 说话者 SPEAKER_00: 你在特定的比例、特定的方向和特定的位置上想象过它。
239 00:20:28,480 --> 00:20:32,164 说话者 SPEAKER_00: 你可以回答关于它大概有多大等问题。
240 00:20:32,184 --> 00:20:40,474 说话人 SPEAKER_00：这就是解决这些涉及使用事物之间关系的任务时的证据，你会在脑海中形成一个图像。
241 00:20:41,457 --> 00:20:46,182 说话人 SPEAKER_00：好的，关于心理图像的内容就到这里。
242 00:20:46,202 --> 00:20:49,287 说话人 SPEAKER_00：所以我现在将为您简要介绍对比学习。
243 00:20:50,208 --> 00:20:58,077 说话人 SPEAKER_00：所以在这里演讲中存在一个完全的脱节，但我很快就会回来。
244 00:20:58,278 --> 00:20:58,317 未知说话者：嗯
245 00:20:59,497 --> 00:21:08,147 说话者 SPEAKER_00：与自监督学习不同，我们试图使两张图像的不同裁剪具有相同的表示。
246 00:21:12,011 --> 00:21:24,728 说话者 SPEAKER_00：很久以前，Becker 和 Hinton 有一篇论文，我们就是用这种方法来发现图像中的低级连贯性，比如表面的连续性或表面的深度。
247 00:21:25,788 --> 00:21:29,614 说话者 SPEAKER_00：自从那时以来，它已经得到了很大的改进，并且已经被用于进行分类等任务。
也就是说，你取一个包含一个突出对象的图像，然后你说，如果我裁剪包含该对象任何部分的图像，它应该与包含该对象部分的另一个裁剪图像具有相同的表示。
249 00:21:49,422 --> 00:21:50,022 说话者 说话者_00：并且
250 00：21：50,492 --> 00：21：53,636 演讲者 SPEAKER_00：这在过去几年里已经发展了很多。
251 00:21:54,237 --> 00:22:00,344 说话者 SPEAKER_00：我将要谈论的是我所在的多伦多小组几年前开发的一个模型，名为 SimClear，但还有很多其他模型。
252 00:22:00,845 --> 00:22:02,287 说话人 SPEAKER_00: 从那时起，事情已经有所改善。
253 00:22:05,630 --> 00:22:16,702 说话人 SPEAKER_00: 在 SimClear 中，你取一个 ImageX，取两个不同的裁剪，并对每个裁剪进行不同的颜色失真。
254 00:22:16,970 --> 00:22:20,214 说话人 SPEAKER_00: 这样做是为了防止它使用颜色直方图来判断它们是相同的。
255 00:22:21,737 --> 00:22:25,122 说话人 SPEAKER_00: 所以你玩弄颜色，让它不能简单地使用颜色。
256 00:22:27,325 --> 00:22:31,951 说话者 SPEAKER_00: 这就得到了 x̄i 和 x̄j。
257 00:22:32,692 --> 00:22:44,170 说话者 SPEAKER_00: 然后将这些输入到相同的神经网络 F 中，然后得到表示 H。然后，将表示 H 输入到另一个神经网络中，该神经网络对其进行了一点压缩。
258 00:22:44,931 --> 00:22:46,452 说话者 SPEAKER_00: 它进入低维空间。
259 00:22:46,923 --> 00:22:50,567 说话者 SPEAKER_00: 这是一个额外的复杂性，我不会解释，但它使它工作得更好。
260 00:22:51,768 --> 00:22:52,750 说话人 SPEAKER_00: 你可以不做那样做。
261 00:22:53,631 --> 00:22:55,952 说话人 SPEAKER_00: 你会得到两个嵌入 zi 和 zj。
262 00:22:57,234 --> 00:23:00,557 说话人 SPEAKER_00: 你的目标是最大化这些向量之间的一致性。
263 00:23:02,299 --> 00:23:08,567 说话人 SPEAKER_00: 因此，你从随机神经网络、随机神经网络权重开始。
264 00:23:09,288 --> 00:23:12,811 说话者 SPEAKER_00: 让我们取两个补丁，并将它们通过这些变换。
265 00:23:13,061 --> 00:23:15,285 说话者 SPEAKER_00: 让我们尝试使 zi 与 zj 相同。
266 00:23:15,765 --> 00:23:25,277 说话者 SPEAKER_00: 因此，我们将 i 的组件和 j 的组件之间的平方差进行反向传播。嘿， presto，你发现的是一切都在崩溃。
267 00:23:27,378 --> 00:23:31,805 说话者 SPEAKER_00: 对于每张图像，它总是会生成相同的 zi 和 zj。
268 00:23:32,464 --> 00:23:34,627 说话者 SPEAKER_00: 然后你就会意识到，嗯，这并不是我所说的“一致”。
269 00:23:35,068 --> 00:23:42,057 说话者 SPEAKER_00: 我的意思是，当你从同一张图片中获取两个不同的区域时，它们应该是相同的；当你从不同的图片中获取两个不同的区域时，它们应该是不同的。
270 00:23:42,609 --> 00:23:44,352 说话者 SPEAKER_00: 否则，这就不算真正的“一致”，对吧？
271 00:23:48,798 --> 00:23:50,580 说话者 SPEAKER_00: 所以你需要有负例。
272 00:23:50,942 --> 00:23:54,646 说话人 SPEAKER_00: 你必须展示来自不同图像的裁剪，并说明这些应该不同。
273 00:23:55,748 --> 00:23:59,333 说话人 SPEAKER_00: 如果它们已经不同，你就不要试图让它们变得更多不同。
274 00:24:00,114 --> 00:24:03,298 说话人 SPEAKER_00: 让事物变得非常不同很容易，但这不是你想要的。
275 00:24:03,358 --> 00:24:04,901 说话人 SPEAKER_00: 你只是要确保它们足够不同。
276 00:24:04,980 --> 00:24:09,106 说话人 SPEAKER_00：所以来自不同图像的作物不会被看作来自同一图像。
277 00:24:09,407 --> 00:24:14,252 说话人 SPEAKER_00：如果它们碰巧非常相似，你会把它们分开，这样就可以阻止你的表示坍缩。
278 00:24:14,272 --> 00:24:17,174 说话人 SPEAKER_00：这被称为对比学习，它非常有效。
279 00:24:18,836 --> 00:24:30,027 说话人 SPEAKER_00：所以你可以通过尝试最大化来自同一图像的两个图像块之间的表示的一致性来进行无监督学习。
280 00:24:31,469 --> 00:24:38,115 说话者 SPEAKER_00: 在你完成之后，你只需将图像块表示输入到线性分类器中。
281 00:24:38,617 --> 00:24:44,965 说话者 SPEAKER_00: 一系列权重，这样你就可以将表示乘以权重矩阵，通过 softmax 得到类别标签。
282 00:24:45,807 --> 00:24:48,130 说话者 SPEAKER_00: 然后通过梯度下降进行训练。
283 00:24:49,030 --> 00:24:55,538 说话者 SPEAKER_00: 你会发现这几乎和在有标签数据上训练一样好。
284 00:24:56,159 --> 00:24:59,663 说话人 SPEAKER_00：现在你只训练了基于标记数据的最后一个线性分类器。
285 00:25:00,484 --> 00:25:02,686 说话人 SPEAKER_00：之前的层是在未标记数据上训练的。
286 00:25:03,729 --> 00:25:08,253 说话人 SPEAKER_00：而你成功地在不需要标签的情况下训练了你的表示。
287 00:25:12,048 --> 00:25:13,509 说话人 SPEAKER_00：现在，这里有个问题。
288 00:25:14,671 --> 00:25:20,459 说话人 SPEAKER_00: 它工作得非常好，但它实际上是在混淆物体和整个场景。
289 00:25:21,721 --> 00:25:31,614 说话人 SPEAKER_00: 因此，说来自同一场景的两个不同补丁应该在场景级别获得相同的向量标签是有意义的，因为它们来自同一场景。
290 00:25:33,175 --> 00:25:37,842 说话人 SPEAKER_00: 但如果其中一个补丁包含物体 A 和 B 的片段，而另一个补丁包含物体 A 和 C 的片段怎么办？
291 00:25:38,261 --> 00:25:41,987 说话人 SPEAKER_00: 你真的不希望这两个补丁在物体级别上有相同的表示。
292 00:25:42,557 --> 00:25:45,520 说话人 SPEAKER_00：我们必须区分这些不同级别的表示。
293 00:25:46,882 --> 00:25:56,491 说话人 SPEAKER_00：对于对比学习，如果你不使用任何形式的门控或注意力，那么实际上你是在 seam 级别进行学习。
294 00:25:59,335 --> 00:26:12,548 说话人 SPEAKER_00：我们希望的是，在对象级别得到的表示，如果两个补丁都来自对象 A，则应该是相同的，但如果一个补丁来自对象 A，另一个补丁来自对象 B，则应该是不同的。
295 00:26:12,982 --> 00:26:16,587 说话人 SPEAKER_00：为了做到这一点，我们需要某种形式的注意力来判断它们是否真正来自同一事物。
296 00:26:17,909 --> 00:26:19,490 说话人 SPEAKER_00: 因此，Glom 被设计来做这件事。
297 00:26:19,550 --> 00:26:28,942 说话人 SPEAKER_00: 它被设计用来采用对比学习，并引入类似 Transformers 中的注意力机制，以便不试图说事物不同时它们实际上是相同的。
298 00:26:31,385 --> 00:26:35,211 说话人 SPEAKER_00: 我应该在这里提到，你们大多数人都会熟悉 BERT。
299 00:26:36,051 --> 00:26:42,180 说话人 SPEAKER_00: 你们可以将输入到 BERT 中的词片段想象成我在这里使用的图像块。
300 00:26:42,380 --> 00:26:46,544 说话人 说话人_00：在 BERT 中，你有一整列相同词片段的表示。
301 00:26:47,865 --> 00:26:55,392 说话人 说话人_00：在 BERT 中，当你向上移动时，可能发生的情况是，你得到了语义上更丰富的表示。
302 00:26:56,673 --> 00:27:02,198 说话人 说话人_00：但在 BERT 中，并没有尝试获取更大事物的表示，比如整个短语。
303 00:27:05,121 --> 00:27:08,044 说话人 说话人_00：接下来我要谈论的，将是一种修改 BERT 的方法。
304 00:27:08,104 --> 00:27:11,626 说话人 说话人_00：随着你向上移动，你会得到越来越大的一致性岛屿。
305 00:27:12,063 --> 00:27:26,823 说话人 说话人_00：例如，经过几层之后，像 New 和 York 这样的词将会有不同的 York 片段，假设他有两个不同的片段，如果按照 Glomlite 方式处理，它们将会有完全相同的表示。
306 00:27:27,644 --> 00:27:37,257 说话人 说话人_00：然后，再向上提升一个层次，New 的片段，嗯，New 可能是一个独立的事物，但 York 的所有片段将会有完全相同的表示。
307 00:27:38,898 --> 00:27:40,280 说话人 说话人_00：它们将会有这个一致性岛屿。
308 00:27:40,732 --> 00:27:44,356 说话人 SPEAKER_00: 这将是一个复合事物的表示。
309 00:27:44,696 --> 00:27:48,401 说话人 SPEAKER_00: 随着你往上走，你会得到这些代表越来越大事物的共识岛屿。
310 00:27:49,121 --> 00:27:51,243 说话人 SPEAKER_00: 这将是一种更有用的 BERT。
311 00:27:51,743 --> 00:28:10,722 说话人 SPEAKER_00: 因为不是通过取代表词片段的向量，然后通过取每个分量的最大值等方式将它们混合在一起，例如，取每个分量的最大值，这只是一个疯狂的做法，你会在学习过程中明确地形成部分-整体层次结构中更大部分的表示。
312 00:28:12,204 --> 00:28:15,969 说话人 SPEAKER_00: 好的。
313 00:28:15,989 --> 00:28:29,103 说话人 SPEAKER_00: 在 Glom 中，我们追求的是一种比由于表面在图像的邻近区域倾向于具有相同的深度和方向而产生的空间连贯性更复杂的空间连贯性。
314 00:28:30,243 --> 00:28:41,115 说话人 SPEAKER_00: 我们追求的是这样的空间连贯性：如果你在图像中找到一个嘴巴，然后在图像中找到一个鼻子，并且它们之间有正确的关系来构成一个脸，
315 00:28:41,450 --> 00:28:43,633 说话人 SPEAKER_00: 那就是一种特定的连贯性。
316 00:28:44,334 --> 00:28:50,561 说话人 SPEAKER_00: 我们想要无监督地进行，并发现图像中的这种一致性。
317 00:28:53,946 --> 00:28:57,832 说话人 SPEAKER_00: 在我详细介绍 GLOM 之前，我想先声明一下。
318 00:29:00,976 --> 00:29:05,701 说话人 SPEAKER_00: 多年来，计算机视觉将视觉视为静态图像，具有统一的分辨率，
319 00:29:06,069 --> 00:29:07,090 说话人 SPEAKER_00: 你想要描述其中的内容。
320 00:29:08,332 --> 00:29:10,054 说话人 SPEAKER_00：现实世界的视觉工作方式并非如此。
321 00:29:10,473 --> 00:29:14,817 说话人 SPEAKER_00：在现实世界中，这实际上是一个循环，你决定看向哪里。
322 00:29:14,837 --> 00:29:19,563 说话人 SPEAKER_00：如果你是人或者机器人，你最好要智能地去做这件事。
323 00:29:20,683 --> 00:29:24,827 说话人 SPEAKER_00：这为你提供了一个光阵列的样本。
324 00:29:24,867 --> 00:29:30,112 说话人 SPEAKER_00：它将光阵列、入射光转换成视网膜图像。
325 00:29:30,833 --> 00:29:34,997 说话人 SPEAKER_00：在你的视网膜上，中间部分具有高分辨率，边缘部分具有低分辨率。
326 00:29:35,787 --> 00:29:44,383 说话人 SPEAKER_00：因此，你专注于特定的细节，永远不会以均匀的分辨率处理整个图像。
327 00:29:44,804 --> 00:29:52,377 说话人 SPEAKER_00：你总是专注于某个事物，并处理你注视的地方以高分辨率，其他地方则以低得多分辨率，尤其是在边缘。
328 00:29:53,557 --> 00:30:07,615 说话者 说话者_00：我将忽略所有关于如何决定看哪里以及如何整合来自不同注视点的信息的复杂性，让我们只谈谈第一个注视点或一个新图像。
329 00:30:08,176 --> 00:30:11,320 说话者 说话者_00：所以你看了某个地方，那么在第一个注视点上会发生什么？
330 00:30:12,103 --> 00:30:18,230 说话者 说话者_00：我们知道大脑中的相同硬件将在下一个注视点被重复使用，但让我们先考虑第一个注视点。
331 00:30:20,759 --> 00:30:23,162 说话者 说话者_00：所以，最后这是架构的图片。
332 00:30:24,884 --> 00:30:34,817 说话人 SPEAKER_00: 这就是单个位置的架构，就像 BERT 中的单个词片段。
333 00:30:34,836 --> 00:30:38,321 说话人 SPEAKER_00: 这显示了多个帧发生的情况。
334 00:30:38,862 --> 00:30:42,988 说话人 SPEAKER_00: 所以 Glom 实际上是为视频设计的，但我只谈论将其应用于静态图像。
335 00:30:43,848 --> 00:30:49,415 说话人 SPEAKER_00: 你应该把静态图像想成一个非常无聊的视频，其中所有帧都彼此相同。
336 00:30:50,981 --> 00:30:54,705 说话人 SPEAKER_00：我现在向您展示三个相邻的层级。
337 00:30:56,708 --> 00:30:59,029 说话人 SPEAKER_00：并且向您展示随着时间的推移发生了什么。
338 00:30:59,049 --> 00:31:04,655 说话人 SPEAKER_00：所以如果您看中间层级，可能那是一个主要部分层级。
339 00:31:06,218 --> 00:31:11,522 说话人 SPEAKER_00：并且看看那个写着层级 L 的框。它在第四帧。
340 00:31:13,144 --> 00:31:14,645 说话人 SPEAKER_00：那么右手水平 L 框。
341 00:31:15,847 --> 00:31:20,112 说话人 SPEAKER_00：那么让我们看看那个框的状态，那个嵌入的状态是如何确定的。
342 00:31:20,547 --> 00:31:22,368 说话人 SPEAKER_00：所以在这个框内部，我们将得到一个嵌入。
343 00:31:23,590 --> 00:31:32,681 说话人 SPEAKER_00：而这个嵌入将代表那个小图像块在主要部分级别的状态。
344 00:31:35,565 --> 00:31:44,275 说话人 SPEAKER_00: 在这个图中，所有这些嵌入都会始终用于视网膜图像的同一块区域。
345 00:31:45,916 --> 00:31:47,919 说话人 SPEAKER_00: 好的。
346 00:31:47,939 --> 00:31:50,402 说话人 SPEAKER_00: 层级 L 的嵌入
347 00:31:50,567 --> 00:31:51,628 说话人 SPEAKER_00: 在右侧。
348 00:31:51,689 --> 00:31:55,473 说话人 SPEAKER_00: 你可以看到这里有三件事情决定了它。
349 00:31:55,493 --> 00:31:56,455 说话人 SPEAKER_00: 这是绿色的箭头。
350 00:31:56,476 --> 00:31:59,960 说话人 SPEAKER_00: 对于静态图像，绿色的箭头相当无聊。
351 00:32:00,000 --> 00:32:05,267 说话人 SPEAKER_00: 它只是说，你应该与水平 L 的前一个状态相似。所以它只是在做时间积分。
352 00:32:07,088 --> 00:32:13,397 说话人 SPEAKER_00：实际上，蓝色箭头是一个包含几个隐藏层的神经网络。
353 00:32:14,598 --> 00:32:17,502 说话人 SPEAKER_00：我只是在向你展示嵌入层，而不是整个神经网络的全部层。
354 00:32:18,277 --> 00:32:21,299 说话人 SPEAKER_00：我们需要几个隐藏层来完成所需的坐标变换。
355 00:32:22,461 --> 00:32:29,189 说话人 SPEAKER_00：蓝色箭头基本上是在前一个时间步的下一级获取信息。
356 00:32:30,210 --> 00:32:35,275 说话人 SPEAKER_00：所以层级 L 减一在第三帧可能代表我认为我可能是一个鼻孔。
357 00:32:36,316 --> 00:32:41,141 说话人 SPEAKER_00：如果你认为你可能是鼻孔，那么在下一个层级你预测的是鼻子。
358 00:32:42,162 --> 00:32:47,607 说话人 SPEAKER_00：更重要的是，如果你有一个鼻孔的坐标帧，你可以预测鼻子的坐标帧。
359 00:32:47,790 --> 00:32:53,176 说话人 SPEAKER_00：可能不是完全准确，但你对于节点的方向、位置、比例有一个相当好的了解。
360 00:32:53,196 --> 00:32:54,959 说话人 SPEAKER_00: 所以那个自下而上的神经网络。
361 00:32:56,420 --> 00:32:56,579 说话人 SPEAKER_00: 是。
362 00:32:58,162 --> 00:33:06,391 说话人 SPEAKER_00: 这是一个可以接受任何心智部分或层次的神经网络，所以当你取一个鼻孔时，它也可以接受方向盘并从方向盘预测汽车。
363 00:33:07,090 --> 00:33:11,836 说话人 SPEAKER_00: 并预测你在下一个层次上拥有的东西。
364 00:33:14,538 --> 00:33:17,021 说话人 SPEAKER_00: 红箭头代表从上至下的神经网络。
365 00:33:17,895 --> 00:33:25,045 说话人 SPEAKER_00: 所以红箭头是从整个面部预测鼻子的。
366 00:33:25,846 --> 00:33:28,409 说话人 SPEAKER_00: 再次强调，它有几个隐藏层来协调变换。
367 00:33:29,250 --> 00:33:42,766 说话人 SPEAKER_00: 因为如果你知道面部的坐标系，并且知道面部与鼻子之间的关系，这些关系将体现在那个自上而下的神经网络权重中，那么你就可以预测出这是一个鼻子，以及鼻子的姿态。
368 00:33:43,567 --> 00:33:46,671 说话人 SPEAKER_00: 所有这些都将包含在那个嵌入向量中的活动中。
369 00:33:48,153 --> 00:33:53,640 说话人 SPEAKER_00: 好的，现在这一切都在硬件的一列中发生。
370 00:33:54,079 --> 00:33:56,323 说话人 SPEAKER_00: 这都是关于图像的特定区域。
371 00:33:57,203 --> 00:34:01,769 说话人 SPEAKER_00: 所以这非常像 BERT 中的一个单词片段正在发生的事情。
372 00:34:02,170 --> 00:34:03,791 说话人 SPEAKER_00: 你们都有这些层次的表现。
373 00:34:04,893 --> 00:34:11,681 说话人 SPEAKER_00: 究竟它与 BERT 的关系是什么，有点令人困惑。
374 00:34:11,840 --> 00:34:16,606 说话人 SPEAKER_00: 我会在最后提供一篇长篇论文的参考文献，其中有一节专门讲述这与 BERT 的关系。
375 00:34:17,110 --> 00:34:19,652 说话人 SPEAKER_00: 但因为这里有时间步长，所以有点令人困惑。
376 00:34:20,494 --> 00:34:23,898 说话人 SPEAKER_00: 这使得一切更加复杂。
377 00:34:23,938 --> 00:34:25,641 说话人 SPEAKER_00: 好的。
378 00:34:26,862 --> 00:34:29,646 说话人 SPEAKER_00: 所以有三个方面决定了级别和嵌入。
379 00:34:30,307 --> 00:34:34,253 说话人 SPEAKER_00: 但是还有一个第四个因素，就在底部黑色部分。
380 00:34:35,936 --> 00:34:38,639 说话人 SPEAKER_00：这就是不同地点之间相互作用的唯一方式。
381 00:34:39,661 --> 00:34:42,864 说话人 SPEAKER_00：这就是一个非常简化的变压器形式。
382 00:34:43,519 --> 00:34:52,090 说话人 SPEAKER_00：如果你以 BERT 中的变压器为例，并说，让我们让嵌入、键、查询和值都彼此相同。
383 00:34:53,052 --> 00:34:54,153 说话人 SPEAKER_00：我们只有一个向量。
384 00:34:55,675 --> 00:35:05,228 说话人 SPEAKER_00：现在你试图让一列中的 L 层嵌入与附近列的 L 层嵌入相同。
385 00:35:07,110 --> 00:35:08,231 说话人 SPEAKER_00：但这将是受控的。
386 00:35:08,371 --> 00:35:13,358 说话人 SPEAKER_00：只有当它已经非常相似时，你才会尝试让它相同。
387 00:35:15,615 --> 00:35:17,057 说话人 SPEAKER_00：这就是注意力的工作方式。
388 00:35:18,418 --> 00:35:21,983 说话人 SPEAKER_00: 你在位置 X 取 L 层嵌入，即 LX。
389 00:35:23,023 --> 00:35:26,288 说话人 SPEAKER_00: 然后在附近的 Y 位置取 L 层嵌入，即 LY。
390 00:35:27,369 --> 00:35:32,675 说话人 SPEAKER_00: 你计算标量积，然后取指数并归一化。
391 00:35:33,056 --> 00:35:34,177 说话人 SPEAKER_00: 换句话说，你执行 softmax 操作。
392 00:35:35,438 --> 00:35:43,648 说话人 SPEAKER_00: 这就给出了你在希望使 LX 与 LY 相同的愿望中使用的权重。
393 00:35:45,585 --> 00:35:56,436 说话人 SPEAKER_00: 因此，这个程序从邻居那里产生的输入是附近列嵌入级别的注意力加权平均值。
394 00:35:57,677 --> 00:35:59,539 说话人 SPEAKER_00: 这是你额外获得的一个输入。
395 00:35:59,639 --> 00:36:02,201 说话人 SPEAKER_00: 它试图让你与附近的事物达成一致。
396 00:36:02,722 --> 00:36:05,224 说话人 说话人_00：这就是导致你们得到这些共识孤岛的原因。
397 00:36:10,708 --> 00:36:14,833 说话人 说话人_00：所以回到这张图，我认为
398 00:36:17,344 --> 00:36:18,887 说话人 说话人_00：是的。
399 00:36:18,907 --> 00:36:22,152 说话人 说话人_00：这是我们希望看到的，以及原因。
400 00:36:23,815 --> 00:36:40,003 说话人 SPEAKER_00: 我们在对象层面上达成那么大的共识，是因为我们试图在那里达成共识，我们试图学习从红色箭头到上一级以及从绿色箭头到上一级的坐标变换，以便我们达成共识。
401 00:36:41,766 --> 00:36:41,867 说话人 SPEAKER_00: 好的。
402 00:36:45,509 --> 00:36:57,846 说话人 SPEAKER_00: 现在，我们需要关注的一件事是，在感知方面困难的事情，在语言中可能并不那么糟糕，但在视觉感知中可能更糟，那就是有很多歧义。
403 00:36:58,746 --> 00:37:01,269 说话人 SPEAKER_00: 例如，如果我正在看一条线图，我会看到一个圆。
404 00:37:02,351 --> 00:37:08,460 说话人 SPEAKER_00: 好吧，一个圆可以是脸的右眼，也可以是脸的左眼，还可以是汽车的前轮或后轮。
405 00:37:08,840 --> 00:37:10,722 说话人 SPEAKER_00: 圆可以代表各种各样的事物。
406 00:37:10,762 --> 00:37:13,726 说话人 SPEAKER_00: 我们希望消除对圆的歧义。
407 00:37:14,838 --> 00:37:19,304 说话人 SPEAKER_00: 并且有一系列使用诸如马尔可夫随机场等方法的研究。
408 00:37:19,985 --> 00:37:33,342 说话人 SPEAKER_00：这里我们需要一个变分马尔可夫随机场，我称之为变换随机场，因为例如眼睛和嘴巴之间的交互需要通过角变换进行门控。
409 00:37:34,282 --> 00:37:37,206 你知道，让我们以鼻子和嘴巴为例，因为那是我标准的东西。
410 00:37:38,027 --> 00:37:43,494 如果你拿一个可能是鼻子的东西，你想问，有没有人支持鼻子的想法？
411 00:37:44,976 --> 00:37:58,177 好吧，你希望向附近的所有东西发送一条消息，说，你有没有正确的姿态和正确的身份来支持我是鼻子的想法？
412 00:37:59,398 --> 00:38:03,744 说话人 SPEAKER_00: 例如，您想从鼻子发送一条消息
413 00:38:04,248 --> 00:38:17,543 说话人 SPEAKER_00: 您会向所有附近的地点发送消息，询问是否有人有一个与我预测的鼻子姿态相对应的嘴巴姿态，通过将鼻子和嘴巴之间的坐标变换相乘，现在我可以预测嘴巴的姿态。
414 00:38:18,143 --> 00:38:21,067 说话人 SPEAKER_00: 是否有任何人拥有那种姿态，并认为那可能是一个嘴巴？
415 00:38:22,208 --> 00:38:24,831 说话人 SPEAKER_00: 我想您可以看到，您将不得不发送很多不同的消息。
416 00:38:26,632 --> 00:38:29,916 说话人 SPEAKER_00：对于可能支持你的每一种其他事物，你都需要发送不同的信息。
417 00:38:29,936 --> 00:38:32,500 说话人 SPEAKER_00：所以你需要一个多头
418 00:38:33,255 --> 00:38:41,666 说话人 SPEAKER_00：变换器，它将执行这些坐标变换，并且在返回时必须对逆变换进行角变换。
419 00:38:42,186 --> 00:38:49,134 说话人 SPEAKER_00：因为如果鼠标支持你，它需要支持的是鼻子，而不是嘴巴的姿态，而是适当的姿态。
420 00:38:50,094 --> 00:38:53,820 说话人 SPEAKER_00: 这将变得非常复杂，你将会有平方级别的坐标变换交互。
421 00:38:54,701 --> 00:38:57,963 说话人 SPEAKER_00: 有一种更简单的方法，这被称为霍夫变换。
422 00:38:59,065 --> 00:39:02,789 说话人 SPEAKER_00: 至少如果你有表示歧义的方法，它会更简单。
423 00:39:06,043 --> 00:39:16,135 说话人 SPEAKER_00: 所以，你不会像鼻子和嘴巴这样的部分之间进行直接交互，而是让每个部分预测整体。
424 00:39:17,737 --> 00:39:23,704 说话人 SPEAKER_00：鼻子可以预测面部，也可以预测面部的姿态，嘴巴也可以预测面部。
425 00:39:24,625 --> 00:39:29,331 说话人 SPEAKER_00：现在，这些将在 Glom 的不同列中，但在 Glom 的一个列中，你将有一个鼻子预测面部。
426 00:39:30,152 --> 00:39:32,534 说话人 SPEAKER_00：在相邻的列中，你将有一个嘴巴预测面部。
427 00:39:33,375 --> 00:39:35,577 说话人 SPEAKER_00：这两个面部应该是相同的，
428 00:39:35,844 --> 00:39:37,007 说话者 SPEAKER_00：如果这真是一张脸。
所以当你对附近事物进行注意力加权平均时，你所做的是确认你所拥有的假设，即应该在一列假设中的假设，这个姿势的脸，得到了来自附近列的支持，这些列从非常不同的数据中推导出相同的嵌入。
430 00:40:00,940 --> 00:40:03,304 一个人是从鼻子推导出来的，另一个人是从嘴巴推导出来的。
431 00:40:05,326 --> 00:40:07,347 说话者 说话者_00：这不需要任何动态路由。
432 00：40：08,789 --> 00：40：15,938 发言者 SPEAKER_00：因为嵌入总是指的是图像的同一小块中发生的事情，在一列内，没有路由。
433 00:40:16,639 --> 00:40:22,445 说话人 SPEAKER_00: 在列之间，有点像路由，但只是标准的变换器注意力。
434 00:40:22,947 --> 00:40:26,831 说话人 SPEAKER_00: 你只是在尝试同意相似的事情。
435 00:40:26,851 --> 00:40:31,096 说话人 SPEAKER_00: 好的，这就是 GLOM 应该工作的方式。
436 00:40:32,577 --> 00:40:34,320 说话人 SPEAKER_00: 最大的问题在于，
437 00:40:35,244 --> 00:40:41,793 说话人 SPEAKER_00：如果我看到一个圆圈，它可能是一只左眼，可能是一只右眼，可能是一辆车的方向盘，可能是一辆车的后轮。
438 00:40:42,494 --> 00:40:53,130 说话人 SPEAKER_00：因为我在特定级别对特定补丁的嵌入必须能够代表任何事物，当我遇到模糊的事物时，我必须处理它可能是哪个孔的所有可能性。
439 00:40:54,351 --> 00:41:05,067 说话人 SPEAKER_00：所以，与其在部分级别尝试解决模糊性，我可以选择跳到更高一级别，通过查看事物是否相同来解决这个问题，这是一种更容易解决模糊性的方法。
440 00:41:05,789 --> 00:41:11,516 说话人 SPEAKER_00：但这样做付出的代价是，我必须能够在更高一级别代表我得到的所有模糊性。
441 00:41:13,318 --> 00:41:14,679 说话人 SPEAKER_00：现在，结果证明你可以做到这一点。
442 00:41:14,699 --> 00:41:22,971 说话人 SPEAKER_00：我们做了一个小玩具示例，实际上可以保留这种歧义，但很难。
443 00:41:23,472 --> 00:41:25,554 说话人 SPEAKER_00：这是神经网络擅长的事情。
444 00:41:26,896 --> 00:41:35,626 说话人 SPEAKER_00：所以如果你想到下一层的嵌入，你将有一大堆活动的神经元。
445 00:41:36,298 --> 00:41:44,668 说话人 SPEAKER_00: 你想要表示一个高度多模态的分布，比如可能是一辆以这种姿态的汽车，或者以那种姿态的汽车，或者以这种姿态的脸，或者以那种姿态的脸。
446 00:41:45,530 --> 00:41:47,972 说话人 SPEAKER_00: 所有这些都是寻找圆的可能预测。
447 00:41:49,514 --> 00:41:51,577 说话人 SPEAKER_00: 因此你必须表示所有这些。
448 00:41:52,719 --> 00:41:54,320 说话人 SPEAKER_00: 那么问题是，神经网络能做这个吗？
449 00:41:55,141 --> 00:42:00,027 说话人 SPEAKER_00：我认为他们必须这样做的方式是，嵌入层中的每个神经元，
450 00:42:01,324 --> 00:42:11,516 说话人 SPEAKER_00：代表在这个可能身份和可能姿态的巨大空间上的未归一化对数概率分布，身份和姿态的交叉积。
451 00:42:12,478 --> 00:42:18,865 说话人 SPEAKER_00：因此，神经元是这个空间上的一个相当模糊的对数概率分布。
452 00:42:20,228 --> 00:42:26,655 说话人 SPEAKER_00：当你激活神经元时，它的意思是，将那个对数概率分布添加到你已经拥有的分布中。
453 00:42:27,817 --> 00:42:30,639 说话人 SPEAKER_00: 现在如果您有一大堆对数概率分布，
454 00:42:31,311 --> 00:42:32,414 说话人 SPEAKER_00: 然后将它们全部加在一起。
455 00:42:32,454 --> 00:42:37,601 说话人 SPEAKER_00: 您可以得到一个更加尖锐的对数概率分布。
456 00:42:38,782 --> 00:42:55,949 说话人 SPEAKER_00: 当您将其指数化以获得概率分布时，它会变得非常尖锐，因此在这个姿态和身份的联合空间中的基函数变得非常模糊，该空间中对数概率中的基函数可以组合起来产生尖锐的结论。
457 00:42:58,592 --> 00:42:59,074 说话人 SPEAKER_00: 嗯。
