1 00:00:00,031 --> 00:00:01,552 说话人 SPEAKER_00: 我叫艾伦·伯恩斯坦。
224 00:21:39,145 --> 00:21:41,127 说话人 SPEAKER_02：但它从未像我们希望的那样工作得很好。
225 00:21:41,327 --> 00:21:45,512 说话人 SPEAKER_02：也许对于读取支票上的金额来说是这样，但对于其他事情，它并没有像我们想象的那样好。
226 00:21:46,133 --> 00:21:49,356 说话人 SPEAKER_02：而且它无法利用那些隐藏层。
227 00:21:49,436 --> 00:21:51,719 说话人 SPEAKER_02：它无法像我们想象的那样学习很多层特征。
228 00:21:52,660 --> 00:21:55,262 说话人 SPEAKER_02：所以大多数人放弃了它。
229 00:21:57,125 --> 00:21:58,967 说话人 SPEAKER_02：然后我们设立了 CIFAR 项目。
230 00:21:59,317 --> 00:22:02,882 说话人 SPEAKER_02：这实际上是一个针对 C-File 的历史版本。
231 00:22:03,702 --> 00:22:08,548 说话人 SPEAKER_02：然后我们设置了 C-文件程序，一切就变了。
232 00:22:08,909 --> 00:22:14,596 说话人 SPEAKER_02：一群聪明人聚在一起，定期开会，我们找到了让反向传播工作得更好的方法。
233 00:22:15,356 --> 00:22:18,700 说话人 SPEAKER_02：我们对发明用来做到这一点的所有巧妙的小技术手段非常关心。
234 00:22:19,621 --> 00:22:20,663 说话人 SPEAKER_02：你们可能对这些不感兴趣。
235 00:22:20,903 --> 00:22:27,029 说话人 SPEAKER_02：你所需要知道的是，它现在工作得非常出色，尤其是如果你有很多数据和计算能力的话。
236 00:22:28,630 --> 00:22:30,172 说话人 SPEAKER_02：这就是第一个杀手级应用。
237 00:22:31,413 --> 00:22:40,785 说话人 SPEAKER_02：如果你想识别语音，你想要能够将声波识别为某人正在说的特定音素。
238 00:22:42,106 --> 00:22:50,678 说话人 SPEAKER_02：所以，你首先将声波进行预处理，变成 11 个系数帧，然后询问中间帧，某人正在说哪个音素的哪一部分？
239 00:22:51,459 --> 00:22:56,545 说话者 SPEAKER_02：嗯，这里有，哦，这里有 183 个不同的音素片段。
240 00:22:57,335 --> 00:23:03,663 说话者 SPEAKER_02：我的几个学生使用反向传播和我们的新技巧训练了一个大型深度神经网络。
241 00:23:04,684 --> 00:23:08,890 说话者 SPEAKER_02：他们发现这比标准的语音识别器效果更好，只是好一点点。
242 00:23:09,790 --> 00:23:16,660 说话者 SPEAKER_02：但是标准的语音识别器中已经包含了 30 年的精心工程，而我们这是实验室的两个学生，所以显然它会获胜。
243 00:23:17,652 --> 00:23:21,476 说话人 SPEAKER_02：很快，微软、IBM 和谷歌都开始进一步开发这项技术。
244 00:23:22,057 --> 00:23:24,519 说话人 SPEAKER_02：我的一个学生去谷歌实习了。
245 00:23:24,980 --> 00:23:27,402 说话人 SPEAKER_02：到 2012 年，这项技术已经出现在 Android 系统中。
246 00:23:27,823 --> 00:23:31,567 说话人 SPEAKER_02：它使得语音识别的质量有了大幅提升。
247 00:23:31,586 --> 00:23:36,672 说话人 SPEAKER_02：现在所有语音识别器都使用某种形式的神经网络，所有好的语音识别器都是这样。
248 00:23:38,733 --> 00:23:40,375 说话人 SPEAKER_02：然后我们对物体识别也做了同样的事情。
249 00:23:41,436 --> 00:23:43,980 说话人 SPEAKER_02：所以你取一个高分辨率图像，
250 00:23:44,398 --> 00:23:51,191 说话人 SPEAKER_02：并且有一个数据集，拥有一个包含一百万张图像和一千种不同类别物体的数据集是很重要的。
251 00:23:52,292 --> 00:23:55,479 说话者 SPEAKER_02：有人用最显眼的物体名称给它贴了标签。
252 00:23:56,520 --> 00:24:00,007 说话者 SPEAKER_02：由于图片中可能有多个物体，你可以猜五次。
253 00:24:00,067 --> 00:24:03,133 说话者 SPEAKER_02：如果你在五次猜测中猜出与它们相同的名称，你就赢了，否则你就输了。
254 00:24:04,041 --> 00:24:10,810 说话者 SPEAKER_02：一些优秀的计算机视觉团队使用了 2012 年现有的计算机视觉技术。
255 00:24:11,151 --> 00:24:13,574 说话人 SPEAKER_02：计算机视觉领域的人对神经网络非常失望。
256 00:24:13,875 --> 00:24:15,856 说话人 SPEAKER_02：他们说，这些方法永远不会在真实图像上奏效。
257 00:24:17,419 --> 00:24:18,500 说话人 SPEAKER_02：然后我们得到了这些结果。
258 00:24:19,501 --> 00:24:22,885 说话人 SPEAKER_02：因此，计算机视觉社区在约 25%的错误率上达到了极限。
259 00:24:23,086 --> 00:24:26,530 说话者 SPEAKER_02：我们的错误率达到了 16%。
260 00:24:26,590 --> 00:24:29,474 说话者 SPEAKER_02：然后发生了一件非常令人印象深刻的事情。
261 00:24:29,657 --> 00:24:34,125 计算机视觉社区，在接下来的这一年里，基本上放弃了他们之前所做的一切。
262 00:24:34,806 --> 00:24:36,269 他们说，好吧，这个效果更好。
263 00:24:36,288 --> 00:24:36,848 说话人 SPEAKER_02：我们要这么做。
264 00:24:37,410 --> 00:24:39,053 说话人 SPEAKER_02：但是，科学家们并不是这样做的。
265 00:24:39,453 --> 00:24:45,083 说话人 SPEAKER_02：如果你想让科学家放弃他们的理论，你只需要等待他们去世，然后有新的科学家出现。
266 00:24:45,103 --> 00:24:49,650 说话人 SPEAKER_02：但在这个案例中，他们放弃了他们的理论，现在他们都这样做。
267 00:24:49,670 --> 00:24:52,153 说话人 SPEAKER_02：遗憾的是，有些人在这方面比我们做得更好。
268 00:24:53,675 --> 00:24:56,019 说话人 SPEAKER_02：哎呀，三年后。
269 00:24:56,404 --> 00:25:19,829 说话人 SPEAKER_02：经过进一步工程，它从 16%降低到 5%，这大约是人类的水平。所以五年前，如果你说多久之后我才能向你展示从网络上获取的任何图像，并且你能比识别图像中的明显物体做得更好，人们会说哦，你不可能在很长时间内对图像总体上做到这一点，但现在我们可以做到了。
270 00:25:23,269 --> 00:25:26,115 说话人 SPEAKER_02：这就是它获取的这类图像，以及它的五个猜测。
271 00:25:26,676 --> 00:25:28,460 说话人 SPEAKER_02：你看那里非常自信地认为是一只猎豹。
272 00:25:30,443 --> 00:25:34,751 说话人 SPEAKER_02：这里自信地认为是子弹列车，但其他的选择也很好。
273 00:25:35,133 --> 00:25:37,016 说话人 SPEAKER_02：注意，这张图片里还有很多其他东西。
274 00:25:37,537 --> 00:25:41,565 说话人 SPEAKER_02：但如果你问别人这是什么图片，他们会说是子弹列车，程序也是这样认为的。
275 00:25:43,434 --> 00:25:45,678 说话人 SPEAKER_02：这里它做错了。
276 00:25:45,758 --> 00:25:53,148 说话人 SPEAKER_02：它的第一次猜测是剪刀，从这一点可以看出它需要眼镜，因为它把链条看作是剪刀的刀片。
277 00:25:53,749 --> 00:25:54,931 说话人 SPEAKER_02：平底锅就更明显了。
278 00:25:55,751 --> 00:25:59,317 说话人 SPEAKER_02：但你可以看到它所有的猜测都是视觉上合理的事物。
279 00:25:59,356 --> 00:26:00,679 说话人 SPEAKER_02：它们在视觉上很相似。
280 00:26:01,339 --> 00:26:05,285 说话人 SPEAKER_02：所以实际上是看到那里有什么。
281 00:26:05,305 --> 00:26:11,433 说话人 SPEAKER_02：现在，最后一点，我要再谈一个应用，就是将其应用于自然语言。
282 00:26:11,920 --> 00:26:13,201 说话人 SPEAKER_02：这是谷歌感兴趣的方向。
283 00:26:14,022 --> 00:26:20,352 说话人 SPEAKER_02：我们将使用一些我不打算再次提及的人发明的一种极其复杂的循环网络来完成这项工作。
284 00:26:23,477 --> 00:26:26,942 说话人 SPEAKER_02：这是他们网络的简化版本，称为循环神经网络。
285 00:26:27,501 --> 00:26:31,567 说话人 SPEAKER_02：循环网络的想法是，在每个时间步，输入从底部进入。
286 00:26:31,768 --> 00:26:33,651 说话人 SPEAKER_02：我只展示了单个输入神经元，但会有很多。
287 00:26:35,113 --> 00:26:37,497 说话者 SPEAKER_02：实际上，进入底部的输入会到达所有隐藏神经元。
288 00:26:39,259 --> 00:26:41,201 说话者 SPEAKER_02：网络也可以给出输出。
289 00:26:42,480 --> 00:26:47,005 说话者 SPEAKER_02：隐藏神经元从其他隐藏神经元接收输入。
290 00:26:47,506 --> 00:26:48,646 说话者 SPEAKER_02：这就是它为什么是循环网络的原因。
291 00:26:49,248 --> 00:26:58,056 说话人 SPEAKER_02：随着时间的推移，任何时间切片中隐藏神经元的态由输入和所有隐藏神经元的先前态决定。
292 00:26:59,037 --> 00:27:07,724 说话人 SPEAKER_02：这些连接上的权重，那两个绿色权重和一个进入中间神经元的红色权重，在每个时间步长都是相同的，因为这是一个循环网络。
293 00:27:07,786 --> 00:27:10,327 说话人 SPEAKER_02：它在每个时间步长重复使用相同的权重。
294 00:27:11,724 --> 00:27:17,852 说话人 SPEAKER_02：因此，如果我们能够训练这种网络，它就能够接受一系列输入并产生一系列输出。
295 00:27:22,396 --> 00:27:26,442 说话人 SPEAKER_02：伊利亚斯·塔斯基瓦和他的两位同事有一个好主意。
296 00:27:26,501 --> 00:27:32,509 说话人 SPEAKER_02：他们说，为什么我们不放弃谷歌翻译的方式，即拥有一个巨大的短语表，这些短语映射到其他短语上。
297 00:27:34,030 --> 00:27:39,116 说话人 SPEAKER_02：那个五分钟标志的人得对我大喊，因为我没朝那个方向看。
298 00:27:40,665 --> 00:27:41,467 说话人 SPEAKER_02：好，她没有大喊。
299 00:27:45,031 --> 00:27:46,673 说话人 SPEAKER_02: 他说，我们就这样使用循环神经网络。
300 00:27:46,913 --> 00:27:47,694 说话人 SPEAKER_02: 让我们使用循环神经网络。
301 00:27:47,714 --> 00:27:48,736 说话人 SPEAKER_02: 我们输入英语单词。
302 00:27:49,897 --> 00:27:52,760 说话人 SPEAKER_02: 然后我们输入英语单词后，它就输出法语单词。
303 00:27:53,942 --> 00:27:55,365 说话人 SPEAKER_02：我们没有任何大型短语表。
304 00:27:56,025 --> 00:27:59,809 说话人 SPEAKER_02：我们只是通过展示翻译对来训练整个系统。
305 00:27:59,849 --> 00:28:01,271 说话人 SPEAKER_02：我们展示这串英语单词。
306 00:28:01,311 --> 00:28:02,834 说话人 SPEAKER_02：我希望你产生那串法语单词。
307 00:28:04,635 --> 00:28:05,998 说话人 SPEAKER_02：这样工作的方式是...
308 00:28:06,940 --> 00:28:13,866 说话人 SPEAKER_02：它有一个编码循环神经网络，每次处理一个英语单词，直到处理完整个英语句子。
309 00:28:13,886 --> 00:28:19,874 说话人 SPEAKER_02：然后它将这个英语单词转换成我们所说的词向量，这只是一个包含单词大量特征的集合。
310 00:28:21,395 --> 00:28:26,201 说话人 SPEAKER_02：因此，相似单词具有非常相似的特征向量，这使它能够进行泛化。
311 00:28:27,261 --> 00:28:30,265 说话人 SPEAKER_02：然后这些词向量被输入到隐藏单元中。
312 00:28:30,768 --> 00:28:33,851 说话人 SPEAKER_02：隐藏单元随着时间的推移在其状态中积累信息。
313 00:28:34,631 --> 00:28:39,296 说话人 SPEAKER_02：隐藏单元的最终状态积累了关于我们放入的所有单词的信息。
314 00:28:39,935 --> 00:28:41,277 说话人 SPEAKER_02：我们将这称为一个想法。
315 00:28:42,317 --> 00:28:45,461 说话人 SPEAKER_02：这不是一种，我是指的真的。
316 00:28:45,701 --> 00:28:46,801 说话人 SPEAKER_02：我的意思是这真是一个想法。
317 00:28:47,163 --> 00:28:48,683 说话人 SPEAKER_02：你以前从未见过想法。
318 00:28:48,743 --> 00:28:49,785 说话人 SPEAKER_02：这就是它的样子。
319 00:28:50,266 --> 00:28:52,508 说话人 SPEAKER_02：嗯，如果你把神经网络展开，它就是这个样子。
320 00:28:52,748 --> 00:28:58,512 说话人 SPEAKER_02：这将是在听到英语句子后，这个循环神经网络最终状态的活动向量。
321 00:28:59,557 --> 00:29:07,787 说话人 SPEAKER_02：然后我们翻译的做法是，我们将这个想法作为法语网络的初始状态。
322 00:29:07,807 --> 00:29:12,791 说话人 SPEAKER_02：然后法语网络接收到这个想法，会说，好吧，鉴于这个想法，我认为第一个词可能是什么？
323 00:29:13,593 --> 00:29:18,919 说话者 SPEAKER_02：嗯，40%是 le，30%是 la，10%是 cha。
324 00:29:20,300 --> 00:29:23,865 说话者 SPEAKER_02：我的法语单词用完了，但还有一些。
325 00:29:24,346 --> 00:29:26,407 说话者 SPEAKER_02：所以它会在法语单词上打赌。
326 00:29:26,859 --> 00:29:36,250 说话者 SPEAKER_02：当你训练它时，如果它真的说的是 le，你就说，好的，你说 le 40%，但你应该说 le 100%，因为这才是正确答案。
327 00:29:36,711 --> 00:29:38,452 说话人 SPEAKER_02：所以你要进行反向传播。
328 00:29:38,492 --> 00:29:41,997 说话人 SPEAKER_02：你要调整权重，使其更有可能给 "le" 分配更多权重。
329 00:29:44,579 --> 00:29:47,563 说话人 SPEAKER_02：然后你要看句子中的下一个单词。
330 00:29:48,223 --> 00:29:49,325 说话人 SPEAKER_02：哎呀，我总是犯这个错误。
331 00:29:49,705 --> 00:29:51,567 说话人 SPEAKER_02：我试图使用激光笔。
332 00:29:53,843 --> 00:30:00,834 说话人 SPEAKER_02：你看句子中的下一个单词，然后输入，并尝试输出法语句子的第二个单词。
333 00:30:00,854 --> 00:30:03,116 说话人 SPEAKER_02：所以第一个单词是 le。
334 00:30:04,378 --> 00:30:05,381 说话人 SPEAKER_02：它必须猜测 le。
335 00:30:05,701 --> 00:30:10,208 说话者 SPEAKER_02：在它未能猜出“le”之后，你现在告诉它“le”，你说，好的，第一个词实际上是“le”。
336 00:30:10,407 --> 00:30:11,470 说话者 SPEAKER_02：你认为第二个词是什么？
337 00:30:11,990 --> 00:30:13,011 说话者 SPEAKER_02：然后它会对此进行猜测。
338 00:30:13,613 --> 00:30:14,515 说话者 SPEAKER_02：然后你继续这样做。
339 00:30:15,256 --> 00:30:20,644 说话人 SPEAKER_02：调整所有权重，让它更好地下注。
340 00:30:20,894 --> 00:30:23,856 说话人 SPEAKER_02：训练完成后，你可以让它生成句子。
341 00:30:24,377 --> 00:30:25,278 说话人 SPEAKER_02：然后你给它一个想法。
342 00:30:26,160 --> 00:30:27,981 说话人 SPEAKER_02：它产生了一组首词分布。
343 00:30:28,442 --> 00:30:30,023 说话人 SPEAKER_02: 随机选择其中一个。
344 00:30:30,044 --> 00:30:31,365 说话人 SPEAKER_02: 有 40%的概率选择 a。
345 00:30:31,405 --> 00:30:32,707 说话人 SPEAKER_02: 有 30%的概率选择 a。
346 00:30:33,989 --> 00:30:39,394 说话人 SPEAKER_02: 无论你选择了哪一个，都将其作为第一个词输入，然后说，既然这是第一个词，你认为第二个词是什么？
347 00:30:40,296 --> 00:30:41,616 说话人 SPEAKER_02：这将为您提供一个分布。
348 00:30:41,656 --> 00:30:42,258 说话人 SPEAKER_02：您选择一个单词。
349 00:30:42,597 --> 00:30:43,700 说话人 SPEAKER_02：然后它会生成一个句子。
350 00:30:44,000 --> 00:30:46,281 说话人 SPEAKER_02：您继续输入，直到它选择一个句号。
351 00:30:46,303 --> 00:30:50,326 说话人 SPEAKER_02：如果你再运行一次，它可能会产生不同的句子，因为你可能会随机选择不同的单词。
352 00:30:50,964 --> 00:30:52,268 说话人 SPEAKER_02：好的，我们一会儿会看到它是怎么做到这一点的。
353 00:30:54,251 --> 00:30:57,778 说话人 SPEAKER_02：这就是它在训练后生成句子的方式。
354 00:31:00,123 --> 00:31:07,657 说话人 SPEAKER_02：令人印象深刻的是，这只需要大约一个人年，如果你不考虑投入基础设施的几千人年。
355 00:31:09,577 --> 00:31:13,863 说话人 SPEAKER_02：它的工作效果与标准翻译系统相当。
356 00:31:14,443 --> 00:31:22,653 说话人 SPEAKER_02：我们之前已经看到，如果你能让几个学生完成的一个深度学习系统的工作效果与标准技术相当，那么几年后，它将会变得更好。
357 00:31:24,195 --> 00:31:26,398 说话人 SPEAKER_02：更重要的是，我们只对一对语言进行了训练。
358 00:31:26,419 --> 00:31:30,644 说话人 SPEAKER_02：如果你对很多对语言进行训练，那么对于每一种语言，你都有一个编码器。
359 00:31:30,924 --> 00:31:32,346 说话人 SPEAKER_02：对于每一种语言，你都有一个解码器。
360 00:31:32,707 --> 00:31:35,349 说话人 SPEAKER_02：但它们都可以共享思想。
361 00:31:35,920 --> 00:31:40,285 说话人 SPEAKER_02：然后你可以给它一个荷兰语句子，它会翻译成 25 种欧洲语言。
362 00:31:41,026 --> 00:31:47,354 说话人 SPEAKER_02：你可以通过反向传播所有 25 种翻译来训练整个系统，以获得更多关于荷兰语句子含义的信息。
363 00:31:51,138 --> 00:31:56,005 说话人 SPEAKER_02：现在让我们将视觉和语言结合起来，然后我就完成了。
364 00:31:57,384 --> 00:32:18,803 说话人 SPEAKER_02：我们要做的是，我们将使用学会识别物体的网络，然后我们可以说，在它实际上说出物体之前，这个网络的最后一层，在它做出决定之前的隐藏单元，将真正描述图像中的内容，或者是一个活动向量，用物体而不是像素强度来描述图像中的内容。
365 00:32:18,782 --> 00:32:21,650 说话人 SPEAKER_02：在输入时，是像素强度告诉你那里有什么。
366 00:32:21,670 --> 00:32:24,556 说话人 SPEAKER_02：但是当你到达最后一层时，它对各种可能性都有所猜测。
367 00:32:24,576 --> 00:32:25,959 说话人 SPEAKER_02：可能是这个物体，也可能是那个物体。
368 00:32:26,681 --> 00:32:28,625 说话人 SPEAKER_02：这就是最后一层所编码的内容。
369 00:32:29,807 --> 00:32:32,775 说话人 SPEAKER_02：所以现在我们要做的是，将最后一层定义为感知。
370 00:32:34,830 --> 00:32:41,278 说话人 SPEAKER_02：能够将我在心理学学生时代学到的所有术语真正运用到实际中，而不是仅仅谈论它们，这真是太好了。
371 00:32:41,617 --> 00:32:42,439 说话人 SPEAKER_02：这是一个感知。
372 00:32:43,279 --> 00:32:51,548 说话人 SPEAKER_02：如果我们把感知映射到一个矩阵中，得到一个想法，然后将其输入到解码网络中。
373 00:32:52,229 --> 00:32:55,071 说话人 SPEAKER_02：现在解码网络可以告诉我们图像中的内容。
374 00:32:55,992 --> 00:33:00,518 说话人 SPEAKER_02：所以想法是，你使用能够识别物体的网络，
375 00:33:01,240 --> 00:33:02,961 说话人 SPEAKER_02：你取它的最后一个隐藏层。
376 00:33:03,742 --> 00:33:06,166 说话人 SPEAKER_02：然后通过另一组权重映射，得到一个想法。
377 00:33:06,887 --> 00:33:10,673 说话人 SPEAKER_02：这个想法进入解码网络，它说出这个想法。
378 00:33:11,212 --> 00:33:12,494 说话人 SPEAKER_02：也就是说，把想法转换成语言。
379 00:33:14,397 --> 00:33:20,164 说话者 SPEAKER_02：通过展示有人告诉你的图像标题来训练它，它学会生成标题。
380 00:33:20,204 --> 00:33:24,230 说话者 SPEAKER_02：然后你给它从未见过的图像，看看它生成的标题。
381 00:33:25,451 --> 00:33:27,535 说话者 SPEAKER_02：所以这是一张它以前从未见过的图像。
382 00:33:28,509 --> 00:33:33,615 说话者 SPEAKER_02：在数据库中，正确的标题是，人们在露天市场蹲着。
383 00:33:34,436 --> 00:33:38,181 说话人 SPEAKER_02：神经网络说的是一群人在户外市场购物。
384 00:33:41,224 --> 00:33:41,805 说话人 SPEAKER_02：这是另一个例子。
385 00:33:44,788 --> 00:33:54,700 说话人 SPEAKER_02：真实的标题是一个小女孩在沙发上抱着一个毛绒玩具入睡，这显然比神经网络说的要好，但神经网络说的是一个孩子紧握着毛绒玩具的特写，这也不算坏。
386 00:33:55,119 --> 00:33:58,263 说话人 SPEAKER_02：如果你是计算机视觉专家，你不会预测我们现在能做这件事。
387 00:34:02,210 --> 00:34:06,916 说话者 SPEAKER_02：这对谷歌来说有很多影响，尤其是对文档处理。
388 00:34:06,936 --> 00:34:11,563 说话者 SPEAKER_02：如果我们能将一句话转化为一个想法，那么文档就是一个想法的序列。
389 00:34:13,105 --> 00:34:16,269 说话者 SPEAKER_02：现在我们可以将神经网络应用于模拟这个想法序列。
390 00:34:16,449 --> 00:34:19,474 说话者 SPEAKER_02：我们可以将每个想法作为输入，并预测下一个想法。
391 00:34:20,255 --> 00:34:21,336 说话人 SPEAKER_02：这是自然推理。
392 00:34:21,577 --> 00:34:23,559 说话人 SPEAKER_02：这是人工智能永远做不到的。
393 00:34:23,978 --> 00:34:26,802 说话人 SPEAKER_02：我总是尝试用不同的方式来做，但它就是做不到。
394 00:34:27,302 --> 00:34:35,074 说话人 SPEAKER_02：现在，如果你从网络上获取信息并发现其中的推理方式是自然推理，但并不很好。
395 00:34:36,697 --> 00:34:37,478 说话人 SPEAKER_02：这就是我所怀疑的。
396 00:34:39,320 --> 00:34:43,086 说话人 SPEAKER_02：但至少这样，我们可以让计算机理解文档的内容。
397 00:34:44,369 --> 00:34:49,175 说话人 SPEAKER_02：如果你能这样做，那么谷歌应该能够给你提供更好的查询答案。
398 00:34:49,882 --> 00:35:00,938 说话人 SPEAKER_02：你应该能够说出类似这样的话，找到一份支持斯蒂芬·哈珀并且假装支持科学的文档，但实际上却深恶痛绝。
399 00:35:06,786 --> 00:35:11,072 说话人 SPEAKER_02：如果你还想说这样的话，实际上已经没有必要了。
400 00:35:12,594 --> 00:35:14,757 说话人 SPEAKER_02：为了达到人类的推理水平，
401 00:35:15,143 --> 00:35:21,050 说话人 SPEAKER_02：似乎我们将在神经网络中需要人类规模的权重。
402 00:35:21,550 --> 00:35:23,492 说话人 SPEAKER_02：我们大约有 10 的 14 次方这样的权重。
403 00:35:24,373 --> 00:35:28,518 说话人 SPEAKER_02：那是 100 万亿。
404 00:35:28,539 --> 00:35:33,284 说话人 SPEAKER_02：而你看到的进行这种翻译的神经网络只有大约 1 亿。
405 00:35:35,146 --> 00:35:38,090 说话人 SPEAKER_02：所以目前我们的网络规模小得多，好几个数量级。
406 00:35:38,630 --> 00:35:44,036 说话人 SPEAKER_02：这也可能解释了为什么我们的网络只理解了它们所说的一半。
407 00:35:46,244 --> 00:35:50,969 说话人 SPEAKER_02：为了做好这项工作，我们需要更大的网络，但我们能做到。
408 00:35:54,032 --> 00:36:00,221 说话人 SPEAKER_02：最后两张幻灯片是关于认知科学的，它们涵盖了丹尼特将要讨论的革命。
409 00:36:00,260 --> 00:36:10,733 说话人 SPEAKER_02：多年来，人工智能一直受制于这样一个观点，即内部表示是符号表达式，我们通过推理规则来操作它们。
410 00:36:12,603 --> 00:36:16,128 说话人 SPEAKER_02：在人工智能领域，大多数人并没有认为有其他替代方案。
411 00:36:16,608 --> 00:36:18,152 说话人 SPEAKER_02：他们没有想过有一个假设。
412 00:36:18,251 --> 00:36:23,960 说话人 SPEAKER_02：像纽厄尔和西蒙这样的人说，这是物理符号，符号假设。
413 00:36:24,481 --> 00:36:27,065 说话人 SPEAKER_02：但大多数人工智能研究者认为，这只能是这样。
414 00:36:28,047 --> 00:36:36,179 说话人 SPEAKER_02：这是因为他们唯一可以用来从一些句子推导出其他真实句子的模型就是形式逻辑。
415 00:36:36,717 --> 00:36:38,440 说话人 SPEAKER_02：这是一个能做这件事的系统。
416 00:36:38,460 --> 00:36:43,248 说话人 SPEAKER_02：同样，对于大多数物理学家来说，要让事物传播的唯一方式就是存在一个介质。
417 00:36:44,070 --> 00:36:51,121 说话人 SPEAKER_02：所以在物理学的一个阶段，当人们认为光波通过以太不是一种假设时，他们认为没有其他选择。
418 00:36:51,161 --> 00:36:51,902 说话人 SPEAKER_02：必须存在以太。
419 00:36:51,922 --> 00:36:52,503 说话者 SPEAKER_02：让我们找到它。
420 00:36:53,786 --> 00:36:55,409 说话者 SPEAKER_02：当没有的时候，他们非常沮丧。
421 00:36:57,411 --> 00:37:00,818 说话者 SPEAKER_02：在传统的 AI 中，人们希望现在非常沮丧。
422 00:37:03,380 --> 00:37:08,844 说话者 SPEAKER_02：特别是，在传统 AI 中的人们认为类比推理是一种二等公民。
423 00:37:08,885 --> 00:37:10,047 说话人 SPEAKER_02：这件事我们稍后再说。
424 00:37:10,067 --> 00:37:11,387 说话人 SPEAKER_02：那并不是推理的本质。
425 00:37:11,608 --> 00:37:14,050 说话人 SPEAKER_02：推理的本质是恰当、正确、规范的推理。
426 00:37:14,851 --> 00:37:17,094 说话人 SPEAKER_02：实际上，我们知道对于人类来说正好相反。
427 00:37:17,833 --> 00:37:23,300 说话者 SPEAKER_02：事实上，如果你看我的论点，我反对传统人工智能的论点并不是逻辑推理的一部分。
428 00:37:23,559 --> 00:37:24,940 说话者 SPEAKER_02：它是一种与物理学的类比。
429 00:37:28,864 --> 00:37:32,509 说话者 SPEAKER_02：认知科学的另一个范例来自生物学。
430 00:37:33,063 --> 00:37:36,467 说话者 SPEAKER_02：它说，看，我们是生物体。
431 00:37:36,547 --> 00:37:40,112 说话人 SPEAKER_02：我们的大脑进化出了像视觉和运动控制这样的功能。
432 00:37:40,612 --> 00:37:41,994 说话人 SPEAKER_02：它们并没有进化出做逻辑的能力。
433 00:37:42,293 --> 00:37:44,617 说话人 SPEAKER_02：实际上，它们也没有进化出处理自然语言的能力。
434 00:37:44,657 --> 00:37:46,438 说话人 SPEAKER_02：它们进化出了其他功能。
435 00:37:46,780 --> 00:37:49,001 说话人 SPEAKER_02：它们在处理这些其他事情方面高度优化。
436 00:37:49,382 --> 00:37:52,306 说话人 SPEAKER_02：然后我们在它们之上添加了所有这些高级功能。
437 00:37:52,326 --> 00:37:53,788 说话人 SPEAKER_02：它们在这方面做得不太好，但它们可以做到。
438 00:37:53,807 --> 00:37:54,889 说话人 SPEAKER_02：这样做非常重要。
439 00:37:56,190 --> 00:37:59,474 说话者 SPEAKER_02：符号处理是在这个其他幻象之上进行的。
440 00:38:00,788 --> 00:38:03,490 说话者 SPEAKER_02：并不是通过在头脑中拥有符号来完成的。
441 00:38:04,152 --> 00:38:06,614 说话者 SPEAKER_02：进行符号处理不需要在头脑中拥有符号。
442 00:38:07,335 --> 00:38:10,719 说话者 SPEAKER_02：同样地，进行像素处理也不需要在头脑中拥有像素。
443 00:38:11,099 --> 00:38:12,981 说话人 SPEAKER_02：你看一张图片，处理那些像素。
444 00:38:13,943 --> 00:38:21,472 说话人 SPEAKER_02：但是有人会说，你必须通过在脑海中打乱像素来完成这个任务，比如史蒂夫·科斯林，这样的人简直就是愚蠢的。
445 00:38:22,293 --> 00:38:23,954 说话人 SPEAKER_02：哦，对不起，史蒂夫。
446 00:38:23,974 --> 00:38:25,496 说话人 SPEAKER_02：这是不正确的。
447 00:38:28,193 --> 00:38:33,724 说话人 SPEAKER_02：我们处理，你只能在我们这里找到符号，那就是输入和输出。
448 00:38:33,744 --> 00:38:35,547 说话人 SPEAKER_02：里面，全是活动的巨大向量。
449 00:38:35,728 --> 00:38:36,429 说话人 SPEAKER_02：这就是全部。
450 00:38:37,351 --> 00:38:39,315 说话人 SPEAKER_02：那些活动的巨大向量就是思想。
451 00:38:39,514 --> 00:38:40,376 说话人 SPEAKER_02：这就是思想。
452 00:38:41,900 --> 00:38:42,320 说话人 SPEAKER_02：我完成了。
453 00:38:53,405 --> 00:38:59,871 说话人 SPEAKER_04：我被告知要对你的时间非常严格，但你正好准时到达，所以做得好。
454 00:39:00,172 --> 00:39:06,099 说话人 SPEAKER_04：所以我想谈谈这项研究的一些更广泛的考虑和影响。
455 00:39:06,119 --> 00:39:15,849 说话者 SPEAKER_04：我想先问一个私人问题，那就是深度学习和神经网络方法在过去曾经一度陷入低谷。
456 00:39:16,250 --> 00:39:26,061 说话者 SPEAKER_04：那么，是什么让你如此确信自己走的是正确的道路，尽管当时有很大一部分人工智能界的人并不这么认为？
457 00:39:26,934 --> 00:39:29,498 说话者 SPEAKER_02：这显然是正确的做法。
458 00:39:30,039 --> 00:39:31,242 说话者 SPEAKER_02：我的意思是，大脑就是这样做的，对吧？
459 00:39:31,262 --> 00:39:33,344 说话者 SPEAKER_02：大脑并不是通过有人编程来做到这一点的。
460 00:39:34,106 --> 00:39:37,891 说话者 SPEAKER_02：我的意思是，真正的解剖学家认为进化编程了大脑，这就是它运作的方式。
461 00:39:38,333 --> 00:39:40,275 说话者 SPEAKER_02：但这太疯狂了。
