1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
222 00:22:59,093 --> 00:23:00,595 讲者 SPEAKER_08：不要再进一步开发了。
223 00:23:00,575 --> 00:23:08,567 讲者 SPEAKER_08：但因为我巧妙地将它表述为一个非常学术性的项目，它很高兴地告诉我需要转染细胞所需的病毒种类。
224 00:23:08,648 --> 00:23:11,232 讲者 SPEAKER_08：这让我有些紧张。
225 00:23:11,894 --> 00:23:17,824 演讲者 SPEAKER_08：我可能不是一个很好的生物技术学家，所以大家肯定很安全。
226 00:23:18,799 --> 00:23:24,286 演讲者 SPEAKER_08：这表明在高度不确定性的世界中，我们面临一个有趣的情况。
227 00:23:24,626 --> 00:23:34,137 演讲者 SPEAKER_08：谨慎的做法是假设我们可以非常快、非常强大地发展，即使我们无法预测它们，然后尝试采取措施使它们更安全。
228 00:23:34,738 --> 00:23:37,961 演讲者 SPEAKER_08：所以我喜欢说我是一个悲观主义者，因为我很乐观。
229 00:23:38,603 --> 00:23:43,288 说话人 SPEAKER_08：如果我觉得自己什么也做不了，那就没有尝试去做的理由。
230 00:23:43,268 --> 00:23:46,894 说话人 SPEAKER_08：我认为这里确实存在风险，但也是一个令人惊叹的、美好的机会。
231 00:23:46,973 --> 00:23:54,586 说话人 SPEAKER_08：我认为我们确实在这里学到了关于我们自己的智慧以及可能的其他形式的智慧的深刻知识。
232 00:23:54,625 --> 00:23:59,012 说话人 SPEAKER_08：最后，获得一面能展示我们思考的替代方式的镜子。
233 00:23:59,953 --> 00:24:03,640 Speaker SPEAKER_08: 非常感谢您做这件事，Hinton 教授。
234 00:24:09,981 --> 00:24:10,883 Speaker SPEAKER_07: 精彩的思考。
235 00:24:10,943 --> 00:24:11,605 Speaker SPEAKER_07: 谢谢，Anders。
236 00:24:12,266 --> 00:24:13,887 Speaker SPEAKER_07: 我不会让您再等了。
237 00:24:14,008 --> 00:24:17,334 演讲者 SPEAKER_07：我们将请下一位演讲者上台。
238 00:24:17,413 --> 00:24:20,818 演讲者 SPEAKER_07：这位是 Recorded Future 的 CTO 和创始人，Staffan Thruve。
239 00:24:21,961 --> 00:24:22,402 演讲者 SPEAKER_04：谢谢。
240 00:24:22,923 --> 00:24:23,242 演讲者 SPEAKER_04：大家好。
241 00:24:26,868 --> 00:24:31,016 讲者 SPEAKER_04：当我还是一名研究生时，我有机会在麻省理工学院待了一年。
242 00:24:31,415 --> 00:24:34,401 讲者 SPEAKER_04：我去那里部分原因是因为我想学习语言学。
243 00:24:34,461 --> 00:24:36,765 讲者 SPEAKER_04：正如你所说，乔姆斯基在那里，是位大英雄。
244 00:24:37,251 --> 00:24:39,278 讲者 SPEAKER_04：幸运的是，我还没有做我的作业。
245 00:24:39,298 --> 00:24:41,728 说话人 SPEAKER_04：所以我到那里的时候，汤姆整个学期都在休假。
246 00:24:42,671 --> 00:24:45,039 说话人 SPEAKER_04：结果我和一个认知心理学家一起工作了。
247 00:24:45,320 --> 00:24:47,970 讲者 SPEAKER_04：这可能是我现在在这里的原因。
248 00:24:49,215 --> 00:25:01,070 讲者 SPEAKER_04：所以我在过去 15 年里建立了一个公司或系统，如果你愿意的话，它使用人工智能来尝试预测组织、国家等的威胁。
249 00:25:02,031 --> 00:25:07,939 讲者 SPEAKER_04：因此，我想说的是一些可能与你所说的短期威胁相反的内容。
250 00:25:08,579 --> 00:25:18,632 讲者 SPEAKER_04：所以，我完全同意从长远来看，你知道，机器变得足够智能，能够理解对地球的真正威胁是人类，这是我们面临的大问题。
251 00:25:18,612 --> 00:25:27,221 讲者 SPEAKER_04：但是在我看来，在近期未来，坏人使用 AI 是我们要关注的大威胁。
252 00:25:28,011 --> 00:25:32,378 讲者 SPEAKER_04：这就是为什么我也关注监管问题。
253 00:25:33,340 --> 00:25:54,036 讲者 SPEAKER_04：因为即使全球各国可能就避免长期威胁达成一致，我认为你本质上已经提到了这一点，我认为短期内将要发生的是，如果我们，可能世界上所有人都会认为自己站在正义的一方，但让我们假设我们西方，自由世界，无论你叫它什么，都是好人。
254 00:25:54,016 --> 00:26:04,701 讲者 SPEAKER_04：如果我们制定法规来防止这些事情，当然那些不在乎法规的人，可能是流氓国家，罪犯，等等。
255 00:26:05,305 --> 00:26:06,326 演讲者 SPEAKER_04：他们将拥有优势。
256 00:26:06,426 --> 00:26:07,888 演讲者 SPEAKER_04：他们不会停止发展。
257 00:26:08,388 --> 00:26:17,382 演讲者 SPEAKER_04：当然，这项技术如此易于获取的事实意味着即使我们进行监管，也无法控制人们是否遵守这些规定。
258 00:26:17,842 --> 00:26:31,161 演讲者 SPEAKER_04：这与核武器大不相同，核武器需要巨大的机器和工厂，这些可以被监控和检测到更大程度，即使有些人可以伪造并声称伊拉克有这些武器，即使实际上没有。
259 00:26:31,141 --> 00:26:35,246 演讲者 SPEAKER_04：我认为这是我们希望在这里再讨论一下的问题。
260 00:26:35,365 --> 00:26:40,352 演讲者 SPEAKER_04：我们如何防御坏人利用 AI 对我们进行攻击？
261 00:26:41,252 --> 00:26:43,915 演讲者 SPEAKER_04：我认为我们将会进入一场军备竞赛。
262 00:26:44,355 --> 00:26:53,487 演讲者 SPEAKER_04：因此，我们每天都在尝试开发基于 AI 的工具，例如检测 AI 生成的图像，以便我们能够警告假新闻的传播。
263 00:26:53,467 --> 00:26:54,067 演讲者 SPEAKER_04: 等等。
264 00:26:54,528 --> 00:27:03,978 演讲者 SPEAKER_04: 当然，这是一个经典的回答，即生成图像的模型会变得更好，我们将能够检测到这些，然后会有一个新的，等等，实际上是没有止境的。
265 00:27:04,939 --> 00:27:16,571 演讲者 SPEAKER_04: 所以我认为我们应该充分尊重长期前景，但我认为我们还需要弄清楚，我对此没有答案，我们如何实际上防止在两年内而不是 20 年后发生非常糟糕的事情。
266 00:27:17,353 --> 00:27:17,752 演讲者 SPEAKER_04: 谢谢。
267 00:27:24,044 --> 00:27:26,407 讲者 SPEAKER_07：嗯，长期和短期风险。
268 00:27:26,468 --> 00:27:29,192 讲者 SPEAKER_07：我希望我们也能得到一些积极的结果。
269 00:27:30,095 --> 00:27:35,424 讲者 SPEAKER_07：所以，我不会再拖延了。
270 00:27:35,525 --> 00:27:39,111 讲者 SPEAKER_07：所以，最后但绝对不是最不重要的，我们还有另一位 IWA 会员。
271 00:27:39,811 --> 00:27:44,200 讲者 SPEAKER_07：她是瑞典皇家理工学院交互设计教授，Kia Höök。
272 00:27:44,540 --> 00:27:46,203 讲者 SPEAKER_07：谢谢。
273 00:27:49,441 --> 00:27:54,690 讲者 SPEAKER_06：所以他们邀请我来讲座时，我说我不做 AI，也不喜欢 AI。
274 00:27:55,830 --> 00:27:58,536 讲者 SPEAKER_06：我过去所做的是符号 AI。
275 00:27:58,556 --> 00:27:59,617 演讲者 SPEAKER_06：我一点也不喜欢那样。
276 00:28:00,419 --> 00:28:04,685 演讲者 SPEAKER_06：最近我们一直在做这些更具身临其境的人工智能东西。
277 00:28:04,726 --> 00:28:14,622 演讲者 SPEAKER_06：所以这里有一个可以改变形状的紧身胸衣，模仿歌手唱歌时如何使用肌肉，让观众能感受到身体上的变化。
278 00:28:14,602 --> 00:28:17,970 演讲者 SPEAKER_06：所以我们将人工智能扩展到了身体上。
279 00:28:18,049 --> 00:28:23,000 讲者 SPEAKER_06：我们可能在谈论威胁，但是一种不同类型的威胁。
280 00:28:24,263 --> 00:28:31,159 讲者 SPEAKER_06：所以我想要稍微谈谈伦理和人工智能以及身体，这显然意味着要谈论死亡。
281 00:28:32,657 --> 00:28:37,087 讲者 SPEAKER_06：让我解释一下为什么死亡很重要。
282 00:28:37,648 --> 00:28:43,401 讲者 SPEAKER_06：我最近参加了一个会议，Terry Vinograd 说人工智能并不关心。
283 00:28:43,461 --> 00:28:48,050 讲者 SPEAKER_06：所以如果你谈论道德，人工智能根本不在乎。
284 00:28:48,030 --> 00:28:53,780 讲者 SPEAKER_06：唐娜·哈拉维也在那里，她说，智能是有形的。
285 00:28:53,800 --> 00:28:56,385 讲者 SPEAKER_06：它嵌入在我们的身体中。
286 00:28:56,987 --> 00:29:04,098 讲者 SPEAKER_06：所以它不仅仅在大脑中，它在整个系统中，包括脑干，包括你的肌肉和你的整个身体。
287 00:29:04,720 --> 00:29:12,253 讲者 SPEAKER_06：我认为，人类智能实际上首先是运动，其次是语言。
288 00:29:12,374 --> 00:29:14,637 讲者 SPEAKER_06：所以我觉得LLMs这个话题并不那么有趣。
289 00:29:14,939 --> 00:29:20,167 讲者 SPEAKER_06：我觉得这种方式更有趣，是关于身体的东西。
290 00:29:20,188 --> 00:29:27,201 讲者 SPEAKER_06：因此，如果我们以此为设计出发点，我们将会以一种身体伦理的方式来进行设计。
291 00:29:27,181 --> 00:29:39,315 讲者 SPEAKER_06：显然，首先，要讲道德，就需要有人被关进监狱，需要有人是司法系统运作所必需的。
292 00:29:39,355 --> 00:29:41,057 讲者 SPEAKER_06：这不是我想谈论的。
293 00:29:41,497 --> 00:29:49,286 讲者 SPEAKER_06：我想谈谈我们的生物构成如何以某种方式决定我们的行为、我们的情感、我们的价值观等等。
294 00:29:49,886 --> 00:29:56,714 讲者 SPEAKER_06：如果我们想要追求一种非常接近我们身体自我的道德，这就是我们需要去的地方。
295 00:29:57,234 --> 00:29:59,157 演讲者 SPEAKER_06：那么我的意思是什么？
296 00:29:59,218 --> 00:30:13,838 好吧，实际上我的身体，身体的对称性，上下左右，我是一个女性身体，我有乳房等等，这些都影响我在世界中的行为。
297 00:30:13,980 --> 00:30:16,864 这也影响你对我的行为。
298 00:30:17,444 --> 00:30:21,770 因此，我的自我认知就是这样形成的。
299 00:30:21,790 --> 00:30:24,474 讲者 SPEAKER_06: 所以这些规范已经深入我的骨髓。
300 00:30:24,454 --> 00:30:26,661 讲者 SPEAKER_06: 它们已经成为了我的一部分。
301 00:30:26,721 --> 00:30:29,587 讲者 SPEAKER_06: 所以我能看到房间里女性们正并拢着腿。
302 00:30:29,607 --> 00:30:31,633 讲者 SPEAKER_06: 她们并没有像典型男性那样张开双腿。
303 00:30:31,794 --> 00:30:32,154 演讲者 SPEAKER_06: 为什么？
304 00:30:32,194 --> 00:30:34,781 演讲者 SPEAKER_06: 你的骨盆没有问题。
305 00:30:35,363 --> 00:30:38,109 演讲者 SPEAKER_06: 如果你想的话，你可以像男人一样坐着。
306 00:30:38,672 --> 00:30:39,653 演讲者 SPEAKER_06: 但那是一种规范。
307 00:30:39,753 --> 00:30:41,198 讲者 SPEAKER_06: 我们不做那样。
308 00:30:41,178 --> 00:30:50,682 讲者 SPEAKER_06: 所以为了生存，我们需要在一个规范性环境中学习如何行为。
309 00:30:51,424 --> 00:30:56,217 讲者 SPEAKER_06: 所以文化对于人类意味着什么非常重要。
310 00:30:56,500 --> 00:30:59,805 讲者 SPEAKER_06: 我们的习惯需要与别人保持一致。
311 00:31:00,006 --> 00:31:02,430 说话人 SPEAKER_06：如果他们不喜欢我们。
312 00:31:03,290 --> 00:31:04,573 说话人 SPEAKER_06：我们也不会交到朋友。
313 00:31:04,693 --> 00:31:08,859 说话人 SPEAKER_06：我们也不会获得地位和我们所想要的一切。
314 00:31:08,881 --> 00:31:10,583 说话人 SPEAKER_06：甚至我们都不会存活下去。
315 00:31:10,784 --> 00:31:14,609 演讲者 SPEAKER_06：这就是进化再次发挥作用的地方。
316 00:31:14,589 --> 00:31:23,105 演讲者 SPEAKER_06：所以我认为我们可以，当然，与并改变我们内心深处根深蒂固的东西。
317 00:31:23,987 --> 00:31:33,965 演讲者 SPEAKER_06：一旦我们将人工智能引入世界，这也会改变我们以及我们的规范和我们在世界中的移动和行动方式。
318 00:31:33,945 --> 00:31:42,718 演讲者 SPEAKER_06：这就是我们开始担忧的地方，因为那时我们需要真正表达我们与这些系统互动时的感受。
319 00:31:43,459 --> 00:31:53,092 讲者 SPEAKER_06: 因此，我们需要超越我们内心根深蒂固的习惯和规范，因为人工智能只会复制这些。
320 00:31:53,393 --> 00:31:57,337 讲者 SPEAKER_06: 我们将会得到具有种族歧视的人工智能，因为我们是有种族歧视的。
321 00:31:57,317 --> 00:32:01,042 讲者 SPEAKER_06: 所以我们需要弄清楚为什么这会让我们感到不安？
322 00:32:01,143 --> 00:32:05,189 讲者 SPEAKER_06: 是什么让我们从身体上感到不安？
323 00:32:06,049 --> 00:32:08,413 说话人 SPEAKER_06：但是，关于这个没有身体的人工智能。
324 00:32:09,275 --> 00:32:17,747 说话人 SPEAKER_06：所以，我想说的是，对我来说，AI 和伦理不仅仅是程序性的。
325 00:32:17,787 --> 00:32:19,689 说话人 SPEAKER_06：它不仅仅是法律问题。
326 00:32:19,709 --> 00:32:22,953 说话人 SPEAKER_06：它不仅仅是政策问题。
327 00:32:22,933 --> 00:32:25,337 讲者 SPEAKER_06：它也是一种感觉过程。
328 00:32:25,397 --> 00:32:26,880 讲者 SPEAKER_06：它是一种身体过程。
329 00:32:26,940 --> 00:32:33,088 讲者 SPEAKER_06：它是一种规范过程，您通过自己的身体、通过您的肉体来实现。
330 00:32:34,150 --> 00:32:38,155 讲者 SPEAKER_06：而这就是我作为一个设计师的空间所在。
331 00:32:38,215 --> 00:32:45,386 讲者 SPEAKER_06：很高兴在今天早些时候的讨论中听到，有人呼吁设计师参与到 AI 设计的流程中来。
332 00:32:46,307 --> 00:32:47,490 讲者 SPEAKER_06：所以...
333 00:32:47,722 --> 00:33:00,036 讲者 SPEAKER_06：我想提出一种针对 AI 系统设计过程中的女性主义、身体感、有感知的关怀伦理。
334 00:33:00,876 --> 00:33:02,758 讲者 SPEAKER_06：很高兴看到你没有死。
335 00:33:03,439 --> 00:33:04,059 演讲者 SPEAKER_06：这很棒。
336 00:33:04,740 --> 00:33:11,728 演讲者 SPEAKER_06：显然，你们有良好的习惯，因为你们都是高地位的人，你们都穿着得体，我敢肯定你们赚了很多钱。
337 00:33:12,848 --> 00:33:13,950 演讲者 SPEAKER_06：所以...
338 00:33:15,634 --> 00:33:17,037 演讲者 SPEAKER_06：这就是我们现在所在的地方，对吧？
339 00:33:17,577 --> 00:33:21,403 讲者 SPEAKER_06: 这是将要塑造这一切的人群和你们的身体。
340 00:33:22,002 --> 00:33:26,809 讲者 SPEAKER_06: 你们需要意识到这一点如何在你们的身体自我中体现。
341 00:33:26,829 --> 00:33:27,470 讲者 SPEAKER_06: 所以，谢谢。
342 00:33:32,237 --> 00:33:34,960 讲者 SPEAKER_07: 请留下，请留下。
343 00:33:34,980 --> 00:33:35,320 未知说话者：好吧，好吧，待在原地。
344 00:33:35,340 --> 00:33:35,881 说话者 SPEAKER_07：我要请大家站起来。
345 00:33:35,901 --> 00:33:37,502 说话者 SPEAKER_07：太棒了，非常感谢。
346 00:33:37,584 --> 00:33:44,071 说话者 SPEAKER_07：请各位演讲者，还有 Hinton 教授也请现在上台。
347 00:33:45,924 --> 00:33:50,569 讲者 SPEAKER_07：嗯，这是个开始，实际上这里的感受。
348 00:33:50,589 --> 00:33:58,999 讲者 SPEAKER_07：我只是想开始回到，我的意思是，我们现在已经深入挖掘某些领域了。
349 00:33:59,058 --> 00:34:04,045 讲者 SPEAKER_07：我想，可能很多人对你很感兴趣。
350 00:34:04,545 --> 00:34:06,027 讲者 SPEAKER_07：而你并没有太多地谈论自己。
351 00:34:06,047 --> 00:34:15,476 讲者 SPEAKER_07：所以我将回过头来问您一两个问题，比如您从事这项研究已经几十年了。
352 00:34:15,456 --> 00:34:18,181 讲者 SPEAKER_07：您是如何一直坚持下来的？
353 00:34:18,222 --> 00:34:25,876 讲者 SPEAKER_07：您实际上将不同的领域汇集在一起，并且长期探索，以找到您想要结合的领域。
354 00:34:26,217 --> 00:34:28,621 讲者 SPEAKER_07：您是如何一直坚持下来的？
355 00:34:29,411 --> 00:34:31,916 说话人 SPEAKER_09：我想知道大脑是如何工作的。
356 00:34:32,858 --> 00:34:35,021 说话人 SPEAKER_09：而且我还没有弄明白。
357 00:34:36,784 --> 00:34:41,391 说话人 SPEAKER_09：你知道，我一直想获得诺贝尔生理学或医学奖，以解开大脑工作的秘密。
358 00:34:41,913 --> 00:34:43,675 说话人 SPEAKER_09：我有一个叫做玻尔兹曼机的理论。
359 00:34:43,775 --> 00:34:48,985 讲者 SPEAKER_09：我和 Terry Sinoski 认为大脑就是这样工作的，我们本可以一起获得诺贝尔奖。
360 00:34:49,385 --> 00:34:52,530 讲者 SPEAKER_09：我们实际上有一个协议，如果其中一个人得到了它而另一个人没有，我们会分享。
361 00:34:52,972 --> 00:34:55,014 讲者 SPEAKER_09：所以我已经和他分享了。
362 00:34:55,467 --> 00:35:05,391 讲者 SPEAKER_09：我们没有意识到的是，我们有一个关于大脑工作原理的理论，但它可能是错误的，所以我们不会获得生理学或医学诺贝尔奖，但你仍然可以获得物理学诺贝尔奖。
363 00:35:09,440 --> 00:35:10,623 讲者 SPEAKER_10: 实际上，你还可以继续努力争取诺贝尔奖。
364 00:35:14,164 --> 00:35:21,282 讲者 SPEAKER_07: 所以，据我所知，好奇心还在，而且还有那个……还有一件事对我帮助很大。
365 00:35:22,023 --> 00:35:29,963 所以，在90年代，特别是在计算机科学领域，不是在心理学领域，而是在计算机科学领域，
366 00:35:29,943 --> 00:35:31,947 讲者 SPEAKER_09: 几乎每个人都说这些是垃圾。
367 00:35:32,307 --> 00:35:33,710 讲者 SPEAKER_09：他们 70 年代也这么说。
368 00:35:33,971 --> 00:35:37,438 讲者 SPEAKER_09：所以 70 年代和 90 年代，他们认为这些只是胡说。
369 00:35:37,778 --> 00:35:38,501 讲者 SPEAKER_09：这永远不会成功的。
370 00:35:38,521 --> 00:35:46,838 讲者 SPEAKER_09：整个想法是，你可以用一个模拟的神经元网络，而这些神经元本身也不太像真正的神经元，你可以
371 00:35:46,818 --> 00:35:51,804 讲者 SPEAKER_09：随机建立连接，然后你只需观察数据就能让它做智能的事情。
372 00:35:51,824 --> 00:35:52,766 讲者 SPEAKER_09：这太荒谬了。
373 00:35:53,266 --> 00:35:57,172 讲者 SPEAKER_09：你必须内置很多先天的结构，才能让它做任何事情。
374 00:35:57,954 --> 00:35:59,735 讲者 SPEAKER_09：这并不是一个不合理的位置。
375 00:36:01,539 --> 00:36:06,264 讲者 SPEAKER_09：他们说，如果你尝试通过梯度下降来训练它，它可能会陷入局部最优。
376 00:36:06,806 --> 00:36:11,813 讲者 SPEAKER_09：他们实际上从未检查过这是否会发生，但他们确信会发生。
377 00:36:13,344 --> 00:36:18,211 讲者 SPEAKER_09：所以问题是，当周围的人都认为你所做的是垃圾时，你该如何继续下去？
378 00:36:19,153 --> 00:36:24,882 讲者 SPEAKER_09：对我来说，这很简单，因为我的父母都是无神论者。
379 00:36:25,543 --> 00:36:29,528 讲者 SPEAKER_09：当我七岁的时候，他们把我送到一所基督教私立学校。
380 00:36:30,990 --> 00:36:36,719 讲者 SPEAKER_09：所以这里有很多其他信奉上帝的孩子和所有信奉上帝的老师，这显然是胡说。
381 00:36:37,730 --> 00:36:39,655 讲者 SPEAKER_09：我的意思是，他们说的那些东西太荒谬了。
382 00:36:40,416 --> 00:36:41,639 讲者 SPEAKER_09：当然，随着时间的推移，这也有所改变。
383 00:36:41,659 --> 00:36:49,257 讲者 SPEAKER_09：当我们小的时候，它是一个像米开朗基罗画的那样被云层遮蔽的古老白人。
384 00:36:49,610 --> 00:36:51,813 讲者 SPEAKER_09：当我们长大一些，它就变得有些晦涩。
385 00:36:53,074 --> 00:36:55,737 讲者 SPEAKER_09：但对我来说，这些似乎总是毫无意义。
386 00:36:56,619 --> 00:37:04,969 讲者 SPEAKER_09：所以，我从很小的时候就有这样的经历，看到的东西在我看来似乎是毫无意义的，结果证明确实是毫无意义的。
387 00:37:05,909 --> 00:37:08,112 讲者 SPEAKER_09：这真的很适用于做神经网络。
388 00:37:11,856 --> 00:37:13,099 讲者 SPEAKER_07：那么你们是如何获得资金的？
389 00:37:13,358 --> 00:37:16,663 讲者 SPEAKER_07：因为这是一个棘手的问题。
390 00:37:17,199 --> 00:37:17,760 讲者 SPEAKER_09：是的。
在加拿大，他们给人们提供资金进行基础研究，虽然钱不多，但他们用得很有效率，这笔钱，所以他们给你提供五年期的拨款，五年结束时，你必须写一份六页的报告，说明你做了什么，不必是你提案中说的那些事情。
这是一个为资助基础研究提供极好方式的方法。
393 00：37：42,918 --> 00：37：47,188 发言者 SPEAKER_07：我想请小组讨论这个问题，因为我看到很多人都在点头。
我认为这是我的老教授经常说的一个推论，几乎就是什么定义一个好的研究者是卓越的应用和出色的成果，但无需相关性。
395 00:37:59,184 --> 00:38:05,932 讲者 SPEAKER_07：我希望在场的科研资助者能好好记住这一点。
396 00:38:05,974 --> 00:38:15,244 讲者 SPEAKER_07：我们确实把学术界分割成很多孤岛，而深入的基础研究往往就存在于这些孤岛中。
397 00:38:15,565 --> 00:38:27,280 讲者 SPEAKER_07：我想知道你是否愿意稍微反思一下，我的意思是，这非常跨学科，我们现在正朝着这种复杂性前进，这是否需要更多的多学科或跨学科工作？
398 00:38:27,300 --> 00:38:28,601 讲者 SPEAKER_07：你愿意反思这一点吗？
399 00:38:28,581 --> 00:38:29,684 讲者 SPEAKER_06: 当然了。
400 00:38:29,744 --> 00:38:38,320 至少对我来说，我的研究小组里有歌剧歌手，还有像我这样的 AI 人士坐在那里。
401 00:38:39,001 --> 00:38:46,876 我们还有硬件人员，软件人员，还有工业设计师等等。
402 00:38:46,856 --> 00:38:56,333 所以，当然，如果你要设计系统中的智能或智能行为，那么你需要。
403 00:38:56,353 --> 00:39:08,594 讲者 SPEAKER_06: 我认为越来越紧迫的是人文、伦理以及关注使用这些技术过上美好生活意味着什么。
404 00:39:08,574 --> 00:39:19,644 讲者 SPEAKER_07: 我想这是给你的提示，安德斯，因为你刚从澳大利亚来，澳大利亚关于人文科学资金削减的争论很大，不是吗？
405 00:39:20,166 --> 00:39:20,465 讲者 SPEAKER_07: 哦，是的。
406 00:39:21,086 --> 00:39:23,449 讲者 SPEAKER_08: 当然，这始终是一个问题。
407 00:39:23,489 --> 00:39:25,411 讲者 SPEAKER_08：资金从哪里来？
408 00:39:25,710 --> 00:39:27,112 讲者 SPEAKER_08：但这也是一个问题。
409 00:39:27,452 --> 00:39:31,056 讲者 SPEAKER_08：这些孤岛实际上是否对应着重要的问题？
410 00:39:31,175 --> 00:39:33,938 讲者 SPEAKER_08：而现实并不符合学术孤岛。
411 00:39:34,259 --> 00:39:38,143 讲者 SPEAKER_08：如果学术壁垒能够以某种方式映射现实，那将是非常惊人的。
412 00:39:38,123 --> 00:39:39,686 讲者 SPEAKER_08：但我们并没有尝试这样做。
413 00:39:39,746 --> 00:39:43,195 讲者 SPEAKER_08：我们最终形成了这些壁垒，这是历史原因造成的。
414 00:39:43,717 --> 00:39:47,688 讲者 SPEAKER_08：有时它们偶然地与真正重要的事物相对应。
415 00:39:48,449 --> 00:39:53,583 讲者 SPEAKER_08: 但通常有趣的新结果出现在你将某个领域的结果应用到其他地方时。
416 00:39:53,563 --> 00:39:54,706 讲者 SPEAKER_08: 然后将其应用于其他地方。
417 00:39:54,826 --> 00:39:57,509 讲者 SPEAKER_08: 事实上，这正是我在澳大利亚的计划。
418 00:39:57,528 --> 00:40:04,338 讲者 SPEAKER_08: 我和一位老朋友一起工作，他原本是物理学家和生物学家，从事胶体科学。
419 00:40:04,579 --> 00:40:08,963 讲者 SPEAKER_08：没有人记得这一点，因为他还发现了将饼干放入茶中浸泡的最佳角度。
420 00:40:09,204 --> 00:40:12,148 讲者 SPEAKER_08：所以现在他永远以饼干浸泡教授而闻名。
421 00:40:12,789 --> 00:40:20,820 讲者 SPEAKER_08：但关键部分在于我们正在聚集团队，试图学习我们如何更好地进行跨学科工作？
422 00:40:20,800 --> 00:40:22,762 讲者 SPEAKER_08：因为我们在这方面没有系统化。
423 00:40:23,463 --> 00:40:25,606 讲者 SPEAKER_08：大家都说我们希望跨学科。
424 00:40:25,907 --> 00:40:29,570 讲者 SPEAKER_08：也许资助者也是这样说的，但他们并没有给跨学科研究太多资金。
425 00:40:29,911 --> 00:40:33,096 讲者 SPEAKER_08：即使我们试图跨学科，我们也不是很擅长。
426 00:40:33,115 --> 00:40:33,936 讲者 SPEAKER_08：我们应该变得更好。
427 00:40:34,277 --> 00:40:35,679 讲者 SPEAKER_08：最佳角度是多少？
428 00:40:37,001 --> 00:40:42,487 讲者 SPEAKER_08：如果你用正常的英式红茶，大约是 15 度。
429 00:40:44,340 --> 00:40:45,606 讲者 SPEAKER_07：你有没有？
430 00:40:45,626 --> 00:40:53,963 讲者 SPEAKER_04：是的，我认为需要跨学科的一个原因之一是，我认为今天乃至未来最大的挑战之一，我愿意称之为交接问题。
431 00:40:54,313 --> 00:40:57,077 说话人 SPEAKER_04: 我认为，你知道，我们将会有 AI 与人类一起工作。
432 00:40:57,838 --> 00:41:11,054 说话人 SPEAKER_04: 如果你想到自动驾驶汽车，这显然是显而易见的，因为大家都说，好吧，所以汽车会自己驾驶，直到它无法处理情况，然后它将把控制权交给驾驶员，你知道，那时驾驶员可能正在睡觉。
433 00:41:11,213 --> 00:41:17,300 说话人 SPEAKER_04: 但是机器如何向人类传达其对世界状况的看法呢？
434 00:41:17,280 --> 00:41:20,148 说话人 SPEAKER_04: 这适用于所有情况，我们在与威胁分析师合作时看到了这一点。
435 00:41:20,208 --> 00:41:27,867 讲者 SPEAKER_04：你如何对某个算法进行分析，并将信息传达给人类，以便人类可以继续进行或证明它是正确或错误的？
436 00:41:28,369 --> 00:41:34,885 讲者 SPEAKER_04：为此，显然需要设计师，需要来自各个领域的人来构建这些系统。
437 00:41:35,032 --> 00:41:37,217 讲者 SPEAKER_07：是的，界面的关键问题。
438 00:41:38,019 --> 00:41:39,322 讲者 SPEAKER_06：我们实际上是为这一点而设计的。
439 00:41:40,465 --> 00:41:48,826 说话人 SPEAKER_06：在我们的实验室里，我们与自动驾驶汽车合作，设计了一种通过充气垫给你一点推力的靠背，让你醒来。
440 00:41:48,847 --> 00:41:51,893 说话人 SPEAKER_04：你还有三秒钟的时间来理解你为什么被叫醒吗？
441 00:41:51,994 --> 00:41:53,177 说话人 SPEAKER_07：有时候，有时候。
442 00:41:54,001 --> 00:41:58,324 说话人 SPEAKER_07：但我觉得我们需要回到风险问题上来。
443 00:41:58,344 --> 00:42:02,027 说话人 SPEAKER_07：自从你离开谷歌以来，你在这方面越来越直言不讳。
444 00:42:02,228 --> 00:42:12,478 说话人 SPEAKER_07：既然你在这里是技术乐观主义者，所以我们不必真的只谈论风险，我们需要谈论机遇。
445 00:42:12,498 --> 00:42:14,760 说话人 SPEAKER_07：我想在座的所有人都知道机遇，都能看到它们。
446 00:42:15,340 --> 00:42:18,923 说话人 SPEAKER_07：但你刚才在开场白中说过，超级智能即将到来。
447 00:42:18,943 --> 00:42:19,905 说话人 SPEAKER_07：你真的相信吗？
448 00:42:20,025 --> 00:42:22,927 说话人 SPEAKER_07：是在五年或三十年内，类似这样的？
449 00:42:22,907 --> 00:42:29,378 说话人 SPEAKER_09：我的信念是，有 50%的概率它将在 5 到 20 年内出现。
450 00:42:29,820 --> 00:42:33,306 说话人 SPEAKER_09：除了那是我一年前的信念，所以我最好说是在 4 到 19 年之间。
451 00:42:33,326 --> 00:42:36,170 说话人 SPEAKER_09：听起来就是不好。
452 00:42:37,213 --> 00:42:37,813 说话人 SPEAKER_07：然后呢？
453 00:42:37,873 --> 00:42:39,836 说话人 SPEAKER_07：因为当它实际上
454 00:42:40,289 --> 00:42:42,130 说话人 SPEAKER_07：是超人类智能的时候。
455 00:42:42,150 --> 00:42:43,692 讲者 SPEAKER_09：我想几乎所有人都来了。
456 00:42:44,492 --> 00:42:46,114 讲者 SPEAKER_09：他们只是对时间长短有不同看法。
