1 00:00:24,989 --> 00:00:31,278 主持人 SPEAKER_02：我非常荣幸，能够介绍今天的演讲者。
229 00:19:58,753 --> 00:20:05,922 说话人 SPEAKER_00: 如果你有多层隐藏层并且每层使用 50%的 dropout，那么在测试时使用均值网络，
230 00:20:06,391 --> 00:20:11,919 说话人 SPEAKER_00: 这并不等同于运行所有可能的网络并通过平均它们来取几何平均。
231 00:20:12,338 --> 00:20:14,541 说话人 SPEAKER_00: 但这很接近那个。
232 00:20:14,561 --> 00:20:18,367 说话人 SPEAKER_00: 所以你可以做实验，多次随机运行并取平均值。
233 00:20:18,708 --> 00:20:22,053 说话人 SPEAKER_00: 你会发现这和运行一次平均场网络非常相似。
234 00:20:25,959 --> 00:20:27,540 说话人 SPEAKER_00: 你也可以在输入层做同样的事情。
235 00:20:28,382 --> 00:20:29,884 说话人 SPEAKER_00: 这也很有帮助。
236 00:20:30,251 --> 00:20:36,298 说话人 SPEAKER_00: 这已经被 Yoshua Bengio 的团队和其他地方的人使用，你只需省略一些输入。
237 00:20:36,318 --> 00:20:39,021 说话人 SPEAKER_00: 所以如果是图像，你只需将一些像素设置为 0。
238 00:20:39,823 --> 00:20:44,508 说话人 SPEAKER_00: 这充当了一个很好的正则化器，当然，在训练期间会对你造成伤害，但会使你更好地泛化。
239 00:20:44,887 --> 00:20:45,969 说话人 SPEAKER_00：这是一种很好的添加噪音的方式。
240 00:20:46,730 --> 00:20:49,053 说话人 SPEAKER_00：这只是将这种推广到所有层。
241 00:20:50,173 --> 00:20:52,696 说话人 SPEAKER_00：在输入层，你可能不想遗漏一半的像素。
242 00:20:53,297 --> 00:20:54,858 说话人 SPEAKER_00：你希望留下 20%左右或类似的像素。
243 00:20:58,180 --> 00:21:03,826 说话人 SPEAKER_00：实际上有一个关于 dropout 的熟悉例子，或者说是对了解逻辑回归的人来说，一种特定的 dropout 例子。
244 00:21:04,507 --> 00:21:15,098 说话人 SPEAKER_00：如果你在做逻辑回归，并且没有足够的数据来很好地拟合你的模型，那么你很容易过拟合，你可以做的是只保留一个输入，其余的都丢弃。
245 00:21:16,279 --> 00:21:20,505 说话人 SPEAKER_00：所以现在你将对这个模型进行逻辑回归，并学习这个权重。
246 00:21:22,086 --> 00:21:24,068 说话人 SPEAKER_00：你将在大量数据上这样做。
247 00:21:24,469 --> 00:21:25,431 说话人 说话人_00: 然后你就退出了。
248 00:21:25,550 --> 00:21:27,613 说话人 说话人_00: 然后你专注于另一个，学习另一个权重。
249 00:21:28,201 --> 00:21:32,184 说话人 说话人_00: 如果你那样做逻辑回归，那叫朴素贝叶斯。
250 00:21:33,066 --> 00:21:35,528 说话人 说话人_00: 测试时，你将这些全部一起使用。
251 00:21:36,609 --> 00:21:40,153 说话人 SPEAKER_00：如果你想要一个分布，你真的应该取他们所有人预测的几何平均数。
252 00:21:40,535 --> 00:21:44,019 说话人 SPEAKER_00：但是如果你只对最可能的类别感兴趣，你不需要这样做。
253 00:21:45,019 --> 00:21:49,785 说话人 SPEAKER_00：因此，朴素贝叶斯实际上是一个使用 dropout 来避免过拟合的例子。
254 00:21:50,806 --> 00:21:54,089 说话人 SPEAKER_00：当然，这立刻就暗示了这一点。
255 00:21:54,694 --> 00:21:58,920 说话人 SPEAKER_00：为什么只考虑使用所有或只使用其中之一的可能性呢？
256 00:21:59,701 --> 00:22:09,334 说话人 SPEAKER_00：为什么不考虑为这些使用验证集来学习 dropout 率，从而进行子集选择，但又是概率性的子集选择呢？
257 00:22:09,795 --> 00:22:16,784 说话人 SPEAKER_00：你不会说，我要选择一个特定的特征子集，并试图找到最好的子集，这正是统计学家大部分时间在做的事情。
258 00:22:17,444 --> 00:22:23,992 说话人 SPEAKER_00：你说，我将通过给每个子集一个不再是 0.5 的概率来产生数以亿计的子集。
259 00:22:24,157 --> 00:22:27,163 说话人 SPEAKER_00：这种无用的功能被包含的概率很低。
260 00:22:27,644 --> 00:22:29,708 说话人 SPEAKER_00：有用的功能则概率要高得多。
261 00:22:30,549 --> 00:22:34,837 说话人 SPEAKER_00：现在你可以将这些模型平均一下，模型平均会带来很大的收益。
262 00:22:34,857 --> 00:22:38,704 说话人 SPEAKER_00：据我所知，这种想法几乎还没有被研究过。
263 00:22:42,833 --> 00:22:44,817 说话人 SPEAKER_00: 所以，在深度神经网络中。
264 00:22:45,099 --> 00:22:58,455 说话人 SPEAKER_00: 我们的经验是，如果你拿任何一个表现出过拟合的深度神经网络，例如在语音领域，任何一个因为不提前停止而会过拟合的神经网络，你可以通过使用 Dropout 来使其工作得更好。
265 00:22:58,997 --> 00:23:03,122 说话人 SPEAKER_00: 它比提前停止效果更好，并且可以大幅减少错误数量。
266 00:23:04,644 --> 00:23:07,527 说话人 SPEAKER_00: 谷歌的人说，是的，但是我没有过拟合，因为我有这么多数据。
267 00:23:07,928 --> 00:23:14,095 说话人 SPEAKER_00: 那个问题的答案是，嗯，你应该有过拟合，因为你可能有很多数据，但这仅仅意味着你应该使用一个更大的神经网络。
268 00:23:17,247 --> 00:23:20,912 说话人 SPEAKER_00: 我的说法是，你可以取无限数据的极限，但我可以取无限计算的极限。
269 00:23:24,958 --> 00:23:31,205 说话人 SPEAKER_00: 好吧，这里有一些关于一个无聊的老任务 MNIST 的初始实验，它是机器学习中的果蝇。
270 00:23:32,468 --> 00:23:35,172 说话人 SPEAKER_00: 人们说你不应该使用 MNIST，因为它很无聊。
271 00:23:35,592 --> 00:23:37,714 说话人 说话人_00: 就像告诉生物学家，你不应该使用果蝇。
272 00:23:37,795 --> 00:23:39,317 说话人 说话人_00: 有那么多生物学家都使用果蝇。
273 00:23:39,356 --> 00:23:40,900 说话人 说话人_00: 你为什么使用果蝇？
274 00:23:40,920 --> 00:23:43,462 说话人 说话人_00: 嗯，你使用果蝇是因为那么多其他生物学家都用果蝇。
275 00:23:44,003 --> 00:23:45,025 说话人 SPEAKER_00: 你可以比较事物。
276 00:23:45,786 --> 00:23:47,067 说话人 SPEAKER_00: 关于它，了解得很多。
277 00:23:48,279 --> 00:23:50,722 说话人 SPEAKER_00: 因此它正在识别手写数字。
278 00:23:50,742 --> 00:23:59,392 说话人 SPEAKER_00: 如果你查看 Yann LeCun 的网站，对于一种纯神经网络的最好报告结果是测试集上有 160 个错误。
279 00:24:00,333 --> 00:24:03,457 说话人 SPEAKER_00：你通过加入一些知识可以做得更好。
280 00:24:03,596 --> 00:24:13,528 说话人 SPEAKER_00：你可以通过使网络卷积或利用如果移动某物，它仍然属于同一类的事实来转换数据来加入知识。
281 00:24:13,980 --> 00:24:16,042 说话人 SPEAKER_00：所以你通过篡改数据来加入知识。
282 00:24:16,623 --> 00:24:19,806 说话人 SPEAKER_00：通过做这些技巧，你现在可以将错误率降低到大约 25 个左右。
283 00:24:20,247 --> 00:24:33,077 说话人 SPEAKER_00: 但如果你不这样做，如果你进行一种即使像素随机排列也能工作的学习形式，那么最佳报告的结果是 160 个错误。
284 00:24:36,060 --> 00:24:41,546 说话人 SPEAKER_00: 就在这里这一行。
285 00:24:41,605 --> 00:24:42,807 说话人 SPEAKER_00: 这是 160 个错误。
286 00:24:44,086 --> 00:24:52,621 说话人 SPEAKER_00: 如果你尝试各种不同的神经网络、深度网络，这里有一个网络，蓝色的，每个层有 800 个单元。
287 00:24:53,182 --> 00:24:56,106 说话人 SPEAKER_00：这比您通常用于 MNIST 的要多，并且有两个隐藏层。
288 00:24:57,450 --> 00:25:03,299 说话人 SPEAKER_00：您用大的学习率来训练它，但同时对权重进行约束，以防止其爆炸。
289 00:25:04,261 --> 00:25:06,786 说话人 SPEAKER_00：顺便说一句，这已经可以帮助您做得比 160 小时更好。
290 00:25:06,984 --> 00:25:09,308 说话人 SPEAKER_00：然后，这里有一大堆不同的网络。
291 00:25:09,670 --> 00:25:14,398 说话人 SPEAKER_00: 现在看看用这个大的学习率训练它们，然后衰减学习率会发生什么。
292 00:25:15,381 --> 00:25:16,723 说话人 SPEAKER_00: 所以你看，它们并没有过拟合。
293 00:25:17,726 --> 00:25:19,548 说话人 SPEAKER_00: 它们的表现都差不多。
294 00:25:20,611 --> 00:25:25,180 说话人 SPEAKER_00: 如果你让网络更大，给它们更多层，
295 00:25:26,307 --> 00:25:28,832 说话人 SPEAKER_00: 这个有每层 1,200 个单位，共三层。
296 00:25:29,211 --> 00:25:31,355 说话人 SPEAKER_00: 这对于正常的训练来说太大了。
297 00:25:31,656 --> 00:25:32,798 说话人 SPEAKER_00: 这样会过度拟合得非常严重。
298 00:25:34,342 --> 00:25:35,403 说话人 SPEAKER_00: 那个实际上做得很好。
299 00:25:35,503 --> 00:25:42,897 说话人 SPEAKER_00：这使错误数降至 100 多，对于没有额外信息的 MNIST 方法来说，这是一个非常好的性能。
300 00:25:43,839 --> 00:25:46,644 说话人 SPEAKER_00：所以支持向量机大约有 140 个错误。
301 00:25:46,924 --> 00:25:48,145 说话人 SPEAKER_00：它们又回到了 MNIST 这里。
302 00:25:48,586 --> 00:25:54,256 说话人 SPEAKER_00：而最初人们之所以转向支持向量机，正是因为这种从反向传播到支持向量机之间的差距。
303 00:25:55,116 --> 00:25:56,499 说话人 SPEAKER_00: 但现在我们把它反过来。
304 00:25:58,821 --> 00:25:59,123 说话人 SPEAKER_00: 好的。
305 00:25:59,143 --> 00:26:03,549 说话人 SPEAKER_00: 但 MNIST 是一个有点无聊的任务。
306 00:26:03,569 --> 00:26:05,553 说话人 SPEAKER_00: 为了使这个工作，我们确实使用了权重约束。
307 00:26:06,253 --> 00:26:10,539 说话人 SPEAKER_00: 如果您使用 L2 惩罚来保持权重小或 L1 惩罚来保持
308 00:26:11,093 --> 00:26:20,324 说话人 SPEAKER_00: 通常更好的做法是，对每个隐藏单元，使用验证集来确定输入权重向量的最大长度。
309 00:26:21,265 --> 00:26:26,412 说话人 SPEAKER_00: 然后在学习过程中，如果权重向量小于这个值，就让它保持不变。
310 00:26:26,892 --> 00:26:33,440 说话人 SPEAKER_00: 一旦达到这个水平，当它超过这个水平时，就通过除法缩小它，使其回到最大长度。
311 00:26:35,762 --> 00:26:38,605 说话人 SPEAKER_00：这比我们在尝试中使用 L2 衰减要好得多。
312 00:26:38,807 --> 00:26:39,867 说话人 SPEAKER_00：这就是我们在这里使用的。
313 00:26:48,134 --> 00:26:54,583 说话人 SPEAKER_00：这是一个硬约束，但我可以给你一种思考方式。
314 00:26:55,364 --> 00:27:06,240 说话人 SPEAKER_00：当你进行这个除法以将长度归一化时，如果你在优化时拥有恰到好处的拉格朗日乘数，你将保持这个长度。
315 00:27:06,921 --> 00:27:11,346 说话人 SPEAKER_00: 这些拉格朗日乘数就像权重成本，对权重的惩罚。
316 00:27:12,067 --> 00:27:13,509 说话人 SPEAKER_00: 但是这些惩罚是会变化的。
317 00:27:13,549 --> 00:27:16,233 说话人 SPEAKER_00: 所以当权重增长时，
318 00:27:16,567 --> 00:27:18,210 说话人 SPEAKER_00: 当它们很小时，没有惩罚。
一旦它们达到约束，如果某些权重想要增长很多，而其他权重的增长则不那么多，你必须输入大的拉格朗日乘数，这实际上会将想要增长的权重推回到零。
因此，每个连接上的 L2 惩罚会根据其他连接想要改变的程度而适应。
321 00:27:38,922 --> 00:27:43,428 说话者 说话者_00：是的。
322 00:27:43,448 --> 00:27:43,828 说话者 说话者_00：是的。
323 00:27:43,848 --> 00:27:43,909 说话人 SPEAKER_00: 好的。
324 00:27:45,913 --> 00:27:51,480 说话人 SPEAKER_00: 所以这里是对 Timmy 的实验，这更有趣。
325 00:27:51,520 --> 00:27:59,710 说话人 SPEAKER_00: 你在声学帧的窗口上训练神经网络。
326 00:28:00,471 --> 00:28:04,455 说话人 SPEAKER_00: 你试图预测中心帧对应哪些 HMM 的状态。
327 00:28:06,397 --> 00:28:07,720 说话者 SPEAKER_00：使用标准微调，
328 00：28：08,324 --> 00：28：15,671 演讲者 SPEAKER_00：在进行这种无监督的预训练后，你会得到 22.7%。
329 00:28:16,031 --> 00:28:17,313 说话者 说话者_00：这已经是一个非常不错的结果了。
330 00：28：18,894 --> 00：28：19,955 议长 SPEAKER_00：我们可以做得更好。
331 00:28:20,056 --> 00:28:24,339 说话人 SPEAKER_00: 我们采取了一种不同的数据预处理方式，因为我们已经过度拟合了很多。
332 00:28:25,060 --> 00:28:27,002 说话人 SPEAKER_00: 我们使用丹·波维的 Kaldi 系统来做这件事。
333 00:28:27,483 --> 00:28:28,984 说话人 SPEAKER_00: 这是我们第一次使用它。
334 00:28:29,605 --> 00:28:36,353 说话人 SPEAKER_00: 然后当你对这个网络应用 dropout 时，你可以降低到 19.7%，这是说话人无关方法的记录。
335 00:28:36,712 --> 00:28:37,773 说话人 SPEAKER_00: 这是一个很大的下降。
336 00:28:42,157 --> 00:28:45,703 说话人 SPEAKER_00: 所以这里，这是电话错误率。
337 00:28:46,224 --> 00:28:54,417 说话人 SPEAKER_00: 在训练过程中，你也可以看看你如何对单个帧进行分类，这被称为分类率。
338 00:28:55,259 --> 00:29:05,836 说话人 SPEAKER_00: 如果只是进行正常的微调，不使用 dropout，你会看到错误率下降，然后过拟合。
339 00:29:06,323 --> 00:29:11,150 说话人 SPEAKER_00: 因此，如果能在恰当的点停止，就能获得这些不同网络中的一个点。
340 00:29:12,211 --> 00:29:16,277 说话人 SPEAKER_00: 使用 dropout 后，它会下降并持续下降。
341 00:29:16,297 --> 00:29:19,301 说话人 SPEAKER_00: 如果你看这里的交叉熵误差，分类率不会上升。
342 00:29:19,362 --> 00:29:20,983 说话人 SPEAKER_00: 交叉熵误差略有上升。
343 00:29:21,965 --> 00:29:23,548 说话人 SPEAKER_00: 但基本上，几乎没有过拟合。
344 00:29:23,827 --> 00:29:28,976 说话人 SPEAKER_00: 所有这些不同的架构都非常相似，并且都比使用早期停止得到的结果要好得多。
345 00:29:30,196 --> 00:29:31,960 说话人 SPEAKER_00: 所以如果你在使用早期停止，就停止吧。
346 00:29:35,280 --> 00:29:38,929 说话人 SPEAKER_00: 为了展示其通用性，我们认为我们可以进行文档分类。
347 00:29:39,711 --> 00:29:41,454 说话人 SPEAKER_00：对于那个来说效果不太好，但是还是可以的。
348 00:29:42,076 --> 00:29:53,019 说话人 SPEAKER_00：所以我们选取了一个相当大的文档集，我们认为大约有一百万份文档，这些文档由 2,000 个最频繁出现的单词的计数来表示。
349 00:29:53,961 --> 00:29:56,445 说话人 SPEAKER_00：这里有一种小型的类别层次结构。
350 00:29:57,066 --> 00:30:00,751 说话人 SPEAKER_00：我们通过选取 50 个非重叠类别来简化了它。
351 00:30:01,092 --> 00:30:02,594 说话人 SPEAKER_00：这就是层次结构的第二层。
352 00:30:03,075 --> 00:30:08,923 说话人 SPEAKER_00：我们移除了一类占数据约三分之一的类别，还移除了一些几乎没有代表者的类别。
353 00:30:09,384 --> 00:30:14,109 说话人 SPEAKER_00：然后我们有了 50 个类别的数据，可以看到 dropout 如何帮助。
354 00:30:16,794 --> 00:30:20,880 说话人 SPEAKER_00：如果你用那个 dropout 进行训练，
355 00:30:21,265 --> 00:30:23,929 说话人 SPEAKER_00: 你会得到一种经典的早期停止偏好。
356 00:30:24,348 --> 00:30:27,133 说话人 SPEAKER_00: 而使用 Dropout，你可能会得到大约一两个百分点的提升。
357 00:30:27,773 --> 00:30:28,674 说话人 SPEAKER_00: 你不会过拟合。
358 00:30:31,317 --> 00:30:32,740 说话人 SPEAKER_00: 所以对于文档分类来说，它是有效的。
359 00:30:32,799 --> 00:30:34,261 说话人 SPEAKER_00：与其他事物相比，这不是一个很大的胜利。
360 00:30:34,903 --> 00:30:38,607 说话人 SPEAKER_00：但总的来说，我们的经验是随机选择一个任务。
361 00:30:38,627 --> 00:30:43,795 说话人 SPEAKER_00：这将通过使用稍微大一点的网络和使用 Dropout 来减少 5%到 10%的错误。
362 00:30:45,817 --> 00:30:46,878 说话人 SPEAKER_00：这是一个更有趣的任务。
363 00:30:46,939 --> 00:30:50,022 说话人 SPEAKER_00: 这是在对彩色图像进行分类。
364 00:30:50,289 --> 00:30:56,881 说话人 SPEAKER_00: 这些是小彩色图像，所以我设计了这个任务，使其尽可能类似于 MNIST，但仍然使用来自网络的真实图像。
365 00:30:57,563 --> 00:30:59,486 说话人 SPEAKER_00: 因此，它们是 32x32 的彩色图像。
366 00:31:01,930 --> 00:31:03,011 说话人 SPEAKER_00: 有 10 个不同的类别。
367 00:31:03,712 --> 00:31:05,916 说话人 SPEAKER_00: 这些是测试集中鸟类的示例。
368 00:31:07,038 --> 00:31:10,644 说话人 SPEAKER_00: 您可以看到，图像已经找到，图像是这样产生的。
369 00:31:10,979 --> 00:31:19,448 说话人 SPEAKER_00: 首先在网络上搜索鸟类及其相关类别。
370 00:31:20,808 --> 00:31:28,857 说话人 SPEAKER_00: 然后将所有这些内容交给多伦多的大学生，并说，指示大致如下。
图像中是否有一个占主导地位的事物，并且它可能被合理地标记为“鸟”？
您发现过了一段时间后，您在支付这些本科生，他们实际上在笔记本电脑上互相玩游戏，而不是标注图像，因为标注图像非常无聊。
只有我发现喜欢给图片打标签的人是 Radford Neal 的女儿，她会看一百张图片，然后说，猫，猫，猫。
374 00：32：02,511 --> 00：32：04,134 议长 SPEAKER_00：我想她当时大约两岁。
375 00:32:05,055 --> 00:32:06,855 说话人 SPEAKER_00: 因此图像标签员应该有两岁。
376 00:32:06,875 --> 00:32:07,757 说话人 SPEAKER_00: 他们真的很投入。
377 00:32:07,777 --> 00:32:09,218 说话人 SPEAKER_00: 他们可能愿意付钱让你做这件事。
378 00:32:10,987 --> 00:32:15,673 说话人 SPEAKER_00: 所以亚历克斯·克雷泽夫斯基训练了一个非常大的卷积神经网络。
379 00:32:16,034 --> 00:32:16,835 说话人 SPEAKER_00: 他尝试了很多事情。
380 00:32:17,296 --> 00:32:21,362 说话人 SPEAKER_00: 他最好的网络误差率大约是 18%，这是在这个领域的记录。
381 00:32:22,103 --> 00:32:26,067 说话人 SPEAKER_00: 然后他把误差率降低到了 16%。
382 00:32:26,548 --> 00:32:31,256 说话人 SPEAKER_00: 通过使用图像的翻译等手段，他现在降低了这么多。
383 00:32:32,518 --> 00:32:39,086 说话人 SPEAKER_00: 但如果你不作弊，不使用添加额外知识的转换数据，那将是一个很大的胜利。
384 00:32:41,007 --> 00:32:43,028 说话人 SPEAKER_00: 这些数字总是在变化，因为它一直在改进事物。
385 00:32:45,931 --> 00:32:50,894 说话人 SPEAKER_00: 这是一个更严肃的对象识别测试。
386 00:32:51,655 --> 00:32:58,362 说话人 SPEAKER_00: 所以我厌倦了计算机视觉的人说，你们神经网络的人只是在尝试像 Caltech 101 这样的简单集合。
387 00:32:59,162 --> 00:33:09,471 说话人 SPEAKER_00：所以我联系了 Malik，他一直在说深度神经网络在物体识别方面并没有真正证明自己，因为它们总是使用过于简单的东西。
388 00:33:09,490 --> 00:33:10,592 说话人 SPEAKER_00：所以我跟 Jitendra 谈了。
389 00:33:11,045 --> 00:33:16,737 说话人 SPEAKER_00：Jitendra 同意，如果我们能在 ImageNet 上工作，那将是一个真正的成果。
390 00:33:16,757 --> 00:33:19,221 说话人 SPEAKER_00：如果我们能在 ImageNet 上实现它，那么 ImageNet 将会非常令人印象深刻。
391 00:33:21,185 --> 00:33:28,902 说话人 SPEAKER_00: 在 2010 年有一场竞赛，他们公布了测试集，所以你可以自己尝试。
392 00:33:29,336 --> 00:33:33,584 说话人 SPEAKER_00: 因此有 130 万张训练图像，1000 个不同的类别。
393 00:33:34,444 --> 00:33:36,048 说话人 SPEAKER_00: 你需要进行 1000 种分类。
394 00:33:36,628 --> 00:33:38,372 说话人 SPEAKER_00: 每个类别大约有 1000 个示例。
395 00:33:38,652 --> 00:33:40,955 说话人 SPEAKER_00：所以分享特征将非常重要。
396 00:33:42,939 --> 00:33:48,929 说话人 SPEAKER_00：2010 年比赛的冠军在他们的第一个选择上获得了 47%的错误率。
397 00:33:49,931 --> 00:33:56,121 说话人 SPEAKER_00：如果你认为可以进入你的前五个选择，那么他们的错误率是 25%。
398 00:33:57,079 --> 00:33:58,701 说话人 SPEAKER_00：这就是 2010 年的技术水平。
399 00:33:58,741 --> 00:34:01,224 说话人 SPEAKER_00：现在的最先进技术稍微好一点了。
400 00:34:01,265 --> 00:34:01,845 说话人 SPEAKER_00：他们下降到了 45%。
401 00:34:02,967 --> 00:34:03,867 说话人 SPEAKER_00：所以又有一场竞赛。
402 00:34:03,887 --> 00:34:07,632 说话人 SPEAKER_00：那场竞赛的获胜者回到这场竞赛中，并展示了他们在这次竞赛中获得了 45%。
403 00:34:08,132 --> 00:34:11,715 说话人 说话人_00：据我们所知，目前最先进的技术达到了45%。
404 00:34:11,735 --> 00:34:14,659 说话人 说话人_00：Alex 尝试了大量的神经网络。
405 00:34:18,583 --> 00:34:22,327 说话人 说话人_00：他最终得到了一个包含七个隐藏层（不包括最大池化层）的神经网络。
406 00:34:22,780 --> 00:34:25,862 说话人 说话人_00：早期层是卷积层，所以参数并不多。
407 00:34:26,583 --> 00:34:29,266 说话人 SPEAKER_00：后面的层是完全连接的，所以它们有很多参数。
408 00:34:29,867 --> 00:34:33,831 说话人 SPEAKER_00：它们有大约 4,000 个完全连接的单元，所以这里有 1600 万个参数。
409 00:34:34,713 --> 00:34:35,994 说话人 SPEAKER_00：而且有两个这样的层。
410 00:34:38,097 --> 00:34:42,420 说话人 SPEAKER_00：他使用了这种转换训练数据的技巧。
411 00:34:42,460 --> 00:34:47,606 说话人 SPEAKER_00: 因此他将图像缩小到 256x256。
412 00:34:48,092 --> 00:34:49,635 说话人 SPEAKER_00: 但后来并没有使用所有这些图像。
413 00:34:49,715 --> 00:34:51,317 说话人 SPEAKER_00: 他使用了稍微小一点的块。
414 00:34:51,336 --> 00:34:52,677 说话人 SPEAKER_00: 因此他得到了很多不同的块。
415 00:34:53,219 --> 00:34:54,800 说话人 SPEAKER_00：所以他正在多个不同阶段处理事情。
416 00:34:55,181 --> 00:34:56,902 说话人 SPEAKER_00：他从未两次使用相同的训练示例。
417 00:34:58,465 --> 00:35:01,827 说话人 SPEAKER_00：他还使用了其他一些我没有时间详细说明的技巧。
418 00:35:02,809 --> 00:35:07,855 说话人 SPEAKER_00：这些并不与 dropout 的效果相关。
419 00:35:11,219 --> 00:35:16,664 说话人 SPEAKER_00: 他的错误率下降到了大约 48%。
420 00:35:17,117 --> 00:35:19,740 说话人 SPEAKER_00: 关于使用所有这些方法的最新技术状态。
421 00:35:22,043 --> 00:35:36,001 说话人 SPEAKER_00: 然后，他在全局连接层应用了 dropout，现在最好的一个错误率下降到了 39%，前五名的错误率下降到了 19%。
422 00:35:36,961 --> 00:35:38,202 说话人 SPEAKER_00: 这是一项巨大的改进。
423 00:35:38,403 --> 00:35:42,027 说话人 SPEAKER_00: 我的意思是，从事计算机视觉的人会告诉你，这是一个很大的进步。
424 00:35:46,193 --> 00:35:48,016 说话人 SPEAKER_00: 这里有一些来自 Alex 网络的样本。
425 00:35:49,960 --> 00:35:53,106 说话人 SPEAKER_00: 这是在他获得最佳结果之前。
426 00:35:53,146 --> 00:35:54,869 说话人 SPEAKER_00: 所以这是他网络的一个略差版本。
427 00:35:55,110 --> 00:35:56,652 说话人 SPEAKER_00: 只是为了向您展示这项任务是什么样的。
428 00:35:57,293 --> 00:35:59,978 说话人 SPEAKER_00: 你会得到这样一张图片，你必须说出它是千种事物中的哪一种。
429 00:36:01,641 --> 00:36:04,668 说话人 SPEAKER_00: 而 Alex 的神经网络说它是一只海獭。
430 00:36:05,550 --> 00:36:08,235 说话人 SPEAKER_00: 现在，我实际上是一位深度神经网络的辩护者。
431 00:36:08,958 --> 00:36:16,369 说话人 SPEAKER_00: 我认为说海獭是个很好的东西，因为注意，你没有鸟嘴尖，这里有你海獭的湿毛。
432 00:36:17,572 --> 00:36:20,096 说话人 SPEAKER_00: 我认为识别海獭的湿毛非常聪明。
433 00:36:20,737 --> 00:36:27,186 说话人 SPEAKER_00: 它确实能分辨出鹌鹑，而且它还能分辨出我无法区分鹌鹑的其他东西，比如之后的松鸡和鹌鹑。
434 00:36:29,190 --> 00:36:32,215 说话人 SPEAKER_00: 这个很明显是一辆铲雪车。
435 00:36:33,764 --> 00:36:35,045 说话人 说话人_00: 然后你看它的错误。
436 00:36:35,065 --> 00:36:37,387 说话人 说话人_00: 错误总是更有信息量。
437 00:36:37,867 --> 00:36:40,050 说话人 说话人_00: 好像钻井平台和垃圾车看起来都还好。
438 00:36:40,530 --> 00:36:41,771 说话人 说话人_00: 救生艇，你认为它为什么是救生艇？
439 00:36:41,791 --> 00:36:43,652 说话人 SPEAKER_00: 嗯，你知道，这可能不是雪。
440 00:36:43,672 --> 00:36:45,875 说话人 SPEAKER_00: 可能是有点泡沫的水。
441 00:36:45,916 --> 00:36:50,300 说话人 SPEAKER_00: 如果你再看一遍，这里就是救生艇前面的旗帜。
442 00:36:50,739 --> 00:36:52,221 说话人 SPEAKER_00: 这里是救生艇后面的旗帜。
443 00:36:52,242 --> 00:36:53,583 说话人 SPEAKER_00: 这是救生艇的船桥。
444 00:36:53,963 --> 00:36:55,704 说话人 SPEAKER_00: 它确实非常像一艘救生艇。
445 00:36:57,907 --> 00:36:59,588 说话人 SPEAKER_00: 就像我说的，我是神经网络的支持者。
446 00:37:00,489 --> 00:37:01,971 说话人 SPEAKER_00: 这个，它完全错了，好吧？
447 00:37:02,150 --> 00:37:03,331 说话人 SPEAKER_00: 它没有进入前五名。
448 00:37:03,751 --> 00:37:06,394 说话人 SPEAKER_00: 正确答案是剑鞘。
449 00:37:09,880 --> 00:37:11,382 说话人 SPEAKER_00: 这很奇怪，它说蚯蚓。
450 00:37:11,561 --> 00:37:15,288 说话人 SPEAKER_00: 斧头，你可以看到为什么说斧头，两个大的垂直部分。
451 00:37:15,588 --> 00:37:17,952 说话人 SPEAKER_00: 这可能和颜色和森林有关。
452 00:37:19,293 --> 00:37:20,735 说话人 SPEAKER_00: 扫帚，你能看到为什么说扫帚。
453 00:37:21,056 --> 00:37:22,739 说话人 SPEAKER_00: 但是蚯蚓，为什么说蚯蚓？
454 00:37:22,759 --> 00:37:25,523 说话人 SPEAKER_00: 但是如果你仔细看，你能看到这里有几条蚯蚓。
455 00:37:26,092 --> 00:37:41,918 说话人 SPEAKER_00：现在你可能认为这只是幻想，但 Alex 能做的是，他可以从类别标签反向传播，告诉我哪些像素对你在该类别标签上的信心影响最大。
456 00:37:41,938 --> 00:37:44,422 说话人 SPEAKER_00：所以你可以看到标签对像素的敏感性。
457 00:37:44,976 --> 00:37:49,621 说话人 SPEAKER_00：他还没有用这个来做，但有一个例子，其中的对象是螨虫，在图像中非常小。
458 00:37:49,661 --> 00:37:52,224 说话人 SPEAKER_00：这是一片叶子，里面有个螨虫，在图像的一侧。
459 00:37:52,784 --> 00:37:56,989 说话人 SPEAKER_00：如果你从那里反向传播，导致它说“螨虫”的是螨虫的像素。
460 00:37:58,590 --> 00:38:00,532 说话人 SPEAKER_00：这并不是完全的幻想。
461 00:38:03,375 --> 00:38:04,976 说话人 SPEAKER_00：我喜欢展示这些，让我们再看一些。
462 00:38:06,838 --> 00:38:11,702 说话人 SPEAKER_00：ImageNet 有各种各样的物品类别，你可以看到为什么它们允许你进入前五名。
463 00:38:11,742 --> 00:38:13,143 说话人 SPEAKER_00: 那么正确的答案是什么？
464 00:38:13,681 --> 00:38:18,407 说话人 SPEAKER_00: 我可能会说是微波炉，如果不是微波炉的话，那可能是洗碗机，如果那是指洗碗机的话。
465 00:38:20,771 --> 00:38:21,751 说话人 SPEAKER_00: 就是这样说的。
466 00:38:22,914 --> 00:38:24,376 说话人 SPEAKER_00: 正确答案是电炉。
467 00:38:24,456 --> 00:38:26,199 说话人 SPEAKER_00: 我甚至不知道电炉在哪里。
