1 00:00:16,129 --> 00:00:17,030 主持人 SPEAKER_01：大家好。
225 00:24:13,148 --> 00:24:23,759 说话人 SPEAKER_01：我在多伦多大学当一名年轻的助理教授时，另一位杰出的科学家约翰·波拉尼在 1986 年获得了诺贝尔化学奖。
226 00:24:23,839 --> 00:24:33,069 说话人 SPEAKER_01：我记得当约翰得到这个好消息时，我们知识界的自豪感。
227 00:24:33,049 --> 00:24:40,441 说话人 SPEAKER_01：它一直持续产生如此积极的影响，不仅是在化学领域，而且在多伦多大学。
228 00:24:40,480 --> 00:24:53,519 说话人 SPEAKER_01：我认为 Jeff 今天的胜利将产生类似积极的影响，提振整个大学的士气，同时也有助于我们吸引和留住优秀人才。
229 00:24:53,538 --> 00:24:55,362 说话人 SPEAKER_01：Jeff 已经谈到了这一点。
230 00:24:55,342 --> 00:24:57,384 说话人 SPEAKER_01：针对今天的一些提问。
231 00:24:57,403 --> 00:25:22,529 说话人 SPEAKER_01：我认为无法过分强调这样的胜利对加拿大、多伦多和加拿大安大略大学能够欢迎来自全国乃至世界各地的新锐人才、优秀学生和杰出教师的能力的影响，因为这种认可源于 Jeff 的胜利。
232 00:25:25,648 --> 00:25:26,912 说话人 SPEAKER_00：谢谢，Gertler 校长。
233 00:25:26,971 --> 00:25:35,413 说话人 SPEAKER_00：我们现在回到 Hinton 教授那里，回答 Issam Ahmed 来自 AFP 的另一个问题。
234 00:25:35,935 --> 00:25:40,688 说话人 SPEAKER_00：他们问，您在人工智能领域接下来最感兴趣的领域是什么？
235 00:25:42,625 --> 00:25:48,919 说话人 SPEAKER_02：好吧，我已经 76 岁了，我相信我不会再进行太多前沿研究了。
236 00:25:49,160 --> 00:25:53,730 说话人 SPEAKER_02：我将把我的时间花在倡导人们关注安全上。
237 00:25:54,432 --> 00:25:59,502 说话人 SPEAKER_02：我认为有一些非常激动人心的前沿领域。
238 00:25:59,482 --> 00:26:04,414 说话人 SPEAKER_02：在机器人领域，在让 AI 擅长操作事物方面。
239 00：26：04,915 --> 00：26：12,673 演讲者 SPEAKER_02：目前，我们在这方面比计算机或人工神经网络要好得多，但那里会有很多进步。
240 00：26：13,516 --> 00：26：17,204 议长 SPEAKER_02：不过，这方面可能需要更长的时间。
我也认为这些大型语言模型将会有很大的、很大的推理能力提升。
OpenAI 的最新模型和谷歌的模型，如 Gemini 的最新版本，在推理方面一直在不断进步。
243 00:26:30,596 --> 00:26:33,422 说话人 SPEAKER_02：我认为这将非常令人兴奋。
244 00:26:36,355 --> 00:26:39,118 说话人 SPEAKER_00：下一个问题来自维多利亚·吉布森。
245 00:26:39,199 --> 00:26:42,884 说话人 SPEAKER_00：她来自多伦多星报，这是给辛顿教授的问题。
246 00:26:43,486 --> 00:26:52,000 说话人 SPEAKER_00：她问，您在人工智能可能出错的具体方面提供了一些细节，例如网络攻击、虚假视频等。
247 00:26:52,621 --> 00:26:57,749 Speaker SPEAKER_00: 你能分享一些更具体的例子，说明你认为它如何发挥积极作用吗？
248 00:26:59,211 --> 00:26:59,632 Speaker SPEAKER_02: 哦，是的。
249 00:27:00,031 --> 00:27:02,936 Speaker SPEAKER_02: 所以如果你考虑像医疗保健这样的领域，
250 00:27:03,457 --> 00:27:07,289 Speaker SPEAKER_02: 安大略省预算的大部分都用于医疗保健。
251 00:27:08,401 --> 00:27:10,324 说话人 SPEAKER_02：这可以产生巨大的影响。
252 00:27:11,224 --> 00:27:18,694 说话人 SPEAKER_02：所以我在 2016 年实际上做出过一个预测，到如今，人工智能将能阅读放射科医生通常阅读的所有扫描。
253 00:27:19,256 --> 00:27:20,617 说话人 SPEAKER_02：那个预测是错误的。
254 00:27:20,637 --> 00:27:22,119 说话人 SPEAKER_02：我有些过于乐观了。
255 00:27:22,599 --> 00:27:26,025 说话人 SPEAKER_02：可能还需要再过五年才会发生，但我们显然正在朝着这个方向发展。
256 00:27:27,205 --> 00:27:30,290 说话人 SPEAKER_02：人工智能在诊断方面将会更加出色。
257 00:27:30,510 --> 00:27:37,259 说话人 SPEAKER_02：所以，对于诊断难度较大的病例，医生的正确率只有 40%。
258 00:27:37,240 --> 00:27:47,096 说话人 SPEAKER_02：医生，人工智能系统的正确率为 50%，而医生与人工智能系统的组合正确率可达 60%，这是一个很大的提升。
259 00：27：47,678 --> 00：27：52,026 演讲者 SPEAKER_02：在北美，每年有数十万人死于不良诊断。
260 00：27：52,346 --> 00：27：55,131 演讲者 SPEAKER_02：有了人工智能，诊断会变得更好。
但真正会发生的事情是，你将能够拥有一个 AI 家庭医生，他已经看过一亿名患者，知道大量信息，并且将能够更好地处理你遇到的任何疾病，因为你的 AI 家庭医生已经看过许多类似的病例。
262 00:28:19,292 --> 00:28:21,116 演讲者 演讲者00：谢谢，辛顿教授。
263 00:28:21,838 --> 00:28:24,605 说话人 SPEAKER_00: 我们不再看到任何其他问题。
264 00:28:25,326 --> 00:28:28,433 说话人 SPEAKER_00: 但再次强调，我们还有时间回答一两个问题。
265 00:28:28,453 --> 00:28:38,195 说话人 SPEAKER_00: 所以如果通话中有人想问其他问题，我们再次邀请您在提问时包括您的姓名和您所代表的媒体机构。
266 00:28:38,175 --> 00:28:42,983 说话人 SPEAKER_00: 并在屏幕底部的问答框中打出这些问题。
在等待最后时刻的任何问题到来时，休顿教授，我们很好奇，今天在新闻发布会上，有没有什么我们没有涉及到的您想提到的，或者有没有什么在众多媒体提问中我们可能遗漏了的问题？
268 00：29：03,016 --> 00：29：08,862 演讲者 SPEAKER_02：我们只简单谈到了一件事，那就是好奇心驱动的基础研究的作用。
所以人工神经网络，基础工作都是由大学研究人员完成的，几乎全部是由大学研究人员完成的，只是遵循他们的好奇心。
270 00：29：20,434 --> 00：29：22,978 演讲者 SPEAKER_02：资助这类研究非常重要。
271 00:29:23,478 --> 00:29:32,347 说话人 SPEAKER_02：这并不像其他类型的研究那样昂贵，但它为后来非常昂贵且涉及大量技术的项目奠定了基础。
272 00:29:35,365 --> 00:29:35,826 说话人 SPEAKER_00：谢谢。
273 00:29:35,865 --> 00:29:44,180 说话人 SPEAKER_00：这里还有一条来自多伦多星报的维多利亚·吉布森的消息，可能是对你之前关于医疗保健和 AI 的评论的后续。
274 00:29:44,641 --> 00:29:52,213 说话人 SPEAKER_00：她说，为什么我们认为我们还没有达到你预测的 AI 在医疗保健中扮演更大角色的那个点呢？
275 00:29:52,795 --> 00:29:55,720 Speaker SPEAKER_00: 发生这种情况还有任何障碍吗？
276 00:29:56,762 --> 00:30:01,415 Speaker SPEAKER_02: 一个障碍是医学界非常保守。
277 00:30:01,717 --> 00:30:02,839 Speaker SPEAKER_02: 这有很好的理由。
278 00:30:02,880 --> 00:30:08,375 Speaker SPEAKER_02: 如果你犯错导致人死亡，那当然是一个大问题。
279 00:30:08,490 --> 00:30:13,397 说话人 SPEAKER_02：政策上要保守，但他们相对较慢地采用新技术。
280 00:30:14,199 --> 00:30:21,710 说话人 SPEAKER_02：另一个原因是，我之前对 AI 系统在阅读扫描方面优于放射科医生的速度估计错误。
281 00:30:22,230 --> 00:30:27,157 说话人 SPEAKER_02：现在它们在许多不同类型的扫描中与放射科医生相当，在少数方面甚至更好。
282 00:30:27,137 --> 00:30:30,624 说话人 SPEAKER_02：我认为再过几年，它们肯定会比放射科医生更优秀。
283 00:30:30,923 --> 00:30:39,479 说话人 SPEAKER_02：我们将看到放射科医生和 AI 系统之间的合作，AI 系统读取扫描图像，放射科医生检查 AI 系统是否出错。
284 00:30:40,259 --> 00:30:43,105 说话人 SPEAKER_02：过了一段时间后，AI 系统将几乎完成所有工作。
285 00:30:45,987 --> 00:30:46,667 说话人 SPEAKER_00：好的，太好了。
286 00:30:46,768 --> 00:30:48,190 说话人 SPEAKER_00：谢谢，Hinton 教授。
287 00:30:48,289 --> 00:30:51,874 主持人：今天的问题环节就到这里。
288 00:30:51,894 --> 00:31:00,663 主持人：在聊天框中，您会看到一个可以联系以获取额外问题的电子邮件地址。
289 00:31:01,806 --> 00:31:03,247 主持人：您应该现在就能看到它弹出。
290 00:31:03,307 --> 00:31:08,733 主持人：这个电子邮件地址是 media.relations@utoronto.ca。
291 00:31:08,753 --> 00:31:14,019 说话人 说话人_00：现在，我将邀请 Gertler 总统发表闭幕词。
292 00:31:15,821 --> 00:31:16,722 说话人 说话人_01：嗯，谢谢，Lisa。
293 00:31:17,123 --> 00:31:18,204 说话人 说话人_01：谢谢，Jeff。
294 00:31:18,224 --> 00:31:22,788 说话人 说话人_01：再次祝贺您获得这个了不起的成就，您的诺贝尔奖。
295 00:31:22,848 --> 00:31:38,205 说话人 SPEAKER_01：我确信我代表整个多伦多大学社区，以及加拿大以及世界各地众多朋友、同事和崇拜者，当我们说我们对您今天所获得的成就感到无比自豪时。
296 00:31:38,266 --> 00:31:43,652 说话人 SPEAKER_01：还要感谢今天参加我们这次美好庆祝活动的人。
297 00:31:44,613 --> 00:31:45,053 说话人 SPEAKER_01：干杯。
