1 00:00:02,916 --> 00:00:03,258 说话人 SPEAKER_00: 你好。
223 00:22:08,801 --> 00:22:28,231 说话者 说话者_00: 但如果我们手里有一个大模型，我们取 logits，即你放入 softmax 中的东西，然后除以大于 1 的温度，以得到软分布，大模型输出的软分布揭示了关于它所相信的函数的更多信息。
224 00:22:29,253 --> 00:22:33,480 说话者 说话者_00: 所以在这里的顶部，可能是单个图像的硬目标。
225 00:22:33,540 --> 00:22:35,063 说话人 SPEAKER_00: 这就是数据库中的内容。
226 00:22:35,380 --> 00:22:41,125 说话人 SPEAKER_00: 如果你查看一个已经训练好的大模型的输出，它会非常自信地认为是一只狗，但可能是一只猫。
227 00:22:42,046 --> 00:22:45,469 说话人 SPEAKER_00: 这并不能提供很多关于功能的信息。
228 00:22:46,210 --> 00:22:58,180 说话人 SPEAKER_00: 但如果我们现在通过使用高温度的 softmax 来软化这些输出，也就是说，我们只是将所有的 logits 除以这个温度，那么我们就会得到一个更加均匀的分布，一个更加柔和的分布。
229 00:22:58,901 --> 00:23:03,345 说话人 说话人_00：如果我们不软化输出，这开始显示出许多隐藏的东西。
230 00:23:04,220 --> 00:23:11,190 说话人 说话人_00：所以，在未软化的输出中，它认为这个物体是牛的概率是10的负6次方，是汽车的概率是10的负9次方。
231 00:23:11,770 --> 00:23:13,153 说话人 说话人_00：基本上，这两个概率都是0。
232 00:23:14,153 --> 00:23:17,940 说话人 说话人_00：如果我们软化它，现在牛和汽车之间的差异就变得显著了。
233 00:23:19,141 --> 00:23:24,288 说话人 SPEAKER_00：现在，这张图片实际上是一只狗，你可能认为牛和车之间的区别无关紧要。
234 00:23:24,308 --> 00:23:30,678 说话人 SPEAKER_00：但实际上，大模型的大部分知识，如果不是全部知识，都不在于正确答案是什么。
235 00:23:31,138 --> 00:23:33,602 说话人 SPEAKER_00：它在于错误答案的相对概率。
236 00:23:34,914 --> 00:23:46,195 说话人 SPEAKER_00：这就是为什么在多选题中，让人们给出第二个答案非常有教育意义，因为这样你可以看到他们是否知道正确答案，而不是他们是否能够判断什么是有可能的，什么是不可能的。
237 00:23:48,681 --> 00:23:54,731 讲者 SPEAKER_00：所以这些软化的输出揭示了我所说的暗知识，因为在大型模型中，它们都将为零，或者说几乎为零。
238 00:23:55,933 --> 00:23:58,137 讲者 SPEAKER_00：这就是你要在小模型上训练的内容。
239 00:23:59,317 --> 00:24:03,461 讲者 SPEAKER_00：所以现在你是在训练小模型，使用的信息要丰富得多。
240 00:24:04,163 --> 00:24:07,886 讲者 SPEAKER_00：当然，当你训练小模型时，你也会在其 softmax 中使用高温。
241 00:24:08,929 --> 00:24:21,544 讲者 SPEAKER_00：所以如果我问你，这是什么物种，然后给你以下答案，这些答案都不正确，那么很明显，雪豹比老虎好得多，老虎比牛好得多，牛比胡萝卜好得多。
242 00:24:23,046 --> 00:24:25,188 讲者 SPEAKER_00：所以你注意到这里有一个类层次结构。
243 00:24:26,108 --> 00:24:29,053 讲者 SPEAKER_00：前三个都是动物，它们都比胡萝卜好得多。
244 00:24:30,028 --> 00:24:36,916 讲者 SPEAKER_00：在大型模型输出的软概率中，你可以看到这个类层次结构，你不需要将其放入其中。
245 00:24:37,251 --> 00:24:44,041 说话人 SPEAKER_00：通过在网络上找到一个某人编造的类层次结构，并将其告诉你的学习系统。
246 00:24:44,442 --> 00:24:47,067 说话人 SPEAKER_00：学习系统将自动识别这个类层次结构。
247 00:24:47,307 --> 00:24:52,935 说话人 SPEAKER_00：它将存在于大模型中，并在错误答案的可信度中体现出来。
248 00:24:53,476 --> 00:25:00,626 说话人 SPEAKER_00：你只需让它在这里给出正确的概率，就可以将所有这些转移到小模型中，当你已经软化输出时。
249 00:25:02,664 --> 00:25:04,868 说话人 SPEAKER_00: 如果您感兴趣的话，这是一个埃及毛。
250 00:25:05,650 --> 00:25:07,271 说话人 SPEAKER_00: 这里有一些 MNIST 的例子。
251 00:25:08,394 --> 00:25:11,519 说话人 SPEAKER_00: 我从 MNIST 中取了一些数字，并使用了一个大型的学习模型。
252 00:25:13,122 --> 00:25:19,751 说话人 SPEAKER_00: 我向您展示了当您软化输出时各种类别的概率。
253 00:25:20,614 --> 00:25:25,922 说话人 SPEAKER_00：如果你看中间那一行，最有可能的是 2，这是正确的。
254 00:25:26,324 --> 00:25:28,567 说话人 SPEAKER_00：但是第二可能的是 0。
255 00:25:28,588 --> 00:25:32,596 说话人 SPEAKER_00：你会注意到那个特定的 2 看起来非常像 0。
256 00:25:33,438 --> 00:25:38,848 说话人 SPEAKER_00：你知道它不是 0，但它比其他任何 2 都更像 0。
257 00:25:38,868 --> 00:25:46,964 说话人 SPEAKER_00: 所以当我告诉你它是一个看起来有点像 0 的 2 时，比仅仅告诉你它是一个 2 时，我给你提供的信息要多得多。
258 00:25:48,565 --> 00:25:53,170 说话人 SPEAKER_00: 事实上，我可以告诉你它是一个看起来有点像 0 但不像 5 的 2。
259 00:25:53,651 --> 00:25:55,492 说话人 SPEAKER_00: 这就是它最不像的东西。
260 00:25:56,173 --> 00:25:58,655 说话人 SPEAKER_00: 这就是那些软化输出告诉你的。
261 00:25:58,675 --> 00:26:03,781 讲者 SPEAKER_00：结果发现，如果你给他们提供这么丰富的输出去学习，神经网络会学得更快。
262 00:26:04,561 --> 00:26:08,707 讲者 SPEAKER_00：所以这里有一个在 MNIST 上的小实验，只是为了展示蒸馏是有效的。
263 00:26:09,728 --> 00:26:14,353 讲者 SPEAKER_00：我用两个 800 个隐藏单元的 vanilla 反向传播网络进行训练。
264 00:26:14,906 --> 00:26:18,271 讲者 SPEAKER_00：并使用 ReLU 作为非线性函数，测试错误为 146 个。
265 00:26:20,454 --> 00:26:31,832 说话人 SPEAKER_00：然后我用更大的网络，更大的隐藏层，加上 dropout，加上权重约束，加上输入抖动，所以各种正则化，错误率降低到 67 个。
266 00:26:31,852 --> 00:26:32,913 说话人 SPEAKER_00：错误率大约减半。
267 00:26:35,017 --> 00:26:38,923 说话人 SPEAKER_00：现在，如果我使用那个大网络的软输出
268 00:26:39,173 --> 00:26:42,637 说话人 SPEAKER_00：并按照之前训练小网络的方式训练它。
269 00:26:42,877 --> 00:26:45,842 讲者 SPEAKER_00：当我在训练小网络时，我不使用 dropout 或权重约束或抖动。
270 00:26:46,363 --> 00:26:48,885 讲者 SPEAKER_00：我只是使用大网络的软输出来训练它。
271 00:26:50,067 --> 00:26:56,036 讲者 SPEAKER_00：所以，声称现在它有了更丰富的数据，因为它可以看到期望输出中事物之间的相似性。
272 00:26:57,198 --> 00:26:58,319 讲者 SPEAKER_00：确实，它有效。
273 00:26:59,500 --> 00:27:03,666 讲者 SPEAKER_00：当我用这些软目标训练小网络时，它出现了 74 个错误。
274 00:27:03,886 --> 00:27:05,890 讲者 SPEAKER_00：这比大网络稍差一些。
275 00:27:06,005 --> 00:27:11,474 讲者 SPEAKER_00：并且它的错误率几乎是小网络直接在数据上训练的一半。
276 00:27:11,494 --> 00:27:15,823 讲者 SPEAKER_00：这是因为软目标展示了小网络应该如何泛化。
他们显示了小网，好的，正确答案是2，但如果你必须猜测第二个答案，那将是0。
278 00：27：23,376 --> 00：27：24,578 议长 SPEAKER_00：这只是一个概括。
当你在训练小网络时，你正在教它以与大网络相同的方式进行泛化。
所以假设大网学习到了一个好的模型，当你训练小网时，你使用的是一个比我们通常使用的更好的目标函数。
281 00:27:38,707 --> 00:27:41,010 说话人 SPEAKER_00: 你不是在训练它得到正确答案。
282 00:27:41,451 --> 00:27:44,355 说话人 SPEAKER_00: 你在训练它以与大网相同的方式进行泛化。
283 00:27:45,017 --> 00:27:47,820 说话人 SPEAKER_00: 我们假设大网已经很好地进行了泛化。
284 00:27:47,840 --> 00:27:49,442 说话人 SPEAKER_00: 所以最终，你正在训练正确的东西。
285 00:27:49,462 --> 00:27:52,268 说话人 SPEAKER_00: 你正在训练它进行泛化，而不是让训练数据拟合。
286 00:27:53,829 --> 00:27:59,838 说话人 SPEAKER_00: 只是为了展示这个效果有多强大，我在所有 10 个数字类别上训练了一个大网络。
287 00:28:01,287 --> 00:28:04,693 说话人 SPEAKER_00: 然后我将大网络的知识迁移到小网络上。
288 00:28:05,655 --> 00:28:09,182 说话人 SPEAKER_00: 在迁移过程中，小网络从未见过数字 3。
289 00:28:09,784 --> 00:28:12,008 说话人 SPEAKER_00：就它而言，3 是一个神话般的数字。
290 00:28:12,648 --> 00:28:23,109 说话人 SPEAKER_00：它有输出类别 3，偶尔，如果比如它得到了一个看起来很像 3 的 2，它会被告知有非常小的概率那是一个 3。
291 00:28:23,781 --> 00:28:28,832 说话人 SPEAKER_00：经过这样的训练，从未见过 3，显然它认为 3 非常罕见。
292 00:28:29,553 --> 00:28:34,102 说话人 SPEAKER_00：所以我们就简单地提高了 3 的偏差，让它不再认为它们那么罕见。
293 00:28:34,422 --> 00:28:35,984 说话人 SPEAKER_00: 它认为它们和其他事物一样普遍。
294 00:28:36,686 --> 00:28:41,655 说话人 SPEAKER_00: 现在，如果你拿那个小浓缩网络，它在 3 秒内的表现非常好。
295 00:28:41,736 --> 00:28:45,282 说话人 SPEAKER_00: 它在 3 秒内的表现儿乎和其他类别一样好。
296 00:28:45,262 --> 00:28:56,217 说话人 SPEAKER_00: 因此，它仅仅通过被告知这个 2 有点像 3，7 有点像 3，这个 5 有点像 3，而 6 根本不像 3，就学会了 3 秒是什么样的。
297 00:28:57,358 --> 00:28:59,181 说话人 SPEAKER_00: 这就足以让你了解 3 是什么样子了。
298 00:29:01,002 --> 00:29:11,777 说话人 SPEAKER_00: 蒸馏的一个有趣之处在于，我们不必先训练一个大网络或一大组网络，然后再将知识蒸馏到另一个网络中，我们可以进行联合蒸馏。
299 00:29:12,482 --> 00:29:15,905 说话人 SPEAKER_00: 也就是说，我们可以同时训练 10 个小网络。
300 00:29:16,967 --> 00:29:21,672 说话人 SPEAKER_00: 如果我们独立训练它们，它们的平均测试误差为 158。
301 00:29:22,772 --> 00:29:24,494 说话人 SPEAKER_00：这些网络比我之前用的要小。
302 00:29:25,175 --> 00:29:28,138 说话人 SPEAKER_00：如果你将它们组合起来，你会得到 143 个错误。
303 00:29:29,480 --> 00:29:36,406 说话人 SPEAKER_00：但你可以做的另一件事是，在你训练它们的时候，你可以让每个网络尝试与其他网络的软答案达成一致。
304 00:29:37,528 --> 00:29:38,409 说话人 SPEAKER_00：这是同伴压力。
305 00:29:38,429 --> 00:29:42,472 说话人 SPEAKER_00: 你试图让它们输出分布与其他网络相似。
306 00:29:43,178 --> 00:29:49,186 说话人 SPEAKER_00: 现在看来，你首先得让它们分别学习一段时间，这样它们就不会立即变得太相似。
307 00:29:50,489 --> 00:29:52,992 说话人 SPEAKER_00: 然后你尝试让它们与其他网络达成一致。
308 00:29:53,993 --> 00:29:58,902 说话人 SPEAKER_00: 结果是，各个网络最终比之前要好得多。
309 00:30:00,564 --> 00:30:03,888 说话人 SPEAKER_00：这个组合的效果并不比单个网络好，但单个网络的效果更好。
310 00:30:04,250 --> 00:30:06,553 说话人 SPEAKER_00：他们在学习过程中共享了知识。
311 00:30:07,022 --> 00:30:12,651 说话人 SPEAKER_00：如果不同的网络看到不同的数据子集，这将特别有效。
312 00:30:13,491 --> 00:30:15,575 说话人 SPEAKER_00：但在这个案例中并没有发生这种情况。
313 00:30:15,635 --> 00:30:33,080 说话人 SPEAKER_00：但是如果你有如此多的数据以至于无法将其全部通过所有网络，如果你将不同的子集通过不同的网络运行并取平均值，那么这就是将神经网络从未见过的数据知识转移到神经网络中的方法，通过尝试与其他已经看到该数据的神经网络达成一致。
314 00:30:33,482 --> 00:30:35,525 说话人 SPEAKER_00：这基本上就是科学界的工作方式。
315 00:30:35,965 --> 00:30:41,571 说话人 SPEAKER_00：我们直接查看数据，但我们也阅读出版物，并试图与其他科学家的观点达成一致。
316 00:30:42,313 --> 00:30:50,622 说话人 SPEAKER_00：因此，共蒸馏提出了在 GLOM 等模型中，模型列如何共享神经网络之间的知识。
317 00:30:52,022 --> 00:30:59,912 说话人 SPEAKER_00：当我们平均一个嵌入与附近网络的嵌入时，我们在做什么
318 00:31:00,077 --> 00:31:05,065 说话人 SPEAKER_00：我们正在创建一个更好的训练信号，用于训练自下而上的神经网络。
319 00:31:06,988 --> 00:31:12,556 说话人 SPEAKER_00：所以我们将得到一个 L 级。我将它称为共识嵌入。
320 00:31:13,477 --> 00:31:27,637 说话人 SPEAKER_00：这是从 L 级该位置的底部向上预测的平均值，从 L+1 级该位置的顶部向下预测的平均值，以及在该级别附近列的注意力加权预测的平均值，
321 00:31:28,731 --> 00:31:37,962 说话者 SPEAKER_00: 将这些信息源的平均值与适当的超参数相结合，你将得到一个共识，即这些信息源之间认为的最佳选择。
322 00:31:39,064 --> 00:31:46,332 说话者 SPEAKER_00: 现在你可以训练自底向上的神经网络和自顶向下的神经网络，以尝试与这个共识达成一致。
323 00:31:46,352 --> 00:31:57,404 说话者 SPEAKER_00: 当然，这个共识包含了神经网络及其附近位置的意见，如果这些神经网络正在查看相同的部分或对象。
324 00:31:58,567 --> 00:32:06,876 说话者 SPEAKER_00: 所以如果我们处于对象层面，并且有一个属于同一面孔的附近位置，它将对面孔向量的样子有一个看法。
325 00:32:07,417 --> 00:32:23,477 讲者 SPEAKER_00：如果那个观点与我们的观点相似，因为它是附近位置上的同一张脸，它将为自下而上的神经网络和自上而下的神经网络提供额外的训练信号，尤其是对于从脸部的一部分预测脸部的自下而上的神经网络。
326 00:32:24,082 --> 00:32:31,309 讲者 SPEAKER_00：而这种训练信号正是允许知识从一个柱状体转移到另一个柱状体的原因。
327 00:32:33,030 --> 00:32:38,016 讲者 SPEAKER_00：所以我认为整个系统正在执行众多局部模型之间的共蒸馏。
328 00:32:39,238 --> 00:32:41,039 讲者 SPEAKER_00：这就是这些视网膜映射中发生的事情。
329 00:32:41,599 --> 00:32:44,663 说话者 SPEAKER_00：这就是为什么它们在统计上并不像你想的那么低效。
330 00:32:45,785 --> 00:32:50,308 说话者 SPEAKER_00：实际上，这种共蒸馏比权重共享有一个很大的优势。
331 00:32:50,769 --> 00:32:53,952 说话者 SPEAKER_00：即使你能做权重共享，也是非常困难的
332 00:32:54,405 --> 00:32:57,971 说话者 SPEAKER_00：要看到如何应用它，如果你有一个非均匀的视网膜。
333 00:32:59,412 --> 00:33:13,029 演讲者 演讲者_00：如果你从黄斑区向外移动时，感受野的大小增加，并且光感受器在网格中分布不均匀，那么你得到的是一个对视觉阵列的不同部分进行不同预处理的视网膜。
334 00:33:15,053 --> 00:33:18,557 演讲者 演讲者_00：在这些自下而上的神经网络中，你想要的不是针对视觉阵列该部分如何进行预处理的特定模型。
335 00:33:19,516 --> 00:33:25,626 演讲者 演讲者_00：你想要的不是一个特定于视觉阵列该部分如何进行预处理的模型。
336 00:33:26,347 --> 00:33:32,058 演讲者 演讲者_00：你希望不同的神经网络实现从视觉阵列到输出的相同功能。
337 00:33:33,181 --> 00:33:35,044 说话人 SPEAKER_00: 与共蒸馏，他们就是这样做的。
338 00:33:35,585 --> 00:33:43,920 说话人 SPEAKER_00: 共蒸馏可以将知识从一个列传递到另一个列，即使这些列对输入进行预处理的方式完全不同。
339 00:33:44,660 --> 00:33:46,863 说话人 SPEAKER_00: 这是你用权重共享无法做到的。
340 00:33:46,883 --> 00:33:48,586 说话人 SPEAKER_00: 所以这就是我要说的全部了。
341 00:33:48,625 --> 00:33:58,299 讲者 SPEAKER_00：本次演讲的主要观点就是建议大家，大脑不能进行权重共享并不意味着它不能获得卷积神经网络的大部分优势。
342 00:33:59,020 --> 00:34:12,000 讲者 SPEAKER_00：因为如果它愿意从附近的区域平均意见，然后让它的局部神经网络尝试与这些平均值达成一致，它就会进行共蒸馏，从而在位置之间传递知识。
