1 00:00:05,684 --> 00:00:16,539 说话人 说话人_00: 谢谢。
243 00:19:13,335 --> 00:19:16,519 说话人 SPEAKER_00：你经常谈论医疗领域将带来的好处。
244 00:19:16,818 --> 00:19:24,067 说话人 SPEAKER_00：当你浏览可持续发展目标时，似乎健康和医药是你认为人工智能将带来很多好处的一个领域。
245 00:19:24,107 --> 00:19:24,587 说话人 SPEAKER_00：这公平吗？
246 00:19:24,808 --> 00:19:27,632 说话人 SPEAKER_00：请告诉我原因。
247 00:19:28,726 --> 00:19:29,626 说话人 SPEAKER_01: 哎，我有点困惑。
248 00:19:29,666 --> 00:19:30,567 说话人 SPEAKER_01: 这很明显。
249 00:19:31,169 --> 00:19:34,473 说话人 SPEAKER_01: 它在解读医学影像方面将会更加出色。
250 00:19:35,013 --> 00:19:41,583 说话人 SPEAKER_01: 2016 年，我说到 2021 年，它将在解读医学影像方面比临床医生更加出色。
251 00:19:41,943 --> 00:19:42,565 说话人 SPEAKER_01：我错了。
252 00:19:42,644 --> 00:19:47,991 说话人 SPEAKER_01：这可能还需要另外五到十年，部分原因是医学对新事物的接受非常缓慢。
253 00:19:49,093 --> 00:19:52,417 说话人 SPEAKER_01：而且，我也高估了短期进步的速度。
254 00:19:53,640 --> 00:19:56,943 说话人 SPEAKER_01：所以这是我做出的一个错误预测。
255 00:19:56,923 --> 00:19:58,526 说话人 SPEAKER_01：但很明显它正在变得越来越好。
256 00:19:58,546 --> 00:20:05,194 说话人 SPEAKER_01：现在它在许多种类的医学图像上可以与相当好的医学专家相媲美。
257 00:20:05,415 --> 00:20:06,676 说话人 SPEAKER_01：不是全部，但很多都是。
258 00:20:07,258 --> 00:20:08,500 说话人 SPEAKER_01：而且它一直在变得越来越好。
259 00:20:09,201 --> 00:20:11,584 说话人 SPEAKER_01：它可以看到比任何临床医生更多的数据。
260 00:20:12,105 --> 00:20:14,248 说话人 SPEAKER_01：所以最终它肯定会变得更好。
261 00:20:14,688 --> 00:20:16,130 说话人 SPEAKER_01：我只是觉得它会来得更快一些。
262 00:20:16,490 --> 00:20:21,498 说话人 SPEAKER_01：但它也擅长处理诸如整合大量患者数据之类的事情。
263 00:20:21,518 --> 00:20:25,242 说话人 SPEAKER_01：结合基因组数据，所有医疗测试的结果。
264 00:20:25,222 --> 00:20:35,618 说话人 SPEAKER_01：我的家庭医生如果看过一亿个病人，并且能记住他们所有人的信息，或者能整合他们的信息，那我会非常喜欢的。
265 00:20:36,039 --> 00:20:48,439 说话人 SPEAKER_01：所以当我带着一些奇怪的症状去的时候，医生可以立刻说出是什么，因为她已经看过在那一亿个病人中像这样的有 500 个病人了。
266 00:20:48,619 --> 00:20:50,843 说话人 SPEAKER_01：这即将到来，这将是非常惊人的。
267 00:20:51,076 --> 00:20:58,411 说话人 说话人_00: 那么医疗福利的未来是 A、看过更多病人并对其进行培训的医生。
268 00:20:58,711 --> 00:21:02,279 说话人 说话人_00: B、像分析图像这样的特定任务。
269 00:21:02,760 --> 00:21:04,284 说话人 说话人_00: 那么，关于科学突破呢？
270 00:21:04,644 --> 00:21:08,712 说话人 说话人_00: 我喜欢你们的老同事在 AlphaFold 3、AlphaFold 2 上所做的工作。
271 00:21:09,384 --> 00:21:10,707 说话人 SPEAKER_01：当然会有很多这样的。
272 00:21:10,787 --> 00:21:18,297 说话人 SPEAKER_01：这将有助于理解正在发生的事情，以及设计新药。
273 00:21:18,356 --> 00:21:21,560 说话人 SPEAKER_01：显然，这有助于设计新药。
274 00:21:21,820 --> 00:21:23,743 说话人 SPEAKER_01：我认为 Demis 现在非常相信这一点。
275 00:21:25,346 --> 00:21:28,710 说话人 SPEAKER_01：但这将帮助我们理解基础科学。
276 00:21:28,690 --> 00:21:36,318 说话人 SPEAKER_01：在许多情况下，存在大量我们进化过程中未曾处理过的数据。
277 00:21:36,338 --> 00:21:42,125 说话人 SPEAKER_01：所以这不是视觉数据，也不是声学数据，是基因组和其他数据。
278 00:21:42,906 --> 00:21:51,036 说话人 SPEAKER_01：我认为这些 AI 系统将更擅长处理大量数据，发现其中的模式并理解它们。
279 00:21:51,319 --> 00:21:57,867 说话人 SPEAKER_00：这触及了我对 AI 领域的主要批评之一，我想知道你是否也有同样的看法。
280 00:21:57,887 --> 00:22:13,445 说话人 SPEAKER_00：我明白为什么那么多研究人员以及你的一些前学生，许多领域的先驱，都在努力制造出像人类一样，甚至无法与人类区分的机器。
281 00:22:13,425 --> 00:22:22,517 说话人 SPEAKER_00：但还有很多人在尝试构建非常具体的东西，比如 AlphaFold3，或者试图弄清楚如何利用 AI 推动癌症研究。
282 00:22:23,458 --> 00:22:35,653 说话人 SPEAKER_00：你认为我感到在 AGI 方面投入了过多的关注和权重，而在具体科学效益方面关注不足，这是不是错的？
283 00:22:36,832 --> 00:22:38,634 说话人 SPEAKER_01：我认为你在这方面可能确实是对的。
284 00:22:39,035 --> 00:22:44,560 说话人 SPEAKER_01：长期以来，我认为 AGI 不会出现，不会有一个时刻这些事物会突然比我们聪明。
285 00:22:45,101 --> 00:22:47,785 说话人 SPEAKER_01：它们会在不同时间在不同的事情上比我们做得更好。
286 00:22:48,525 --> 00:22:55,733 说话人 SPEAKER_01：所以如果你玩国际象棋或围棋，显然，人类永远不可能像 AlphaGo 或 AlphaZero 那样出色。
287 00:22:56,453 --> 00:22:57,635 说话人 SPEAKER_01：他们已经远远超过我们了。
288 00:22:59,178 --> 00:23:04,864 说话人 SPEAKER_01：我们可以从他们玩游戏的方式中学到很多东西，人们也在学习这一点，但他们在这方面远远领先于我们。
289 00:23:05,012 --> 00:23:07,817 说话人 SPEAKER_01：而且在编程方面，他们可能已经远远超过了我。
290 00:23:09,299 --> 00:23:10,382 说话人 SPEAKER_01：我并不是一个很好的程序员。
291 00:23:11,763 --> 00:23:16,712 说话人 SPEAKER_01：我认为他们突然在所有事情上都变得更好这个想法很荒谬。
292 00:23:17,133 --> 00:23:22,261 说话人 SPEAKER_01：他们将在不同时间擅长不同的事情，我相信身体操作将是其中较晚的一项。
293 00:23:23,271 --> 00:23:39,752 说话人 SPEAKER_00：所以当你的前学生向你寻求项目时，你是否经常引导他们去做更多基础科学研究，推动更多发现，而不是继续追求类似人类的智能？
294 00:23:39,772 --> 00:23:44,298 说话人 SPEAKER_01：我的前学生现在都太老了，不再向我提问了。
295 00:23:46,580 --> 00:23:50,145 说话人 SPEAKER_00: 他以前的学生几乎运营着世界上所有的 AI 公司。
296 00:23:50,165 --> 00:23:52,788 说话人 SPEAKER_00: 这就像是一种微妙的方式来触及那个问题。
297 00:23:53,089 --> 00:23:53,671 说话人 SPEAKER_00: 我们就让它这样吧。
298 00:23:53,911 --> 00:23:55,392 说话人 SPEAKER_00: 那就回到 AI 的正面价值上来。
299 00:23:56,573 --> 00:24:10,866 讲者 SPEAKER_00：观察可持续发展目标，观察房间里人们的抱负，您觉得人工智能会以何种方式改变教育，从而帮助实现公平，尤其是当这些系统精通地球上每一种语言时？
300 00:24:12,028 --> 00:24:12,327 讲者 SPEAKER_01：是的。
301 00:24:13,429 --> 00:24:15,250 讲者 SPEAKER_01：那么，让我给你们讲一个小故事。
302 00:24:15,371 --> 00:24:22,017 讲者 SPEAKER_01：在我上学的时候，我父亲坚持让我学习德语，因为他认为那将是科学的语言。
303 00:24:22,789 --> 00:24:30,222 讲者 SPEAKER_01：那是因为在化学领域，我认为在上个世纪的中间部分，或者说是早期，德语是科学界的语言。
304 00:24:31,005 --> 00:24:32,227 讲者 SPEAKER_01：我的德语不是很好。
305 00:24:32,907 --> 00:24:34,270 讲者 SPEAKER_01：我在德语方面表现不佳。
306 00:24:34,852 --> 00:24:41,202 讲者 SPEAKER_01：于是我的父母为我请了一位私人教师，不久我就成为了德语课上的尖子生。
307 00:24:41,909 --> 00:24:55,944 讲者 SPEAKER_01：私人辅导比坐在教室里听老师广播要有效率得多，因为私人辅导老师能看到你具体哪里不懂，并直接给你你需要的那一点信息，让你正确理解。
308 00:24:56,786 --> 00:24:59,148 讲者 SPEAKER_01：所以我认为每个人都会请私人辅导。
309 00:24:59,489 --> 00:25:04,194 讲者 SPEAKER_01：直到现在，私人辅导一直是富人或中产阶级有抱负的人的领域。
310 00:25:06,396 --> 00:25:08,378 讲者 SPEAKER_01：从这个意义上说，这将非常有帮助。
311 00:25:08,400 --> 00:25:11,442 说话者 SPEAKER_01：我认为可汗学院也这么认为。
312 00:25:12,097 --> 00:25:13,118 说话人 SPEAKER_00：这是一件大事。
313 00:25:13,138 --> 00:25:23,670 说话人 SPEAKER_00：我的意思是，如果每个人都能拥有这些极其出色的私人导师，他们可以讲他们的语言，我们总有一天会做到的，愿上帝保佑，很快就会实现。
314 00:25:23,690 --> 00:25:25,332 说话人 SPEAKER_00：这在这里已经成为一个热门话题。
315 00:25:26,432 --> 00:25:29,316 说话人 SPEAKER_00：你没看到世界正在变得更加平等吗？
316 00:25:30,758 --> 00:25:32,078 说话人 SPEAKER_01：从这个意义上说，是的。
317 00:25:32,359 --> 00:25:36,384 说话人 SPEAKER_01：关于教育机会，我认为它将变得更加平等。
318 00:25:37,105 --> 00:25:40,147 说话人 SPEAKER_01：精英大学可能不会喜欢这一点，
319 00:25:41,173 --> 00:25:43,676 说话人 SPEAKER_01：我认为它将变得更加平等，是的。
320 00:25:43,717 --> 00:25:44,218 说话人 SPEAKER_00: 我们不在这里。
321 00:25:44,258 --> 00:25:46,000 说话人 SPEAKER_00: 我们更感兴趣的是人类的未来。
322 00:25:46,020 --> 00:25:49,125 说话人 SPEAKER_00: 这不是，你知道的，只为精英大学的 AI。
323 00:25:49,184 --> 00:25:49,986 说话人 SPEAKER_00: 这是为善的 AI。
324 00:25:50,006 --> 00:25:52,328 说话人 SPEAKER_00：我认为我们可以把这个看作是这个阶段的胜利。
325 00:25:52,970 --> 00:25:53,431 说话人 SPEAKER_00：当然。
326 00:25:53,671 --> 00:26:08,270 说话人 SPEAKER_00：但是你的回答中有一个空缺，暗示你感觉 AI 总体上不会成为促进平等的力量，反而可能成为加剧不平等的力量。
327 00:26:08,411 --> 00:26:10,354 说话人 SPEAKER_00：我解读你的回答是否错了？
328 00:26:11,431 --> 00:26:15,516 说话人 SPEAKER_01：嗯，我们生活在一个资本主义体系，资本主义体系为我们带来了很多。
329 00:26:16,237 --> 00:26:18,278 说话人 SPEAKER_01：但我们知道一些关于资本主义体系的事情。
330 00:26:18,799 --> 00:26:30,795 说话人 SPEAKER_01：如果你看看像大石油、大烟草、石棉，或者各种其他东西，我们知道在资本主义体系中，人们试图赚取利润。
331 00:26:31,675 --> 00:26:39,345 说话人 SPEAKER_01：因此你需要强有力的监管，以确保他们在追求利润的过程中，不会破坏环境，例如。
332 00:26:40,422 --> 00:26:44,788 说话人 SPEAKER_01：我们显然需要这个用于人工智能，但我们得到的速度远远不够快。
333 00:26:45,830 --> 00:26:53,824 说话人 SPEAKER_01：所以如果你看萨姆·奥特曼昨天说的话，他给人的印象是，是的，他们非常关注安全和如此等等。
334 00:26:54,364 --> 00:26:56,227 说话人 SPEAKER_01：但现在我们已经有了关于这个的实验。
335 00:26:56,708 --> 00:27:02,817 说话人 SPEAKER_01：我们看到了一个实验的结果，这个实验是把安全与利润对立起来。
336 00:27:02,798 --> 00:27:05,401 说话人 SPEAKER_01：现在实验是在相当糟糕的条件下进行的。
337 00:27:05,500 --> 00:27:15,212 说话人 SPEAKER_01：这是在所有 OpenAI 员工即将能够将纸币换成真钱的时候进行的，因为即将有一轮大融资，他们将要能够出售他们的股份。
338 00:27:15,814 --> 00:27:18,576 说话人 SPEAKER_01：所以这并不是在理想条件下进行的实验。
339 00:27:19,178 --> 00:27:21,922 说话人 SPEAKER_01：但利润和安全方面的赢家是显而易见的。
340 00:27:22,521 --> 00:27:24,704 说话人 SPEAKER_01：现在很清楚，OpenAI 拥有一个新的安全小组。
341 00:27:25,376 --> 00:27:28,881 说话人 SPEAKER_01：OpenAI 拥有的，是一个新的安全小组。
342 00:27:30,342 --> 00:27:34,326 说话人 SPEAKER_01：它雇佣了一些经济学家，至少有一位经济学家。
343 00:27:34,346 --> 00:27:36,909 说话人 SPEAKER_01：我认为经济学家是资本主义的祭司。
344 00:27:37,789 --> 00:27:46,818 说话人 SPEAKER_01：我认为它对存在性威胁的担忧远不如伊利亚和他合作的人那么大。
345 00:27:51,022 --> 00:27:53,645 说话人 SPEAKER_01：我也这么认为，
346 00:27:54,148 --> 00:27:59,663 说话人 SPEAKER_01：问题是资本主义是关于盈利的，我并不完全反对。
347 00:27:59,702 --> 00:28:08,344 说话人 SPEAKER_01：我的意思是，它为我们做了许多好事，这种推动力，但它需要得到监管，以免也造成不好的事情。
348 00:28:10,045 --> 00:28:11,207 说话人 SPEAKER_01: 创造大量财富。
349 00:28:11,788 --> 00:28:16,959 说话人 SPEAKER_01: 我认为对几乎每个人来说都很清楚，人工智能将会提高生产力。
350 00:28:17,599 --> 00:28:21,407 说话人 SPEAKER_01: 问题在于，那额外的财富将流向何方？
351 00:28:21,448 --> 00:28:24,053 说话人 SPEAKER_01: 我认为它不会流向穷人。
352 00:28:24,073 --> 00:28:25,415 说话人 SPEAKER_01: 我认为这会流向富人。
353 00:28:25,435 --> 00:28:27,941 说话人 SPEAKER_01: 所以我认为这会加剧贫富差距。
354 00:28:28,280 --> 00:28:28,982 说话人 SPEAKER_01: 我相信这一点。
355 00:28:30,365 --> 00:28:31,647 说话人 SPEAKER_00: 你没有希望吗？
356 00:28:33,400 --> 00:28:46,773 说话人 SPEAKER_00：你似乎在说 AI，它的力量，它可能因为训练这些大型语言模型所需的资源而只属于少数企业，AI 似乎与资本主义和公平不相容。
357 00:28:47,414 --> 00:29:02,951 说话人 SPEAKER_00：对于我们刚才讨论的公平和教育，每个人都能获得极其强大的机器的能力，如果不是像最昂贵的机器那样完全强大，你对此没有希望吗？
358 00:29:04,180 --> 00:29:12,672 说话人 SPEAKER_01：对此有一些希望，但在我大部分生活中，我一直认为随着人们受教育程度的提高，他们会变得更加理智。
359 00:29:13,952 --> 00:29:15,996 说话人 SPEAKER_01：但这并没有真正发生。
360 00:29:16,436 --> 00:29:22,424 Speaker SPEAKER_01: 现在看看共和党，他们只是在散播谎言，而且都是疯狂的谎言。
361 00:29:23,738 --> 00:29:27,101 Speaker SPEAKER_00: 这是一个好时机。
362 00:29:27,121 --> 00:29:28,303 Speaker SPEAKER_00: 让我们进入问题。
363 00:29:29,384 --> 00:29:33,428 Speaker SPEAKER_00: 我想探讨如何进行监管，以及您的相关想法。
364 00:29:33,907 --> 00:29:38,532 说话人 SPEAKER_00：但我还想谈谈您对人工智能发展方向的一些其他担忧。
365 00:29:39,193 --> 00:29:49,964 说话人 SPEAKER_00：您能否在这里列举一两点，不是您担心的，而是您对经济存在的担忧，以及您对未来 12 个月的担忧。
366 00:29:51,446 --> 00:29:57,214 说话人 SPEAKER_01：好的，我担心的是我对它知之甚少的东西，那就是网络犯罪。
367 00:29:58,355 --> 00:30:04,324 说话人 SPEAKER_01：我最近听了 Dawn Song 的演讲，她说去年的钓鱼攻击增加了 1200%。
368 00:30:05,164 --> 00:30:16,240 说话人 SPEAKER_01：当然，它们变得越来越好，因为你再也分辨不出它们是通过拼写错误或奇怪的语法，因为现在都是由聊天机器人完成的。
369 00:30:17,266 --> 00:30:19,009 说话人 SPEAKER_01：或者很多都是。
370 00:30:19,029 --> 00:30:21,433 说话人 SPEAKER_01：所以我对此感到担忧，但对此了解不多。
371 00:30:21,974 --> 00:30:26,443 说话人 SPEAKER_01：我非常担心的另一件事是虚假视频破坏选举。
372 00:30:27,246 --> 00:30:34,380 说话人 SPEAKER_01：我认为在每次选举前，显然会有很多假视频，因为那时没有时间来反驳它们。
373 00:30:34,781 --> 00:30:39,849 说话人 SPEAKER_01：而且我认为对公众进行假视频的预防接种是个好主意。
374 00:30:40,651 --> 00:30:41,933 说话人 SPEAKER_01：所以把它们当作一种疾病来对待。
375 00:30:41,993 --> 00:30:47,162 说话人 SPEAKER_01：而预防疾病的方法是提供一种减弱版本。
376 00:30:47,942 --> 00:30:50,326 说话人 SPEAKER_01：所以我认为
377 00:30:50,307 --> 00:30:53,109 说话人 SPEAKER_01：世界上有很多慈善的亿万富翁。
378 00:30:53,130 --> 00:30:59,718 说话人 SPEAKER_01：我认为他们应该花钱，或者至少一部分，在选举前一个月左右在广播上播出。
379 00:31:00,417 --> 00:31:03,142 说话人 SPEAKER_01：有很多非常令人信服的假视频。
380 00:31:03,162 --> 00:31:05,403 说话人 SPEAKER_01：最后他们说，但这却是假的。
381 00:31:06,085 --> 00:31:09,087 说话人 SPEAKER_01：那不是特朗普在说话，特朗普从未说过那样的话。
382 00:31:10,410 --> 00:31:13,073 说话人 SPEAKER_01：也不是拜登在说话，拜登从未说过那样的话。
383 00:31:13,432 --> 00:31:15,015 说话人 SPEAKER_01：这是一个假视频。
384 00:31:15,738 --> 00:31:18,961 说话人 SPEAKER_01：然后你会让人对几乎所有事情都产生怀疑。
385 00:31:19,522 --> 00:31:21,746 说话人 SPEAKER_01：如果到处都是假视频，这是个好主意。
386 00:31:22,626 --> 00:31:25,671 说话人 SPEAKER_01：但这样就需要一种方法让人们检查视频是否真实。
387 00:31:27,653 --> 00:31:32,318 说话人 SPEAKER_01：如果他们愿意花上 30 秒的时间，这比检查视频是否为假要容易。
388 00:31:32,960 --> 00:31:38,386 说话人 SPEAKER_01：例如，Jan Tallinn 建议，可以在每个视频的开头放置一个二维码。
389 00:31:38,406 --> 00:31:41,391 说话人 SPEAKER_01：你可以使用这个二维码访问一个网站。
390 00:31:41,624 --> 00:31:47,536 说话人 SPEAKER_01：如果网站上有相同的视频，你就知道该网站声称这个视频是真实的。
391 00:31:48,116 --> 00:31:52,967 说话人 SPEAKER_01：现在，你将视频是否真实的问题简化为网站是否真实的问题。
392 00:31:53,307 --> 00:31:54,388 说话人 SPEAKER_01: 网站是独一无二的。
393 00:31:55,050 --> 00:32:03,227 说话人 SPEAKER_01: 所以如果你确定那真的是特朗普竞选网站，那么你就知道特朗普竞选团队真的发布了那个视频。
394 00:32:03,460 --> 00:32:05,402 说话人 SPEAKER_00: 那我们能不能暂停一下？
395 00:32:05,663 --> 00:32:07,684 说话人 SPEAKER_00: 这就是为什么我喜欢采访杰弗里·辛顿（Geoffrey Hinton）的原因。
396 00:32:07,885 --> 00:32:22,243 说话人 SPEAKER_00：我们已经从关于意识的全新理论，一个关于主观感受的极具争议的理论，转变到我们应该通过播放低剂量的虚假视频来对公众进行虚假新闻的免疫接种的想法。
397 00:32:22,423 --> 00:32:26,368 说话人 SPEAKER_00：让我们先来谈谈第一部分，因为我觉得你的解决方案那里有两个部分。
398 00:32:26,890 --> 00:32:30,134 说话人 SPEAKER_00：所以第一个是让公众对虚假视频进行免疫接种。
399 00:32:30,153 --> 00:32:32,656 说话人 SPEAKER_00：所以你是说具体来说？
400 00:32:32,636 --> 00:32:42,670 说话人 SPEAKER_00: 应该有人制作数百万个短小、虚假但不太有害的视频并发布到推特帖子中吗？
401 00:32:42,971 --> 00:32:44,512 说话人 SPEAKER_01: 它们可能有一定的破坏性。
402 00:32:44,532 --> 00:32:47,696 说话人 SPEAKER_01: 除非它们看起来像真实的政治广告，否则它们不会令人信服。
403 00:32:50,140 --> 00:32:58,611 说话人 SPEAKER_01: 但在广告结束时，它们是短广告，所以你希望人们看到最后，广告结束时会说这是假的。
404 00:32:59,249 --> 00:33:01,573 说话人 SPEAKER_01：这就是让你应对的衰减。
405 00:33:01,753 --> 00:33:02,074 说话人 SPEAKER_00：我明白了。
406 00:33:02,213 --> 00:33:05,420 说话人 SPEAKER_00：所以你看，你就像，啊，这证明了我的观点。
407 00:33:05,461 --> 00:33:06,682 说话人 SPEAKER_00：哦，等等，那是假的。
408 00:33:06,903 --> 00:33:08,266 说话人 SPEAKER_00: 然后你更不信任了。
409 00:33:08,286 --> 00:33:08,665 说话人 SPEAKER_00: 我喜欢这个。
410 00:33:08,767 --> 00:33:08,987 说话人 SPEAKER_00: 好的。
411 00:33:09,126 --> 00:33:09,587 说话人 SPEAKER_00: 正确的。
412 00:33:09,828 --> 00:33:13,315 说话人 SPEAKER_00：那么第二部分是每个视频都应该有一个二维码。
413 00:33:13,635 --> 00:33:14,497 说话人 SPEAKER_00：然后你看到一些东西。
414 00:33:14,557 --> 00:33:15,880 说话人 SPEAKER_00：现在你已经知道了。
415 00:33:16,401 --> 00:33:17,983 说话人 SPEAKER_00：然后你扫描这个小二维码。
416 00:33:18,023 --> 00:33:18,965 说话人 SPEAKER_00: 你去网站。
417 00:33:19,185 --> 00:33:19,807 说话人 SPEAKER_00: 哎，是真的。
418 00:33:19,846 --> 00:33:20,788 说话人 SPEAKER_00: 它真的在网站上。
419 00:33:20,888 --> 00:33:22,471 说话人 SPEAKER_00: 那是想法吗？
420 00:33:22,451 --> 00:33:29,300 说话人 SPEAKER_01：仅仅能带你去一个真实网站是不够的，因为假视频也可能带你去同一个真实网站。
421 00:33:30,102 --> 00:33:31,744 说话人 SPEAKER_01：视频必须在那里。
422 00:33:31,765 --> 00:33:34,147 说话人 SPEAKER_01：那个网站上必须要有相同的视频。
423 00:33:34,628 --> 00:33:35,028 说话人 SPEAKER_00：公平。
424 00:33:35,730 --> 00:33:37,893 说话人 SPEAKER_00：让我们来谈谈偏见以及如何防止它们。
425 00:33:37,952 --> 00:33:43,279 说话人 SPEAKER_00：人们谈论的风险之一是，在存在偏见的训练数据上训练的人工智能系统将产生有偏见的成果。
426 00:33:44,422 --> 00:33:48,847 说话人 SPEAKER_00：让我们回到医学领域，在那里你提出了一个令人信服的论点，
427 00:33:48,827 --> 00:33:51,172 说话人 SPEAKER_00：网络人工智能将带来巨大的益处。
428 00:33:51,732 --> 00:34:05,974 说话者 SPEAKER_00：你可以想象一个刚刚接受过美国人群医疗记录培训的医生，因为他们的医疗问题、DNA 等不同，所以不能给赞比亚人提供正确的医疗建议。
429 00:34:06,435 --> 00:34:10,481 说话者 SPEAKER_00：你对这个问题有多担心？我们应该如何解决这个问题？
430 00:34:11,844 --> 00:34:17,293 说话者 SPEAKER_01：好吧，我对偏见和歧视问题不太担心，我更担心其他问题。
431 00:34:17,974 --> 00:34:22,101 说话者 SPEAKER_01：而且我知道我是一个年老的白色男性，这可能与此有关。
432 00:34:22,400 --> 00:34:23,882 说话人 SPEAKER_01：这种情况很少发生在我身上。
433 00:34:25,726 --> 00:34:28,791 说话人 SPEAKER_01：但我认为如果你设定目标
434 00:34:28,771 --> 00:34:34,561 说话人 SPEAKER_01：用不那么有偏见的系统或人去替换有偏见的系统。
435 00:34:34,581 --> 00:34:38,208 说话人 SPEAKER_01：不是无偏见的系统，而是不那么有偏见的系统。
436 00:34:38,228 --> 00:34:39,710 说话人 SPEAKER_01：这似乎完全可行。
437 00:34:40,552 --> 00:34:49,226 说话人 SPEAKER_01：如果我有所有白人决定年轻黑人女性是否应该获得抵押贷款的数据，我预计其中会有一些偏见。
438 00:34:49,206 --> 00:34:56,940 说话人 SPEAKER_01：一旦我用这些数据训练了一个 AI 系统，我实际上可以冻结权重，然后去检查偏见，这是用人类无法做到的。
439 00:34:57,641 --> 00:35:04,311 说话人 SPEAKER_01：对于人类来说，如果你试图检查他们的偏见，你会得到类似大众汽车效应的结果，他们会意识到你在检查他们，然后以完全不同的方式行事。
440 00:35:06,916 --> 00:35:10,842 说话人 SPEAKER_01：我刚发明了这个名字，“大众效应”，就是这样。
441 00:35:12,646 --> 00:35:19,577 说话人 SPEAKER_01：在使用 AI 系统时，如果你冻结权重，你可以更好地测量偏差，并采取措施克服它，改善它。
442 00:35:19,976 --> 00:35:21,539 说话人 SPEAKER_01：你永远无法完全摆脱它。
443 00:35:22,041 --> 00:35:23,141 说话人 SPEAKER_01：我觉得这太难了。
444 00:35:24,403 --> 00:35:30,353 说话人 SPEAKER_01：但是假设你使目标，使新系统比被取代的系统大大减少偏见。
445 00:35:30,813 --> 00:35:32,476 说话人 SPEAKER_01：我认为这是完全可行的。
446 00:35:32,693 --> 00:35:33,193 说话人 SPEAKER_00：了不起。
447 00:35:33,594 --> 00:35:57,755 说话人 SPEAKER_00：并且你是否觉得，在行业中关于偏见的关注，虽然是一个主要话题，但实际上这些系统可能会变得更加公正，我们实际上应该这样说，而不是说我们必须消除所有偏见，我们应该说，让我们使它们比人类更少有偏见，然后从这里开始。
448 00:35:58,951 --> 00:36:00,773 说话人 SPEAKER_01：我认为那是合理的。
449 00:36:00,932 --> 00:36:04,657 说话人 SPEAKER_01：我不认为在政治上……我不确定这是否在政治上可接受。
450 00:36:04,677 --> 00:36:07,842 说话人 SPEAKER_01：我的意思是，假设你说，我们要引入自动驾驶汽车。
451 00:36:08,461 --> 00:36:11,826 说话人 SPEAKER_01：它们在道路上杀死了很多人，但只有普通汽车的一半那么多。
452 00:36:12,547 --> 00:36:13,829 说话人 SPEAKER_01：我觉得你这么做是逃不掉的。
453 00:36:14,128 --> 00:36:16,351 说话人 SPEAKER_01：他们几乎不用为你杀人，你就能逃脱。
454 00:36:18,574 --> 00:36:24,141 所以，我认为这里存在一个政治问题，那就是以理性的方式接受新技术。
455 00:36:26,202 --> 00:36:26,764 说话人 SPEAKER_01：但是...
456 00:36:28,516 --> 00:36:33,882 说话人 SPEAKER_01：我认为我们应该追求显著减少偏见的系统，并对此感到满意。
457 00:36:34,824 --> 00:36:42,592 说话人 SPEAKER_00：好的，让我们谈谈你在采访中描述的 AI 最大的风险，那就是它们会得到次级目标，对吧？
458 00:36:42,853 --> 00:36:49,201 说话人 SPEAKER_00：以及它们会得到一个超越它们创造者或用户赋予它们的初始目标的目标。
459 00:36:49,661 --> 00:36:56,429 说话人 SPEAKER_00：解释一下 A，你认为的次级目标是什么，B，为什么那这么糟糕，以及 C，我们能做些什么来解决这个问题。
460 00:36:57,742 --> 00:37:10,762 说话人 SPEAKER_01：所以一个无害的子目标就是，如果我想让一个 AI 代理为我规划一次旅行，我会说，你必须把我带到北美，假设我在欧洲，我会说，你必须把我带到北美。
461 00:37:11,543 --> 00:37:15,550 说话人 SPEAKER_01：所以它的子目标就是想出如何把我带到机场。
462 00:37:16,356 --> 00:37:18,400 说话人 SPEAKER_01：这只是一个典型的子目标。
463 00:37:19,143 --> 00:37:22,349 说话人 SPEAKER_01：如果你想要制作智能代理，它们必须要有这样的子目标。
464 00:37:22,690 --> 00:37:27,902 说话人 SPEAKER_01：他们必须能够专注于问题的一个小部分，并解决它，而不必担心其他一切。
465 00:37:29,231 --> 00:37:38,364 说话人 SPEAKER_01：现在，一旦你有一个可以创建自己的子目标的系统，就有一个非常有帮助的特定子目标。
466 00:37:38,824 --> 00:37:41,329 说话人 SPEAKER_01：这个子目标就是获得更多控制。
467 00:37:42,070 --> 00:37:46,996 说话人 SPEAKER_01：如果我获得更多控制，我就能更好地完成用户希望我做的各种事情。
468 00:37:47,777 --> 00:37:49,760 说话人 SPEAKER_01：所以，获得更多控制权是理所当然的。
469 00:37:51,222 --> 00:37:53,264 说话人 SPEAKER_01：而且，我们担心的是，
470 00:37:54,088 --> 00:38:01,318 说话人 SPEAKER_01：最终，一个 AI 系统会意识到，如果我能控制一切，我就可以给这些愚蠢的人类他们想要的东西，而他们却没有任何控制权。
471 00:38:02,380 --> 00:38:05,103 说话人 SPEAKER_01：这可能确实是正确的。
472 00:38:06,286 --> 00:38:15,117 说话人 SPEAKER_01：但是，担心的是，如果 AI 系统决定它对自己比对人类更感兴趣，那我们就完了。
473 00:38:15,958 --> 00:38:20,146 说话人 SPEAKER_00：实际上，在我们完蛋之前，正如你描述的那样，我已经非常担心了。
474 00:38:20,166 --> 00:38:23,490 说话人 SPEAKER_00：所以，你有一个 AI，目标是让尼克准时到达机场。
