1 00:00:00,031 --> 00:00:01,993 说话人 SPEAKER_04: 好吧。
240 00:18:16,467 --> 00:18:24,558 说话者 SPEAKER_04：所以你没有说，哦，它就像你说的那样，是一个较不智能的系统控制着一个更智能的系统。
241 00:18:24,920 --> 00:18:31,990 说话者 SPEAKER_04：那是因为你误解了，这是一个汇聚了人类知识，就像股市之类的工具。
242 00:18:32,170 --> 00:18:32,671 说话者 SPEAKER_04：你会说什么？
243 00:18:33,412 --> 00:18:35,414 Speaker SPEAKER_05: 你是说股市比我们更聪明吗？
244 00:18:35,935 --> 00:18:39,381 Speaker SPEAKER_04: 你可以想象有人会提出这样的论点，我不知道。
245 00:18:39,520 --> 00:18:41,984 Speaker SPEAKER_05: 嗯，这好像就是它在控制我们一样，不是吗？
246 00:18:44,210 --> 00:18:50,183 Speaker SPEAKER_05: 我今天早上醒来，看了看我的谷歌股票走势。
247 00:18:50,204 --> 00:18:51,351 说话人 SPEAKER_05: 它控制了我。
248 00:18:55,516 --> 00:19:00,584 说话人 SPEAKER_03: 所以是的，这与主观体验线程有关。
249 00:19:01,125 --> 00:19:12,221 说话人 SPEAKER_03：我很想知道，当越来越多的人相信人工智能拥有主观体验或真正的欲望，或者它们理应得到更多考虑时，这些问题会如何改变。
250 00:19:12,241 --> 00:19:13,123 说话人 SPEAKER_05：他们会更加害怕。
251 00:19:13,784 --> 00:19:22,958 说话人 SPEAKER_05：因为大多数人，对于大多数人来说，对于公众来说，他们认为机器和有主观经验的事物，就像我们，之间存在一条明确的界限。
252 00:19:22,938 --> 00:19:24,981 说话人 SPEAKER_05：而这些机器没有主观性。
253 00:19:25,041 --> 00:19:27,186 说话人 SPEAKER_05：它们可能模仿主观经验。
254 00:19:27,207 --> 00:19:28,489 说话人 SPEAKER_05：但它们实际上并没有。
255 00:19:29,089 --> 00:19:33,018 说话人 SPEAKER_05：这是因为我们有一个关于主观体验的模型，有一个内在的剧院。
256 00:19:33,578 --> 00:19:36,766 说话人 SPEAKER_05：内在剧院中的这些事物才是你真正看到的。
257 00:19:37,166 --> 00:19:38,209 说话人 SPEAKER_05：这个模型只是垃圾。
258 00:19:39,431 --> 00:19:41,335 说话人 SPEAKER_05：这个模型愚蠢得就像上帝创造世界一样。
259 00:19:42,242 --> 00:19:43,424 说话人 SPEAKER_03：一个快速跟进的问题。
260 00:19:43,444 --> 00:19:52,636 说话人 SPEAKER_03：在我看来，人们可能会更加害怕，但也许人们也会更加有同情心，或者认为人工智能应该拥有权利和类似的东西。
261 00:19:52,696 --> 00:19:52,938 说话人 SPEAKER_03: 是的。
262 00:19:53,258 --> 00:19:59,787 说话人 SPEAKER_05: 所以有一件事我没有提到，因为我认为这没有帮助，那就是讨论人工智能的权利问题。
263 00:20:02,109 --> 00:20:04,733 说话人 SPEAKER_05: 此外，我有点吃动物。
264 00:20:05,855 --> 00:20:07,778 说话人 SPEAKER_05: 我让别人来杀死它们。
265 00:20:08,534 --> 00:20:09,737 说话人 SPEAKER_05：实际上，他们无论如何都会杀掉他们的。
266 00:20:11,259 --> 00:20:15,288 说话人 SPEAKER_05：但我吃动物是因为对我来说人更重要。
267 00:20:16,330 --> 00:20:24,146 说话者 SPEAKER_05：我认为这不是一个棘手的问题，但如果它们比我们更聪明，你会站在它们一边还是站在人类一边？
268 00:20:25,307 --> 00:20:26,450 说话者 SPEAKER_05：对我来说并不明显。
269 00:20:26,470 --> 00:20:33,760 说话者 SPEAKER_05：如果你认为道德是物种依赖的，那么站在人类一边并不明显是错误的。
270 00:20:36,464 --> 00:20:40,590 说话者 SPEAKER_05：但如果你想讨论航空安全问题，我认为这是一个最好避免的问题。
271 00:20:40,951 --> 00:20:43,355 说话人 SPEAKER_05：因为它让你接触到许多其他事物。
272 00:20:43,875 --> 00:20:45,577 说话人 SPEAKER_05：而且你似乎越来越不可靠。
273 00:20:46,282 --> 00:20:56,866 说话人 SPEAKER_07：我很好奇你最近最感兴趣或认为最有说服力的减少 AI 系统风险的方法有哪些。
274 00:20:57,910 --> 00:20:59,992 说话人 SPEAKER_05：我希望我能回答这个问题。
275 00:21:00,433 --> 00:21:08,125 说话人 SPEAKER_05：所以对于气候变化，例如，停止燃烧碳，或者可能捕获大量碳。
276 00:21:08,146 --> 00:21:11,972 说话人 SPEAKER_05：但我认为那是一个老公司的阴谋，为了分散你的注意力，他们才能生产它。
277 00:21:12,554 --> 00:21:13,515 说话人 SPEAKER_05: 停止燃烧碳。
278 00:21:13,535 --> 00:21:14,836 说话人 SPEAKER_05: 从长远来看，一切都会好起来。
279 00:21:14,856 --> 00:21:15,478 说话人 SPEAKER_05：需要一段时间。
280 00:21:16,019 --> 00:21:17,501 说话人 SPEAKER_05：那里有非常简单的解决方案。
281 00:21:17,521 --> 00:21:20,465 说话人 SPEAKER_05：这全在于阻止人们做坏事。
282 00:21:21,407 --> 00:21:22,450 说话人 SPEAKER_05：但我们知道如何解决这个问题。
283 00:21:23,131 --> 00:21:24,593 说话人 SPEAKER_05：这里，我们不做。
284 00:21:24,573 --> 00:21:27,598 说话人 SPEAKER_05：我的意思是，等价的做法是停止开发人工智能。
285 00:21:28,441 --> 00:21:39,103 说话人 SPEAKER_05：我认为这可能是在这个时刻人类做出的一个理性决定，但我认为他们没有机会做出这个决定，因为国家之间存在竞争，而且它有太多好的用途。
286 00:21:39,403 --> 00:21:40,826 说话人 SPEAKER_05：对于原子弹，
287 00:21:40,807 --> 00:21:42,769 说话人 SPEAKER_05：实际上并没有那么多好的用途。
288 00:21:43,632 --> 00:21:45,575 说话人 SPEAKER_05：它们主要是用来炸东西。
289 00:21:45,595 --> 00:21:48,680 说话人 SPEAKER_05：尽管美国尽力了。
290 00:21:48,980 --> 00:21:55,632 说话人 SPEAKER_05：所以在 60 年代，他们有一个关于核弹和平用途的项目。
291 00:21:56,673 --> 00:21:59,218 说话人 SPEAKER_05：这项资金已经到位。
292 00:21:59,278 --> 00:22:03,403 说话人 SPEAKER_05：他们曾在科罗拉多州用于页岩气开采。
293 00:22:04,506 --> 00:22:07,371 说话人 SPEAKER_05：结果发现，你再也不想再去科罗拉多州的那部分地区了。
294 00:22:10,422 --> 00:22:13,226 说话人 SPEAKER_05：我知道这个情况是因为火车离那里很近。
295 00:22:13,445 --> 00:22:14,748 附近没有道路。
296 00:22:15,209 --> 00:22:16,310 但是火车开得很近。
297 00:22:16,351 --> 00:22:22,940 在从芝加哥到旧金山的火车上，曾经有一位导游在扩音器上做广播。
298 00:22:23,741 --> 00:22:28,709 她说，我们现在大约在西距核弹用于压裂的地方30英里处。
299 00:22:31,192 --> 00:22:33,375 说话人 SPEAKER_05：但这就是核能的合理用途了。
300 00:22:33,536 --> 00:22:36,160 说话人 SPEAKER_05：也许再挖一条运河之类的。
301 00:22:37,539 --> 00:22:38,740 说话人 SPEAKER_05：人工智能与那非常不同。
302 00:22:39,781 --> 00:22:41,144 说话人 SPEAKER_05：大部分用途都是合理的。
303 00:22:41,183 --> 00:22:42,644 说话人 SPEAKER_05：他们正在赋权于人们。
304 00:22:43,746 --> 00:22:47,009 说话人 SPEAKER_05：现在每个人都可以有自己的律师了。
305 00:22:48,211 --> 00:22:49,050 说话人 SPEAKER_05：而且这并不花费很多。
306 00:22:50,132 --> 00:22:51,773 说话人 SPEAKER_05：我不确定这能帮助法律系统。
307 00:22:51,814 --> 00:22:56,157 说话人 SPEAKER_05：但是，对于医疗保健，每个人很快就能有自己的医生。
308 00:22:56,499 --> 00:22:58,840 说话人 SPEAKER_05：这对老年人来说非常有用。
309 00:22:59,741 --> 00:23:02,805 说话人 SPEAKER_05：所以，他们不会停止。
310 00:23:04,574 --> 00:23:05,315 说话人 SPEAKER_05：所以我们不能。
311 00:23:06,355 --> 00:23:09,919 说话人 SPEAKER_05：我知道避免生存威胁的唯一方法就是阻止它。
312 00:23:11,180 --> 00:23:15,023 说话人 SPEAKER_05：我没有签署要求减缓的请愿书，因为我认为没有机会。
313 00:23:17,986 --> 00:23:18,287 说话人 SPEAKER_05：对不起。
314 00:23:22,810 --> 00:23:25,492 说话人 SPEAKER_05：现在，我应该说，这并不意味着人们不应该尝试。
315 00:23:25,534 --> 00:23:28,336 说话人 SPEAKER_05: 我认为 Beth 所做的事情是一次很好的尝试。
316 00:23:30,018 --> 00:23:31,459 说话人 SPEAKER_05: 这会让他们慢下来一会儿。
317 00:23:33,093 --> 00:23:35,055 说话人 SPEAKER_10: 好的，太棒了。
318 00:23:35,075 --> 00:23:39,638 说话人 SPEAKER_10: 是的，我想通过提问稍微反驳一下你刚才说的。
319 00:23:39,759 --> 00:23:52,211 说话人 SPEAKER_10: 我认为现在世界上存在一个不幸的动态，很多人都有这种感觉，是的，我们可能应该放慢脚步，但我没有采取任何行动，因为没有希望。
320 00:23:53,452 --> 00:24:02,121 说话人 SPEAKER_10: 如果每个人都集体认为，我们应该停下来，放慢脚步，我认为这是会发生的，大家都会这样。
321 00:24:02,101 --> 00:24:03,383 说话人 SPEAKER_10: 是的，这是理性的事情去做。
322 00:24:03,403 --> 00:24:05,486 说话人 SPEAKER_05: 包括美国国防部在内吗？
323 00:24:06,287 --> 00:24:10,211 说话人 SPEAKER_10: 我认为如果每个人都这样做，包括他们，那么就不会发生。
324 00:24:10,251 --> 00:24:11,032 说话人 SPEAKER_10: 是的，那样我们就可以做了。
325 00:24:11,053 --> 00:24:11,453 说话人 SPEAKER_10: 嗯，没错。
326 00:24:12,935 --> 00:24:15,720 说话人 SPEAKER_05: 那就像亚利桑那州的氟利昂一样，对吧？
327 00:24:15,779 --> 00:24:16,119 说话人 SPEAKER_10: 当然，是的。
328 00:24:16,520 --> 00:24:23,130 说话人 SPEAKER_10: 我的问题是，您是否认为这种情况会发生，而且无法阻止，所以我不打算采取任何行动，这能帮助我们共同决定停止吗？
329 00:24:24,915 --> 00:24:37,476 说话人 SPEAKER_10: 这是不是意味着，您认为这种情况会发生，而且无法阻止，所以您不打算采取任何行动，这是否有助于我们共同决定停止？
330 00:24:38,156 --> 00:24:44,346 说话人 SPEAKER_10: 或者，实际上，您对任何形式的集体行动都不感兴趣？
331 00:24:45,288 --> 00:24:49,994 说话人 SPEAKER_05: 不，我对，我认为我们应该尽我们所能来阻止
332 00:24:51,038 --> 00:24:53,941 说话人 SPEAKER_05: 存在性威胁，并减轻所有其他威胁。
333 00:24:54,161 --> 00:24:55,261 说话人 SPEAKER_05: 我认为我们应该尽我们所能。
334 00:24:56,262 --> 00:24:59,385 说话人 SPEAKER_05: 但我把自己看作是一名科学家，而不是一名政治家。
335 00:25:00,287 --> 00:25:03,750 说话人 SPEAKER_05: 因此，我认为我的角色就是说出我认为的事情。
336 00:25:04,010 --> 00:25:16,843 说话人 SPEAKER_05: 尤其是我想说服怀疑者，存在一种生存威胁，让人们认真对待并尝试做些什么，尽管我对他们能否做到这一点相当悲观。
337 00:25:25,902 --> 00:25:36,878 说话人 SPEAKER_00: 嗯，在这个问题上，我想知道，具体来说，你有什么打算去做，可以帮助说服怀疑者，并且推广这个话题？
338 00:25:36,919 --> 00:25:48,957 说话人 SPEAKER_00: 像是，我不知道是否是特定的政治家，如果你能和他们谈谈，帮助通过一些特定的立法，或者媒体露面，或者提供咨询或支持某些事物，那会很有帮助。
339 00:25:48,936 --> 00:25:49,877 说话人 SPEAKER_05: 所有这些事情。
340 00:25:50,159 --> 00:25:50,398 说话人 SPEAKER_00: 好的。
341 00:25:50,839 --> 00:25:55,945 说话人 SPEAKER_05: 所以，我意思是，去年，显然，我参与了很多媒体采访，因为我认为这会有帮助。
342 00:25:57,208 --> 00:25:58,910 说话人 SPEAKER_05: 还因为我喜欢出现在电视上。
343 00:25:59,932 --> 00:26:15,972 说话人 SPEAKER_05: 我现在正在做的一件事是，有一位纪录片制作人正在制作关于人工智能历史的纪录片，聚焦于人工智能历史上的各种人物，可能包括现在有点疯狂的杨，但他仍然是我的朋友。
344 00:26:15,952 --> 00:26:19,236 说话人 SPEAKER_05: 还有我和其他一些人。
345 00:26:20,218 --> 00:26:23,040 说话人 SPEAKER_05：纪录片可以产生很大的影响。
346 00:26:23,961 --> 00:26:27,605 说话人 SPEAKER_05：所以如果你是个亿万富翁，你可以资助一部纪录片。
347 00:26:28,747 --> 00:26:34,332 说话人 SPEAKER_05：所以对于气候变化，阿尔·戈尔的纪录片产生了重大影响，对吧？
348 00:26:35,493 --> 00:26:37,256 说话人 SPEAKER_00：我们是人工智能安全的戴维·阿滕伯勒。
349 00:26:42,780 --> 00:26:44,323 说话人 SPEAKER_05: 我还没有那么老。
350 00:26:48,032 --> 00:26:52,557 说话人 SPEAKER_05: 他是我的英雄，所以谢谢您。
351 00:26:53,680 --> 00:26:54,381 说话人 SPEAKER_09: 好了。
352 00:26:54,401 --> 00:26:55,662 说话人 SPEAKER_09: 在这个话题上，我有点好奇。
353 00:26:56,383 --> 00:26:58,905 说话人 SPEAKER_09：我们之前稍微谈了一些正在进行的政策问题。
354 00:26:58,925 --> 00:27:04,712 说话人 SPEAKER_09：我很想知道，你是否认为自己正在提高对这些问题的认识并说服怀疑者。
355 00:27:04,973 --> 00:27:09,878 说话人 SPEAKER_09：但是你认为那些支持这一政策的人扮演什么角色？
356 00:27:10,119 --> 00:27:12,182 说话人 SPEAKER_09：你希望人们去哪里？
357 00:27:12,301 --> 00:27:15,306 说话人 SPEAKER_09：如果他们不那么怀疑，你希望他们做些什么？
358 00:27:15,978 --> 00:27:19,001 我认为他们应该有具有牙齿的法规。
359 00:27:20,044 --> 00:27:25,731 我认为他们应该有不含此类条款的法规，即这些规定不适用于军事用途。
360 00:27:26,874 --> 00:27:28,455 所以看看欧洲的法规。
361 00:27:28,757 --> 00:27:33,763 说话人 SPEAKER_05：我没有带着我的 GPT-4，所以无法告诉你行政命令的内容。
362 00:27:33,824 --> 00:27:38,069 说话人 SPEAKER_05：但我敢打赌行政命令说它也不适用于军事用途。
363 00:27:40,362 --> 00:27:41,163 说话人 SPEAKER_05：是的。
364 00:27:41,924 --> 00:27:45,752 说话人 SPEAKER_05：一旦你看到为军事用途制定的条款，你就知道他们并不认真。
365 00：27：45,853 --> 00：27：49,922 议长 SPEAKER_05：他们很乐意监管这些公司，但他们不想监管自己。
366 00：27：52,527 --> 00：27：54,912 演讲者 SPEAKER_09：你说牙齿的时候，你指的是什么样的牙齿？
所以，例如，如果你在尝试，我的意思是，如果你足够明智，会说开源代码与发布权重非常不同。
因为如果你开源训练代码，你仍然需要十亿美元来训练一个大型模型。
369 00:28:15,516 --> 00:28:17,440 说话人 SPEAKER_05：如果你开源权重，
370 00:28:18,432 --> 00:28:21,498 说话人 SPEAKER_05：你无法获得开源的正常优势。
371 00:28:21,518 --> 00:28:23,621 说话人 SPEAKER_05：你不会进去查看权重，然后说，哦，这个是错的。
372 00:28:25,925 --> 00:28:27,909 说话人 SPEAKER_05：所以这就是开源代码的优势，对吧？
373 00:28:27,949 --> 00:28:28,631 说话人 SPEAKER_05：这种情况不会发生。
374 00:28:29,251 --> 00:28:39,309 说话人 SPEAKER_05：你得到的是，罪犯们可以对其进行微调以用于网络钓鱼，他们显然已经这样做了，因为去年增长了 1200%。
375 00:28:41,095 --> 00:28:49,320 说话人 SPEAKER_05：我认为说禁止开启大于一定大小的权重模型是非法的会很好。
376 00:28:49,701 --> 00:28:51,386 说话人 SPEAKER_05：如果你这样做，我们将对你提起公诉。
377 00:28:52,951 --> 00:28:54,817 说话人 SPEAKER_05：这是我希望看到的法规。
378 00:28:56,147 --> 00:28:58,733 说话人 SPEAKER_04：我想快速跟进一下。
379 00:28:59,134 --> 00:29:02,301 说话人 SPEAKER_04：我知道你说过支持 Scott Mears SB 1047。
380 00:29:02,721 --> 00:29:06,691 说话人 SPEAKER_04：还有其他立法努力吗？你经常四处旅行公开演讲。
381 00:29:07,413 --> 00:29:10,278 说话人 SPEAKER_04：你去华盛顿特区告诉人们这件事吗？
382 00:29:10,298 --> 00:29:11,682 说话人 SPEAKER_04：还是你花时间在哪里？
383 00:29:11,923 --> 00:29:15,269 说话人 SPEAKER_05：不，我实际上并不经常旅行，因为我有飞行问题。
384 00:29:17,123 --> 00:29:19,906 说话人 SPEAKER_05：我不，是的，你看，我年纪大了。
385 00:29:20,689 --> 00:29:21,890 说话人 SPEAKER_05：我想退休。
386 00:29:23,071 --> 00:29:28,441 说话人 SPEAKER_05：当我离开谷歌时，我离开谷歌是因为我想退休，而不是因为我想要公开讲话。
387 00:29:28,681 --> 00:29:31,025 说话人 SPEAKER_05：但我认为，这是一个公开讲话的机会。
388 00:29:31,045 --> 00:29:36,532 说话人 SPEAKER_05：所以我想，我刚刚提到这些事情将会让我们都丧命。
389 00:29:36,512 --> 00:29:42,280 说话人 SPEAKER_05：我当时有点惊讶，每两分钟就收到一封邮件。
390 00:29:44,324 --> 00:29:46,086 说话人 SPEAKER_05：但这并不是我的本意。
391 00:29:46,126 --> 00:29:47,188 说话人 SPEAKER_05：也许我并不是很周到。
392 00:29:48,951 --> 00:29:51,013 说话人 SPEAKER_05：我想，这会过去的，然后我就可以退休了。
393 00:29:51,734 --> 00:29:53,837 说话人 SPEAKER_05：所以这仍然是我的意图。
394 00:29:56,642 --> 00:29:59,224 说话人 SPEAKER_05：所以人们认为我是一种人工智能安全。
395 00:29:59,346 --> 00:30:01,469 说话人 SPEAKER_05：我并不是人工智能安全专家。
396 00:30:02,410 --> 00:30:05,894 说话人 SPEAKER_05：我只是不相信它们是安全的。
397 00:30:14,431 --> 00:30:14,691 说话人 SPEAKER_12: 嗯。
398 00:30:14,872 --> 00:30:17,815 说话人 SPEAKER_12: 好奇你，你刚才说你不是 AI 安全专家。
399 00:30:17,835 --> 00:30:23,061 说话人 SPEAKER_12: 你刚才说你不是 AI 安全专家，但我的意思是，在某些方面，我不知道是否有人是，或者某种东西。
400 00:30:23,563 --> 00:30:30,550 说话人 SPEAKER_12: 嗯，在构建比我们更聪明的系统之前，我们需要得到好的答案。
401 00:30:31,192 --> 00:30:35,498 说话人 SPEAKER_12: 像是，像是，如果政府来找你说，现在安全吗？
402 00:30:35,597 --> 00:30:36,980 说话人 SPEAKER_12: 我们实际上解决了正确的问题吗？
403 00:30:37,019 --> 00:30:38,080 说话人 SPEAKER_12: 像是，那些是什么？
404 00:30:39,383 --> 00:30:39,762 说话人 SPEAKER_05: 嗯，
405 00:30:41,734 --> 00:30:50,528 说话人 SPEAKER_05：我认为我们需要更多了解这些事物是否会受到进化的影响，例如。
406 00:30:51,229 --> 00:30:58,740 说话人 SPEAKER_05：如果你要得到多个不同的超级智能，如果进化介入，那么我认为我们真的麻烦了。
407 00:30:58,759 --> 00:31:10,037 说话人 SPEAKER_05：所以，例如，如果我们知道超级智能中能够控制更多数据中心的那一个可以更快地训练，学到更多并变得更聪明。
408 00:31:10,017 --> 00:31:20,184 说话人 SPEAKER_05：所以如果某个超级智能说，哦，我希望有更多像我这样的副本，即使只是为了变得更聪明，你也会得到进化。
409 00:31:20,486 --> 00:31:24,718 说话人 SPEAKER_05：那个更积极地复制自己的将会打败其他。
410 00:31:25,255 --> 00:31:26,798 说话人 SPEAKER_05：这将是一个非常坏的消息。
411 00:31:26,877 --> 00:31:30,305 说话人 SPEAKER_05：我希望有一种保证，进化不会介入。
412 00:31:31,185 --> 00:31:34,833 说话人 SPEAKER_05：然后我想知道你将如何阻止它。
413 00:31:35,755 --> 00:31:37,759 说话人 SPEAKER_05：你必须给它赋予创建子目标的能力。
414 00:31:37,979 --> 00:31:47,297 说话人 SPEAKER_05：那么问题来了，你如何防止它说，嗯，一个非常好的子目标就是获得更多的控制权，因为这样我就能做人们希望我做的一切，而且我能做得更好。
415 00:31:48,509 --> 00:31:56,098 说话人 SPEAKER_05：我曾经对欧盟一位专门从谷歌那里捞钱的副总裁说过这样的话。
416 00:31:58,481 --> 00:32:03,710 说话人 SPEAKER_08：钱就在那里，对吧？
417 00:32:03,730 --> 00:32:06,613 说话人 SPEAKER_05: 她说，嗯，那他们为什么不呢？
418 00:32:06,653 --> 00:32:07,674 说话人 SPEAKER_05: 我们把它搞得一团糟。
419 00:32:11,619 --> 00:32:15,566 说话人 SPEAKER_04: 你能看出什么具体的东西，让你觉得问题已经解决了吗？
420 00:32:15,625 --> 00:32:17,367 说话人 SPEAKER_04: 这是一个更广泛的问题。
421 00:32:17,550 --> 00:32:21,076 说话者 SPEAKER_05：是的，有些事情会让我觉得问题的一部分得到了解决。
422 00:32:21,096 --> 00:32:27,948 说话者 SPEAKER_05：任何证明它不会做某事的证据，我对在那里得到证明非常悲观，因为这是一个神经网络。
423 00:32:28,829 --> 00:32:35,059 说话者 SPEAKER_05：它训练后的状态取决于训练数据的性质。
424 00:32:35,740 --> 00:32:39,426 说话者 SPEAKER_05：因此，你不能仅仅通过查看网络的架构和训练算法来了解它的状态。
425 00:32:39,487 --> 00:32:43,153 说话人 SPEAKER_05：你必须对训练数据了如指掌，才能知道会发生什么。
426 00:32:43,133 --> 00:32:49,770 说话人 SPEAKER_05：所以，如果有任何证据，那会很好，但我认为我们永远也得不到那个证据。
427 00:32:50,613 --> 00:32:54,442 说话人 SPEAKER_05：如果你能以某种方式
428 00:32:56,768 --> 00:33:01,354 说话人 SPEAKER_05：理解它从未有过任何自我。
429 00:33:02,295 --> 00:33:04,458 说话人 SPEAKER_05：它从不想要有更多的自己副本。
430 00:33:04,597 --> 00:33:12,248 说话人 SPEAKER_05：它非常乐意成为一个非常愚蠢的 CEO 的非常聪明的行政助理。
431 00:33:12,268 --> 00:33:13,750 说话人 SPEAKER_05：它在那个角色中非常满足。
432 00:33:16,133 --> 00:33:17,253 说话人 SPEAKER_05：这就是我们想要的，对吧？
433 00:33:17,875 --> 00:33:22,942 说话人 SPEAKER_05：这里有一个很好的场景，那就是我们都可以拥有比我们更聪明的行政助理。
434 00:33:23,662 --> 00:33:25,644 说话人 SPEAKER_05：然后我们就可以闲逛讲笑话。
435 00:33:28,122 --> 00:33:33,446 说话人 SPEAKER_05：但我看不出你怎么能证明它永远不会想要接管。
436 00:33:34,067 --> 00:33:39,011 说话人 SPEAKER_04：那么，你是怎么考虑在那个背景下权力集中的问题的？
437 00:33:40,272 --> 00:33:45,317 说话者 SPEAKER_04：或者如果有人走到你面前说，哦，如果你反对权力集中，那么开源怎么办？
438 00:33:45,376 --> 00:33:46,617 说话者 SPEAKER_04：或者你为什么反对开源？
439 00:33:50,102 --> 00:33:51,502 说话者 SPEAKER_05：我反对开源。
440 00:33:51,522 --> 00:33:52,963 说话者 SPEAKER_05：是的，这是一个好问题。
441 00:33:54,144 --> 00:33:56,307 说话人 SPEAKER_05：因为它往往与权力集中相悖。
442 00:33:57,011 --> 00:34:00,575 说话人 SPEAKER_05：但现在它与所有网络犯罪分子分享权力。
443 00:34:01,175 --> 00:34:01,776 说话人 SPEAKER_05：这就是问题所在。
444 00:34:02,757 --> 00:34:08,342 说话人 SPEAKER_05：所以如果你开源权重，微调就非常容易。
这意味着，你可以花大约10万美元对其进行微调，而最初训练它可能需要花费10亿美元。
446 00：34：14,487 --> 00：34：17,230 议长 SPEAKER_05：所以网络犯罪分子现在可以用它做各种事情。
所以，它成为目前拥有真正危险事物的最大障碍，是因为训练需要很长时间。
448 00:34:25,737 --> 00:34:27,018 说话者 SPEAKER_05：它消除了那个障碍。
449 00:34:26,998 --> 00:34:33,211 说话人 SPEAKER_05：如果不是那样，我可能会支持开源文献。
450 00:34:34,001 --> 00:34:53,914 说话人 SPEAKER_02：我想了解一下，如果假设 AI 的发展轨迹大致如迄今为止一样，并且应用的安全技术没有发生巨大变化。
451 00:34:53,974 --> 00:35:00,364 说话人 SPEAKER_02：我们进行 RLHF，进行一些红队测试，
452 00:35:00,344 --> 00:35:11,579 说话人 SPEAKER_02：然后我们得到一些系统能够，我这里就作为一个基准，然后能够从那里继续进行 AI 研发工作。
453 00:35:12,019 --> 00:35:21,373 说话人 SPEAKER_02：那些系统实际上不会以我们的最佳利益为出发点，你的概率是多少？
454 00:35:21,505 --> 00:35:22,025 说话人 SPEAKER_05：PDoom？
455 00:35:22,146 --> 00:35:22,987 说话人 SPEAKER_05：你想要我的 PDoom 吗？
456 00:35:23,608 --> 00:35:24,829 说话人 SPEAKER_02：我认为这是一个子问题。
457 00:35:25,510 --> 00:35:27,713 说话人 SPEAKER_02：您可能从其他来源期待《毁灭战士》。
458 00:35:27,954 --> 00:35:30,478 说话人 SPEAKER_02：我更多是在谈论类似 P 失配的问题。
459 00:35:32,380 --> 00:35:32,960 说话人 SPEAKER_05：相当高。
460 00:35:33,481 --> 00:35:37,708 说话人 SPEAKER_05：我认为 RLHF 是一堆垃圾。
461 00:35:38,148 --> 00:35:41,673 说话人 SPEAKER_05：你设计了一款庞大的软件
462 00:35:42,210 --> 00:35:45,115 说话人 SPEAKER_05：里面充斥着数不尽的 bug。
463 00:35:45,797 --> 00:35:53,608 说话人 SPEAKER_05：然后你说，我要做的是，我要逐一排查，把每个漏洞都堵上。
464 00:35:54,269 --> 00:35:56,652 说话人 SPEAKER_05：这根本不可能。
465 00:35:57,134 --> 00:35:59,036 说话人 SPEAKER_05：我们都知道这不是你设计软件的方式。
466 00:35:59,398 --> 00:36:01,981 说话人 SPEAKER_05：你设计它，以便有一些保证。
467 00:36:05,106 --> 00:36:07,289 说话人 SPEAKER_05：所以我认为
468 00:36:09,193 --> 00:36:15,405 说话人 SPEAKER_05：假设你有一辆汽车，它满是小洞和生锈，而你又想卖掉它。
469 00:36:16,949 --> 00:36:19,253 说话人 SPEAKER_05：你所做的是进行一次喷漆工作。
470 00:36:19,273 --> 00:36:20,576 说话人 SPEAKER_05：这就是 RNHF。
471 00:36:20,596 --> 00:36:22,398 说话人 SPEAKER_05：那是一个喷漆工作。
472 00:36:22,418 --> 00:36:23,702 说话人 SPEAKER_05：它并不是真正在修复它。
473 00:36:24,603 --> 00:36:28,030 说话人 SPEAKER_05：因为这只是喷漆，所以很容易撤销。
474 00:36:28,010 --> 00:36:36,246 说话人 SPEAKER_05：我认为，令人惊讶的是，这其中的奇妙之处，就是不需要很多例子就能让行为看起来相当不同。
475 00:36:37,911 --> 00:36:38,793 说话人 SPEAKER_05：但这是喷漆。
476 00:36:39,514 --> 00:36:44,885 说话人 SPEAKER_05：如果你有一辆生锈的老车，用喷漆来修复并不是办法。
477 00:36:44,905 --> 00:36:48,532 说话人 SPEAKER_05：这就是我持有的一种具有一定技术内容但不多的一种信念。
478 00:37:00,561 --> 00:37:06,807 说话人 SPEAKER_01：嗯，看起来人们对这些 AI 系统所呈现的风险评估可能相当不同。
479 00:37:07,471 --> 00:37:09,981 说话人 SPEAKER_01：我想知道您对以下观点或感受有何看法，
480 00:37:10,264 --> 00:37:17,353 说话人 SPEAKER_01：什么样的知识或实证数据或演示有助于在风险问题上达成共识？
481 00:37:17,393 --> 00:37:17,594 说话人 SPEAKER_05: 对。
482 00:37:18,295 --> 00:37:24,181 说话人 SPEAKER_05: 所以我认为时间，哦，让我看看我是否能说出我听到的你说的那些小片段。
483 00:37:25,242 --> 00:37:27,525 说话人 SPEAKER_05: 人们对于风险的估计非常不同。
484 00:37:28,407 --> 00:37:30,989 说话人 SPEAKER_05: 那种经验数据能改变这种看法吗？
485 00:37:30,969 --> 00:37:38,545 说话人 SPEAKER_05：好吧，首先，有些人像严一样认为它是零。
486 00:37:38,764 --> 00:37:41,951 说话人 SPEAKER_05：有些人像雅可夫斯基一样认为它是 99.999。
487 00:37:42,833 --> 00:37:46,380 说话人 SPEAKER_05：这两种观点在我看来都是完全荒谬的。
488 00:37:46,360 --> 00:38:00,047 说话人 SPEAKER_05：单独来看是荒谬的，但也是荒谬的，因为如果有一大批专家，除非你认为你比其他人聪明得多，如果你认为它是零而另一个人认为它是 10%，你至少应该认为它是 1%。
