1 00:00:02,443 --> 00:00:06,528 说话人 SPEAKER_02：为这段视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
222 00:20:57,193 --> 00:21:03,982 说话人 SPEAKER_00：这个名字是为了纪念 Alex Krzyzewski，因为他是一位编程大师，让这个系统运作起来。
223 00:21:05,003 --> 00:21:08,087 说话人 SPEAKER_00：Ilya 帮了很多忙，但主要是 Alex 的工作。
224 00:21:08,989 --> 00:21:13,454 讲者 SPEAKER_00：我向您解释了在反向传播中，您会有这些特征检测器层。
225 00:21:14,498 --> 00:21:24,527 讲者 SPEAKER_00：AlexNet 基本上就是这样的一种网络，但有一千个不同的对象类别，并且大约有七层特征检测器。
226 00:21:25,788 --> 00:21:32,815 讲者 SPEAKER_00：它还使用了由 Yann LeCun 开发的其他一些东西，即卷积网络。
227 00:21:33,516 --> 00:21:35,978 讲者 SPEAKER_00：我现在将尝试解释这些，因为它们非常重要。
228 00:21:38,759 --> 00:21:43,644 说话人 SPEAKER_00: 记得我说过你可以通过检查两行来制作一个鸟喙检测器，对吧？
229 00:21:44,096 --> 00:21:50,487 说话人 SPEAKER_00: 通过有两行这样的，如果你看到这两个特征检测器，那么你就制作一个喙检测器。
230 00:21:50,967 --> 00:21:53,310 说话人 SPEAKER_00: 但那只是针对特定位置，对吧？
231 00:21:54,392 --> 00:22:02,644 说话人 SPEAKER_00: 在卷积神经网络中，当你为某个位置制作一个特征检测器时，你会为图像中的所有位置制作相同的特征检测器。
232 00:22:04,366 --> 00:22:08,973 说话人 SPEAKER_00：那么，如果在这里用喙进行训练，当它在学习时，
233 00:22:09,375 --> 00:22:11,518 说话人 SPEAKER_00：它真的会说，我需要为那个安装一个喙检测器。
234 00:22:11,958 --> 00:22:13,839 说话人 SPEAKER_00：所以它学会了一个检测这个喙的特征。
235 00:22:14,461 --> 00:22:18,384 说话人 SPEAKER_00：它会自动为图像中的其他所有位置制作副本。
236 00:22:19,065 --> 00:22:24,169 说话人 SPEAKER_00：所以如果现在这只鸟出现在不同的位置，它将具有特征检测器来识别它。
237 00:22:25,530 --> 00:22:30,915 说话人 SPEAKER_00：所以将特征检测器复制到每个位置的这种想法，本质上是一个卷积网络。
238 00:22:32,596 --> 00:22:37,000 说话人 SPEAKER_00：这使得整个系统在位置上的泛化能力大大提高。
239 00:22:37,040 --> 00:22:39,163 说话人 SPEAKER_00：现在它可以应对位置变化的情况。
240 00:22:39,666 --> 00:22:42,371 说话人 SPEAKER_00: 因为它在每个位置都有所有这些特征检测器的副本。
241 00:22:43,834 --> 00:23:00,619 说话人 SPEAKER_00: 而且有了卷积网络和多层特征，亚历克斯在一种叫做图形处理单元的东西上非常高效地编程了所有这些，它是为计算机图形开发的，但就像一个微型超级计算机。
242 00:23:01,461 --> 00:23:06,670 说话人 SPEAKER_00: 它可以在很多不同的过程中同时进行大量的计算。
243 00:23:07,307 --> 00:23:10,613 说话人 SPEAKER_00: 因此，与普通计算机相比，它提高了大约 30 倍。
244 00:23:11,473 --> 00:23:14,817 说话人 SPEAKER_00: 因子 30 大约相当于计算机领域 10 年的进步。
245 00:23:15,479 --> 00:23:18,864 说话人 SPEAKER_00: 突然间，我们在计算能力方面可以跃进 10 年。
246 00:23:20,705 --> 00:23:25,153 说话人 SPEAKER_00: 编程这些 GPU 板子非常困难。
247 00:23:26,134 --> 00:23:29,578 说话人 SPEAKER_00: 亚历克斯设法编程了两块板子进行协作，这更加困难。
248 00:23:31,520 --> 00:23:34,986 说话人 SPEAKER_00: 最后一个成分是 ImageNet 数据集。
249 00:23:35,489 --> 00:23:47,625 说话人 SPEAKER_00: 于是有人叫 Fei-Fei Li 和她的合作者收集了一大套图片，然后举办了一场公开竞赛，竞赛中有大约一百万张图片，包含一千种不同的物体。
250 00:23:47,664 --> 00:23:49,968 说话人 SPEAKER_00: 所以每种物体大约有一千个例子。
251 00:23:50,709 --> 00:23:52,652 说话人 SPEAKER_00: 你需要学会识别这些物体。
252 00:23:53,173 --> 00:23:57,417 说话人 SPEAKER_00: 然后测试集将包含不同的图像，这些图像也包含那些物体。
253 00:23:57,699 --> 00:23:59,641 说话人 SPEAKER_00: 因此，您需要对不同的图像进行泛化。
254 00:24:00,522 --> 00:24:03,066 说话人 SPEAKER_00: 结果证明，当时发明的最佳计算机视觉技术
255 00:24:03,383 --> 00:24:10,309 说话人 SPEAKER_00: 的错误率达到了 25%，而 Alex 的错误率是 15%。
256 00:24:11,611 --> 00:24:13,894 说话人 说话人_00: 自那以后，错误率已经下降到大约3%。
257 00:24:14,153 --> 00:24:15,115 说话人 说话人_00: 自那以后，情况好多了。
258 00:24:15,494 --> 00:24:30,369 说话人 说话人_00: 但这是一个巨大的飞跃，计算机视觉领域的人们感到非常惊讶，他们大多数人都表现得非常令人钦佩，就是说，我们从未想过这会奏效，但是，它奏效了，所以我们将改变我们之前所做的事情。
259 00:24:30,686 --> 00:24:32,229 说话人 说话人_00: 这就是科学家们通常不会做的事情。
260 00:24:32,429 --> 00:24:35,511 说话人 SPEAKER_00：科学家们通常只是随着年龄的增长而抱怨这些新东西是无稽之谈。
261 00:24:35,952 --> 00:24:41,199 说话人 SPEAKER_01：那么您如何描述自那时以来在人工智能领域所看到的创新速度？
262 00:24:41,939 --> 00:24:43,361 说话人 SPEAKER_00：它只是越来越快。
263 00:24:43,661 --> 00:24:53,992 说话人 SPEAKER_00：所以如果那时问我，这些神经网络何时能进行比现有技术更好的机器翻译，我会说可能需要 10 年。
264 00:24:54,614 --> 00:24:58,617 说话人 SPEAKER_00：因为机器翻译就是这样一种东西，
265 00:24:58,597 --> 00:25:08,713 说话人 SPEAKER_00：如果你有一个全部关于处理符号串的理论，那么机器翻译就是你的理想问题，因为你有一个语言中的符号串，你必须产生另一个语言的符号串。
266 00:25:09,515 --> 00:25:13,622 说话人 SPEAKER_00：符号派的人认为，嗯，你只是在操作字符串来完成这个。
267 00:25:14,943 --> 00:25:23,678 说话人 SPEAKER_00：神经网络派的人认为，你必须将这个符号串转换成这些大的神经网络活动模式，然后你还得将其转换回符号输出。
268 00:25:25,041 --> 00:25:35,675 说话人 SPEAKER_00：我对机器翻译在短短几年内变得如此出色感到非常惊讶，然后在另一年或两年内，谷歌开始使用它，这极大地提高了机器翻译的质量。
269 00:25:36,396 --> 00:25:48,113 说话人 SPEAKER_00：比如，在中文等语言中，这是从记忆中来的，但计算机翻译和人工翻译之间的差距在短短一夜之间就缩小了一半。
270 00:25:49,307 --> 00:25:50,368 说话人 SPEAKER_00：我认为是中文做到了这一点。
271 00:25:51,029 --> 00:25:52,932 说话人 SPEAKER_00：但在许多语言中，它只是让翻译变得更好。
272 00:25:53,313 --> 00:25:56,317 说话人 说话人_00：从那时起，显然已经好多了。
273 00:25:56,917 --> 00:25:59,280 说话人 说话人_00：但到2015年，它已经工作得相当好了。
274 00:26:00,221 --> 00:26:01,203 说话人 说话人_00：这真的让我很惊讶。
275 00:26:01,304 --> 00:26:02,184 说话人 说话人_00：只用了三年时间。
276 00:26:04,728 --> 00:26:07,152 说话人 SPEAKER_02：你说你对创新的步伐感到惊讶。
277 00:26:07,632 --> 00:26:11,738 说话人 SPEAKER_02：第一次使用像 ChatGPT 这样的大型语言模型时，你有什么想法？
278 00:26:12,178 --> 00:26:13,078 说话人 SPEAKER_02：我们是否让你感到惊讶？
279 00:26:13,118 --> 00:26:18,926 说话人 SPEAKER_00：我只是对它的好感到震惊。
280 00:26:20,019 --> 00:26:25,732 说话人 SPEAKER_00：它给出的回答非常连贯，并且可以进行一些推理。
281 00:26:26,334 --> 00:26:29,480 说话人 SPEAKER_00：虽然目前推理还不够复杂，但会越来越好。
282 00:26:30,261 --> 00:26:38,721 说话人 SPEAKER_00：例如，我现在问的是 GPT-4，我向它提出了一个符号 AI 专家给我的谜题。
283 00:26:39,460 --> 00:26:40,800 说话人 SPEAKER_00：他认为 GPT-4 无法完成。
284 00:26:41,682 --> 00:26:44,125 说话人 SPEAKER_00: 我实际上把谜题做得更难了，它仍然能完成。
285 00:26:44,785 --> 00:26:45,945 说话人 SPEAKER_00: 所以这个谜题是这样的。
286 00:26:46,707 --> 00:26:51,131 说话人 SPEAKER_00: 我家里的房间要么是白色，要么是蓝色，要么是黄色。
287 00:26:53,773 --> 00:26:56,376 说话人 SPEAKER_00: 黄色油漆在一年内会褪成白色。
288 00:26:57,597 --> 00:27:00,461 说话人 说话人_00：两年后，我希望所有房间都是白色的。
289 00:27:00,780 --> 00:27:01,461 说话人 说话人_00：我应该做什么？
290 00:27:04,505 --> 00:27:07,948 说话人 说话人_00：一个人类可能会说，你应该把蓝色的房间刷成白色。
291 00:27:09,025 --> 00:27:15,372 说话人 说话人_00：GPT-4 说的是你应该把蓝色的房间刷成黄色，但这也可以，因为黄色会逐渐变成白色。
292 00:27:16,374 --> 00:27:21,118 说话人 SPEAKER_00：我看不出它是如何做到这一点而不理解问题的。
293 00:27:21,839 --> 00:27:25,663 说话人 SPEAKER_00：它只是预测下一个词并使用统计学的想法。
294 00:27:26,766 --> 00:27:32,231 说话人 SPEAKER_00：在某种程度上这是真的，但并不是大多数人理解的统计学的意思。
295 00:27:33,410 --> 00:27:42,280 说话人 SPEAKER_00：它从数据中找出如何提取句子的意义，并使用句子的意义来预测下一个词。
296 00:27:42,761 --> 00:27:45,546 说话人 SPEAKER_00: 它真的能理解，这相当令人震惊。
297 00:27:46,646 --> 00:27:51,834 说话人 SPEAKER_01: 那么，你对更广泛的反应，公众对 Chat GPT 的反应感到惊讶吗？
298 00:27:53,295 --> 00:27:56,900 说话人 SPEAKER_00: 嗯，鉴于它工作得很好，我想公众的反应并不令人惊讶。
299 00:27:57,160 --> 00:27:58,422 说话人 SPEAKER_00: 但有趣的是，
300 00:27:59,633 --> 00:28:02,576 说话人 说话人_00：大多数人不会说，这不懂。
301 00:28:03,337 --> 00:28:06,020 说话人 说话人_00：他们说，哇，它理解了我说的，并给了我一个连贯的回答。
302 00:28:06,402 --> 00:28:07,303 说话人 说话人_00：我能用它做什么？
303 00:28:08,505 --> 00:28:10,948 说话人 说话人_00：我认为大多数人对此的看法是正确的。
304 00:28:12,048 --> 00:28:15,294 说话人 SPEAKER_00: 当然，它可以用于无数的事情。
305 00:28:16,035 --> 00:28:20,059 说话人 SPEAKER_00: 我认识一个人，他负责处理医疗服务方面的投诉信。
306 00:28:22,022 --> 00:28:26,448 说话人 SPEAKER_00: 以前他用来撰写一封解决问题的信件要花 25 分钟。
307 00:28:27,068 --> 00:28:29,251 说话人 SPEAKER_00: 现在他只需将问题键入
308 00:28:30,598 --> 00:28:33,584 说话人 SPEAKER_00: GPT-4 写信。
309 00:28:34,124 --> 00:28:38,711 说话人 SPEAKER_00: 然后他只看了一下信，决定是否可以发送，现在这需要他五分钟。
310 00:28:39,291 --> 00:28:41,154 说话人 SPEAKER_00: 所以他现在效率提高了五倍。
311 00:28:42,176 --> 00:28:46,242 说话人 SPEAKER_00: 这将在各个地方发生，就像律师助理也会这样。
312 00:28:47,044 --> 00:28:48,747 说话人 SPEAKER_00: 程序员们已经变得那样了。
313 00:28:49,208 --> 00:28:55,897 说话人 SPEAKER_00: 如果程序员得到像 GPT-4 这样的帮助，他们可以更有效率，因为它知道如何编程。
314 00:28:56,923 --> 00:29:01,549 说话人 SPEAKER_00: 你可能认为它只是因为看到了大量的程序才会知道如何编程。
315 00:29:03,732 --> 00:29:06,857 说话人 SPEAKER_00: 所以我有一个非常聪明、编程能力很强的前研究生。
316 00:29:08,179 --> 00:29:12,125 说话者 SPEAKER_00：他进行了一个小实验，他叫做 Radford Neal。
317 00:29:12,565 --> 00:29:22,459 说话者 SPEAKER_00：他使用了 GPT-4，并定义了一种具有非常不寻常语法的新的编程语言。
318 00:29:23,839 --> 00:29:30,906 说话者 SPEAKER_00：在仅用文本定义了这种编程语言给 GPT-4 之后，他然后给它一个程序，问它会做什么？
319 00:29:32,127 --> 00:29:33,128 说话者 SPEAKER_00：它正确地回答了。
320 00:29:34,170 --> 00:29:39,496 说话人 SPEAKER_00：所以基本上，它能够理解一种新编程语言的定义，并找出该语言中的程序会做什么。
321 00:29:40,856 --> 00:29:46,461 说话人 SPEAKER_00：再次强调，在这种情境下，它只是预测下一个单词的想法是没有意义的。
322 00:29:46,501 --> 00:29:48,284 说话人 SPEAKER_00：它必须理解正在发生的事情。
323 00:29:49,204 --> 00:29:52,107 说话人 SPEAKER_01：那么您认为哪些机会最有前景？
324 00:29:53,067 --> 00:29:56,374 说话人 SPEAKER_01：这种 AI 在造福社会方面有何作用？
325 00:29:58,337 --> 00:30:00,182 说话人 SPEAKER_00：很难挑选一个，因为有太多。
326 00:30:01,003 --> 00:30:07,818 说话人 SPEAKER_00：比如，任何涉及输出文本的工作都会大幅提高生产力。
327 00:30:09,030 --> 00:30:12,056 说话人 SPEAKER_00：提高生产力会带来各种问题。
328 00:30:12,076 --> 00:30:17,242 说话人 SPEAKER_00：在我们的社会中，提高生产力并不一定是好事，因为它可能会让富人更富，穷人更穷。
329 00:30:17,903 --> 00:30:21,470 说话人 SPEAKER_00：但在一个公正的社会里，仅仅提高生产力应该是一件好事。
330 00:30:22,171 --> 00:30:23,413 说话人 SPEAKER_00：所以会有这样的事情。
331 00:30:24,233 --> 00:30:26,758 说话人 SPEAKER_00：这对于做出预测来说非常美妙。
332 00:30:26,798 --> 00:30:29,622 说话人 说话人_00：预测天气将更准确。
333 00:30:30,394 --> 00:30:31,757 说话人 说话人_00：人们还不知道具体会提高多少。
334 00:30:32,136 --> 00:30:35,301 说话人 说话人_00：但它已经更擅长预测洪水了。
335 00:30:36,063 --> 00:30:37,364 说话人 说话人_00：它可以预测地震。
336 00:30:38,105 --> 00:30:40,689 说话人 SPEAKER_00：它可以设计新的纳米材料。
337 00:30:41,390 --> 00:30:44,493 说话人 SPEAKER_00：所以对于像太阳能电池板这样的东西，你希望能够设计新的纳米材料。
338 00:30:44,835 --> 00:30:46,256 说话人 SPEAKER_00：或者对于超导性。
339 00:30:46,276 --> 00:30:49,079 说话人 SPEAKER_00：我不知道它是否已经用于超导性，但它很可能已经如此。
340 00:30:49,780 --> 00:30:52,605 说话人 说话人_00：你希望它在高温下。
341 00:30:52,585 --> 00:30:55,069 说话人 说话人_00：它在设计药物方面真的很擅长。
342 00:30:56,471 --> 00:31:01,161 说话人 说话人_00：也就是说，寻找会与某些特定分子结合的分子。
343 00:31:02,222 --> 00:31:05,469 说话人 说话人_00：DeepMind 曾用它创建了 AlphaFold。
344 00:31:06,810 --> 00:31:09,656 说话人 SPEAKER_00：那不是一个聊天机器人，那只是深度学习。
345 00:31:11,019 --> 00:31:15,166 说话人 SPEAKER_00：但深度学习的基本技术已经
346 00:31:16,817 --> 00:31:24,827 说话人 SPEAKER_00：基本上解决了如何从蛋白质的碱基序列中推断其形状的问题。
347 00:31:25,288 --> 00:31:27,231 说话人 SPEAKER_00：如果你知道它采取的形状，你就知道它的功能。
348 00:31:27,731 --> 00:31:30,194 说话人 SPEAKER_00：我认为聊天机器人将无处不在地被使用。
349 00:31:31,917 --> 00:31:33,680 说话人 SPEAKER_01：我们谈论了很多关于医疗保健的话题。
350 00:31:33,700 --> 00:31:38,586 说话人 SPEAKER_01：我的意思是，你谈论了药物发现，但医疗保健也是一个可以真正受益的领域。
351 00:31:38,605 --> 00:31:38,826 说话人 SPEAKER_00：是的。
352 00:31:39,567 --> 00:31:46,757 说话人 SPEAKER_00：在解读医学扫描方面，比如如果你做一个 CT 扫描，CT 扫描中有很多信息，
353 00:31:47,210 --> 00:32:01,724 说话人 SPEAKER_00：而这些信息并没有被利用，大多数医生也不知道这些信息是什么，这将能够从 CT 扫描中获得更多信息，同时还能与医生竞争，说出你有什么癌症或它长得有多大。
354 00:32:01,744 --> 00:32:10,733 说话人 SPEAKER_00：目前，例如，当医生告诉你癌症的大小，你会得到一个数字，比如它是三厘米，一个月前是两厘米。
355 00:32:11,895 --> 00:32:15,259 说话人 SPEAKER_00：现在，如果这东西看起来像章鱼，那么这个数字就不是很有用，对吧？
356 00:32:17,112 --> 00:32:21,938 说话人 SPEAKER_00: 神经网络将能够更好地理解癌症的体积及其变化。
357 00:32:23,318 --> 00:32:25,642 说话人 SPEAKER_00: 因此，在那方面将会非常巨大。
358 00:32:26,202 --> 00:32:30,949 说话人 SPEAKER_00: 而且它已经达到人类水平，对于许多癌症扫描，它将会变得更好。
359 00:32:32,349 --> 00:32:34,873 说话人 SPEAKER_00: 它将非常适合诊断疾病。
360 00:32:35,193 --> 00:32:43,103 发言人 SPEAKER_00：目前，北美有大量人因医生误诊而死亡。
谷歌正在开发一个名为 MedPalm2 的系统，该系统能够进行诊断，现在我认为它的表现已经超过了普通医生。
我不太确定这件事，因为我已经不在谷歌了，而且这件事发生得很近。
363 00:33:00,159 --> 00:33:04,262 说话者 说话者_00：但它的确可以与医生相提并论，而且它会迅速变得更好。
364 00:33:04,282 --> 00:33:09,407 说话人 SPEAKER_00：您难道不想拥有一个全科医生，一个家庭医生吗？
365 00:33:10,148 --> 00:33:12,111 说话人 SPEAKER_00：您遇到一些罕见疾病，
366 00:33:12,394 --> 00:33:16,961 说话人 SPEAKER_00：您希望您的家庭医生已经看过数百例这种罕见疾病的病例。
367 00:33:17,500 --> 00:33:18,923 说话人 SPEAKER_00：而 MedPalm2 将会是这样的。
368 00:33:19,523 --> 00:33:23,368 说话人 SPEAKER_00：最终它将仅在诊断方面变得更好。
369 00:33:25,652 --> 00:33:28,474 说话人 SPEAKER_02：听起来人工智能将带来许多重要益处。
370 00:33:29,537 --> 00:33:32,580 说话人 SPEAKER_02：但你已表达了对当前创新速度的担忧。
371 00:33:33,340 --> 00:33:33,761 说话人 SPEAKER_00：为什么？
372 00:33:34,315 --> 00:33:44,626 说话人 SPEAKER_00：好吧，所以像 50 年一样，我（认为）嗯，49 年来，为了使数字模型更好，我们需要让它们更像大脑工作。
373 00:33:45,327 --> 00:33:55,480 说话人 SPEAKER_00：所以我一直在观察大脑所做的，而数字模型没有做的事情，比如以临时方式快速改变连接强度，这可以使数字模型变得更好。
374 00:33:57,805 --> 00:34:07,291 说话人 SPEAKER_00：而且最近，我意识到因为这些数字模型有一种蜂群思维，当一个智能体学习到某样东西时，所有其他智能体都知道。
375 00:34:07,863 --> 00:34:10,947 说话人 SPEAKER_00：它们实际上可能已经比生物智能更优秀了。
376 00:34:11,829 --> 00:34:18,420 说话人 SPEAKER_00: 我完全改变了看法，不再认为他们需要很长时间才能做到大脑能做的一切。
377 00:34:19,101 --> 00:34:23,931 说话人 SPEAKER_00: 我认为至少还需要 30 到 50 年他们才能超过我们，这是我直到最近才有的想法。
378 00:34:24,952 --> 00:34:29,139 说话人 SPEAKER_00: 几个月前我突然意识到，也许他们已经超过我们了。
379 00:34:29,599 --> 00:34:31,103 说话人 SPEAKER_00: 他们只是规模更小。
380 00:34:31,420 --> 00:34:34,864 说话人 SPEAKER_00: 当它们变得更大时，它们会比我们更聪明。
381 00:34:35,626 --> 00:34:36,666 说话人 SPEAKER_00: 那真的很可怕。
382 00:34:36,686 --> 00:34:43,396 说话人 SPEAKER_00: 意见突然改变，不再是 30 到 50 年，而是 5 年到 20 年左右。
383 00:34:44,157 --> 00:34:51,927 说话人 SPEAKER_00: 因此，我们现在必须认真对待我们现在将如何处理这个问题，这些事物可能会比我们更聪明。
384 00:34:52,260 --> 00:34:53,802 说话人 说话人_00：这是一个充满巨大不确定性的时代。
385 00:34:53,842 --> 00:34:55,364 说话人 说话人_00：没有人真正知道会发生什么。
386 00:34:56,045 --> 00:34:59,869 说话人 说话人_00：也许事情会停滞不前，也许它们不会比我们更聪明。
387 00:34:59,889 --> 00:35:01,110 说话人 说话人_00：但我并不真的相信这一点。
388 00:35:01,451 --> 00:35:02,871 说话人 SPEAKER_00: 我认为他们将会比我们更聪明。
389 00:35:03,231 --> 00:35:12,902 说话人 SPEAKER_00: 但也许当他们比我们更聪明的时候，我们能够让他们保持善良，我们能够让他们比关心自己更多地去关心他人，不像人类。
390 00:35:13,362 --> 00:35:14,023 说话人 SPEAKER_00: 但也许不会。
391 00:35:14,844 --> 00:35:18,387 说话人 SPEAKER_00: 因此我们需要开始认真思考这些问题。
392 00:35:18,527 --> 00:35:20,309 说话人 SPEAKER_00：我对这些问题并不精通。
393 00:35:21,572 --> 00:35:23,875 说话人 SPEAKER_00：我只是这些学习算法的专家。
394 00:35:25,056 --> 00:35:29,501 说话人 SPEAKER_00：我突然意识到这些超级智能可能很快就会到来。
395 00:35:30,541 --> 00:35:38,849 说话人 SPEAKER_00：我只是发出警报，让人们听听那些长期思考如何阻止他们夺取控制权的专家们。
396 00:35:40,251 --> 00:35:45,797 说话人 SPEAKER_00：我希望政治家们能听听那些人的意见，而不是说，嗯，嗯，他们算是科幻派。
397 00:35:46,297 --> 00:35:47,157 说话人 SPEAKER_00：这永远都不会发生。
398 00:35:48,067 --> 00:35:54,434 说话人 SPEAKER_01：有没有什么特别的时刻，你说是最近，你对这个看法有所改变？
399 00:35:54,875 --> 00:36:04,507 说话人 SPEAKER_00：我正在开发适用于生物系统的学习算法，这些算法可以在生物系统中运行，而不使用反向传播。
400 00:36:05,688 --> 00:36:10,614 说话人 说话人_00：我无法让它们像我们在这些数字系统中运行的反向传播算法那样工作得很好。
401 00:36:11,657 --> 00:36:18,606 说话人 说话人_00：对于小型网络来说，它们可以工作，但当规模扩大时，数字网络总是比生物网络扩展得更好。
402 00:36:19,646 --> 00:36:21,829 说话人 说话人_00：我突然想到，可能不是我的错。
403 00:36:22,251 --> 00:36:27,036 说话人 说话人_00：可能不是我的学习算法只是一个差劲的学习算法。
404 00:36:27,056 --> 00:36:29,559 说话人 SPEAKER_00：可能就是这些数字系统本身就更好。
405 00:36:31,440 --> 00:36:37,387 说话人 SPEAKER_00：就在那时，我突然改变了关于我们何时会得到超级智能的看法。
406 00:36:37,407 --> 00:36:41,293 说话人 SPEAKER_00：然后我跟我的一些前学生和前同事谈了谈。
407 00:36:41,780 --> 00:36:44,204 说话人 SPEAKER_00：其中一些人鼓励我公开这个想法。
408 00:36:45,085 --> 00:36:47,630 说话人 SPEAKER_00：不是因为我想推荐任何解决方案。
409 00:36:49,054 --> 00:36:52,199 说话人 SPEAKER_00：并不是说少烧碳一切就会好起来。
410 00:36:54,244 --> 00:36:56,547 说话人 SPEAKER_00：而是因为他们认为
411 00:36:56,831 --> 00:36:58,134 说话人 SPEAKER_00：我在这个领域是出了名的。
412 00:36:58,233 --> 00:37:12,990 说话者 SPEAKER_00：如果我说超级智能可能很快就会到来，政客们可能会开始相信这是可能的，并开始认真倾听那些长期思考如何防止这些事物获得控制的研究人员。
413 00:37:14,012 --> 00:37:23,362 说话者 SPEAKER_01：那么从您的角度来看，政府在确保这些人工智能以负责任的方式发展方面可以发挥什么作用？
414 00:37:23,882 --> 00:37:29,067 说话者 SPEAKER_00：所以，有各种各样的风险，其他人已经谈了很多，我特别不想谈论，比如...
415 00:37:29,637 --> 00:37:33,961 说话者 SPEAKER_00：它们会夺走工作，并增加贫富差距。
416 00:37:34,762 --> 00:37:37,847 说话人 SPEAKER_00: 他们将使人们无法判断新闻是真是假。
417 00:37:38,827 --> 00:37:45,657 说话人 SPEAKER_00: 他们将鼓励社会分裂成两个相互不听取对方意见、持有完全对立观点的战争阵营。
418 00:37:46,898 --> 00:37:49,501 说话人 SPEAKER_00: 他们将制造旨在杀人的人形战斗机器人。
419 00:37:50,081 --> 00:37:52,425 说话人 SPEAKER_00: 所有这些都是众所周知的风险，我并没有谈论。
420 00:37:52,465 --> 00:37:54,246 说话人 SPEAKER_00: 我并不是认为它们不重要。
421 00:37:54,266 --> 00:37:55,708 说话人 SPEAKER_00: 我认为它们可能更加紧迫。
422 00:37:56,929 --> 00:37:59,052 说话人 SPEAKER_00: 但很多人都在谈论那些风险。
423 00:37:59,523 --> 00:38:03,306 说话人 SPEAKER_00: 我所谈论的风险是这些事物最终会变得比我们聪明并最终接管一切的风险。
424 00:38:04,309 --> 00:38:10,556 说话人 说话人_00：为此风险，政府可能可以做一些事情，因为没有人想看到那样。
425 00:38:12,197 --> 00:38:16,023 说话人 说话人_00：如果排除这些超级智能，没有人想要那样。
426 00:38:16,983 --> 00:38:24,012 说话人 说话人_00：因此，所有不同的政府都应该能够达成一致
427 00:38:24,126 --> 00:38:27,797 说话人 说话人_00：他们应该能够共同努力防止这种情况，因为这符合他们的利益。
428 00:38:28,239 --> 00:38:29,061 说话人 SPEAKER_00: 这之前已经发生过。
429 00:38:29,202 --> 00:38:37,849 说话人 SPEAKER_00: 即使在冷战期间，美国和俄罗斯也能共同努力，试图防止发生全球核战争，因为这对所有人来说都很糟糕。
430 00:38:38,891 --> 00:38:46,262 说话人 SPEAKER_00: 对于这种生存威胁，如果可能预防，所有人都应该共同努力来限制它。
431 00:38:46,782 --> 00:38:54,954 说话人 SPEAKER_00: 我不知道是否可以预防它，但至少我们应该能够在应对这一特定威胁，即人工智能接管人类的生存威胁上实现国际合作。
432 00:38:55,956 --> 00:39:03,027 说话人 SPEAKER_00：我认为应该做的一件事是，无论这些内容在哪里开发，尤其是这些大型聊天机器人，
433 00:39:04,693 --> 00:39:15,190 说话人 SPEAKER_00：政府应该鼓励公司投入大量资源，因为这些事物变得越来越智能，进行实验以找出如何控制它们。
434 00:39:16,351 --> 00:39:26,786 说话人 SPEAKER_00：所以他们应该研究这些事物可能会如何尝试逃脱，并在这方面进行实证研究，投入大量资源，因为这是我们唯一的机会。
435 00:39:27,762 --> 00:39:32,487 说话人 SPEAKER_00：在他们变得超级智能之前，我们也许可以进行实验，看看会出什么问题。
436 00:39:33,429 --> 00:39:37,355 说话者 SPEAKER_00：我坚信你需要这方面的实证数据。
437 00:39:37,375 --> 00:39:42,021 说话者 SPEAKER_00：你不能让哲学家、政治家和立法者随意制定规则。
438 00:39:42,702 --> 00:39:47,547 说话者 SPEAKER_00：你需要对这些事物进行实证研究，看看它们是如何出错的，以及你如何控制它们。
439 00:39:48,608 --> 00:39:50,492 说话者 SPEAKER_00：这只能由开发它们的人来完成。
440 00:39:51,893 --> 00:39:56,739 说话人 SPEAKER_00: 既然无法阻止发展，最好的办法就是
441 00:39:57,074 --> 00:40:08,155 说话人 SPEAKER_00: 以某种方式让政府对这些公司施加很大压力，投入大量资源去实证研究如何在他们不如我们聪明时将它们控制住。
442 00:40:09,356 --> 00:40:15,527 说话人 SPEAKER_01: 你如何看待这些大型科技公司在这类发展中所扮演的角色？
443 00:40:15,989 --> 00:40:18,693 说话人 SPEAKER_01: 他们会在没有那种政府监管的情况下这样做吗？
444 00:40:19,079 --> 00:40:27,675 说话人 SPEAKER_00：很多大公司的人，我所知道的那些大公司的高级管理人员都非常担心这个问题，并且确实投入了工作。
445 00:40:28,677 --> 00:40:29,780 说话人 SPEAKER_00：他们对这一点非常关心。
446 00:40:30,561 --> 00:40:32,626 说话人 SPEAKER_00：但他们有对股东的义务。
447 00:40:33,507 --> 00:40:35,572 说话人 SPEAKER_00：我认为这是为了获得高额利润。
448 00:40:36,534 --> 00:40:40,041 说话人 SPEAKER_00: 短期内获得巨大利润，
449 00:40:40,391 --> 00:40:44,760 说话人 SPEAKER_00: 并不与投入大量精力确保其安全的行为相吻合。
450 00:40:45,824 --> 00:40:47,146 说话人 SPEAKER_00: 所以你会在所有行业中看到这一点。
451 00:40:47,847 --> 00:40:59,632 说话人 SPEAKER_00: 在美国的铁路行业中，拥有告知轮子锁定的安全装置需要花钱，大型铁路公司宁愿发生事故也不愿这么做。
452 00:40:59,612 --> 00:41:10,929 说话人 SPEAKER_00：我知道的谷歌是一家大公司，但它并不完全是这样，因为它明白如果发生不好的事情，它将遭受巨大的声誉损失。
