1 00:00:16,821 --> 00:00:17,463 演讲者 SPEAKER_07: 大家好。
229 00:20:43,651 --> 00:21:01,223 讲者 SPEAKER_00：实际上，他们认为全球工作空间并不令人惊讶，因为在 20 世纪 60 年代，卡内基梅隆大学的艾伦·纽厄尔、赫布·西蒙、拉吉·雷迪等人就已经提出了认知的原始模型，即他们的黑板模型。
230 00:21:01,625 --> 00:21:06,974 讲者 SPEAKER_00：所以我认为将理论初期的观点
231 00:21:06,954 --> 00:21:11,981 讲者 SPEAKER_00：融入深度学习可能实际上非常有趣。
232 00:21:12,542 --> 00:21:22,096 讲者 SPEAKER_00：那么，这个具有全局广播和竞争上台机会的全局工作空间模型是一个非常强大的模型。
233 00:21:22,897 --> 00:21:25,381 讲者 SPEAKER_00：这只是个评论。
234 00:21:25,481 --> 00:21:28,766 讲者 SPEAKER_04：杰克？
235 00:21:29,247 --> 00:21:33,373 讲者 SPEAKER_04：我想跟进杰夫所说的，可能是一个稍微不同的观点。
236 00:21:33,814 --> 00:21:36,237 演讲者 SPEAKER_04：如果你研究大脑，你会学到一件事。
237 00:21:36,502 --> 00:21:39,306 演讲者 SPEAKER_04：研究大脑你会发现它们极其动态。
238 00:21:39,425 --> 00:21:41,788 演讲者 SPEAKER_04：没有任何东西是稳定的，包括表征。
239 00:21:42,449 --> 00:21:46,693 演讲者 SPEAKER_04：所以表征在所有你能记录的时间尺度上都在变化。
240 00:21:47,875 --> 00:21:50,278 讲者 SPEAKER_04：特别是，注意力实际上会改变表征。
241 00:21:50,357 --> 00:21:59,788 讲者 SPEAKER_04：所以在大脑的任何地方，注意力都会改变信息的方式，而不仅仅是像音量控制那样改变信息表征的方式。
242 00:22:00,689 --> 00:22:03,372 讲者 SPEAKER_04：并且大脑区域表征变化的大小与该区域的注意力效应成正比。
243 00:22:04,009 --> 00:22:09,695 讲者 SPEAKER_04：大脑区域表征可以变化的大小与该区域的注意力效应成正比。
在大脑初级视觉皮层中，注意力对神经元放电频率的影响大约为2%。
245 00:22:14,902 --> 00:22:17,104 说话者 SPEAKER_04：如果你看的话，它真的很，真的很简单。
246 00：22：17,845 --> 00：22：24,672 演讲者 SPEAKER_04：如果你看看注意力如何改变表现，那是一个微小的影响，你无法衡量。
如果你进入视觉系统的中级，注意力可能产生大约15%或20%的影响，并且对整体尖峰率
248 00:22:34,097 --> 00:22:36,942 讲者 SPEAKER_04：然后它也改变了表示方式，增加了 15%或 20%。
249 00:22:37,182 --> 00:22:46,776 讲者 SPEAKER_04：如果你进入前额叶皮层，注意力可以改变从零到全速的尖峰率，注意力也可以完全改变信息的表示方式。
250 00:22:47,196 --> 00:22:50,942 讲者 SPEAKER_04：这一点已经在神经生理学和 MRI 中得到证实。
251 00:22:51,103 --> 00:22:54,548 讲者 SPEAKER_04：事实上，这是我们神经生理学和 MRI 之间最接近的对应关系之一。
252 00:22:55,849 --> 00:23:03,800 讲者 SPEAKER_04: 这件事，这个不断发生的动态过程，在在线表示中一直存在
253 00:23:04,152 --> 00:23:25,047 讲者 SPEAKER_04: 就我所知，目前基本上在人工智能中没有任何反映，因为整个领域基本上是基于这种训练测试的范式，你知道，你学习，你的网络学习，然后你将其释放到野外，之后只更新了一小部分。
254 00:23:25,211 --> 00:23:29,659 讲者 SPEAKER_04: 所以我认为这可能与 Jeff 所说的非常接近。
255 00:23:29,719 --> 00:23:40,154 讲者 SPEAKER_04: 大脑中存在多个时间尺度的活动，注意力和学习之间的区别几乎完全是时间尺度的差异。
256 00:23:40,895 --> 00:23:51,692 讲者 SPEAKER_04: 我认为如果你经常反复关注某件事，那么这些短期塑性变化就会变成长期塑性变化，这就是我们所说的学习。
257 00:23:52,178 --> 00:23:56,994 讲者 SPEAKER_04: 所以我认为这是我们目前人工智能技术中的一大缺失功能。
258 00:23:58,439 --> 00:23:58,539 讲者 SPEAKER_07: 好的。
259 00:23:58,559 --> 00:24:00,365 讲者 SPEAKER_07: 宾，让我们把回答控制在 1 分钟以内。
260 00:24:01,932 --> 00:24:04,595 讲者 SPEAKER_03: 是的，我也认为动态性非常重要。
261 00:24:04,734 --> 00:24:11,323 讲者 SPEAKER_03: 而且真实大脑的架构也在不断变化，这取决于记忆学习，有些东西被删除，有些东西被添加。
262 00:24:11,343 --> 00:24:14,586 讲者 SPEAKER_03: 这取决于连接的线条是如何的。
263 00:24:15,107 --> 00:24:17,111 讲者 SPEAKER_03: 所以这实际上并不在其中。
264 00:24:17,451 --> 00:24:21,996 说话人 SPEAKER_03：可能是个硬件问题，但我还想指出这个环境，对吧？
265 00:24:22,057 --> 00:24:27,383 说话人 SPEAKER_03：在早些时候的演讲中，我们知道我们用深度学习学到的所有数据集都是不完整的。
266 00:24:27,363 --> 00:24:29,486 说话人 SPEAKER_03：这不是一个真实的环境。
267 00:24:29,605 --> 00:24:37,335 说话人 SPEAKER_03：所以你是在要求这个 AI 在一个非常人为的、合成的、并且常常是误导性的环境中学习。
268 00:24:37,355 --> 00:24:44,304 讲者 SPEAKER_03：你实际上并没有提供，即使你有最好的架构，你也可以为架构提供这种类型的数据来学习。
269 00:24:44,364 --> 00:24:47,728 讲者 SPEAKER_03：这不会只是像真实生活经验那样的学习。
270 00:24:47,748 --> 00:24:51,272 讲者 SPEAKER_03：所以我想要引入的是你提供给这个结构的内容。
271 00:24:51,854 --> 00:24:55,377 讲者 SPEAKER_03：而且你不仅结构有缺陷，还有
272 00:24:55,779 --> 00:24:57,942 说话人 SPEAKER_03：数据同样也起着巨大的作用。
273 00:24:59,244 --> 00:24:59,545 说话人 SPEAKER_05：珀西？
274 00:25:01,007 --> 00:25:04,332 说话人 SPEAKER_05：是的，这个有点儿，我想说点儿有点儿离谱的东西。
275 00:25:04,352 --> 00:25:15,106 说话人 SPEAKER_05：再次，超越我们通常对单个智能体心智的构想，这种构想通常是以一种集中的方式来思考的。
276 00:25:15,768 --> 00:25:21,957 演讲者 SPEAKER_05：我认为，你知道，因为我们正在处理人工
277 00:25:21,936 --> 00:25:29,586 讲者 SPEAKER_05：神经网络和，你知道，系统，我认为事物的发展可能非常、非常不同。
278 00:25:29,906 --> 00:25:36,595 讲者 SPEAKER_05：我认为经常会有不同的利益相关者创建多个模型。
279 00:25:37,895 --> 00:25:44,784 讲者 SPEAKER_05：这些，我认为，关于，你知道，如何构建一种群体或这些事物的集合，它们可以相互交互？
280 00:25:45,025 --> 00:25:51,893 讲者 SPEAKER_05：我的意思是，对于人类来说，我们有语言和其他方式，但并不能说我们不能
281 00:25:51,873 --> 00:25:57,816 讲者 SPEAKER_05：你知道，进行反向传播或者发送更多种类的连续信号。
282 00:25:57,998 --> 00:26:01,723 讲者 SPEAKER_05：你知道，以不同的方式构建智能系统。
283 00:26:02,484 --> 00:26:06,069 讲者 SPEAKER_05：还有一件很有趣的事情，就是这种移植。
284 00:26:06,089 --> 00:26:15,944 讲者 SPEAKER_05：如果你有这些大型预训练模型，比如 BERT 和 NLP，它们被用于很多不同的地方。
285 00:26:16,886 --> 00:26:25,660 说话者 SPEAKER_05：所以有一种感觉，你知道，这其实就是这些系统建立起来的现实情况。
286 00:26:25,875 --> 00:26:34,573 说话者 SPEAKER_05：在实践中，一个单一来源如何影响众多事物，这有什么影响。
287 00:26:34,613 --> 00:26:41,926 说话者 SPEAKER_05：所以我认为，你知道，我们的人类类比，比如进化和学习，可能表现出两种适应类型。
288 00:26:41,906 --> 00:26:46,593 说话者 SPEAKER_05：可能表现出两种适应类型。
289 00:26:46,653 --> 00:26:56,204 演讲者 SPEAKER_05：但我认为这是一种更系统的方式，可能还有其他方式来划分这个空间。
290 00:26:57,886 --> 00:26:58,507 演讲者 SPEAKER_07：下一个问题。
291 00:26:59,228 --> 00:27:00,569 演讲者 SPEAKER_07：我们如何记住事情？
292 00:27:01,371 --> 00:27:07,117 演讲者 SPEAKER_07：如果我们遇到某人，我们以后可以回忆起我们遇到了谁，我们谈论了什么，相关的事件和人。
293 00:27:08,359 --> 00:27:10,362 演讲者 SPEAKER_07：那么这是一种知识图谱吗？
294 00:27:10,612 --> 00:27:14,338 演讲者 SPEAKER_07：这是我们大脑中的物体知识图谱，它是如何在脑中实现的？
295 00:27:14,358 --> 00:27:17,884 演讲者 SPEAKER_07：是否存在一个类似于 C++风格的查找表，其中包含指针对象？
296 00:27:18,967 --> 00:27:26,019 演讲者 SPEAKER_07：那么如何在深度学习系统中自动产生这样的知识图谱呢？
297 00:27:26,599 --> 00:27:32,550 说话人 SPEAKER_07：让我们把回答简短一些。
298 00:27:32,570 --> 00:27:33,092 说话人 SPEAKER_05：谁想去？
299 00:27:34,877 --> 00:27:35,839 说话人 SPEAKER_05：我可以发表一些看法。
300 00:27:36,821 --> 00:27:56,261 说话人 SPEAKER_05：关于知识图谱，有一点可能需要澄清的是，今天我们认为知识图谱基本上是事实的三元组存储，我认为这实际上并不是，也许你可以对这些基础事实进行各种类型的查询，但我认为
301 00:27:56,241 --> 00:28:11,719 讲者 SPEAKER_05：你知道，知识表示，我认为，是一个非常有趣的一般性话题，至少在逻辑传统中，如果你想要存储的不仅仅是事实，比如，你知道，珀西正在谷歌会议中，或者房间里有五只猫，或者像否定或命题态度或表示信念这样的东西，那么就会复杂得多。
302 00:28:11,699 --> 00:28:22,061 讲者 SPEAKER_05：我现在正在开会，但是有五只猫在房间里，或者类似的东西，或者否定，或者命题态度，或者表示信念。
303 00:28:22,182 --> 00:28:30,500 讲者 SPEAKER_05：我知道杰夫说过这样的话，而雷娜认为这些类型的知识非常具有挑战性。
304 00:28:30,480 --> 00:28:34,205 讲者 SPEAKER_05：这些类型的知识表示非常具有挑战性。
305 00:28:34,286 --> 00:28:47,964 演讲者 SPEAKER_05：我认为现代的解决方案就是假装问题不存在，然后学习各种类型的关联，让你能够假装拥有某些能力。
306 00:28:48,025 --> 00:28:55,355 演讲者 SPEAKER_05：但我认为关于知识表示的根本问题仍然没有解决。
307 00:28:57,198 --> 00:28:57,298 未知演讲者：下一个。
308 00:29:00,231 --> 00:29:00,531 演讲者 SPEAKER_07：杰克？
309 00:29:01,835 --> 00:29:07,844 讲者 SPEAKER_04：我感到有必要谈谈大脑，但我受限于您要求简短回答。
310 00:29:08,444 --> 00:29:13,133 讲者 SPEAKER_04：我认为将人脑中的两种记忆系统分开思考是非常有用的。
311 00:29:13,252 --> 00:29:16,198 讲者 SPEAKER_04：其中一个是长期存储，可能
312 00:29:16,567 --> 00:29:32,810 讲者 SPEAKER_04：可以将其视为一种捷径，最好将其想象成某种霍普菲尔德网络，它以一种我们不太理解的方式埋藏在突触中，涉及到海马体以及，你知道的，边缘叶皮层和大脑深处的其他部分。
313 00:29:33,211 --> 00:29:35,654 讲者 SPEAKER_04: 然后你会有这种
314 00:29:36,292 --> 00:29:49,611 讲者 SPEAKER_04: 我会说这是一种更现代的，可以说是皮层工作记忆存储，它与语言紧密相连，广泛分布在人类大脑皮层的各个部分，当你有传入的感觉信息时，它实际上会被分配。
315 00:29:50,182 --> 00:29:57,211 讲者 SPEAKER_04: 可能与你在整个皮层语义网络中已有的先验知识相互作用。
316 00:29:57,231 --> 00:30:08,588 讲者 SPEAKER_04: 然后以某种方式，在多个点上，感觉信息被转换成那种工作记忆语义知识。
317 00:30:08,608 --> 00:30:16,701 讲者 SPEAKER_04：在多个点上，长期记忆似乎也被探索、挑逗并与它们互动。
318 00:30:16,780 --> 00:30:18,383 讲者 SPEAKER_04：最终你得到的是一个基本上很大的“汤”。
319 00:30:18,801 --> 00:30:23,586 这是由长期先验、短期先验和传入的感觉信息组成的，它们都在相互作用。
320 00:30:24,567 --> 00:30:26,891 讲者 SPEAKER_04：它们无处不在地相互作用。
321 00:30:27,290 --> 00:30:30,054 讲者 SPEAKER_04：对此没有简单的答案。
322 00:30:30,994 --> 00:30:35,240 讲者 SPEAKER_04：我应该提一下，神经科学家对长期记忆是如何存储的毫无头绪。
323 00:30:35,980 --> 00:30:41,006 讲者 SPEAKER_04：绝对是这样，我的意思是，他们有一些想法，有理论，但没有任何关于任何事情的真正可靠数据。
324 00:30:42,847 --> 00:30:43,729 讲者 SPEAKER_03：本？
325 00:30:44,771 --> 00:30:58,451 讲者 SPEAKER_03：嗯，似乎有一种信念，如果你接受一个概念，那么就像一把锤子，它似乎既被存储为工具，也被存储为功能和视觉。
326 00:30:58,952 --> 00:31:05,261 讲者 SPEAKER_03：所以我认为每个概念也有多个表示，在不同的部分，它们是相互关联的。
327 00:31:05,241 --> 00:31:16,413 讲者 SPEAKER_03：我不知道短期记忆和长期记忆是如何连接的，我相信长期记忆肯定可能为同一经验有多个存储位置，然后将它们连接起来。
328 00:31:16,733 --> 00:31:31,689 讲者 SPEAKER_03：至于短期记忆，我不知道它会如何工作，它们是否以某种方式通过同一事物的多个视角相互关联，或者它们是独立存储的，然后在后来连接起来？
329 00:31:32,088 --> 00:31:35,011 讲者 SPEAKER_03：我可以，也许杰克可以提供一些线索。
330 00:31:34,991 --> 00:31:37,397 讲者 SPEAKER_03：与短期、长期记忆一起工作的思维。
331 00:31:37,999 --> 00:31:39,963 讲者 SPEAKER_04：是的，我能快速补充一点吗？
332 00:31:40,244 --> 00:31:40,644 讲者 SPEAKER_04：请说，是的。
333 00:31:40,746 --> 00:31:43,913 讲者 SPEAKER_04：因为本的论点很重要，我忽略了它。
334 00:31:44,314 --> 00:31:53,035 讲者 SPEAKER_04：如果你只是思考“狗”这个概念，比如你向某人展示狗的电影或你说“狗”这个词，你就能得到这个，你可以将大脑活动映射到与狗相关的 10 个不同区域，我们拥有的数据显示，你知道狗的外观存储在视觉系统附近，狗的声音存储在听觉系统附近，前额叶皮层包含关于比如你小时候被狗咬过，你不喜欢狗的先验信息，当然我们的
335 00:31:53,385 --> 00:32:14,465 讲者 SPEAKER_04：与狗相关的信息分布在 10 个不同的相关区域，我们拥有的数据显示，你知道狗的外观存储在视觉系统附近，狗的声音存储在听觉系统附近，前额叶皮层包含关于比如你小时候被狗咬过，你不喜欢狗的先验信息，当然我们的
336 00:32:15,204 --> 00:32:23,336 讲者 SPEAKER_04：我们最终拥有关于狗的统一概念，但在硬件上，它以这种非常分散的分布式代码表示。
337 00:32:23,837 --> 00:32:25,339 演讲者 SPEAKER_04: 嗯，这个已经被提到了。
338 00:32:27,022 --> 00:32:32,912 演讲者 SPEAKER_01: 关于这一点的一个评论是，如果你问什么是单词，实际上单词是一个声音和意义的关联。
339 00:32:33,633 --> 00:32:34,314 演讲者 SPEAKER_01: 这就是单词的定义。
340 00:32:37,679 --> 00:32:39,321 演讲者 SPEAKER_07: 我们转到下一个之前还有其他快速评论吗？
341 00:32:39,721 --> 00:32:40,182 演讲者 SPEAKER_07：下一个问题？
342 00:32:43,183 --> 00:32:49,796 演讲者 SPEAKER_07：好的，那么下一个问题是，作为人类，我们能否学习技能和功能，这些技能和功能可以层层叠加，随着时间的推移而增长。
343 00:32:50,317 --> 00:32:54,143 演讲者 SPEAKER_07：那么，人脑中是否存在模块库？
344 00:32:54,243 --> 00:32:55,365 演讲者 SPEAKER_07：它们在物理上是分开的吗？
345 00:32:56,146 --> 00:33:01,256 演讲者 SPEAKER_07：有没有一个叫做栈的程序，可以追踪正在被调用的函数以及传递的参数？
346 00:33:02,057 --> 00:33:05,242 演讲者 SPEAKER_07：我们是否需要在深度网络中这样的栈和模块？
347 00:33:06,438 --> 00:33:12,564 演讲者 SPEAKER_01：所以我在之前的回答中已经回答了这个问题，我认为我们确实有栈，并且它们是通过快速权重实现的。
348 00:33:13,045 --> 00:33:15,186 演讲者 SPEAKER_01：这也是神经网络能够进行真实递归的原因。
349 00:33:17,388 --> 00:33:17,788 演讲者 SPEAKER_07：有趣。
350 00:33:19,590 --> 00:33:19,990 演讲者 SPEAKER_07：还有其他人吗？
351 00:33:25,297 --> 00:33:31,702 演讲者 SPEAKER_07：杰克，对模块的命名有什么猜测吗？
352 00:33:33,234 --> 00:33:37,680 演讲者 SPEAKER_07：所以在编程语言中，当你调用模块时，作为函数，你必须传递参数。
353 00:33:38,441 --> 00:33:39,642 讲者 SPEAKER_07：有什么猜测吗？
354 00:33:40,303 --> 00:33:42,945 讲者 SPEAKER_07：我知道这非常困难……是的，我不这么认为。
355 00:33:43,026 --> 00:34:01,605 讲者 SPEAKER_04：我的意思是，正如 Menar 之前提到的，有来自 20 世纪 50 年代非常古老的想法，这些想法是经典的冯·诺依曼架构启发下的关于大脑工作原理的想法，但它们如何映射到神经网络，我认为你们在人工神经网络领域还没有解决这个问题。
356 00：34：02,007 --> 00：34：03,208 议长 SPEAKER_04：我们肯定不会解决这个问题
357 00:34:03,593 --> 00:34:15,166 讲者 SPEAKER_04：直到你们在这两个 AI 领域的主权之间建立更正式的关系，你们才会在大脑中进行。
358 00:34:15,186 --> 00:34:17,407 讲者 SPEAKER_07：那么这如何在机器学习系统中发生呢？
359 00:34:17,788 --> 00:34:20,030 讲者 SPEAKER_07：你们会如何拥有可以相互调用的不同模块呢？
360 00:34:25,155 --> 00:34:25,416 讲者 SPEAKER_07：有人吗？
361 00:34:28,059 --> 00:34:30,322 说话人 SPEAKER_02：我看不出机器学习系统有什么问题。
362 00:34:30,362 --> 00:34:32,284 说话人 SPEAKER_02：你只是有不同的模块可以相互调用。
363 00:34:33,192 --> 00:34:35,275 说话人 SPEAKER_07：它们是否必须是物理上分离的模块？
364 00:34:35,735 --> 00:34:42,487 说话人 SPEAKER_07：或者可能是一个网络，它可以执行多个功能。
365 00:34:43,128 --> 00:34:45,853 说话人 SPEAKER_07：但函数真正分开并不必要。
366 00:34:45,873 --> 00:34:48,317 说话人 SPEAKER_07：如果它们都分开，那么它们将无法共享子程序。
367 00:34:49,338 --> 00:34:52,483 说话人 SPEAKER_01：显然，我认为我们有分布式表示。
368 00:34:52,543 --> 00:34:54,327 说话人 SPEAKER_01：所以我们做了大量的共享。
369 00:34:55,989 --> 00:34:59,976 讲者 SPEAKER_01：但你问的问题是在机器学习系统中，而不是在神经网络中。
370 00:35:00,445 --> 00:35:02,929 讲者 SPEAKER_07：是的，对不起，我是指深度学习。
371 00:35:03,009 --> 00:35:07,336 讲者 SPEAKER_03：我可以提出一个观点吗？
372 00:35:09,139 --> 00:35:17,695 讲者 SPEAKER_03：是的，我想提出的是，你知道，这个概念最初是作为图或者神经元集合开始的。
373 00:35:18,333 --> 00:35:20,320 说话人 SPEAKER_03：与其他神经元集合进行通信。
374 00:35:21,202 --> 00:35:31,077 说话人 SPEAKER_03：我认为对于人脑来说，我相信在经过多年的进化后，其中有很多固有的组织结构。
375 00:35:31,393 --> 00:35:32,936 说话人 SPEAKER_03：这确实是一种优势。
376 00:35:32,976 --> 00:35:36,000 说话人 SPEAKER_03：我相信这种联系已经在未来被开发时形成了。
377 00:35:36,019 --> 00:35:38,322 讲者 SPEAKER_03：不仅仅是有了骨头突然就变成了人。
378 00:35:39,184 --> 00:35:43,710 讲者 SPEAKER_03: 所以这就像，这是深度学习所不具备的。
379 00:35:44,231 --> 00:35:50,699 讲者 SPEAKER_03: 我们如何将其构建进去，以便从 ImageNet 开始，对吧？
380 00:35:50,719 --> 00:35:54,003 讲者 SPEAKER_03: 如果问我，那是一个非常，非常贫瘠的环境。
381 00:35:54,083 --> 00:35:55,865 讲者 SPEAKER_03: 而且没有好的
382 00:35:55,846 --> 00:35:57,847 讲者 SPEAKER_03：就像先验一样，你已经在里面了。
383 00:35:58,389 --> 00:35:59,489 讲者 SPEAKER_01：实际上并不完全是这样。
384 00:35:59,630 --> 00:36:12,563 讲者 SPEAKER_01：所以如果你愿意像谷歌那样使用大量的计算，你可以拥有这些用于设计架构的进化系统，并且可以证明它们设计的架构可以略微提高性能。
385 00:36:13,603 --> 00:36:22,072 讲者 SPEAKER_01：并且那里的进化阶段非常，这将会对应于给你一个适合这个任务的架构的进化。
386 00:36:23,099 --> 00:36:29,166 讲者 SPEAKER_03：是的，我之前不知道你们在做这件事，很好，你们会与学术界分享吗？
387 00:36:29,728 --> 00:36:34,974 讲者 SPEAKER_01：哦，是的，这篇文章已经发表了，你可以通过 Kwok Lee 查找 Kwok Lee 的论文。
388 00:36:36,396 --> 00:36:39,420 讲者 SPEAKER_03：架构和权重都共享吗？
389 00:36:41,503 --> 00:36:44,887 讲者 SPEAKER_01: 你正在同时学习，你有一个内部循环
390 00:36:45,273 --> 00:36:52,159 讲者 SPEAKER_01: 这就像发展和学习，也就是说，对于这个架构，我在这个任务上能做得有多好？
391 00:36:52,500 --> 00:36:54,942 讲者 SPEAKER_01: 然后你还有一个外部循环，那就是对架构进行尝试。
392 00:36:56,182 --> 00:36:59,646 讲者 SPEAKER_03: 所以你认为，用数据思考，你不需要任何先验信息来输入。
393 00:37:00,106 --> 00:37:03,228 说话人 SPEAKER_03：我正在争论基因让我们处于优势。
394 00:37:03,449 --> 00:37:05,690 说话人 SPEAKER_03：而你认为我们实际上不需要这一步。
395 00:37:06,072 --> 00:37:09,875 说话人 SPEAKER_03：我们可以直接，我的意思是，这里的成本是巨大的计算量。
396 00:37:10,576 --> 00:37:13,018 说话人 SPEAKER_01：我的意思是，如果你愿意
397 00:37:14,094 --> 00:37:31,159 讲者 SPEAKER_01：与我们的物种在整个进化历史中所做的所有计算竞争，因为你是谷歌，所以你可以承担多次学习同一任务并逐渐调整架构，从而在任务学习上越来越好。
398 00:37:31,882 --> 00:37:35,710 讲者 SPEAKER_03：但是，如何拥有不同天才大脑中的不同创造力呢？
399 00:37:35,851 --> 00:37:44,693 讲者 SPEAKER_03：谷歌会以这种方式创造出无处不在的天才，还是会创造出这种创造型大脑的不同版本？
400 00:37:47,608 --> 00:37:54,706 讲者 SPEAKER_01：我不知道答案，但显然目前你无法与我们整个进化历史中所做的所有计算竞争。
401 00:37:55,146 --> 00:37:58,213 讲者 SPEAKER_01：所以，进化部分必须有所限制。
402 00:37:58,815 --> 00:38:05,230 你不能让它搜索所有可能性，而是让它搜索一些可能性集合，并在这些可能性中
403 00:38:05,210 --> 00:38:16,943 就像你说的，我将有一个基本模块，它将包含几层复制操作，然后在旁边加入一些卷积操作，然后我将它们组合起来，并从中制作出一些东西。
404 00:38:17,264 --> 00:38:20,588 现在，我该如何设计这个模块，以便在训练时让一切工作得更好？
405 00:38:21,210 --> 00:38:22,391 说话人 SPEAKER_01: 您可以进行该搜索。
406 00:38:22,911 --> 00:38:25,614 说话人 SPEAKER_07: 那么，Jeffrey，你如何知道需要创建一个新的模块呢？
407 00:38:27,467 --> 00:38:32,556 说话人 SPEAKER_01: 嗯，您有这个模块的超参数，您正在探索模块的超参数，对吧？
408 00:38:32,577 --> 00:38:35,882 说话人 SPEAKER_07: 那您怎么知道现在需要为新概念分配一个新的模块呢？
409 00:38:38,547 --> 00:38:40,088 讲者 SPEAKER_01：这些并不完全是概念模块。
410 00:38:40,128 --> 00:38:45,177 讲者 SPEAKER_01：这些是从中构建感知系统模块的，例如，多层感知系统。
411 00:38:46,440 --> 00:38:50,606 讲者 SPEAKER_07：那么，新的概念是如何在我们的大脑或深度学习系统中形成的呢？
412 00:38:51,952 --> 00:38:53,835 讲者 SPEAKER_01：哦，我想这就是了。
413 00:38:54,697 --> 00:38:57,583 讲者 SPEAKER_01：让我们将这一点与先天的进化论观点区分开来。
414 00:38:58,724 --> 00:39:00,829 讲者 SPEAKER_01：我认为概念是吸引子。
415 00:39:01,731 --> 00:39:03,092 讲者 SPEAKER_01：它们都是分布式表示。
416 00:39:03,574 --> 00:39:08,923 讲者 SPEAKER_01：所以帕帕·德米特里乌斯说过，当他去集会时，集会真是个糟糕的想法。
417 00:39:08,963 --> 00:39:11,228 讲者 SPEAKER_01：它们只是一群祖母细胞。
418 00:39:11,208 --> 00:39:15,536 讲者 SPEAKER_01：如果你要有一群细胞，你希望它们做不同的事情，而不是都做同样的事情。
419 00:39:16,157 --> 00:39:19,264 讲者 SPEAKER_01：集合相当于编码理论家所说的副本码。
420 00:39:19,603 --> 00:39:22,009 讲者 SPEAKER_01：我们知道副本码是一个非常糟糕的想法。
421 00:39:23,050 --> 00:39:26,958 讲者 SPEAKER_01：如果你问，随机梯度下降是否会学会复制代码？
422 00:39:27,038 --> 00:39:27,559 不，它不会。
423 00:39:27,619 --> 00:39:28,922 它会始终让它们做不同的事情。
424 00:39:29,202 --> 00:39:33,030 它不会复制很多相同的神经元。
425 00:39:33,500 --> 00:39:41,253 讲者 SPEAKER_01：所以我认为我们得到了吸引子，这是许多相互作用的神经元的分布式表示，以及它们可以稳定到的快乐状态的数量。
426 00:39:41,273 --> 00:39:42,215 Speaker SPEAKER_01: 这是一个新概念。
427 00:39:43,356 --> 00:39:44,659 Speaker SPEAKER_07: 好的，让我们继续下一个问题。
428 00:39:44,679 --> 00:39:51,190 Speaker SPEAKER_07: 所以作为人类，当我们做决定或识别一把椅子时，我们可以解释为什么它是椅子。
429 00:39:51,610 --> 00:39:53,994 说话人 SPEAKER_07：为什么这对我们的深度学习系统来说这么难做？
430 00:39:54,695 --> 00:39:55,677 说话人 SPEAKER_07：请快速回答。
431 00:39:56,668 --> 00:40:03,958 说话人 SPEAKER_01：我有一个经典的例子，就是我们说，当我们识别出 2 时，我们可以解释为什么它是 2，而我们的解释总是完全错误的。
432 00:40:04,380 --> 00:40:08,965 说话人 SPEAKER_01：我可以，你给我一个解释为什么某物是 2，我会给你一些不符合你模式的 2。
433 00:40:09,427 --> 00:40:13,952 Speaker SPEAKER_01: 我们认为我们可以这样做，但我不确定我们能否解释为什么我们认为某物是椅子。
434 00:40:15,315 --> 00:40:15,755 讲者 SPEAKER_07：还有其他人吗？
435 00:40:15,856 --> 00:40:16,516 讲者 SPEAKER_07：快速回应？
436 00:40:17,137 --> 00:40:18,019 讲者 SPEAKER_05：我同意这一点。
437 00:40:18,260 --> 00:40:21,465 讲者 SPEAKER_05：我认为人类更具可解释性的观念是一种错觉。
438 00:40:22,126 --> 00:40:29,862 说话者 SPEAKER_05：我认为，如果有什么的话，我们对制造更可解释的人工系统更有希望，因为我们可以在它们内部进行观察，这是我们不能对人类做到的。
439 00:40:30,822 --> 00:40:32,106 说话者 SPEAKER_01：同样适用于无偏见。
440 00:40:32,166 --> 00:40:37,155 说话者 SPEAKER_01：我们可以观察它们，并以我们无法对人类做到的方式使它们无偏见。
441 00:40:37,175 --> 00:40:37,675 说话者 SPEAKER_07：还有其他人吗？
442 00:40:37,695 --> 00:40:38,117 演讲者 SPEAKER_07: 快吗？
443 00:40:38,266 --> 00:40:44,072 演讲者 SPEAKER_03: 我认为，决策是以可解释的方式做出，还是我们先做出决策，然后再解释它。
444 00:40:44,612 --> 00:40:49,858 演讲者 SPEAKER_03: 我觉得自己更像，我做出决策，我不知道如何做出决策，然后合理化它并使其可解释。
445 00:40:50,398 --> 00:40:52,820 演讲者 SPEAKER_03: 实际上，这非常不清楚，是的。
446 00:40:52,981 --> 00:40:56,885 说话人 SPEAKER_03：所以我同意我们想要解释，因为我们需要沟通，我们需要表达自己。
447 00:40:58,487 --> 00:41:00,610 说话人 SPEAKER_03：但这并不意味着决策是以可解释的方式做出的。
448 00:41:03,371 --> 00:41:03,512 说话人 SPEAKER_00：是的。
449 00:41:03,532 --> 00:41:05,775 说话人 SPEAKER_00：完全同意大家所说的。
450 00:41:06,346 --> 00:41:07,007 演讲者 SPEAKER_00: 到目前为止。
451 00:41:08,949 --> 00:41:10,632 演讲者 SPEAKER_00: 是的。
452 00:41:10,652 --> 00:41:12,235 演讲者 SPEAKER_07: 是的，我有一个问题要问你。
453 00:41:12,275 --> 00:41:15,338 演讲者 SPEAKER_07: 所以你写过关于意识调谐机器的文章。
454 00:41:16,059 --> 00:41:20,387 说话人 SPEAKER_07：那么你如何将意识与程序联系起来？
455 00:41:21,047 --> 00:41:24,552 说话人 SPEAKER_07：当你提到一个有意识的调谐机器时，这个程序实际上是有意识的吗？
