1 00:00:01,786 --> 00:00:05,562 主持人：欢迎，Jeff，感谢您接受 deeplearning.ai 的采访。
224 00:21:47,488 --> 00:21:50,491 说话人 SPEAKER_02：比如在这个区域内，它的 X 和 Y 坐标究竟是什么？
225 00:21:50,531 --> 00:21:51,653 说话人 SPEAKER_02：它处于什么方向？
226 00:21:52,034 --> 00:21:53,134 说话人 SPEAKER_02：它移动得有多快？
227 00:21:53,234 --> 00:21:53,915 说话人 SPEAKER_02：它是什么颜色？
228 00:21:53,935 --> 00:21:54,537 说话人 SPEAKER_02：它有多亮？
229 00:21:54,576 --> 00:21:55,258 说话人 SPEAKER_02：然后还有类似的东西。
230 00:21:55,878 --> 00:22:04,249 说话人 SPEAKER_02：所以你可以用很多神经元来表示同一事物的不同维度，前提是只有一个。
231 00:22:05,848 --> 00:22:11,039 说话人 SPEAKER_02：这是一种与我们通常在神经网络中使用的表示方式非常不同的方法。
232 00:22:11,119 --> 00:22:15,348 说话人 SPEAKER_02：在神经网络中，我们通常只有一个很大的层，所有的单元都去执行它们的工作。
233 00:22:15,809 --> 00:22:20,560 说话人 SPEAKER_02：但你不会把它们打包成代表同一事物不同坐标的小组。
234 00:22:21,983 --> 00:22:24,869 说话人 SPEAKER_02：所以我认为应该有这种额外的结构。
235 00:22:25,188 --> 00:22:27,790 说话人 SPEAKER_02：然后是与之相关的另一个部分，另一个想法。
236 00:22:28,171 --> 00:22:36,901 说话人 SPEAKER_00：这意味着在分布式表示中，你将表示分割成不同的子集来表示，对吧？
237 00:22:37,080 --> 00:22:39,423 说话人 SPEAKER_02：我把这些子集称为胶囊。
238 00:22:39,443 --> 00:22:44,670 说话人 SPEAKER_02：胶囊的想法是它能够表示一个特征实例，但只有一个。
239 00:22:44,730 --> 00:22:49,895 说话人 SPEAKER_02：并且它表示该特征的所有不同属性。
240 00:22:50,145 --> 00:22:57,532 说话人 SPEAKER_02：所以它是一个具有许多属性的特性，与正常神经网络中的正常神经元不同，后者只有一个标量属性。
241 00:22:59,513 --> 00:23:11,444 说话者 SPEAKER_02：然后如果你有了这个，你可以做正常神经网络很糟糕的事情，那就是你可以做我称之为“通过协议根植”的事情。
242 00:23:12,326 --> 00:23:20,153 说话者 SPEAKER_02：假设你想进行分割，你有一个可能是嘴巴，另一个可能是鼻子，
243 00:23:21,077 --> 00:23:24,242 说话者 SPEAKER_02：并且你想知道你是否应该把它们放在一起成为一个整体。
244 00:23:24,303 --> 00:23:32,837 说话者 SPEAKER_02：所以想法是，你会有一个嘴巴的胶囊，它具有嘴巴的参数，你还有一个鼻子的胶囊，它具有鼻子的参数。
245 00:23:33,878 --> 00:23:42,032 说话人 SPEAKER_02：然后决定是否将它们组合在一起，让每个参数为面部投票。
246 00:23:43,234 --> 00:23:47,000 说话人 SPEAKER_02：现在如果嘴巴和鼻子在正确的空间关系中，它们会达成一致。
247 00:23:47,909 --> 00:23:58,630 说话人 SPEAKER_02：所以当你在同一级别的两个胶囊为下一级别的同一组参数投票时，你可以假设它们可能是正确的，因为在高维空间中达成一致是非常不可能的。
248 00:24:00,393 --> 00:24:06,846 说话人 SPEAKER_02：这与我们通常在神经网络中使用的过滤方式非常不同。
249 00:24:09,510 --> 00:24:10,051 说话人 SPEAKER_02: 嗯
250 00:24:11,247 --> 00:24:19,243 说话人 SPEAKER_02: 我认为这种通过协议的路由对于神经网络从有限数据中更好地泛化至关重要。
251 00:24:19,984 --> 00:24:29,424 说话人 SPEAKER_02: 我认为它在处理视角变化方面非常出色，在分割方面也非常出色，我希望它比我们目前在神经网络中做的统计效率要高得多。
252 00:24:29,759 --> 00:24:35,846 说话人 SPEAKER_02: 也就是说，如果你想要处理视角变化，你只需给它提供一大堆视角变化，并对其进行训练即可。
253 00:24:35,865 --> 00:24:37,028 说话人 SPEAKER_02: 我明白了，是的，是的。
254 00:24:37,528 --> 00:24:42,515 说话人 SPEAKER_00: 所以，与其只使用 FIFO 的监督学习，你可以用其他方式来学习。
255 00:24:43,496 --> 00:24:50,163 说话人 SPEAKER_02: 嗯，我仍然计划使用监督学习来做，但前向传播的机制非常不同。
256 00:24:51,005 --> 00:24:55,851 说话人 SPEAKER_02: 这不是纯粹的前向传播，因为其中有一些迭代的过程。
257 00:24:56,303 --> 00:25:03,950 说话人 SPEAKER_02：你认为你找到了一个嘴巴，你也找到了一个鼻子，然后你进行一些迭代来决定它们是否真的应该放在一起形成一个脸。
258 00:25:04,529 --> 00:25:04,769 说话人 SPEAKER_02：我明白了。
259 00:25:06,192 --> 00:25:08,874 说话人 SPEAKER_02：你可以为所有的迭代进行反向传播。
260 00:25:09,434 --> 00:25:09,954 说话人 SPEAKER_00：我明白了，太好了。
261 00:25:10,075 --> 00:25:11,516 说话人 SPEAKER_02：所以你可以全部进行判别性训练。
262 00:25:11,957 --> 00:25:12,978 说话人 SPEAKER_00：我明白了，太好了。
263 00:25:14,798 --> 00:25:17,181 说话人 SPEAKER_02：我们现在在多伦多的团队也在做这个工作。
264 00:25:17,701 --> 00:25:20,604 说话人 SPEAKER_02：现在我有一个小型的谷歌团队在多伦多，是大脑团队的一部分。
265 00:25:20,944 --> 00:25:21,404 说话人 SPEAKER_02: 我明白了，是的。
266 00:25:22,885 --> 00:25:23,467 说话人 SPEAKER_02: 我明白了，太好了。
267 00:25:23,507 --> 00:25:24,807 说话人 SPEAKER_02: 这正是我现在感到兴奋的事情。
268 00:25:25,176 --> 00:25:25,657 说话人 SPEAKER_00: 哦，我明白了。
269 00:25:25,678 --> 00:25:25,978 说话人 SPEAKER_00: 很好。
270 00:25:26,018 --> 00:25:26,117 说话人 SPEAKER_00: 是的。
271 00:25:26,137 --> 00:25:28,119 说话人 SPEAKER_00: 期待那篇论文出来。
272 00:25:29,922 --> 00:25:30,021 说话人 SPEAKER_02: 是的。
273 00:25:30,041 --> 00:25:30,643 说话人 SPEAKER_02: 如果它出现了。
274 00:25:33,405 --> 00:25:36,209 说话人 SPEAKER_00: 你在深度学习领域工作了数十年。
275 00:25:36,249 --> 00:25:41,994 说话人 SPEAKER_00: 我实际上非常好奇，这些年来你的思考、你对人工智能的理解是如何变化的？
276 00:25:43,797 --> 00:25:54,828 说话人 SPEAKER_02: 所以我想我大部分的智力历史都与反向传播有关，以及如何使用反向传播，如何利用它的力量。
277 00:25:56,699 --> 00:26:02,627 说话人 SPEAKER_02：首先，在 80 年代中期，我们用它来进行判别性学习，效果很好。
278 00:26:03,528 --> 00:26:17,069 说话人 SPEAKER_02：然后，我在 90 年代初决定，实际上大多数人类学习都是无监督学习，我对无监督学习产生了更大的兴趣，那时我开始研究像 wake-sleep 算法这样的东西。
279 00:26:17,454 --> 00:26:21,499 说话人 SPEAKER_00：你那时的评论也真正影响了我的思考。
280 00:26:21,618 --> 00:26:28,286 说话人 SPEAKER_00：所以当我领导谷歌大脑项目时，我们的第一个项目，我投入了大量精力研究无监督学习，这是受到了你的影响。
281 00:26:29,086 --> 00:26:29,347 说话人 SPEAKER_02: 对。
282 00:26:30,107 --> 00:26:32,570 说话人 SPEAKER_02: 可能我误导了你。
283 00:26:32,871 --> 00:26:37,236 说话人 SPEAKER_02: 也就是说，从长远来看，我认为无监督学习将至关重要。
284 00:26:38,436 --> 00:26:40,759 说话人 SPEAKER_02: 但你必须面对现实。
285 00:26:41,740 --> 00:26:45,825 说话人 SPEAKER_02：那么在过去的 10 年左右，什么方法取得了成功
286 00:26:46,125 --> 00:26:54,097 说话人 SPEAKER_02：那就是监督学习，判别性训练，你拥有标签，或者你试图预测系列中的下一个事物，这样它就充当了标签。
287 00:26:55,078 --> 00:26:56,761 说话人 SPEAKER_02：而且这种方法非常有效。
288 00:26:57,943 --> 00:27:04,673 说话人 SPEAKER_02：我仍然相信无监督学习将至关重要。
289 00:27:05,314 --> 00:27:06,395 说话人 SPEAKER_02：事情将会运作得非常好
290 00:27:06,712 --> 00:27:11,377 说话人 SPEAKER_02：当它运作正常时，会比现在好得多，但我们还没有做到。
291 00:27:12,238 --> 00:27:12,759 说话人 SPEAKER_00：是的，没错。
292 00:27:13,199 --> 00:27:19,285 说话人 SPEAKER_00：我认为包括我在内的许多深度学习领域的资深人士，对此都保持着极大的热情。
293 00:27:19,305 --> 00:27:24,851 说话人 说话人_00：我们几乎没有人真正知道如何去做。
294 00:27:24,871 --> 00:27:25,832 说话人 说话人_00：也许你知道。
295 00:27:25,852 --> 00:27:26,471 说话人 说话人_00：我觉得我不知道。
296 00:27:26,511 --> 00:27:32,798 说话人 说话人_02：嗯，变分自编码器，使用重新参数化技巧，在我看来是一个非常好的想法。
297 00:27:33,659 --> 00:27:34,240 说话人 SPEAKER_02: 并且
298 00:27:34,439 --> 00:27:38,203 说话人 SPEAKER_02: 生成对抗网络在我看来也是一个非常好的想法。
299 00:27:38,505 --> 00:27:45,493 说话人 SPEAKER_02: 我认为生成对抗网络是深度学习中最新的、最重大的想法之一。
300 00:27:46,015 --> 00:27:49,519 说话人 SPEAKER_02: 我希望我能做出成功的胶囊。
301 00:27:49,559 --> 00:27:54,166 说话人 SPEAKER_02：但就目前来看，生成对抗网络我认为是一个重大突破。
302 00:27:55,028 --> 00:28:03,720 说话人 SPEAKER_00：稀疏性和慢特征这两个构建无监督模型的原则发生了什么？
303 00:28:04,779 --> 00:28:07,021 说话人 SPEAKER_02：我从未像你那样重视稀疏性。
304 00:28:09,984 --> 00:28:13,929 说话人 SPEAKER_02：但慢特征我认为是一个错误。
305 00:28:16,010 --> 00:28:16,991 说话人 SPEAKER_02：你不应该说慢。
306 00:28:17,011 --> 00:28:21,016 说话人 SPEAKER_02：基本想法是对的，但你不应该追求那些不会变化的特征。
307 00:28:21,135 --> 00:28:23,739 说话人 SPEAKER_02：你应该追求那些以可预测方式变化的特征。
308 00:28:24,138 --> 00:28:29,163 说话人 SPEAKER_02：所以这里有一个关于如何建模任何事物的基本原则。
309 00:28:31,886 --> 00:28:34,128 说话人 SPEAKER_02：请测量您的数据。
310 00:28:35,189 --> 00:28:43,903 说话人 SPEAKER_02：然后您对测量数据进行非线性变换，直到得到一个表示为状态向量的形式，其中动作是线性的。
311 00:28:45,946 --> 00:29:00,150 说话人 SPEAKER_02：所以您不是像在使用卡尔曼滤波器时那样假装它是线性的，而是实际上找到一个从可观测量到潜在变量的变换，其中对潜在变量进行的线性操作（如矩阵乘法）将完成工作。
312 00:29:00,603 --> 00:29:10,748 说话人 SPEAKER_02：例如，如果您想改变视角，如果您想从另一个视角生成图像，您应该从像素到坐标进行转换。
313 00:29:11,065 --> 00:29:22,042 说话人 SPEAKER_02：一旦你得到了坐标表示，也就是我希望能由胶囊找到的那种东西，然后你可以进行矩阵乘法来改变视角，然后你可以将其映射回像素。
314 00:29:22,482 --> 00:29:22,624 说话人 SPEAKER_02：没错。
315 00:29:22,644 --> 00:29:23,505 说话人 SPEAKER_00：这就是你为什么要做所有那些事情。
316 00:29:23,525 --> 00:29:24,987 说话人 SPEAKER_02：我认为这是一个非常通用的原则。
317 00:29:25,428 --> 00:29:27,991 说话人 说话人_00: 这就是为什么你做了所有关于相位合成的工作，对吧？
318 00:29:28,011 --> 00:29:34,001 说话人 说话人_00: 我们将一个相位压缩成一个非常低维的向量，因此你可以对其进行调整并回到其他相位。
319 00:29:35,298 --> 00:29:37,661 说话人 说话人_02: 我有一个学生在这方面做了工作。
320 00:29:37,701 --> 00:29:39,463 说话人 说话人_02: 我自己在这方面的工作并不多。
321 00:29:40,526 --> 00:29:46,914 说话人 说话人_00：我敢肯定你仍然经常被问及，如果有人想进入深度学习领域，他们应该做什么？
322 00:29:47,315 --> 00:29:48,297 说话人 说话人_00：你有什么建议吗？
323 00:29:48,396 --> 00:29:59,752 说话人 说话人_00：我敢肯定你在一对一的场合已经给过很多人很多建议，但针对观看这个视频的全球观众，你对他们进入深度学习有什么建议？
324 00:29:59,953 --> 00:30:05,000 说话人 说话人_02：我的建议是阅读文献，但不要读太多。
325 00:30:05,403 --> 00:30:10,871 讲者 SPEAKER_02：这是我导师给我的建议，这和大多数人说的都不一样。
326 00:30:11,352 --> 00:30:16,799 讲者 SPEAKER_02：大多数人会说你应该花几年时间阅读文献，然后你应该开始着手自己的想法。
327 00:30:17,840 --> 00:30:30,599 讲者 SPEAKER_02：这可能对一些研究人员来说是正确的，但对于具有创造力的研究人员来说，我认为你想要做的是阅读一点文献，并注意到你认为大家都在做错的事情。
328 00:30:31,458 --> 00:30:33,019 讲者 SPEAKER_02：在这方面，我是一个持不同意见者。
329 00:30:33,579 --> 00:30:35,561 说话人 SPEAKER_02：你看它，就是感觉不对劲。
330 00:30:36,923 --> 00:30:38,844 说话人 SPEAKER_02：然后找出怎么做得正确。
331 00:30:40,125 --> 00:30:43,808 说话人 SPEAKER_02：当别人告诉你那不行的时候，就坚持下去。
332 00:30:44,608 --> 00:30:52,496 说话人 SPEAKER_02：我有一个很好的原则可以帮助人们坚持下去，那就是你的直觉要么是好的，要么是不好的。
333 00:30:53,277 --> 00:30:56,660 说话人 SPEAKER_02：如果你的直觉很好，你应该跟随它们，你最终会成功的。
334 00:30:57,380 --> 00:31:00,282 说话人 SPEAKER_02：如果你的直觉不好，你做什么都无关紧要。
335 00:31:02,457 --> 00:31:05,642 说话人 SPEAKER_00：没错，这些建议很鼓舞人心，所以不妨去尝试一下。
336 00:31:06,682 --> 00:31:08,306 说话人 SPEAKER_02：你不妨相信你的直觉。
337 00:31:08,546 --> 00:31:10,509 说话人 SPEAKER_02：信任他们毫无意义。
338 00:31:11,270 --> 00:31:13,192 说话人 SPEAKER_00：我明白了，是的。
339 00:31:13,473 --> 00:31:24,130 说话人 SPEAKER_00：我通常建议人们不仅要阅读，还要复制已发表的论文，这可能自然地限制了你可以完成的工作数量，因为复制结果相当耗时。
340 00:31:25,192 --> 00:31:30,539 说话人 SPEAKER_02：是的，当你尝试复制一篇已发表的论文时，你会发现所有必要的技巧，这些技巧是使它工作所必需的。
341 00:31:31,414 --> 00:31:34,577 说话人 SPEAKER_02：我还有一条建议，那就是永远不要停止编程。
342 00:31:35,419 --> 00:31:41,306 说话人 SPEAKER_02：因为如果你给学生一个任务，如果他们是个差学生，他们就会回来告诉你它不起作用。
343 00:31:41,885 --> 00:31:47,593 说话人 SPEAKER_02：而它不起作用的原因可能是他们做出了某些他们没有意识到是关键性的小决定。
344 00:31:48,333 --> 00:31:55,201 说话人 SPEAKER_02：而如果你给一个优秀的学生，比如易伟泰，他任何东西都能做，他会回来告诉你它成功了。
345 00:31:55,922 --> 00:31:57,202 说话人 SPEAKER_02：我记得我做过这件事。
346 00:31:57,654 --> 00:31:58,875 说话人 SPEAKER_02：我说，等等，EY。
347 00:31:59,777 --> 00:32:02,780 说话人 SPEAKER_02：自从我们上次谈话以来，我意识到你不可能因为以下原因。
348 00:32:03,602 --> 00:32:05,763 说话人 SPEAKER_02：EY 说，哦，是的，我立刻就意识到了。
349 00:32:05,784 --> 00:32:07,065 说话人 SPEAKER_02：所以我以为你不是这个意思。
350 00:32:08,066 --> 00:32:09,508 说话人 SPEAKER_00：我明白了。
351 00:32:09,528 --> 00:32:10,269 说话人 SPEAKER_00：是的，这很好。
352 00:32:11,470 --> 00:32:12,711 说话人 SPEAKER_00：是的。
353 00:32:12,731 --> 00:32:14,133 说话人 说话人_00：让我们看看。
354 00:32:14,272 --> 00:32:18,317 说话人 说话人_00：对于想要进入 AI 和深度学习领域的人来说，还有其他建议吗？
355 00:32:21,260 --> 00:32:26,666 说话人 说话人_02：我认为基本上读得足够多了，这样你就可以开始培养直觉，然后相信你的直觉。
356 00:32:27,845 --> 00:32:57,480 说话人 说话人_02：就去做吧，不要过于担心别人说它是胡说八道，我想别人说它是胡说八道的时候，也没有办法知道他们是对是错，但你只需要去做，然后找出答案。但是有一个方法，有一件事，那就是如果你认为这是一个非常好的主意，而别人告诉你它是胡说八道，那么你就知道你真的找到了一些东西。一个例子是，当我和 Radford 第一次提出变分方法时。
357 00:32:58,607 --> 00:33:05,839 讲者 SPEAKER_02：我给一位名叫彼得·布朗的我的前学生发了邮件解释这件事，他非常了解 EM。
358 00:33:06,921 --> 00:33:11,769 讲者 SPEAKER_02：然后他把这展示给了和他一起工作的达利亚·皮特拉兄弟。
359 00:33:11,949 --> 00:33:13,050 讲者 SPEAKER_02：他们是双胞胎，我想。
360 00:33:13,231 --> 00:33:18,138 讲者 SPEAKER_02：后来他告诉我他们说了什么。
361 00:33:19,280 --> 00:33:24,108 说话者 SPEAKER_02：他们觉得这个人要么喝醉了，要么就是愚蠢。
362 00:33:25,067 --> 00:33:52,542 说话者 SPEAKER_02：所以他们真的觉得这是胡说八道。这可能部分是因为我解释的方式，因为我用直观的方式来解释，但是当你有一个好主意，而其他人认为那是垃圾时，这就是一个真正好主意的标志。哦，我明白了，这就是你的角色。哦，还有，还有，研究课题，你知道，新毕业生应该研究胶囊和可能的无监督学习，还有其他什么。
363 00:33:54,126 --> 00:34:09,748 说话者 SPEAKER_02：给新研究生的一条好建议是，看看你是否能找到一个和你有相似信念的导师，因为如果你从事导师深感兴趣的工作，你会得到很多好的建议和时间。
364 00:34:10,449 --> 00:34:16,978 说话者 SPEAKER_02：如果你从事导师不感兴趣的工作，你只会得到一些建议，但几乎没什么用。
365 00:34:18,527 --> 00:34:21,972 说话人 说话人_00：最后一个是关于学习者的建议。
366 00:34:22,673 --> 00:34:31,125 说话人 说话人_00：对于人们进入博士项目与加入，你知道的，顶级公司或企业顶级研究组，你有什么看法？
367 00:34:33,228 --> 00:34:34,429 说话人 说话人_02：是的，这很复杂。
368 00:34:34,849 --> 00:34:44,782 说话人 说话人_02：我认为现在的问题是，在深度学习领域受过训练的学者数量不足以教育我们需要的所有大学教育者。
369 00:34:45,284 --> 00:34:47,606 讲者 SPEAKER_02：那里根本就没有足够的师资力量。
370 00:34:48,311 --> 00:35:16,597 讲者 SPEAKER_02：嗯，但我想那将是暂时的。我认为发生的事情是，大多数系部都反应迟缓，没有理解正在发生的这场革命。我同意你的看法，这并不完全是一场第二次工业革命，但它的规模几乎与之相当，正在发生巨大的变革。这主要是因为我们与计算机的关系发生了变化，我们不再是编程它们，而是向它们展示，然后它们自己解决问题。
371 00:35:17,135 --> 00:35:19,217 讲者 SPEAKER_02：这是一种完全不同的使用计算机的方式。
372 00:35:19,697 --> 00:35:23,722 讲者 SPEAKER_02：计算机科学系是建立在编程计算机这一理念之上的。
373 00:35:24,143 --> 00:35:32,092 说话人 SPEAKER_02：他们不明白这种展示计算机的方式将会像编程计算机一样重要。
374 00:35:32,572 --> 00:35:37,858 说话人 SPEAKER_02：所以他们不明白，部门里应该有一半的人是那些通过展示来让计算机做事的人。
375 00:35:38,458 --> 00:35:38,739 说话人 SPEAKER_02：我明白了。
376 00:35:39,500 --> 00:35:39,740 说话人 SPEAKER_00：没错。
377 00:35:39,760 --> 00:35:45,387 说话人 SPEAKER_02：我所在的部门拒绝承认
378 00:35:45,670 --> 00:35:47,652 说话人 SPEAKER_02：它应该有很多人在做这件事。
379 00:35:48,052 --> 00:35:52,039 说话人 SPEAKER_02：他们认为只有几个，可能还有几个，但不多。
380 00:35:53,300 --> 00:35:59,228 说话人 SPEAKER_02：在这种情况下，你必须依赖大公司来做大量的训练。
381 00:35:59,768 --> 00:36:02,793 说话人 SPEAKER_02：所以现在谷歌正在培训我们称之为大脑居民的这些人。
382 00:36:03,635 --> 00:36:06,918 说话人 SPEAKER_02：我怀疑大学最终会赶上的。
383 00:36:07,387 --> 00:36:08,128 说话人 SPEAKER_00：我明白了。
384 00:36:08,148 --> 00:36:08,429 说话人 SPEAKER_00：没错。
385 00:36:08,449 --> 00:36:11,572 讲者：事实上，嗯，可能很多学生都已经想到了这一点。
386 00:36:11,592 --> 00:36:19,880 讲者：很多顶尖的博士项目，你知道，超过一半的博士申请者实际上是想展示而不是编程。
387 00:36:19,900 --> 00:36:20,661 讲者：是的。
388 00:36:20,681 --> 00:36:21,202 讲者：是的。
389 00:36:21,222 --> 00:36:21,322 说话人 说话人_00: 很酷。
390 00:36:21,342 --> 00:36:22,063 说话人 说话人_00: 是的。
391 00:36:22,083 --> 00:36:22,503 说话人 说话人_00: 是的。
392 00:36:22,523 --> 00:36:35,438 说话人 说话人_00: 事实上，你知道，应该给予应有的赞誉， whereas，uh，deeplearning.ai 正在创建一个深度学习专业课程，据我所知，第一个深度学习 MOOC 实际上是在 2012 年由你在 Coursera 上开设的。
393 00:36:35,418 --> 00:36:42,157 说话人 说话人_00: 然后，然后，有些奇怪的是，那时你首次发布了 RMSProp 算法，这也迅速走红。
394 00:36:43,581 --> 00:36:43,922 说话人 说话人_02: 对。
395 00:36:44,182 --> 00:36:44,583 说话人 说话人_02: 是。
396 00:36:45,052 --> 00:36:53,244 说话人 说话人_02: 好吧，正如你所知，那是因为你邀请我去做 MOOC，然后当我非常犹豫是否去做时，你一直鼓励我去做。
397 00:36:54,106 --> 00:36:56,829 说话者 SPEAKER_02：所以我做得很不错，尽管工作量很大。
398 00:36:57,550 --> 00:36:59,474 说话者 SPEAKER_00：是的，谢谢你这么做。
399 00:36:59,514 --> 00:37:10,150 说话者 SPEAKER_00：我记得你向我抱怨工作量有多大，你晚上熬夜，但我想，你知道，很多很多学习者都从你的第一个 MOOC 中受益，我仍然非常感激你。
400 00:37:10,534 --> 00:37:12,737 说话者 SPEAKER_00：那很好，是的。
401 00:37:12,757 --> 00:37:19,505 说话人 说话人_00：多年来，我看到了你卷入关于人工智能范式的辩论，以及是否发生了人工智能范式的转变。
402 00:37:20,326 --> 00:37:22,088 说话人 说话人_00：你能分享一下你的看法吗？
403 00:37:23,650 --> 00:37:24,451 说话人 说话人_02：当然可以。
404 00:37:25,952 --> 00:37:34,463 说话人 说话人_02：所以我认为在早期，在50年代，像冯·诺伊曼和图灵这样的人不相信符号人工智能。
405 00:37:34,802 --> 00:37:36,905 说话人 SPEAKER_02：他们受到了大脑的极大启发。
406 00:37:36,945 --> 00:37:40,068 说话人 SPEAKER_02：不幸的是，他们都过早地去世了。
407 00:37:40,876 --> 00:38:09,077 说话人 SPEAKER_02：嗯，他们的声音没有被听到，在人工智能的早期，人们完全确信，为了实现智能，你需要的是某种类型的符号表达式，某种经过清理的逻辑，你可以做非单调的事情，不是完全的逻辑，但类似于逻辑，智能的本质是推理。而现在有一个完全不同的观点，那就是
408 00:38:09,833 --> 00:38:13,797 说话人 SPEAKER_02：一个想法，就是一个巨大的神经网络活动向量。
409 00:38:15,340 --> 00:38:17,943 说话者 SPEAKER_02：那么，将这个与思维是一种符号表达的想法进行对比。
410 00:38:18,963 --> 00:38:23,429 说话者 SPEAKER_02：我认为那些认为思维是符号表达的人犯了一个巨大的错误。
411 00:38:24,510 --> 00:38:27,414 说话者 SPEAKER_02：进来的是一串词语。
412 00:38:28,135 --> 00:38:30,097 说话者 SPEAKER_02：出去的也是一串词语。
413 00:38:31,418 --> 00:38:35,422 发言人 SPEAKER_02：正因为如此，字符串便是表达事物的明显方式。
414 00:38:35,864 --> 00:38:38,507 说话人 SPEAKER_02：他们认为中间应该是单词的序列。
415 00:38:38,824 --> 00:38:40,967 说话人 SPEAKER_02：或者类似单词的序列。
416 00:38:41,608 --> 00:38:43,750 说话人 SPEAKER_02：我认为中间的东西与单词序列截然不同。
417 00:38:44,530 --> 00:38:55,820 说话人 SPEAKER_02：我认为思想必须是一种语言的想法，就像理解空间场景布局必须用像素一样荒谬。
418 00:38:55,840 --> 00:39:02,367 说话人 SPEAKER_02：像素进来，如果我们把点阵打印机连接到我们这里，那么像素就会输出。
419 00:39:03,568 --> 00:39:05,210 说话人 SPEAKER_02：但中间的不是像素。
420 00:39:06,490 --> 00:39:07,211 说话人 SPEAKER_02：所以我认为
421 00:39:07,512 --> 00:39:18,548 说话人 SPEAKER_02：思想只是这些巨大的向量，这些大向量具有因果力量，它们引起其他大向量，这与标准人工智能观点中思想是符号表达的观点截然不同。
422 00:39:19,369 --> 00:39:20,972 说话人 说话人_00：我明白了，是的。
423 00:39:20,992 --> 00:39:24,978 说话人 说话人_00：我想 AI 确实正在逐渐接受这种新的观点。
424 00:39:24,998 --> 00:39:25,458 说话人 说话人_00：其中一部分。
425 00:39:25,900 --> 00:39:30,887 说话人 说话人_00：我认为 AI 界很多人仍然认为思维必须是符号表达。
426 00:39:31,389 --> 00:39:33,054 说话人 说话人_00: 非常感谢您接受这次采访。
427 00:39:33,094 --> 00:39:39,126 说话人 说话人_00: 听到深度学习如何在过去几年中发展，以及您如何继续推动它走向未来，非常令人着迷。
428 00:39:39,166 --> 00:39:40,009 说话人 说话人_00: 所以谢谢，杰夫。
429 00:39:41,030 --> 00:39:42,653 说话人 说话人_00: 感谢您给我这个机会。
430 00:39:43,195 --> 00:39:43,476 说话者 说话者_00：谢谢。
